唯一标识,行政相对人,统一社会信用代码,组织机构代码,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,是否删除,行政相对人类别,工商注册号
3de3852b-e83c-4af1-854b-3702b85f39ab,北京弘蕴轩文化发展有限公司,91110105MA001Y2E2F,,(京)文执罚 〔2024〕第100016号,擅自设立出版物的出版单位，或者擅自从事出版物的出版业务,没收违法所得人民币陆仟玖佰叁拾玖元捌角;罚款人民币贰万元。,《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币陆仟玖佰叁拾玖元捌角;2.罚款人民币贰万元。,2,0.69398,2024/3/7,2099/12/31,2025/3/7,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
4307849e-cbb1-4fb8-8a1d-8eb9aed53278,北京七龙珠文化传播有限公司,91110112MA002CCM7Q,MA002CCM7,(京)文执罚 〔2023〕第100068号,发行其他非法出版物,北京七龙珠文化传播有限公司于2022年9月10日至2023年4月5日存在发行其他非法出版物的违法行为，发行了非法出版物《鉴别手册》共计15册，违法所得3817元，违法经营额3817元。,《出版物市场管理规定》第三十二条第三款和《出版管理条例》第六十五条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币叁仟捌佰壹拾柒元;2.罚款人民币壹万元。,1,0.3817,2023/6/19,2099/12/31,2024/6/19,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
47cbfc5e-4e8e-45af-a36d-11c8ccf8172c,北京韩村河龙门农业生态观光有限公司,91110111758231793T,,(京)文执罚 〔2023〕第800035号,征订、储存、运输、邮寄、投递、散发、附送其他非法出版物,北京韩村河龙门农业生态观光有限公司于2023年03月与2023年06月08日期间，存在征订、储存、运输、邮寄、投递、散发、附送其他非法出版物的违法行为，被北京市文化和旅游局予以行政处罚如下：1.没收非法财物7册；2.罚款人民币1000元。,《出版物市场管理规定》第三十二条、第三十九条和《出版管理条例》第六十五条,罚款;没收违法所得、没收非法财物,"1.没收非法财物(物品名称:《佛教与人生》,规格:册,数量:3；物品名称:《幸福启示录》,规格:册,数量:4);2.罚款人民币壹仟元。",0.1,0,2023/6/29,2099/12/31,2024/6/29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
4a10eb24-8032-4a86-8365-3b9be8334879,北京燕山出版社有限公司,91110102400687366P,,(京)文执罚 〔2023〕第100072号,出版物质量不符合有关规定和标准,北京燕山出版社有限公司于2018年07月与2021年05月期间，存在出版物质量不符合有关规定和标准的违法行为。,《出版管理条例》第六十七条第（八）项,警告,警告。,,,2023/6/20,2099/12/31,2024/6/20,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
4f7ef7cd-bfa6-449a-b32d-0ec2c02032f4,北京梅之林品牌管理咨询有限公司,91110108MA01DYD206,,(京)文执罚 〔2024〕第100076号,擅自设立出版物的出版单位，或者擅自从事出版物的出版业务,北京梅之林品牌管理咨询有限公司于2022年05月17日与2024年04月10日期间，存在擅自设立出版物的出版单位，或者擅自从事出版物的出版业务,《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,"1.没收非法财物(物品名称:《遇见古埃及 黄金木乃伊》,规格:册,数量:307);2.罚款人民币贰万元。",2,0,2024/5/15,2099/12/31,2025/5/15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
4fd78edb-69b7-416b-8857-ff2c6145d061,升瑞（北京）医药科技有限公司,91110106355300221X,,(京)文执罚 〔2023〕第100105号,单位、个人擅自从事出版物零售业务及从事出版物发行业务的单位、个人未能提供近两年的出版物发行进销货清单等有关非财务票据,升瑞（北京）医药科技有限公司于2021年11月29日至2022年3月12日期间，在微店平台店铺“升瑞图书绘本批发”发行出版物，但未能提供近两年的出版物发行进销货清单等有关非财务票据。同时，该单位于2023年4月6日至2023年5月16日期间，在出版物经营许可证过期的情况下，擅自从事出版物零售业务，进货发行出版物，违法经营额42869.9元，违法所得42869.9元，未使用专用工具、设备。,《出版物市场管理规定》第三十七条第（一）项以及《出版物市场管理规定》第三十一条和《出版管理条例》第六十一条,警告;罚款;没收违法所得、没收非法财物,1.没收违法所得人民币肆万贰仟捌佰陆拾玖元玖角;2.警告;3.罚款人民币贰拾捌万柒仟贰佰壹拾玖元肆角。,28.72194,4.28699,2023/8/8,2099/12/31,2024/2/8,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
53a99e4a-4b72-4629-89d8-9858d97ffdd4,北京奇良海德印刷股份有限公司,91110113634345588R,634345588,(京)文执罚 〔2024〕第100065号,印刷或者复制单位接受非出版单位和个人的委托印刷或者复制出版物,北京奇良海德印刷股份有限公司于2023年9月11日至9月30日期间，存在印刷或者复制单位接受非出版单位和个人的委托印刷或者复制出版物的违法行为。,《出版管理条例》第六十五条第（三）项,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币贰万元;2.罚款人民币拾万元。,10,2,2024/4/29,2099/12/31,2025/4/29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
5e45b32e-ef60-4600-b5bf-abd75c1f3d1a,北京华图宏阳教育文化发展股份有限公司,91110108747546060P,747546060,(京)文执罚 〔2023〕第100117号,征订、储存、运输、邮寄、投递、散发、附送其他非法出版物,没收违法所得人民币元;,《出版物市场管理规定》第三十二条、第三十九条和《出版管理条例》第六十五条,罚款,罚款人民币贰仟元。,0.2,,2023/8/31,2099/12/31,2024/8/31,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
6e9fbc10-e5d2-4a63-80d0-c185532ab15f,北京创天豪世文化发展有限公司,9111010639791001X4,,(京)文执罚 〔2023〕第100123号,从事出版物发行业务的单位和个体工商户变更《出版物经营许可证》登记事项，或者兼并、合并、分立，未依照《出版管理条例》第三十五条的规定办理审批手续,北京创天豪世文化发展有限公司于2023年02月与2023年08月01日期间，存在从事出版物发行业务的单位和个体工商户变更《出版物经营许可证》登记事项，或者兼并、合并、分立，未依照《出版管理条例》第三十五条的规定办理审批手续,《出版管理条例》第六十七条第（七）项,警告,警告。,,,2023/9/14,2099/12/31,2024/9/14,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
7217a89d-30a0-411b-806b-f6c2a28d6c33,北京世纪恒宇印刷有限公司,91110115758706023F,758706023,(京)文执罚 〔2023〕第100116号,印刷或者复制单位接受非出版单位和个人的委托印刷或者复制出版物,没收违法所得人民币壹仟元;,《出版管理条例》第六十五条第（三）项,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹仟元;2.罚款人民币叁仟元。,0.3,0.1,2023/8/31,2099/12/31,2024/8/31,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
83915f17-fd65-4535-ba74-9541af28b87d,北京嘉合泰兴文化发展有限公司,91110112MA001MUB3G,,(京)文执罚 〔2024〕第100010号,假冒出版单位名称或者伪造、假冒报纸、期刊名称出版出版物,1.没收违法所得人民币壹佰零捌元捌角;2.罚款人民币伍仟元整。,《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹佰零捌元捌角;2.罚款人民币伍仟元。,0.5,0.01088,2024/2/18,2099/12/31,2025/2/18,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
88d458aa-5daf-41dd-906e-cde258b38dcf,北京锦润壹城文化有限公司,91110228327272307D,,(京)文执罚 〔2023〕第800037号,发行其他非法出版物,"1.没收违法所得人民币玖拾壹元肆角玖分;
2.罚款人民币伍仟元。",《出版物市场管理规定》第三十二条第三款和《出版管理条例》第六十五条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币玖拾壹元肆角玖分;2.罚款人民币伍仟元。,0.5,0.009149,2023/6/29,2099/12/31,2024/6/29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
894ea035-9cbb-4eba-9bf1-667c5c83c52e,北京福音时代信息技术有限公司,91110105792121440E,,(京)文执罚 〔2023〕第800032号,擅自设立出版物的出版单位，或者擅自从事出版物的出版业务,北京福音时代信息技术有限公司于2014年01月与2023年04月26日期间，存在擅自从事出版物的出版业务的违法行为，被北京市文化和旅游局予以行政处罚如下：罚款人民币5000元。,《出版管理条例》第六十一条,罚款,罚款人民币伍仟元。,0.5,,2023/6/21,2099/12/31,2024/6/21,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
8e71eac1-fb28-427f-a08a-a1cc28d5f863,北京单向文化传媒有限公司,91110105MA01FJN59M,,(京)文执罚 〔2024〕第100064号,擅自设立出版物的出版单位，或者擅自从事出版物的出版业务,北京单向文化传媒有限公司未取得出版相关资质，于2023年3月至2024年1月11日期间，存在擅自设立出版物的出版单位或者擅自从事出版物的出版业务的违法行为。,《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,"1.没收违法所得人民币伍仟伍佰元;2.没收非法财物(物品名称:《2024单向猫历》,规格:册,数量:1950);3.罚款人民币拾万伍仟伍佰元。",10.55,0.55,2024/4/29,2099/12/31,2025/4/29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
90fb0f97-676b-46bf-9eb9-985e5d9615d2,北京京美世纪数码科技有限责任公司,91110115MA00359G5W,,(京)文执罚 〔2023〕第100103号,印刷或者复制单位接受非出版单位和个人的委托印刷或者复制出版物,北京京美世纪数码科技有限责任公司于2023年06月16日与2023年06月17日期间，存在印刷或者复制单位接受非出版单位和个人的委托印刷或者复制出版物的违法行为。,《出版管理条例》第六十五条第（三）项,罚款;没收违法所得、没收非法财物,"1.没收非法财物(物品名称:《龙乡随笔》,规格:册,数量:22);2.罚款人民币壹仟伍佰元。",0.15,0,2023/8/1,2099/12/31,2024/8/1,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
957ab5e7-a3c2-4042-822e-286313865a15,北京助火网络科技有限公司,91110108MA7KHRL24Y,,(京)文执罚 〔2024〕第100075号,擅自设立出版物的出版单位，或者擅自从事出版物的出版业务,罚款人民币16020元。,《出版管理条例》第六十一条,罚款,罚款人民币壹万陆仟零贰拾元。,1.602,,2024/5/15,2099/12/31,2025/5/15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
97b349fd-1890-454e-8b05-4894f6779c5e,彭*,,,(京)文执罚 〔2024〕第100040号,擅自设立出版物的出版单位，或者擅自从事出版物的出版业务,彭撼于2023年3月至2023年10月期间存在擅自从事出版物的出版业务的违法行为。,《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,"1.没收违法所得人民币伍佰元;2.没收非法财物(物品名称:《叙事癖》（第十三期）,规格:册,数量:20);3.罚款人民币叁仟元。",0.3,0.05,2024/4/3,2099/12/31,2025/4/3,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,自然人,
9917e487-1557-46c0-ad19-81b0fe3ec56d, 北京文晓文化发展有限公司,91110112671732990W,,(京)文执罚 〔2023〕第100124号,征订、储存、运输、邮寄、投递、散发、附送其他非法出版物及从事出版物发行业务的单位、个人未能提供近两年的出版物发行进销货清单等有关非财务票据, 北京文晓文化发展有限公司于2022年04月25日与2022年04月25日期间，存在征订、储存、运输、邮寄、投递、散发、附送其他非法出版物及从事出版物发行业务的单位、个人未能提供近两年的出版物发行进销货清单等有关非财务票据,《出版物市场管理规定》第三十二条、第三十九条、第三十七条第（一）项和《出版管理条例》第六十五条,警告;罚款,1.警告;2.罚款人民币陆仟元。,0.6,,2023/9/15,2099/12/31,2024/9/15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
9a8fbd28-6094-46e6-b90a-c166ee308d3c,北京竞源在线图书发行有限公司,91110105733484874A,,(京)文执罚 〔2024〕第100012号,发行其他非法出版物,作出行政处罚如下：1.没收违法所得200元；2.罚款人民币2000元。,《出版管理条例》第六十五条和《出版物市场管理规定》第三十二条第三款,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币贰佰元;2.罚款人民币贰仟元。,0.2,0.02,2024/2/21,2099/12/31,2025/2/21,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
9b57ef4a-e705-44c3-9c23-1cc3ab948aa2,北京嘉合泰兴文化发展有限公司,91110112MA001MUB3G,,(京)文执罚 〔2024〕第100042号,假冒出版单位名称或者伪造、假冒报纸、期刊名称出版出版物,没收违法所得人民币壹佰玖拾元;罚款人民币伍千元,《出版管理条例》第六十一条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹佰玖拾元;2.罚款人民币伍仟元。,0.5,0.019,2024/4/3,2099/12/31,2025/4/3,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
9fd601c6-569a-4d53-a9cd-55601b41a24f,北京喜事恒通商贸有限公司,9.11101E+17,,(京)文执罚 〔2023〕第800027号,发行其他非法出版物,北京喜事恒通商贸有限公司因发行其他非法出版物的违法行为，被北京市文化和旅游局予以行政处罚：1.没收违法所得人民币壹佰叁拾捌元陆角捌分;2.罚款人民币壹万捌仟元。,《出版物市场管理规定》第三十二条第三款和《出版管理条例》第六十五条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹佰叁拾捌元陆角捌分;2.罚款人民币壹万捌仟元。,1.8,0.013868,2023/6/7,2099/12/31,2024/6/7,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,
