Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2024年通州区工业和信息化项目备案证明,,,,,
,,投资方信息,,项目信息,
序号,项目名称,单位名称,项目类型,建设内容,立项文号
12,生产定制式义齿项目,北京友和义齿制作有限公司,新建,"本项目拟租赁现有厂房建设生产定制式义齿项目，项目位于北京市通州区永乐经济开发区恒业七街6号及6号院35号楼4层，项目占地面积为403.97平方米，建筑面积为403.97平方米。预计总投资为104万元，固定资产投资为94万元，所投资金主要用于厂房装修及设备购置。
项目利用现有厂房，不增加土建内容，建设1条定制式义齿生产线，增加148台设备，采取模型制作、3D打印、打磨、抛光等工艺，生产定制式义齿，达产后年产能为定制式固定义齿80000颗、定制式活动义齿50000颗、种植用手术导板50个。",京通经信局备〔2024〕012号
13,超低能耗被动式门窗技术改造升级项目,北京金诺迪迈幕墙装饰工程有限公司,技术改造,"本项目预计总投资 720 万元，其中固定资产投资 480 万元，主要用于购置设备11台套。
本项目采用新设备、新工艺、新技术、新材料，提升被动式门窗的生产效率和质量，从而提高为被动式建筑的配套能力。本项目在北京市行政区域内不新增建设规模、降低能耗和排放，不新增产能。",京通经信局备〔2024〕013号
14,基于合成生物学研发制造项目,北京四环制药有限公司,技术改造,项目通过利用现有GMP车间、GLP研发实验室和办公场地进行升级改造，建设1条预充式生产线和1条西林瓶生产线，产品1种，预计年产能50万支。同时建设预灌封1条、冻干生产线1条，载药研发线1条、纺丝研发线1条，载药中试线1条线、纺丝中试线1条线，以及1条基础研发线，增加约200台设备，采取预灌封、冻干、载药、纺丝工艺，生产/研发/试制新材料的医疗器械产品，开发出具备产业化能力的产品至少2种，交付中试产品2种，投产后预灌封、冻干针剂年最高产能为10万支。全部为新增产能，本项目在本市行政区域内不新增建设规模、不新增能耗和排放。,京通经信局备〔2024〕014号
15,蔬菜水果加工包装车间建设项目,北京方圆平安生物科技股份有限公司,改扩建,本项目预计总投资2126.23万元，固定资产投资2083.08万元，主要用于车间工程改造和3条蔬菜、水果加工生产线设备（六工位分拣台、鼓泡清洗机、大型智能切菜机、自动接料机、离心脱水机等100余台）的购置。本项目现已根据鲜切果蔬生产的工艺要求及实际生产情况，对车间进行了升级改造，满负荷运营状态下，年产能预计在1.35万吨。,京通经信局备〔2024〕015号
16,北京维通利电气股份有限公司改扩建项目,北京维通利电气股份有限公司,改扩建,"建设项目位于通州区聚富南路8号1幢、3幢
1. 项目现状建筑面积41714.58平方米，规划新增建筑面积6330.49平方米，最终达到规划建筑面积47807.78 平方米。
2. 预计总投资为8865万元，固定资产投资为8865万元，所投资金主要用于厂房建设。",京通经信局备〔2024〕016号
17,京津冀信创小镇智能制造生产线建设项目,北京软通动力智能技术有限公司,新建,本项目拟租赁厂房建设京津冀信创小镇智能制造生产线建设项目，包括信创总部暨智造基地和软通信创智能技术学院，其中信创总部暨智造基地包含信创智能智造工厂、全栈信创服务的信创创新业务总部和以AI算力服务器、基础软件、大模型软硬一体结合为重点任务的信创产业创新中心。项目位于北京市通州区西集镇TZ07-0102-0044地块，租用厂房30000平方米。预计总投资为24000万元，固定资产投资为24000万元，所投资金主要用于设备购置、信息系统建设等。项目建设2条AI服务器自动化生产线，采取无人工厂工艺方案，生产AI服务器产品，达产后年产能为30万台。,京通经信局备〔2024〕017号
18,京津冀信创小镇信创总部暨制造基地建设项目,北京新城基业投资发展有限公司,新建,本项目新建设京津冀信创小镇信创总部暨制造基地建设项目，项目位于北京市通州区西集镇TZ07-0102-0044地块，项目占地面积为30000平方米，建筑面积为30000平方米。预计总投资为39000万元，固定资产投资为39000万元，所投资金主要用于新建两个单体建筑，一间生产厂房，一间配套用房及装修等。,京通经信局备〔2024〕018号
19,汇天云端产业园液冷机柜更换项目,汇天网络科技有限公司,技改,本项目名称为汇天云端产业园液冷机柜更换项目，位于北京市通州区尹各庄路壁富路与徐尹路交叉口汇天云端产业园。涉及占地面积133115.9平方米，总建筑面积392298.2平方米。本项目总投资105600万元，全部由企业自筹。计划更换2400套20kW液冷机柜；配套更换液冷冷板式制冷系统；辅助超高效磁悬浮离心式冷水机组+开式冷却塔+板式换热器制冷系统。本项目在本市行政区域内不新增建设规模、不新增能耗和排放。,京通经信局备〔2024〕019号
20,储能断路器生产扩建改造项目,北京北元电器有限公司,改扩建,项目租用地址为通州区聚富南路8号1幢1层01，建筑面积10000平方米。计划增加3条自动化生产线，塑壳出厂验证设备，1个立体化仓库；增加56台设备；采取热组件焊接丝工艺、热组件打螺钉工艺、磁组件打螺钉、绕线工艺，生产储能断路器产品，达产后年产能力为1000万件，其中新增产能为3000万件，项目预总计投资：4600万元，固定资产投资：4600万元，用于储能断路器生产扩建改造项目。,京通经信局备〔2024〕020号
21,智慧环保信息一体化平台项目,清水源(北京)投资有限公司,,,京通经信局备〔2024〕021号
