检查主体,检查类别,检查单号,检查日期,被检查单位或个人名称,检查结果
北京市民政局,行政检查,20220100023,2022.08.16,北京陈年白酒企业商会,合格
北京市民政局,行政检查,20220100024,2022.08.16,北京四川阆中企业商会,合格
北京市民政局,行政检查,202202012,2022.08.16,北京大戚收音机电影机博物馆,合格
北京市民政局,行政检查,202202015,2022.08.16,北京泰康美术馆,合格
北京市民政局,行政检查,2022S03JC006,2022.08.16,北京益谷检测科学研究院,合格
北京市民政局,行政检查,202202017,2022.08.17,北京市鞍山企业商会,合格
北京市民政局,行政检查,202202019,2022.08.18,北京奇遇公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022S03JC007,2022.08.18,中关村百君医学技术发展研究院,合格
北京市民政局,行政检查,2022S03JC008,2022.08.18,北京迈迪科公益基金会（慈善组织）,合格
北京市民政局,行政检查,202202024,2022.08.19,北京河南罗山企业商会,合格
北京市民政局,行政检查,202202022,2022.08.22,北京奇安信公益基金会（慈善组织）,合格
北京市民政局,行政检查,20220100025,2022.08.23,北京领航企业改革与发展研究院,合格
北京市民政局,行政检查,20220100026,2022.08.25,北京刘敏如中医女科研究所,合格
北京市民政局,行政检查,20220100027,2022.08.25,北京科学技术期刊学会,合格
北京市民政局,行政检查,2022S03JC009,2022.08.25,北京泓日城乡社会治理促进中心,合格
北京市民政局,行政检查,2022S03JC010,2022.08.25,北京正和能源环境研究中心,合格
北京市民政局,行政检查,202202024-1,2022.08.26,北京知勉公益基金会（慈善组织）,合格
北京市民政局,行政检查,20220100028,2022.08.29,北京市世界语协会,合格
北京市民政局,行政检查,20220100029,2022.08.29,北京崇德尚法民商事纠纷调解中心,合格
北京市民政局,行政检查,2022S03JC011,2022.08.31,北京江西泰和企业商会,合格
北京市民政局,行政检查,2022S03JC012,2022.08.31,北京威海企业商会,合格
北京市民政局,行政检查,2022S03JC013,2022.09.05,北京科创医学发展基金会（慈善组织）,合格
北京市民政局,行政检查,2022080020,2022.09.05,北京华瑞慈善基金会（慈善组织）,合格
北京市民政局,行政检查,2022080022,2022.09.05,北京德诺公益基金会（慈善组织）,合格
北京市民政局,行政检查,20220100031,2022.09.06,北京瀚潮慈善基金会（慈善组织）,合格
北京市民政局,行政检查,202202025,2022.09.06,北京弘华艺术社,合格
北京市民政局,行政检查,MF20220411,2022.09.06,北京途途向上线上学科培训学校,合格
北京市民政局,行政检查,ST202201,2022.09.07,北京遵化企业商会,合格
北京市民政局,行政检查,2022070020,2022.09.07,北京科学技术普及创作协会,合格
北京市民政局,行政检查,2022080025,2022.09.07,北京一福寿山福海养老服务中心（养老机构）,合格
北京市民政局,行政检查,20220100032,2022.09.08,北京云汇网球木拍博物馆,合格
北京市民政局,行政检查,20220100034,2022.09.08,北京佑康中医文化传承基金会（慈善组织）,合格
北京市民政局,行政检查,2022070021,2022.09.09,北京智慧财富知识产权金融研究院,合格
北京市民政局,行政检查,202202026,2022.09.13,北京市围棋协会,合格
北京市民政局,行政检查,MF20220401,2022.09.13,北京多彩黔茶产业促进中心,合格
北京市民政局,行政检查,MF20220402,2022.09.13,北京中体融智体育产业研究院,合格
北京市民政局,行政检查,2022S03JC014,2022.09.14,北京农药学会,合格
北京市民政局,行政检查,2022S03JC015,2022.09.14,北京河南鲁山企业商会,合格
北京市民政局,行政检查,MF20220403,2022.09.14,北京经纬知识产权研究院,合格
北京市民政局,行政检查,MF20220404,2022.09.14,北京合享产业专利技术研究院,合格
北京市民政局,行政检查,CS202201,2022.09.14,北京江河水利发展基金会（慈善组织）,合格
北京市民政局,行政检查,ST20220409,2022.09.14,北京市成人教育学会,合格
北京市民政局,行政检查,20220100036,2022.09.15,北京红爹之家妇女儿童志愿服务促进中心,合格
北京市民政局,行政检查,20220100037,2022.09.15,北京学有方线上学科培训学校,合格
北京市民政局,行政检查,202202028,2022.09.15,北京侒泰公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022S03JC016,2022.09.15,北京洞见大数据管理科学研究院,合格
北京市民政局,行政检查,2022S03JC017,2022.09.15,北京空天无人科技研究院,合格
北京市民政局,行政检查,2022S03JC018,2022.09.15,北京市快乐小陶子社会工作服务中心,合格
北京市民政局,行政检查,202203JC008,2022.09.15,北京市慈善义工文化艺术促进中心,合格
北京市民政局,行政检查,MF20220405,2022.09.15,北京前沿金融监管科技研究院,合格
北京市民政局,行政检查,MF20220406,2022.09.15,北京皇城御窑金砖博物馆,合格
北京市民政局,行政检查,CS202202,2022.09.15,北京微孝暖夕慈善基金会（慈善组织）,合格
北京市民政局,行政检查,ST20220410,2022.09.15,北京护理学会,合格
北京市民政局,行政检查,ST20220411,2022.09.15,北京生物化学与分子生物学会,合格
北京市民政局,行政检查,202205S028,2022.09.15,北京希望在线线上学科培训学校,合格
北京市民政局,行政检查,2022080026,2022.09.15,北京市昌平区光大汇晨老年公寓（养老机构）,合格
北京市民政局,行政检查,2022ZZ001,2022.09.15,北京老科学技术工作者总会,合格
北京市民政局,行政检查,2022S03JC019,2022.09.16,北京工艺美术学会,合格
北京市民政局,行政检查,2022S03JC020,2022.09.16,北京天琪国际转化医学研究院,合格
北京市民政局,行政检查,2022S03JC021,2022.09.16,北京河南宁陵企业商会,合格
北京市民政局,行政检查,2022S03JC022,2022.09.16,北京德康公益基金会（慈善组织）,合格
北京市民政局,行政检查,ST20220412,2022.09.16,北京乐器学会,合格
北京市民政局,行政检查,2022S0613,2022.09.16,北京语泽公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022080029,2022.09.16,北京市养老护理照料示范中心（养老机构）,合格
北京市民政局,行政检查,2022ZZ002,2022.09.16,北京对外医学交流协会,合格
北京市民政局,行政检查,2022S0614,2022.09.19,北京信阳企业商会,合格
北京市民政局,行政检查,2022S0619,2022.09.19,北京预防医学会,合格
北京市民政局,行政检查,2022070023,2022.09.19,北京国际医药促进会,合格
北京市民政局,行政检查,2022070024,2022.09.19,北京象元气象观测技术研究院,合格
北京市民政局,行政检查,2022070025,2022.09.19,北京硅酸盐学会,合格
北京市民政局,行政检查,20220100039,2022.09.20,北京兴梦缘公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022S03JC024,2022.09.20,北京心理学会,合格
北京市民政局,行政检查,2022S03JC039,2022.09.20,北京志道线上学科培训学校,合格
北京市民政局,行政检查,202205S029,2022.09.20,北京脚斗士协会,合格
北京市民政局,行政检查,2022S0615,2022.09.20,北京城市建设研究发展促进会,合格
北京市民政局,行政检查,2022S0616,2022.09.20,北京淄博企业商会,合格
北京市民政局,行政检查,2022S0618,2022.09.20,北京清芬新金融研究院,合格
北京市民政局,行政检查,2022S03JC025,2022.09.21,北京中华传统乐会,合格
北京市民政局,行政检查,2022S03JC026,2022.09.21,北京数原数字化城市研究中心,合格
北京市民政局,行政检查,ST20220403,2022.09.21,北京滨州企业商会,合格
北京市民政局,行政检查,CS202203,2022.09.21,北京昊康公益基金会（慈善组织）,合格
北京市民政局,行政检查,CS202204,2022.09.21,北京惠云公益基金会（慈善组织）,合格
北京市民政局,行政检查,202205S030,2022.09.21,北京山东即墨企业商会,合格
北京市民政局,行政检查,202205S031,2022.09.21,北京农学会,合格
北京市民政局,行政检查,202205S032,2022.09.21,北京扬州企业商会,合格
北京市民政局,行政检查,202205S033,2022.09.21,北京四川南部县企业商会,合格
北京市民政局,行政检查,2022S0620,2022.09.21,北京木木艺术博物馆,合格
北京市民政局,行政检查,2022070027,2022.09.21,北京政和民营经济发展研究中心,合格
北京市民政局,行政检查,2022070028,2022.09.21,北京市老年志愿者协会,合格
北京市民政局,行政检查,2022070030,2022.09.21,北京小盒线上学科培训学校,合格
北京市民政局,行政检查,20220100040,2022.09.22,北京康宇晟辉医药健康创新研究院,合格
北京市民政局,行政检查,20220100042,2022.09.22,北京泰康文化艺术基金会（慈善组织）,合格
北京市民政局,行政检查,20220100044,2022.09.22,北京安平泰公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022S03JC027,2022.09.22,北京环丁公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022S03JC028,2022.09.22,北京市高等学校新闻与文化传播研究会,合格
北京市民政局,行政检查,ST20220404,2022.09.22,北京市雪上运动协会,合格
北京市民政局,行政检查,MF220209,2022.09.22,北京青宇自然生物科普促进中心,合格
北京市民政局,行政检查,202205S034,2022.09.22,北京索尔斯大数据应用技术研究院,合格
北京市民政局,行政检查,202205S035,2022.09.22,北京青少年科技教育协会,合格
北京市民政局,行政检查,2022S0624,2022.09.22,北京玉林企业商会,合格
北京市民政局,行政检查,2022070031,2022.09.22,北京猿辅导线上学科培训学校,合格
北京市民政局,行政检查,202202029,2022.09.23,北京市重点站区志愿者服务协会,合格
北京市民政局,行政检查,2022S03JC029,2022.09.23,北京有为公益基金会（慈善组织）,合格
北京市民政局,行政检查,202205S036,2022.09.23,北京联影智能影像技术研究院,合格
北京市民政局,行政检查,202205S037,2022.09.23,北京民艺非物质文化遗产研究院,合格
北京市民政局,行政检查,202205S038,2022.09.23,北京生态农业产业协会,合格
北京市民政局,行政检查,2022S0623,2022.09.23,北京安德普泰皮肤生态研究院,合格
北京市民政局,行政检查,2022S0625,2022.09.23,北京亦城合作发展基金会（慈善组织）,合格
北京市民政局,行政检查,202205S041,2022.09.28,北京好意慈善基金会（慈善组织）,不合格
北京市民政局,行政检查,2022S0628,2022.09.28,北京制冷学会,合格
北京市民政局,行政检查,2022S0629,2022.09.28,北京粘接学会,合格
北京市民政局,行政检查,2022S0630,2022.09.28,北京市金融学会,合格
北京市民政局,行政检查,20221201,2022.09.28,北京国际经济贸易学会,合格
北京市民政局,行政检查,2022S0632,2022.09.29,北京新曦颠覆性技术创新基金会（慈善组织）,合格
北京市民政局,行政检查,2022S0634,2022.09.29,北京时光慈善基金会（慈善组织）,合格
北京市民政局,行政检查,2022070032,2022.09.29,北京先进碳材料产业促进会,合格
北京市民政局,行政检查,2022S0635,2022.09.30,北京华稷微生物应用科学技术研究院,合格
北京市民政局,行政检查,2022S0636,2022.09.30,北京兴化企业商会,合格
北京市民政局,行政检查,ST20220405,2022.10.08,北京地理标志产业协会,合格
北京市民政局,行政检查,ST20220402,2022.10.09,北京驻马店企业商会,合格
北京市民政局,行政检查,2022080030,2022.10.09,北京益康纳米技术应用研究中心,合格
北京市民政局,行政检查,2022080031,2022.10.09,北京农智地理标志研究院,合格
北京市民政局,行政检查,202202032-1,2022.10.10,北京京和文旅发展研究院,合格
北京市民政局,行政检查,ST20220406,2022.10.10,北京福建德化企业商会,合格
北京市民政局,行政检查,2022S0637,2022.10.10,北京宁晋商会,合格
北京市民政局,行政检查,2022S0638,2022.10.10,北京巧雨志愿服务中心,合格
北京市民政局,行政检查,2022S0639,2022.10.10,北京青年研究会,合格
北京市民政局,行政检查,2022S0640,2022.10.10,北京绿色金融与可持续发展研究院,合格
北京市民政局,行政检查,2022080032,2022.10.10,北京豆豆狐线上学科培训学校,合格
北京市民政局,行政检查,20220100045,2022.10.11,北京呼伦贝尔企业商会,合格
北京市民政局,行政检查,20220100046,2022.10.11,北京河北任县企业商会,合格
北京市民政局,行政检查,202202033-1,2022.10.11,北京乐学东方线上学科培训学校,合格
北京市民政局,行政检查,202202034-1,2022.10.11,北京市慈善义工联合会,合格
北京市民政局,行政检查,CS202205,2022.10.11,北京丘成桐科学基金会（慈善组织）,合格
北京市民政局,行政检查,2022S0641,2022.10.11,北京智睿海外知识产权研究院,合格
北京市民政局,行政检查,202202035-1,2022.10.12,北京人防志联人民防空志愿者促进中心,合格
北京市民政局,行政检查,ST20220413,2022.10.12,北京表面工程学会,合格
北京市民政局,行政检查,ZYFW20220401,2022.10.12,北京志愿服务基金会,合格
北京市民政局,行政检查,ZYFW20220402,2022.10.12,北京市志愿服务联合会,合格
北京市民政局,行政检查,MF202210,2022.10.12,北京诺唯精准医学研究院,合格
北京市民政局,行政检查,2022S0642,2022.10.12,北京高思线上学科培训学校,合格
北京市民政局,行政检查,2022080033,2022.10.12,北京金融科技研究院,合格
北京市民政局,行政检查,20220100047,2022.10.13,北京旅游学会,合格
北京市民政局,行政检查,ST20220407,2022.10.13,北京中山书画社,合格
北京市民政局,行政检查,202205S043,2022.10.13,北京康和公益基金会（慈善组织）,合格
北京市民政局,行政检查,202205S047,2022.10.13,北京信孚慈善基金会（慈善组织）,不合格
北京市民政局,行政检查,2022S0643,2022.10.13,北京国之合创新与知识产权研究院,合格
北京市民政局,行政检查,2022S0644,2022.10.13,北京雁栖应用数学研究院,合格
北京市民政局,行政检查,2022070033,2022.10.13,北京市首德慈善基金会（慈善组织）,合格
北京市民政局,行政检查,2022070034,2022.10.13,北京中爱管弦乐团,合格
北京市民政局,行政检查,2022070035,2022.10.13,北京仁东公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022080034,2022.10.13,北京天沐中医技术传承发展中心,合格
北京市民政局,行政检查,2022080035,2022.10.13,北京市中位协北斗时空技术研究院,合格
北京市民政局,行政检查,2022X0901,2022.10.13,北京中医药学会,合格
北京市民政局,行政检查,2022X0902,2022.10.13,北京医学会,合格
北京市民政局,行政检查,2022X0903,2022.10.13,北京中西医结合学会,合格
北京市民政局,行政检查,20220100048,2022.10.14,北京人防浩天志愿者救援队,合格
北京市民政局,行政检查,202202036-1,2022.10.14,北京金方中医书院文化研究中心,合格
北京市民政局,行政检查,20221202,2022.10.14,北京国际交流协会,合格
北京市民政局,行政检查,202203JC007,2022.10.18,北京志愿服务发展研究会,合格
北京市民政局,行政检查,202205S045,2022.10.18,北京峥爱公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022080036,2022.10.19,北京顺德企业商会,合格
北京市民政局,行政检查,2022080037,2022.10.19,北京市社会心理学会,合格
北京市民政局,行政检查,MF20220407,2022.10.20,北京中华民族博物院,合格
北京市民政局,行政检查,MF20220408,2022.10.20,北京市运智世界城市研究院,合格
北京市民政局,行政检查,2022080039,2022.10.20,北京义客社会义工服务中心,合格
北京市民政局,行政检查,2022080040,2022.10.20,北京泰兴企业商会,合格
北京市民政局,行政检查,2022080041,2022.10.20,北京市体育记者协会,合格
北京市民政局,行政检查,2022070036,2022.10.21,北京景德镇企业商会,合格
北京市民政局,行政检查,2022070037,2022.10.21,北京众擎肢体功能障碍康复服务中心,合格
北京市民政局,行政检查,2022070038,2022.10.21,北京唐山企业商会,合格
北京市民政局,行政检查,2022070039,2022.10.21,北京考古学会,合格
北京市民政局,行政检查,2022080043,2022.10.21,北京市造血干细胞捐献志愿者协会,合格
北京市民政局,行政检查,2022080044,2022.10.21,北京继续教育协会,合格
北京市民政局,行政检查,2022S03JC038,2022.10.24,北京作业帮线上学科培训学校,合格
北京市民政局,行政检查,2022070040,2022.10.24,北京成英公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022070042,2022.10.24,北京贝壳公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022070044,2022.10.24,北京慧科公益基金会（慈善组织）,合格
北京市民政局,行政检查,2022070045,2022.10.24,北京咸宁企业商会,合格
北京市民政局,行政检查,2022080045,2022.10.24,北京社区研究中心,合格
北京市民政局,行政检查,2022080046,2022.10.24,北京中教大数据技术研究院,合格
北京市民政局,行政检查,202205S048,2022.10.25,北京市城市管理志愿者协会,合格
北京市民政局,行政检查,2022080047,2022.10.25,北京中联安博生物医学工程研究院,合格
北京市民政局,行政检查,20220100049,2022.10.26,北京工商行政管理学会,合格
北京市民政局,行政检查,2022070046,2022.10.28,北京仿生界面科学未来技术研究院,合格
北京市民政局,行政检查,202202037-1,2022.10.31,北京声学学会,合格
北京市民政局,行政检查,2022070051,2022.10.31,京冀线9,合格
北京市民政局,行政检查,202202038-1,2022.11.01,北京四合院产业发展促进会,合格
北京市民政局,行政检查,202202041,2022.11.01,北京市高等教育学会,合格
北京市民政局,行政检查,202202041-1,2022.11.02,北京湖北红安企业商会,合格
北京市民政局,行政检查,2022S0649,2022.11.03,北京科文人工智能技术研究院,合格
北京市民政局,行政检查,202202042,2022.11.03,北京石榴籽民族法律服务与研究中心,合格
北京市民政局,行政检查,202202045,2022.11.03,北京大诚康养研究中心,合格
北京市民政局,行政检查,2022070049,2022.11.04,北京宜宾企业商会,合格
北京市民政局,行政检查,2022070050,2022.11.04,北京祁东企业商会,合格
北京市民政局,行政检查,2022080049,2022.11.07,北京多彩公益基金会（慈善组织）,不合格
北京市民政局,行政检查,202202044,2022.11.07,北京太阳心公益基金会（慈善组织）,合格
北京市民政局,行政检查,202202046,2022.11.08,北京膜学会,合格
北京市民政局,行政检查,202202047,2022.11.09,北京市商业文化研究会,合格
北京市民政局,行政检查,ST20220408,2022.11.10,北京乐亭企业商会,合格
北京市民政局,行政检查,S2022FZS01,2022.11.10,北京市利群住宅合作社,合格
北京市民政局,行政检查,2022080051,2022.11.14,北京市第一社会福利院（北京市老年病医院）（养老机构）,合格
北京市民政局,行政检查,2022080053,2022.11.15,北京市第四社会福利院（养老机构）,合格
北京市民政局,行政检查,S2022FZS02,2022.11.16,北京中医疑难病研究会,合格
北京市民政局,行政检查,2023010001,2023.02.24,北京市殡葬服务中心金山陵园,合格
北京市民政局,行政检查,2023010002,2023.03.25,北京市万安公墓,合格
北京市民政局,行政检查,2023010003,2023.03.25,北京市八宝山礼仪有限公司外侨公墓西静园公墓,合格
北京市民政局,行政检查,2023010004,2023.03.26,北京市八宝山礼仪有限公司宝云岭墓园,合格
北京市民政局,行政检查,2023020001,2023.03.23,北京八宝山礼仪有限公司太子峪陵园,合格
北京市民政局,行政检查,2023020002,2023.03.23,北京市房山区静安墓园管理处,合格
北京市民政局,行政检查,2023020003,2023.03.26,北京市回民殡葬管理处,合格
北京市民政局,行政检查,2023020004,2023.03.28,北京思亲园园艺有限公司,合格
北京市民政局,行政检查,2023070001,2023.02.23,北京八宝山礼仪有限公司外侨公墓,合格
北京市民政局,行政检查,2023070002,2023.02.23,北京八宝山礼仪有限公司朝阳陵园,合格
北京市民政局,行政检查,2023070003,2023.03.21,北京八宝山礼仪有限公司长青生命纪念园,合格
北京市民政局,行政检查,2023080001,2023.03.24,北京八宝山礼仪有限公司天慈墓园,合格
北京市民政局,行政检查,2023080002,2023.03.26,北京市大兴区天堂公墓管理所,合格
北京市民政局,行政检查,2023080003,2023.03.27,北京市通州区惠灵山陵园,合格
北京市民政局,行政检查,2023080004,2023.03.29,北京八宝山礼仪有限公司通惠陵园,合格
北京市民政局,行政检查,GM20230402,2023.03.25,北京八宝山礼仪有限公司八宝山人民公墓,合格
北京市民政局,行政检查,GM20230403,2023.03.25,北京市八宝山革命公墓,合格
北京市民政局,行政检查,GM20230401,2023.03.26,北京八宝山礼仪有限公司福田公墓,合格
北京市民政局,行政检查,2023010005,2023.04.01,西北旺公墓,合格
北京市民政局,行政检查,2023010006,2023.04.01,北京八宝山礼仪有限公司温泉墓园,合格
北京市民政局,行政检查,2023030001,2023.04.01,北京市潮白陵园,合格
北京市民政局,行政检查,GM20230404,2023.04.01,北京万佛华侨陵园有限公司,合格
北京市民政局,行政检查,2023070004,2023.04.01,北京归山陵园有限公司,合格
北京市民政局,行政检查,2023010007,2023.04.02,北京市殡葬服务中心东北义园,合格
北京市民政局,行政检查,2023010008,2023.04.02,北京市长安园公墓有限责任公司,合格
北京市民政局,行政检查,GM20230405,2023.04.02,北京市门头沟区天山陵园,合格
北京市民政局,行政检查,2023030002,2023.04.05,北京市凤凰山陵园,合格
北京市民政局,行政检查,2023070005,2023.04.05,程某某（彩票网点编号11165012）,合格
北京市民政局,行政检查,2023070006,2023.04.05,卢某某（彩票网点编号11125076）,合格
北京市民政局,行政检查,2023070007,2023.04.06,高某某（彩票网点编号11105901）,合格
北京市民政局,行政检查,2023030003,2023.04.08,北京市九公山长城纪念林有限公司,合格
北京市民政局,行政检查,2023020005,2023.04.10,北京精准医学学会,合格
北京市民政局,行政检查,202305S006,2023.04.10,北京法和律师博物馆,合格
北京市民政局,行政检查,202305S007,2023.04.10,北京摄影函授学院,合格
北京市民政局,行政检查,2023020006,2023.04.12,北京作业帮线上学科培训学校,合格
北京市民政局,行政检查,202305S008,2023.04.12,北京生物医学工程学会,合格
北京市民政局,行政检查,202305S009,2023.04.12,北京绿色啄木鸟志愿服务中心,合格
北京市民政局,行政检查,202305S010,2023.04.13,北京抚州企业商会,合格
北京市民政局,行政检查,2023020007,2023.04.14,北京国信数字化转型技术研究院,合格
北京市民政局,行政检查,202305S011,2023.04.18,杨某（彩票网点编码11133051）,合格
北京市民政局,行政检查,202305S012,2023.04.18,李某某（彩票网点编号11153033）,合格
北京市民政局,行政检查,202305S013,2023.04.19,北京张家界企业商会,合格
北京市民政局,行政检查,2023080005,2023.04.25,黄某（彩票网点编号11305037）,合格
北京市民政局,行政检查,202305S014,2023.04.26,北京希望在线线上学科培训学校,合格
北京市民政局,行政检查,202305S015,2023.04.26,赵某某（彩票网点编号11313062）,合格
北京市民政局,行政检查,202305S016,2023.04.27,北京京徽画院,合格
北京市民政局,行政检查,2023080006,2023.04.27,北京市养老护理照料示范中心,合格
北京市民政局,行政检查,2023080008,2023.04.27,刘某某（彩票网点编号11171014）,合格
北京市民政局,行政检查,2023080009,2023.04.27,王某某（彩票网点编号11171047）,合格
北京市民政局,行政检查,2023080010,2023.04.27,李某某（彩票网点编号11171034）,合格
北京市民政局,行政检查,2023080011,2023.04.27,王某某（彩票网点编号11171025）,合格
北京市民政局,行政检查,2023080012,2023.04.28,北京一福寿山福海养老服务中心,合格
北京市民政局,行政检查,202305S017,2023.05.05,北京株洲企业商会,合格
北京市民政局,行政检查,2023020008,2023.05.11,北京仁育苑自闭症儿童关爱中心,合格
北京市民政局,行政检查,202305S018,2023.05.19,北京热物理与能源工程学会,合格
北京市民政局,行政检查,2023010009,2023.05.23,林某某（彩票网点编号11146075）,合格
北京市民政局,行政检查,2023010010,2023.05.23,闫某某（彩票网点编号11106211）,合格
北京市民政局,行政检查,2023010011,2023.05.23,施某（彩票网点编号11306068）,合格
北京市民政局,行政检查,2023010012,2023.05.23,张某某（彩票网点编号11306015）,合格
北京市民政局,行政检查,2023010013,2023.05.25,黄某某（彩票网点编号11146004）,合格
北京市民政局,行政检查,2023010014,2023.06.06,北京宣城企业商会,合格
北京市民政局,行政检查,2023010015,2023.06.06,北京广东企业商会,合格
北京市民政局,行政检查,2023010016,2023.06.06,北京杨孙西公益基金会（慈善组织）,合格
北京市民政局,行政检查,202305S019,2023.06.06,北京青之桥公益基金会,合格
北京市民政局,行政检查,202305S020,2023.06.06,北京青之桥公益基金会（慈善组织）,合格
北京市民政局,行政检查,202305S021,2023.06.06,张某某（彩票网点编号11313056）,合格
北京市民政局,行政检查,202305S022,2023.06.06,北京孙伟艺术基金会,合格
北京市民政局,行政检查,202305S023,2023.06.06,北京孙伟艺术基金会（慈善组织）,合格
北京市民政局,行政检查,2023020009,2023.06.08,北京人防志联人民防空志愿者促进中心,合格
北京市民政局,行政检查,2023020010,2023.06.08,北京人防志联人民防空志愿者促进中心,合格
北京市民政局,行政检查,202305S024,2023.06.08,北京永安企业商会,合格
北京市民政局,行政检查,2023060001,2023.06.08,北京惠康仁爱公益基金会（慈善组织）,合格
北京市民政局,行政检查,2023060002,2023.06.08,北京市单用途商业预付卡协会,合格
北京市民政局,行政检查,202305S025,2023.06.12,韩某某（彩票网点编号11153042）,合格
北京市民政局,行政检查,202305S026,2023.06.12,高某（彩票网点编号11173050）,合格
北京市民政局,行政检查,2023010018,2023.06.13,北京市益加社会工作服务中心,合格
北京市民政局,行政检查,2023010019,2023.06.13,北京沈阳企业商会,合格
北京市民政局,行政检查,2023010020,2023.06.13,北京彩虹心智智障康复服务中心,合格
北京市民政局,行政检查,202305S027,2023.06.14,北京龙湾企业商会,合格
北京市民政局,行政检查,202305S028,2023.06.14,北京武冈企业商会,合格
北京市民政局,行政检查,2023020011,2023.06.16,北京园林学会,合格
北京市民政局,行政检查,2023010021,2023.06.28,北京国检信用信息技术研究院,合格
北京市民政局,行政检查,2023010023,2023.06.28,北京天德合公益基金会（慈善组织）,合格
北京市民政局,行政检查,FC20230406,2023.06.30,杜某某（彩票网点编号11302016）,合格
北京市民政局,行政检查,FC20230402,2023.06.30,闫某某（彩票网点编号11149001）,合格
北京市民政局,行政检查,FC20230401,2023.06.30,孙某某（彩票网点编号11108028）,合格
北京市民政局,行政检查,FC20230403,2023.06.30,王某某（彩票网点编号11147037）,合格
北京市民政局,行政检查,FC20230404,2023.06.30,孙某某（彩票网点编号11127054）,合格
