检查主体,检查类别,检查单号,检查日期,被检查单位或个人名称,检查结果
北京市民政局,行政检查,20210402FC,2021.10.20,于某某（彩票网点编号11108015）,合格
北京市民政局,行政检查,2021040015JJH,2021.10.20,北京中医药发展基金会,不合格
北京市民政局,行政检查,202104006GM,2021.10.20,北京市门头沟殡仪馆,合格
北京市民政局,行政检查,202104003ZYFW,2021.10.20,北京人防浩天志愿者救援队,合格
北京市民政局,行政检查,202105S006,2021.10.20,北京云艺社区文化促进中心,合格
北京市民政局,行政检查,202105S007,2021.10.20,北京华育助学基金会,合格
北京市民政局,行政检查,202106JC006,2021.10.20,王某某（彩票网点编号11133011）,合格
北京市民政局,行政检查,202106JC005,2021.10.20,杨某（彩票网点编号11133502）,合格
北京市民政局,行政检查,202106JC004,2021.10.20,李某（彩票网点编号11113116）,合格
北京市民政局,行政检查,202106JC003,2021.10.20,李某某（彩票网点编号11133030）,合格
北京市民政局,行政检查,2021074001,2021.10.20,王某某（彩票网点编号11105933）,合格
北京市民政局,行政检查,2021074002,2021.10.20,王某某（彩票网点编号11105812）,合格
北京市民政局,行政检查,2021074003,2021.10.20,宋某某（彩票网点编号11165057）,合格
北京市民政局,行政检查,2021074004,2021.10.20,刘某（彩票网点编号11145030）,合格
北京市民政局,行政检查,2021074005,2021.10.20,任某某（彩票网点编号11125010）,合格
北京市民政局,行政检查,2021074006,2021.10.20,孙某（彩票网点编号11105095）,合格
北京市民政局,行政检查,202102ST004,2021.10.21,北京市台港澳法律事务研究会,合格
北京市民政局,行政检查,202105S008,2021.10.21,北京兽药行业协会,合格
北京市民政局,行政检查,202106JC009,2021.10.21,北京襄阳企业商会,合格
北京市民政局,行政检查,202106JC008,2021.10.21,北京中弘社会工作与志愿服务中心,合格
北京市民政局,行政检查,202106JC007,2021.10.21,北京社会工作与志愿服务促进会,合格
北京市民政局,行政检查,2021077001,2021.10.21,北京赛诺经典政务服务促进中心,合格
北京市民政局,行政检查,2021077002,2021.10.21,北京中科科普促进中心,合格
北京市民政局,行政检查,2021078002,2021.10.21,北京毅恒挚友大学生志愿服务促进中心,合格
北京市民政局,行政检查,2021078003,2021.10.21,北京市永爱志愿服务公益发展中心,合格
北京市民政局,行政检查,202102ST005,2021.10.22,北京人才资源开发协会,合格
北京市民政局,行政检查,202102MF001,2021.10.22,中关村博硕人才与市场经济研究院,合格
北京市民政局,行政检查,201106JC011,2021.10.22,吉某某（彩票网点编号11125539）,合格
北京市民政局,行政检查,202106JC010,2021.10.22,石某某（彩票网点编号11125081）,合格
北京市民政局,行政检查,2021071001,2021.10.22,北京影视动画协会,合格
北京市民政局,行政检查,202105S009,2021.10.25,北京慈善超市发展协会,不合格
北京市民政局,行政检查,2021079003,2021.10.25,朝海昌SC（界桩）,合格
北京市民政局,行政检查,2021079002,2021.10.25,朝海昌SB（界桩）,合格
北京市民政局,行政检查,2021079001,2021.10.25,朝海昌SA（界桩）,合格
北京市民政局,行政检查,202101000016,2021.10.26,朝海线3A（界桩）,合格
北京市民政局,行政检查,2021010017,2021.10.26,朝海线3B（界桩）,合格
北京市民政局,行政检查,2021010018,2021.10.26,朝海线2（界桩）,合格
北京市民政局,行政检查,2021010019,2021.10.26,朝海线1（界桩）,合格
北京市民政局,行政检查,202102ST007,2021.10.26,北京霞浦企业商会,不合格
北京市民政局,行政检查,202106JC013,2021.10.26,北京巧雨志愿服务中心,合格
北京市民政局,行政检查,202106JC012,2021.10.26,北京辰星社区服务中心,不合格
北京市民政局,行政检查,2021077003,2021.10.26,北京基石防灾减灾发展促进中心,合格
北京市民政局,行政检查,2021071005,2021.10.26,中关村自主品牌创新发展协会,合格
北京市民政局,行政检查,2021071004,2021.10.26,北京大同企业商会,合格
北京市民政局,行政检查,2021076002,2021.10.26,北京市壹嘉壹慈善基金会,合格
北京市民政局,行政检查,202101000018,2021.10.27,北京定州企业商会,不合格
北京市民政局,行政检查,202105S010,2021.10.27,北京中华厨皇协会,合格
北京市民政局,行政检查,202105S011,2021.10.27,北京市私营个体经济协会,合格
北京市民政局,行政检查,202106JC015,2021.10.27,怀延线4（界桩）,合格
北京市民政局,行政检查,202106JC014,2021.10.27,昌怀延S（界桩）,合格
北京市民政局,行政检查,20210800007,2021.10.27,北京市闪联信息产业协会,合格
北京市民政局,行政检查,20210800008,2021.10.27,北京市第一社会福利院,合格
北京市民政局,行政检查,202105S012,2021.10.28,北京聚善公益基金会,合格
北京市民政局,行政检查,202106JC017,2021.10.28,北京市根艺研究会,合格
北京市民政局,行政检查,20210800009,2021.10.28,崔某某（彩票网点编号11131025）,合格
北京市民政局,行政检查,20210800010,2021.10.28,栾某（彩票网点编号11131039）,合格
北京市民政局,行政检查,20210800011,2021.10.28,李某某（彩票网点编号11151008）,合格
北京市民政局,行政检查,20210800012,2021.10.28,姚某某（彩票网点编号11151006）,合格
北京市民政局,行政检查,202106JC018,2021.10.29,北京市青少年体育联合会,合格
北京市民政局,行政检查,202106JC019,2021.10.29,东朝丰SB（界桩）,合格
北京市民政局,行政检查,202106JC020,2021.10.29,东朝丰SA（界桩）,合格
北京市民政局,行政检查,20210800013,2021.10.29,中关村光电产业协会,合格
北京市民政局,行政检查,20210800014,2021.10.29,中关村创新文化发展促进会,合格
北京市民政局,行政检查,202101000022,2021.11.01,北京红爹之家妇女儿童志愿服务促进中心,合格
北京市民政局,行政检查,202106JC021,2021.11.01,北京崇仁企业商会,不合格
北京市民政局,行政检查,202102ST008,2021.11.02,北京鹤壁企业商会,合格
北京市民政局,行政检查,20216JC022,2021.11.02,北京油画雕塑促进会,不合格
北京市民政局,行政检查,202101000026,2021.11.03,北京横山企业商会,不合格
北京市民政局,行政检查,2021079004,2021.11.03,朝昌线1（界桩）,合格
北京市民政局,行政检查,20210800015,2021.11.03,北京青年企业家创新发展协会,合格
北京市民政局,行政检查,20210800016,2021.11.03,北京市彩虹养老服务促进中心（社会服务机构）,不合格
北京市民政局,行政检查,20210800018,2021.11.03,中关村国检电子商务数据产业协会,合格
北京市民政局,行政检查,202101000021,2021.11.04,北京社区文化促进会,不合格
北京市民政局,行政检查,202106JC23,2021.11.04,北京化学工业集团有限责任公司集体资产管理协会,不合格
北京市民政局,行政检查,2021076001,2021.11.04,北京卓然公益基金会,合格
北京市民政局,行政检查,20210800019,2021.11.04,北京京燕心脏病研究中心,不合格
北京市民政局,行政检查,202102CS001,2021.11.05,北京善联公益基金会（慈善组织）,合格
北京市民政局,行政检查,202102JJ001,2021.11.05,北京善联公益基金会（基金会）,合格
北京市民政局,行政检查,202104006ST,2021.11.05,北京市理财规划师协会,合格
北京市民政局,行政检查,2021078001,2021.11.05,北京市老年志愿者协会,合格
北京市民政局,行政检查,2021071003,2021.11.05,北京中关村优联网产业促进会,合格
北京市民政局,行政检查,202105S013,2021.11.08,北京八路军老战士文工团,不合格
北京市民政局,行政检查,20210800020,2021.11.09,中关村电子商会,合格
北京市民政局,行政检查,202101000029,2021.11.10,北京阳江企业商会,合格
北京市民政局,行政检查,202101000030,2021.11.10,北京上饶企业商会,合格
北京市民政局,行政检查,202106JC025,2021.11.10,北京青爱教育基金会,合格
北京市民政局,行政检查,2021071002,2021.11.10,北京芦溪企业商会,合格
北京市民政局,行政检查,20210800021,2021.11.10,北京市第四社会福利院,合格
北京市民政局,行政检查,20210800022,2021.11.10,北京创意设计协会,合格
北京市民政局,行政检查,20210300005,2021.11.11,朝通顺SA（界桩）,合格
北京市民政局,行政检查,20210300006,2021.11.11,朝通顺SB（界桩）,合格
北京市民政局,行政检查,20210800023,2021.11.11,北京市慈善义工联合会（志愿服务组织）,合格
北京市民政局,行政检查,20210800024,2021.11.11,北京市慈善义工联合会（社会团体）,合格
北京市民政局,行政检查,20210800025,2021.11.11,北京市造血干细胞捐献志愿者协会（志愿服务组织）,合格
北京市民政局,行政检查,20210800026,2021.11.11,北京市造血干细胞捐献志愿者协会（社会团体）,合格
北京市民政局,行政检查,202105S014,2021.11.12,北京广明灯慈善基金会,合格
北京市民政局,行政检查,20210800027,2021.11.12,北京义客社会义工服务中心（志愿服务组织）,合格
北京市民政局,行政检查,20210800028,2021.11.12,北京义客社会义工服务中心（社会服务机构）,合格
北京市民政局,行政检查,202102JJ002,2021.11.14,北京赢鼎公益基金会（基金会）,不合格
北京市民政局,行政检查,202102CS002,2021.11.14,北京赢鼎公益基金会（慈善组织）,不合格
北京市民政局,行政检查,202102MF002,2021.11.15,北京紫荆感知物联网研究院,合格
北京市民政局,行政检查,2021S030002,2021.11.15,北京联爱儿童成长中心,不合格
北京市民政局,行政检查,202105S015,2021.11.15,中国国际书画艺术研究会,合格
北京市民政局,行政检查,202101000023,2021.11.16,北京博悦阁乒乓球俱乐部,不合格
北京市民政局,行政检查,202106JC028,2021.11.16,北京宁远企业商会,不合格
北京市民政局,行政检查,202106JC027,2021.11.18,北京华夏文昌书画院,不合格
北京市民政局,行政检查,202102GM001,2021.11.19,北京思亲园园艺有限公司,合格
北京市民政局,行政检查,202101000024,2021.11.23,北京中咨产学研创新研究院,不合格
北京市民政局,行政检查,202101000025,2021.11.23,北京平瓶公益基金会,不合格
北京市民政局,行政检查,202101000027,2021.11.24,北京中澜城镇水体污染治理工程技术应用中心,合格
北京市民政局,行政检查,20210800029,2021.11.24,北京市养老护理照料示范中心,合格
北京市民政局,行政检查,202102SC006,2021.11.25,余某某（彩票网点编号11107272）,合格
北京市民政局,行政检查,202102SC007,2021.11.25,陶某某（彩票网点编号11167002）,合格
北京市民政局,行政检查,202102SC008,2021.11.25,张某（彩票网点编号11167078）,合格
北京市民政局,行政检查,20210800030,2021.11.26,北京一福寿山福海养老服务中心（养老机构）,合格
北京市民政局,行政检查,20210800031,2021.11.26,北京一福寿山福海养老服务中心(社会服务机构）,合格
北京市民政局,行政检查,20210800032,2021.11.26,北京市昌平区光大汇晨老年公寓（养老机构）,合格
北京市民政局,行政检查,20210800033,2021.11.26,北京市昌平区光大汇晨老年公寓（社会服务机构）,合格
北京市民政局,行政检查,20210300007,2021.11.30,卢某某（彩票网点编号11135008）,合格
北京市民政局,行政检查,20210300008,2021.11.30,车某（彩票网点编号11115024）,合格
北京市民政局,行政检查,20210300009,2021.11.30,王某某（彩票网点编号11135012）,合格
北京市民政局,行政检查,20210300010,2021.11.30,张某某（彩票网点编号11135006）,合格
北京市民政局,行政检查,20210300011,2021.11.30,孔某（彩票网点编号11115010）,合格
北京市民政局,行政检查,202101000028,2021.12.07,北京盂县企业商会,不合格
北京市民政局,行政检查,2021071009,2021.12.08,北京社区空手道推广协会,合格
北京市民政局,行政检查,202102MF003,2021.12.10,北京人防志联人民防空志愿者促进中心（社会服务机构）,合格
北京市民政局,行政检查,202102ZY002,2021.12.10,北京人防志联人民防空志愿者促进中心（志愿服务组织）,合格
