育种者,申请者,登记编号,作物名称,品种名称
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110147,西瓜,国凤
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110252,西瓜,华欣-8
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110253,西瓜,京阑
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110254,西瓜,京嘉101
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110255,西瓜,京嘉203
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110256,西瓜,京欣901
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110397,西瓜,京彩1号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110406,西瓜,京美8K02
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110486,西瓜,京嘉202
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110500,西瓜,华欣307
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110501,西瓜,京美800
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2019)110502,西瓜,京美4K02
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110021,西瓜,京嘉102
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110022,西瓜,京美2k
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110023,西瓜,京欣109
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110161,西瓜,京研2号
北京四海种业有限责任公司,北京四海种业有限责任公司,GPD西瓜(2020)110413,西瓜,百盛
北京四海种业有限责任公司,北京四海种业有限责任公司,GPD西瓜(2020)110572,西瓜,长红5号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110580,西瓜,京玲
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110581,西瓜,京玲2号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110582,西瓜,京雅
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110583,西瓜,京豹
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110584,西瓜,京美3K
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110615,西瓜,华欣2号
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110685,西瓜,京美12K02
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110686,西瓜,京美10K03
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110687,西瓜,京美11K
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110688,西瓜,京美5K
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110689,西瓜,京嘉103
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2020)110690,西瓜,京美9K
北京四海种业有限责任公司,北京四海种业有限责任公司,GPD西瓜(2021)110011,西瓜,金典
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2021)110027,西瓜,京嘉301
京研益农（北京）种业科技有限公司,京研益农（北京）种业科技有限公司,GPD西瓜(2021)110165,西瓜,京珑2号
北京天地园种苗有限公司,北京天地园种苗有限公司,GPD辣椒(2020)110724,辣椒,红贝拉
北京四海种业有限责任公司,北京四海种业有限责任公司,GPD辣椒(2020)110990,辣椒,四海新秀
北京安峰种苗科技有限公司,北京安峰种苗科技有限公司,GPD辣椒(2021)110007,辣椒,红炎
北京天地园种苗有限公司,北京天地园种苗有限公司,GPD黄瓜(2020)110116,黄瓜,泰利亚
中国农业科学院蔬菜花卉研究所;中蔬种业科技 （北京）有限公司,中国农业科学院蔬菜花卉研究所;中蔬种业科技 （北京）有限公司,GPD黄瓜(2022)110164,黄瓜,中农48号
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2020)110387,番茄,华辰70
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2020)110388,番茄,华辰3号
北京利园成田种苗有限公司,北京利园成田种苗有限公司,GPD番茄(2020)110399,番茄,粉银24号
北京利园成田种苗有限公司,北京利园成田种苗有限公司,GPD番茄(2020)110400,番茄,利园天红
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2020)110411,番茄,中研夏盾
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2020)110412,番茄,意佰芬加
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2020)110513,番茄,西贝
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2020)110514,番茄,华辰20
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2020)110515,番茄,博士1811
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2021)110004,番茄,华辰99
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2021)110005,番茄,华冠
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2021)110006,番茄,红星1219
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2021)110007,番茄,奈特15号
