检查单号,抽查时间,检查单位,抽查对象,被检查单位,抽查结果,执法人员,
2020京防质监检字0025,2020年1月2日,北京市人防工程监督站,大兴区瀛海西区C07-2地块经济适用住房项目,北京市大兴城镇建设综合开发集团有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0026,2020年1月2日,北京市人防工程监督站,大兴区瀛海西区C07-2地块经济适用住房项目,北京城建一建设发展有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0027,2020年1月2日,北京市人防工程监督站,大兴区瀛海西区C07-2地块经济适用住房项目,北京中外建工程管理有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0040,2020年1月2日,北京市人防工程监督站,顺义区后沙峪镇SY00-019-6001、6003地块R2二类居住用地、SY00-019-6004地块B1商业用地项目,北京中铁顺兴房地产开发有限公司,未发现违法违规行为,秋岳森 孟蓉,
2020京防质监检字0041,2020年1月2日,北京市人防工程监督站,顺义区后沙峪镇SY00-019-6001、6003地块R2二类居住用地、SY00-019-6004地块B1商业用地项目,中铁北京工程局集团有限公司,未发现违法违规行为,秋岳森 孟蓉,
2020京防质监检字0042,2020年1月2日,北京市人防工程监督站,顺义区后沙峪镇SY00-019-6001、6003地块R2二类居住用地、SY00-019-6004地块B1商业用地项目,北京铁城建设监理有限责任公司,未发现违法违规行为,秋岳森 孟蓉,
2020京防质监检字0010,2020年1月3日,北京市人防工程监督站,丰台区南苑乡成寿寺村集体租赁住房项目,北京金城源投资管理公司,未发现违法违规行为,任朝跃 缪敬智,
2020京防质监检字0011,2020年1月3日,北京市人防工程监督站,丰台区南苑乡成寿寺村集体租赁住房项目,中天建设集团有限公司,未发现违法违规行为,任朝跃 缪敬智,
2020京防质监检字0012,2020年1月3日,北京市人防工程监督站,丰台区南苑乡成寿寺村集体租赁住房项目,北京赛瑞斯国际工程咨询有限公司,未发现违法违规行为,任朝跃 缪敬智,
2020京防质监检字0028,2020年1月3日,北京市人防工程监督站,18-2-3地块C01#商业楼（还建）（房山区长阳镇10-2-3等地块（理工大学7号地）项目,北京金阳置业有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0029,2020年1月3日,北京市人防工程监督站,18-2-3地块C01#商业楼（还建）（房山区长阳镇10-2-3等地块（理工大学7号地）项目,正太集团有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0030,2020年1月3日,北京市人防工程监督站,18-2-3地块C01#商业楼（还建）（房山区长阳镇10-2-3等地块（理工大学7号地）项目,北京希达建设监理有限责任公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0031,2020年1月3日,北京市人防工程监督站,房山区周口店镇02-001等地块R2二类居住用地项目,北京凯华房地产开发有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0032,2020年1月3日,北京市人防工程监督站,房山区周口店镇02-001等地块R2二类居住用地项目,中天建设集团有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0033,2020年1月3日,北京市人防工程监督站,房山区周口店镇02-001等地块R2二类居住用地项目,北京精正兴工程建设监理有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0034,2020年1月3日,北京市人防工程监督站,北京市房山区周口店镇02-001等地块R2二类居住用地项目,北京凯华房地产开发有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0035,2020年1月3日,北京市人防工程监督站,北京市房山区周口店镇02-001等地块R2二类居住用地项目,中建一局集团建设发展有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0036,2020年1月3日,北京市人防工程监督站,北京市房山区周口店镇02-001等地块R2二类居住用地项目,北京精正兴工程建设监理有限公司,未发现违法违规行为,沈小燕 郭健 高兴,
2020京防质监检字0013,2020年1月6日,北京市人防工程监督站,丰台区王佐镇青龙湖地区FT00-503-053等地块R2二类居住、B4综合性商业金融服务业、A61机构养老设施、A33基础教育、S4社会停车场用地项目,北京青龙湖盛通房地产开发有限公司,未发现违法违规行为,任朝跃 缪敬智,
2020京防质监检字0014,2020年1月6日,北京市人防工程监督站,丰台区王佐镇青龙湖地区FT00-503-053等地块R2二类居住、B4综合性商业金融服务业、A61机构养老设施、A33基础教育、S4社会停车场用地项目,中国建筑第二工程局有限公司,未发现违法违规行为,任朝跃 缪敬智,
2020京防质监检字0015,2020年1月6日,北京市人防工程监督站,丰台区王佐镇青龙湖地区FT00-503-053等地块R2二类居住、B4综合性商业金融服务业、A61机构养老设施、A33基础教育、S4社会停车场用地项目,北京赛瑞斯国际工程咨询有限公司,未发现违法违规行为,任朝跃 缪敬智,
2020京防质监检字0016,2020年1月6日,北京市人防工程监督站,海淀区上庄镇C02地块定向安置房项目,北京上城永泰置业有限公司,未发现违法违规行为,程成 孟蓉,
2020京防质监检字0017,2020年1月6日,北京市人防工程监督站,海淀区上庄镇C02地块定向安置房项目,承德长城建设集团有限公司,发现涉嫌违法违规行为，拟进一步调查处理。,程成 孟蓉,
2020京防质监检字0018,2020年1月6日,北京市人防工程监督站,海淀区上庄镇C02地块定向安置房项目,鑫诚建设监理咨询有限公司,未发现违法违规行为,程成 孟蓉,
2020京防质监检字0019,2020年1月6日,北京市人防工程监督站,丰台区南苑乡槐房村和新宫村1404-669、670、665、666、668地块二类居住、基础教育、社会福利、文化设施及公交枢纽用地（配建公共租赁住房项目）,北京侨禧投资有限公司,未发现违法违规行为,程成 孟蓉,
2020京防质监检字0020,2020年1月6日,北京市人防工程监督站,丰台区南苑乡槐房村和新宫村1404-669、670、665、666、668地块二类居住、基础教育、社会福利、文化设施及公交枢纽用地（配建公共租赁住房项目）,中铁建工集团有限公司,未发现违法违规行为,程成 孟蓉,
2020京防质监检字0021,2020年1月6日,北京市人防工程监督站,丰台区南苑乡槐房村和新宫村1404-669、670、665、666、668地块二类居住、基础教育、社会福利、文化设施及公交枢纽用地（配建公共租赁住房项目）,北京建大京精大房工程管理有限公司,未发现违法违规行为,程成 孟蓉,
2020京防质监检字0022,2020年1月6日,北京市人防工程监督站,奥体文化商务园区（奥体南门）地下公共空间项目,北京新奥集团有限公司,未发现违法违规行为,颜征 秋岳森,
2020京防质监检字0023,2020年1月6日,北京市人防工程监督站,奥体文化商务园区（奥体南门）地下公共空间项目,北京住总集团有限责任公司,未发现违法违规行为,颜征 秋岳森,
2020京防质监检字0024,2020年1月6日,北京市人防工程监督站,奥体文化商务园区（奥体南门）地下公共空间项目,北京正远监理咨询有限公司,未发现违法违规行为,颜征 秋岳森,
2020京防质监检字0037,2020年1月8日,北京市人防工程监督站,商业用房项目,北京顺资达物资回收有限责任公司,未发现违法违规行为,任朝跃 孟蓉,
2020京防质监检字0038,2020年1月8日,北京市人防工程监督站,商业用房项目,四川建设工程集团股份有限公司,未发现违法违规行为,任朝跃 孟蓉,
2020京防质监检字0039,2020年1月8日,北京市人防工程监督站,商业用房项目,北京航青工程建设监理有限责任公司,未发现违法违规行为,任朝跃 孟蓉,
2020京防质监检字0043,2020年1月10日,北京市人防工程监督站,望京医院医疗辅助用房改扩建,中国中医科学院望京医院,未发现违法违规行为,颜征 秋岳森,
2020京防质监检字0044,2020年1月10日,北京市人防工程监督站,望京医院医疗辅助用房改扩建,北京矿建建设集团有限公司,未发现违法违规行为,颜征 秋岳森,
2020京防质监检字0045,2020年1月10日,北京市人防工程监督站,望京医院医疗辅助用房改扩建,北京京盛工程建设监理有限公司,未发现违法违规行为,颜征 秋岳森,
2020京防质监检字0055,2020年1月13日,北京市人防工程监督站,顺义区新城仁和镇望泉寺村定向安置房项目,北京宏城房地产开发有限公司,未发现违法违规行为,颜征 秋岳森 江俊海,
2020京防质监检字0056,2020年1月13日,北京市人防工程监督站,顺义区新城仁和镇望泉寺村定向安置房项目,中北华宇建筑工程公司、北京轩宇建筑工程有限公司,未发现违法违规行为,颜征 秋岳森 江俊海,
2020京防质监检字0057,2020年1月13日,北京市人防工程监督站,顺义区新城仁和镇望泉寺村定向安置房项目,北京市顺金盛建设工程监理有限责任公司,未发现违法违规行为,颜征 秋岳森 江俊海,
2020京防质监检字0046,2020年1月14日,北京市人防工程监督站,昌平区嘉泽生态住宅小区2号地二期项目,北京香江盛富房地产开发有限公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0047,2020年1月14日,北京市人防工程监督站,昌平区嘉泽生态住宅小区2号地二期项目,江苏省建工集团有限公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0048,2020年1月14日,北京市人防工程监督站,昌平区嘉泽生态住宅小区2号地二期项目,北京蔷薇工程监理有限责任公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0049,2020年1月15日,北京市人防工程监督站,北京市丰台区城乡一体化卢沟桥乡西局村旧村改造项目,北京中维房地产开发有限公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0050,2020年1月15日,北京市人防工程监督站,北京市丰台区城乡一体化卢沟桥乡西局村旧村改造项目,中建一局集团第三建筑有限公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0051,2020年1月15日,北京市人防工程监督站,北京市丰台区城乡一体化卢沟桥乡西局村旧村改造项目,北京国金管理咨询有限公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0052,2020年1月15日,北京市人防工程监督站,首钢滑雪大跳台中心,北京首奥置业有限公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0053,2020年1月15日,北京市人防工程监督站,首钢滑雪大跳台中心,北京首钢建设集团有限公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0054,2020年1月15日,北京市人防工程监督站,首钢滑雪大跳台中心,北京中建协工程咨询有限公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0058,2020年1月15日,北京市人防工程监督站,朝阳区北土城路住宅楼2号,北京远洋一品房地产开发有限公司,未发现违法违规行为,颜征 江俊海,
2020京防质监检字0059,2020年1月15日,北京市人防工程监督站,朝阳区北土城路住宅楼2号,北京城建远东建设投资集团有限公司,未发现违法违规行为,颜征 江俊海,
2020京防质监检字0060,2020年1月15日,北京市人防工程监督站,朝阳区北土城路住宅楼2号,北京日日豪工程建设监理有限公司,未发现违法违规行为,颜征 江俊海,
2020京防质监检字0061,2020年1月19日,北京市人防工程监督站,西单文化广场升级改造项目,华润置地（北京）股份有限公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0062,2020年1月19日,北京市人防工程监督站,西单文化广场升级改造项目,中国建筑第二工程局有限,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0063,2020年1月19日,北京市人防工程监督站,西单文化广场升级改造项目,北京方圆工程监理有限公司,未发现违法违规行为,任朝跃 程成,
2020京防质监检字0064,2020年3月23日,北京市人防工程监督站,北京国际雕塑公园改造及配套管理用房、北京雕塑园地下文化娱乐中心项目,北京市石景山区园林绿化局、北京物美置地房地产开发有限公司,未发现违法违规行为,程成 缪敬智,
2020京防质监检字0065,2020年3月23日,北京市人防工程监督站,北京国际雕塑公园改造及配套管理用房、北京雕塑园地下文化娱乐中心项目,北京城建十建设工程有限公司,未发现违法违规行为,程成 缪敬智,
2020京防质监检字0066,2020年3月23日,北京市人防工程监督站,北京国际雕塑公园改造及配套管理用房、北京雕塑园地下文化娱乐中心项目,北京兴电国际工程管理有限公司,未发现违法违规行为,程成 缪敬智,
2020京防质监检字0067,2020年4月3日,北京市人防工程监督站,东郊木材厂住宅小区1＃楼A段，地下二、三层,北京金隅嘉业房地产开发有限责任公司   ,未发现违法违规行为,颜征  秋岳森,
2020京防质监检字0068,2020年4月3日,北京市人防工程监督站,东郊木材厂住宅小区1＃楼A段，地下二、三层,北京韩建集团,未发现违法违规行为,颜征  秋岳森,
2020京防质监检字0069,2020年4月3日,北京市人防工程监督站,东郊木材厂住宅小区1＃楼A段，地下二、三层,北京建拓工程监理有限责任公司,未发现违法违规行为,颜征  秋岳森,
2020京防质监检字0070,2020年4月8日,北京市人防工程监督站,实创医谷产业园（1#科研楼等24项）,北京实创科技园开发建设股份有限公司   ,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0071,2020年4月8日,北京市人防工程监督站,实创医谷产业园（1#科研楼等24项）,中国建筑一局（集团）有限公司,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0072,2020年4月8日,北京市人防工程监督站,实创医谷产业园（1#科研楼等24项）,北京华厦工程项目管理有限责任公司,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0073,2020年4月9日,北京市人防工程监督站,丰台区南苑乡石榴庄村0517-659等地块住宅混合公建、基础教育及医疗卫生用地,北京鎏庄房地产开发有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0074,2020年4月9日,北京市人防工程监督站,丰台区南苑乡石榴庄村0517-659等地块住宅混合公建、基础及医疗卫生用地（配建“公共租赁住房”）项目,中国建筑一局（集团）有限公司   ,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0075,2020年4月9日,北京市人防工程监督站,丰台区南苑乡石榴庄村0517-659等地块住宅混合公建、基础及医疗卫生用地,建研凯勃建设工程咨询有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0076,2020年4月9日,北京市人防工程监督站,丰台区南苑乡石榴庄村0517-659等地块住宅混合公建、基础及医疗卫生用地（配建“公共租赁住房”）项目,北京鎏庄房地产开发有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0077,2020年4月9日,北京市人防工程监督站,丰台区南苑乡石榴庄村0517-659等地块住宅混合公建、基础及医疗卫生用地,中国建筑一局（集团）有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0078,2020年4月9日,北京市人防工程监督站,丰台区南苑乡石榴庄村0517-659等地块住宅混合公建、基础及医疗卫生用地（配建“公共租赁住房”）项目,建研凯勃建设工程咨询有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0081,2020年4月9日,北京市人防工程监督站,住宅（商品房）等4项,北京康迪建设监理咨询有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0082,2020年4月10日,北京市人防工程监督站,绿城霄云路项目,北京绿城银石置业有限公司,未发现违法违规行为,颜征  江俊海,
2020京防质监检字0083,2020年4月10日,北京市人防工程监督站,绿城霄云路项目,中国新兴建筑工程有限责任公司,未发现违法违规行为,颜征  江俊海,
2020京防质监检字0084,2020年4月10日,北京市人防工程监督站,绿城霄云路项目,北京赛瑞斯国际工程咨询有限公司   ,未发现违法违规行为,颜征  江俊海,
2020京防质监检字0085,2020年4月10日,北京市人防工程监督站,昌平区南邵镇（昌平区新城东区六期（东））0302-57地块F1住宅混合公建用地（配建“公共租赁住宅”）项目      ,北京招商局铭嘉房地产开发有限公司   ,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0086,2020年4月10日,北京市人防工程监督站,昌平区南邵镇（昌平区新城东区六期（东））0302-57地块F1住宅混合公建用地（配建“公共租赁住宅”）项目  ,中建三局集团有限公司,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0087,2020年4月10日,北京市人防工程监督站,昌平区南邵镇（昌平区新城东区六期（东））0302-57地块F1住宅混合公建用地（配建“公共租赁住宅”）项目  ,北京建工京精大房工程建设监理公司   ,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0088,2020年4月13日,北京市人防工程监督站,海淀北部地区整体开发永丰产业基地（新）HD00-401-093、0097、0099、0108地块二类居住及零售商业用地项目（C1#零售商业楼等7项）,北京恒合悦兴置业有限公司   ,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0089,2020年4月13日,北京市人防工程监督站,海淀北部地区整体开发永丰产业基地（新）HD00-401-093、0097、0099、0108地块二类居住及零售商业用地项目（C1#零售商业楼等7项）,中建三局集团有限公司,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0090,2020年4月13日,北京市人防工程监督站,海淀北部地区整体开发永丰产业基地（新）HD00-401-093、0097、0099、0108地块二类居住及零售商业用地项目（C1#零售商业楼等7项）,建研凯勃建设工程咨询有限公司,未发现违法违规行为,任朝跃 缪敬智,
2020京防质监检字0120  ,2020年4月13日,北京市人防工程监督站  ,通州区永顺西街住宅小区项目  ,北京黄海房地产开发有限公司  北京大龙建设集团有限公司  北京金海城工程建设监理公司  北京奥森通风空调有限公司,未发现违法违规行为,沈小燕  缪敬智  ,
2020京防质监检字0091,2020年4月15日,北京市人防工程监督站,音乐厅、排练设施用房、技术及业务用房、 后勤服务用房（中国爱乐乐团音乐厅及排练 配套设施项目）,中国爱乐乐团,未发现违法违规行为,颜征  秋岳森,
2020京防质监检字0092,2020年4月15日,北京市人防工程监督站,音乐厅、排练设施用房、技术及业务用房、 后勤服务用房（中国爱乐乐团音乐厅及排练 配套设施项目）,中建二局第一建筑工程有限公司,未发现违法违规行为,颜征  秋岳森,
2020京防质监检字0093,2020年4月15日,北京市人防工程监督站,音乐厅、排练设施用房、技术及业务用房、 后勤服务用房（中国爱乐乐团音乐厅及排练 配套设施项目）,北京帕克国际工程咨询股份有限公司,未发现违法违规行为,颜征  秋岳森,
2020京防质监检字0094    ,2020年4月15日,北京市人防工程监督站  ,昌平区小汤山镇（未来科技城北区）CP05-801-018、0020、0021地块F2公建混合住宅用地、F3其他类多功能用地（配建“人才公共租赁住房”）项目  ,北京未来科技城润昌置业有限公司  北京兴电国际工程管理有限公司、北京诺士诚国际工程管理有限公司  中国新兴建筑工程有限责任公司、中国建筑第八工程局有限公司  铠宏人防设备（北京）有限公司,未发现违法违规行为,程成  孟蓉  ,
2020京防质监检字0098,2020年4月15日,北京市人防工程监督站  ,大兴区西红门商业综合区四期项目（4R商业等2项）-2#地下车库,北京兴创置地房地产开发有限公司;北京建大京精大房工程管理有限公司;中建三局集团有限公司;北京奥森通风空调有限公司,未发现违法违规行为,缪敬智  沈小燕  ,
2020京防质监检字0095,2020年4月16日,北京市人防工程监督站,创新药物生产基地建设项目（生产厂房及附属用房）,北京泰润创新科技孵化器有限公司;北京共筑天成工程建设监理有限公司;北京市昌平一建建筑有限责任公司;北京安德信人防设备有限公司,未发现违法违规行为,缪敬智  程成,
2020京防质监检字0096  ,2020年4月16日,北京市人防工程监督站,石景山区北辛安棚户区改造B区土地开发项目回迁安置房1608-680地块（1#楼等15项）,北京安泰兴业置业有限公司;北京东方华太建设监理有限公司;中建国际建设有限公司;北京安德信人防设备有限公司,未发现违法违规行为,缪敬智  程成,
2020京防质监检字0097  ,2020年4月16日,北京市人防工程监督站  ,石景山区北辛安棚户区改造A区项目1608-690地块2#-9#楼、S-7#楼及地下车库项目地下车库及配套设施,北京安泰兴业置业有限公司;北京建拓工程管理有限公司;中建国际建设有限公司;北京都宇设备安装工程有限公司,未发现违法违规行为,缪敬智  程成,
2020京防质监检字0099,2020年4月17日,北京市人防工程监督站,1#楼等3项（中国农业科技国际交流中心）,中国农业科学院-北京建昊宏基房地产开发有限公司-（中国农业科学院）;中铁建设集团有限公司;中外建工程设计与顾问有限公司;北京华龙兴昌人防工程防护设备有限公司,未发现违法违规行为,孟蓉  程成,
2020京防质监检字0101,2020年4月17日,北京市人防工程监督站,朝阳区东坝南区1105-659、029地块二类居住、商业金融用地项目,北京兴园置业发展有限公司;中建一局集团第二建筑有限公司  ;北京中景恒基工程管理有限公司;北京市金索恒盾防护设备有限公司,未发现违法违规行为,颜征  江俊海,
2020京防质检字0100,2020年4月17日,北京市人防工程监督站,房山区良乡镇01-2-3等地块其他类多功能、二类居住、体育、基础教育及商业用地项目01-5-2地块地库,北京金良兴业房地产开发有限公司;北京赛瑞斯国际工程咨询有限公司;北京韩建集团有限公司;北京铠鉞防护科技有限公司,未发现违法违规行为,沈小燕江俊海,
2020京防质监检字0102,2020年4月20日,北京市人防工程监督站,顺义新城第21街区21-18-01a、21-18-01c地块R2二类居住用地、C9其他公共设施用地项目养老院用房中1号防护单元,北京顺义新城建设开发有限公司;中建三局集团有限公司;北京帕克国际工程咨询股份有限公司;北京奥森通风空调有限公司,未发现违法违规行为,颜征  秋岳森,
2020京防质监检字0103,2020年4月20日,北京市人防工程监督站,顺义新城第21街区21-18-01a、21-18-01c地块R2二类居住用地、C9其他公共设施用地项目养老院用房中2、3、4号防护单元,北京顺义新城建设开发有限公司;中建三局集团有限公司;北京帕克国际工程咨询股份有限公司;北京奥森通风空调有限公司,未发现违法违规行为,颜征  秋岳森,
2020京防质监检字0104,2020年4月20日,北京市人防工程监督站,通州区首寰度假酒店（TZ00-1003-003地块）F3其他类多功能用地项目（地下车库、商业及附属用房（一期））,北京首寰文化旅游投资有限公司;北京住总第一开发建设有限公司  ;北京中城建建设监理有限公司;北京宝源润达人防设备有限公司,未发现违法违规行为,郭健  沈小燕  ,
2020京防质监检字0105,2020年4月22日,北京市人防工程监督站,海淀区大西山风景旅游区西埠头旅游配套设施建设项目122号旅游设施配套附属用房及人防地上出口,北京旷怡园房地产有限公司;中国新兴建设开发总公司;北京华清科技工程管理有限公司;北京国建标工程设备科技有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0106,2020年4月22日,北京市人防工程监督站,石景山区北辛安棚户区改造 B 区土地开发项目回迁安置房 1608-688 地块（1#楼等 15 项）,北京安泰兴业置业有限公司;中建国际建设有限公司;北京鼎盾人防设备有限公司;建研凯勃建设工程咨询有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0107,2020年4月22日,北京市人防工程监督站,石景山区北辛安棚户区改造 B 区土地开发项目回迁安置房 1608-689 地块（1#楼等 4 项）,建研凯勃建设工程咨询有限公司;北京鼎盾人防设备有限公司;中建国际建设有限公司;北京安泰兴业置业有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0108,2020年4月22日,北京市人防工程监督站,石景山区北辛安棚户区改造A区1608-675地块,北京安泰兴业置业有限公司;中建国际建设有限公司;北京中城建建设监理有限公司;北京朝立新人防工程防护设备有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0109,2020年4月22日,北京市人防工程监督站,北京城市副中心职工周转房（北区）项目（1-1#楼（周转房）等32项）D1地块,北京市保障性住房建设投资中心;北京城建集团有限责任公司;北京光华建设监理有限公司;北京市金索恒盾防护设备有限公司,未发现违法违规行为,沈小燕  张福君  缪敬智,
2020京防质监检字0110,2020年4月23日,北京市人防工程监督站,1#建筑等6项,北京新润致远房地产开发有限公司;中铁建设集团有限公司;北京磐石建设监理有限责任公司;北京信成筑业防护设备科技有限公司,未发现违法违规行为,沈小燕  张福君  缪敬智,
2020京防质监检字0111,2020年4月24日,北京市人防工程监督站,望京K7区711#楼,城市开发集团有限责任公司望京新城分公司;北京京能建设集团有限公司;北京鸿龙兴工程建设监理有限责任公司;北京宝源润达人防设备有限公司,未发现违法违规行为,颜征  秋岳森,
2020京防质监检字0112,2020年4月24日,北京市人防工程监督站,昌平新城回迁小区定向安置房项目B区15#住宅楼、公共服务设施、2#地下车库,北京蓝华宇房地产开发有限公司;南通建工集团股份有限公司;北京中城建建设监理有限公司;北京南兴益源人防设备厂,未发现违法违规行为,程成  孟蓉  张福君,
2020京防质监检字0113,2020年4月24日,北京市人防工程监督站,大兴区第一中学西校区新建工程项目,北京市大兴区第一中学;北京市第五建筑工程集团有限公司;北京中协成工程管理有限公司;北京力擎人防设备有限公司,未发现违法违规行为,沈小燕  郭健  张福君,
2020京防质监检字0114,2020年4月26日,北京市人防工程监督站,怀柔区杨宋镇文化娱乐、商业金融及居住用地（配建租赁房）项目,北京住总第一开发建设有限公司,未发现违法违规行为,颜征  江俊海,
2020京防质监检字0115,2020年4月26日,北京市人防工程监督站,北京教育学院丰台附属实验学校（高中部）建设工程项目（1#教学综合楼等10项）,北京市丰台区教育委员会;北京城建八建设发展有限责任公司;北京中景恒基工程管理有限公司;北京铠钺防护科技有限公司,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0116,2020年4月26日,北京市人防工程监督站,1#自住型商品房等8项（丰台区城乡一体化槐房村新宫村旧村改造二期NY-16等地块B4综合性商业金融服务业用地、F3其他类多功能用地、R2二类居住用地项目）,北京南悦房地产开发有限公司;中国建筑第五工程局有限公司;北京帕克国际工程咨询股份有限公司;北京铠钺防护科技有限公司,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0117,2020年4月26日,北京市人防工程监督站,通州区YZ00-405-094等地块R2二类居住用地、YZ00-405-097地块A33基础教育用地项目（1#商品住宅楼等16项）-地下车库,北京万平立通房地产开发有限公司;中建三局集团有限公司;北京中城建建设监理有限公司;北京鼎盾人防设备有限公司,未发现违法违规行为,沈小燕  郭健  张福君,
2020京防质监检字0118,2020年4月26日,北京市人防工程监督站,北京城市副中心职工周转房（北区）项目（2-1#楼（周转房）等34项）2地块,北京市保障性住房建设投资中心;北京六建集团有限责任公司;北京光华建设监理有限公司;北京国建标工程设备科技有限公司,未发现违法违规行为,沈小燕  郭健  张福君,
2020京防质监检字0119,2020年4月26日,北京市人防工程监督站,北京城市副中心职工周转房（北区）项目（1-1#楼（周转房）等32项）D1地块,北京市保障性住房建设投资中心;北京城建集团有限责任公司;北京光华建设监理有限公司;北京市金锁恒盾防护设备有限公司,未发现违法违规行为,沈小燕  郭健  ,
2020京防质监检字0121,2020年4月27日,北京市人防工程监督站,昌平区蓬莱温泉科艺苑住宅项目（D-1#安置房住宅楼等7项）,北京大成昌润置业有限公司;北京城建北方集团有限公司;北京中集协工程管理有限公司;北京中防恒立人防设备有限公司,未发现违法违规行为,程成  孟蓉  ,
2020京防质监检字0122,2020年4月28日,北京市人防工程监督站,北京城市副中心职工周转房（北区）项目（2-1#楼（周转房）等34项）2地块,北京市保障性住房建设投资中心;北京六建集团有限责任公司;北京光华建设监理有限公司;北京国建标工程设备科技有限公司,未发现违法违规行为,沈小燕  郭健,
2020京防质监检字0123,2020年4月29日,北京市人防工程监督站,顺义区后沙峪镇SY00=0019-6001、6003地块R2二类居住用地、SY00-019-6004地块B1商业用地项目（03-1#共有产权住宅楼等14项),北京中铁顺兴房地产开发有限公司;中铁北京工程局集团有限公司;河北中基华工程项目管理有限公司;北京中防恒立人防设备有限公司,未发现违法违规行为,颜征  秋岳森,
2020京防质监检字0124,2020年4月29日,北京市人防工程监督站,丰台区花乡樊家村劳动力安置用地项目,北京华隆鼎业投资管理公司;北京建工四建工程建设有限公司  ;北京兴电国际工程管理有限公司;北京信成筑业防护设备科技有限公司,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0125,2020年4月29日,北京市人防工程监督站,北京市丰台区夏家胡同R2二类居住用地（配建“公共租赁住房”）项目,北京懋源鸿业房地产开发有限公司;中外建华诚城市建设有限公司;北京方恒基业工程咨询有限公司;北京朝立新人防工程防护设备有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0127,2020年4月30日,北京市人防工程监督站,郭公庄公交场站及立体停车楼工程,北京公共交通控股（集团）有限公司;北京大正恒立建设工程有限责任公司;北京东方华太建设监理有限公司;北京鼎盾人防设备有限公司,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0128,2020年4月30日,北京市人防工程监督站,石景山区北辛安棚户区改造 A、B 区项目回迁安置房 1608-681 地块（1#楼等 6 项）、1608-684 地块（4#楼等 4 项）及1608-681、684 地块地下车库及设备配套,北京安泰兴业置业有限公司;中建国际建设有限公司  ;北京东方华太建设监理有限公司;北京安德信人防设备有限公司,未发现违法违规行为,程成  缪敬智,
2020京防质监检字0130,2020年4月30日,北京市人防工程监督站,延庆区延庆新城03街区会展中心东侧一期YQ00-003-002等地块二类居住、供电、环卫设施及基础教育用地项目（A-1#住宅楼等21项）,中交富力（北京）置业有限公司;中建科技有限公司;北京方正建设工程管理有限公司;北京中防恒立人防设备有限公司,未发现违法违规行为,程成  孟蓉,
2020京防质监检字0129,2020年5月7日,北京市人防工程监督站,雅宝路危改二期A区A2楼A2商业办公楼地下工程,北京兆泰集团股份有限公司;中国建筑第八工程局有限公司;北京双圆工程咨询监理有限公司;北京中防恒立人防设备有限公司,未发现违法违规行为,江俊海秋岳森,
