证书编号,项目名称,建设单位,建设位置,核发日期
2019规自（通）建字0124号,通州新城0704街区TZ00-0704-0107地块1#商务办公楼项目（1#商务办公楼）,北京隆鹤置业有限公司,通州区梨园镇,2019-12-20
2019规（开）建字0067号,国融国际2-4层外立面改造（裙房栋）,国融国际业主委员会及高琴等232户业主等,亦庄开发区荣华中路7号,2019-12-20
2019规自（密）建字0024号,中铁十六局集团有限公司路桥公司密云新北路29号院棚户区改造项目（中铁十六局集团有限公司路桥公司密云新北路29号院棚户区改造项目MY00-0202-6006地块1#住宅楼等18项）,中铁十六局集团有限公司,密云区新北路29号,2019-12-20
2019规自（海）建字0077号,北京市海淀区地铁16号线北安河车辆段综合利用项目HD00-0700-0001、0002、0003、0004地块A334托幼用地、F3其他类多功能用地、R2二类居住用地项目（A-1#住宅楼等18项）,北京京投兴海房地产有限公司,海淀区苏家坨镇,2019-12-20
2019规自（昌）建字0056号,北京响水泉工艺品厂苏绣生产研发（1#厂房等3项）,北京响水泉工艺品厂,昌平区南口镇,2019-12-20
2019规自（海）建字0078号,北京市海淀区地铁16号线北安河车辆段综合利用项目HD00-0700-0001、0002、0003、0004地块A334托幼用地、F3其他类多功能用地、R2二类居住用地项目（现状结构转换层）,北京京投兴海房地产有限公司,海淀区苏家坨镇,2019-12-20
2019规自（通）建字0128号,通州区台湖镇YZ00-0405-0094等地块R2二类居住用地、YZ00-0405-0097地块A33基础教育用地项目（0103地下车库）,北京万平立通房地产开发有限公司,通州区台湖镇,2019-12-20
2019规自（海）建字0079号,北京市第四社会福利院污水处理池改扩建工程项目（污水处理池）,北京市第四社会福利院,海淀区清河三街52号,2019-12-20
2019规自（密）建字0025号,密云区溪翁庄MY02-0201-6001地块（原圆明三园C地块）R2二类居住用地项目（6#住宅楼等25项）,北京臻德兴云置业有限公司,密云区溪翁庄镇MY02-0201-6001地块,2019-12-20
2019规自（大）建字0054号,北京博得交通设备有限公司改扩建项目（1#生产基地车间）,北京博得交通设备有限公司,大兴区北京市大兴工业开发区广阳大街6号,2019-12-20
2019规自（通）建字0125号,通州区台湖镇YZ00-0405-0094等地块R2二类居住用地、YZ00-0405-0097地块A33基础教育用地项目（0101地下车库）,北京万平立通房地产开发有限公司,通州区台湖镇,2019-12-20
2019规自（通）建字0126号,通州区台湖镇YZ00-0405-0094等地块R2二类居住用地、YZ00-0405-0097地块A33基础教育用地项目（0103-1#商品住宅楼等6项）,北京万平立通房地产开发有限公司,通州区台湖镇,2019-12-20
2019规自（通）建字0127号,通州区台湖镇YZ00-0405-0094等地块R2二类居住用地、YZ00-0405-0097地块A33基础教育用地项目（0101-1#商品住宅楼等8项）,北京万平立通房地产开发有限公司,通州区台湖镇,2019-12-20
2019规（开）建字0066号,北京经济技术开发区河西区X92R1地块R2二类居住用地项目（1#住宅楼等9项）,北京雅晟房地产开发有限公司,亦庄开发区河西区X92R1地块,2019-12-19
2019规自（海）建字0077号,北京市海淀区地铁16号线北安河车辆段综合利用项目HD00-0700-0001、0002、0003、0004地块A334托幼用地、F3其他类多功能用地、R2二类居住用地项目（A-1#住宅楼等18项）,北京京投兴海房地产有限公司,海淀区苏家坨镇,2019-12-19
2019规自（海）建字0078号,北京市海淀区地铁16号线北安河车辆段综合利用项目HD00-0700-0001、0002、0003、0004地块A334托幼用地、F3其他类多功能用地、R2二类居住用地项目（现状结构转换层）,北京京投兴海房地产有限公司,海淀区苏家坨镇,2019-12-19
2019规自（通）建字0124号,通州新城0704街区TZ00-0704-0107地块1#商务办公楼项目（1#商务办公楼）,北京隆鹤置业有限公司,通州区梨园镇,2019-12-19
2019规自（昌）建字0056号,北京响水泉工艺品厂苏绣生产研发（1#厂房等3项）,北京响水泉工艺品厂,昌平区南口镇,2019-12-19
2019规（开）建字0067号,国融国际2-4层外立面改造（裙房栋）,国融国际业主委员会,亦庄开发区荣华中路7号,2019-12-19
2019规自（密）建字0024号,中铁十六局集团有限公司路桥公司密云新北路29号院棚户区改造项目（中铁十六局集团有限公司路桥公司密云新北路29号院棚户区改造项目MY00-0202-6006地块1#住宅楼等18项）,中铁十六局集团有限公司,密云区新北路29号,2019-12-19
2019规自建字0053号,北京大兴国际机场口岸非现场设施（口岸疾控中心）（疾控中心-办公楼等4项）,北京市人民政府口岸办公室,大兴区北京新机场工作区内，航站楼东北侧,2019-12-18
2019规自建字0054号,北京大兴国际机场口岸非现场设施（海关国检综合办公楼）（A01综合行政办公楼等16项）,北京市人民政府口岸办公室,大兴区北京新机场工作区内，航站楼东北侧,2019-12-18
2018规土（海）建字0059号,海淀北部地区整体开发永丰产业基地（新）HD00-0401-0093、0097、0099、0108地块二类居住及零售商业用地项目（D1#零售商业楼等7项）,北京恒合悦兴置业有限公司,海淀区西北旺镇永丰产业基地G地块,2019-12-18
2019规自（延）建字0033号,北京市延庆区延庆新城YQ00-0300-0067、0069地块（世园会二期）项目（36#商品房住宅等16项）,北京碧晟凤盈房地产开发有限公司,延庆区延庆区延庆镇百康路与阜康路交叉口至百康路与规划二路交叉口,2019-12-18
2019规（开）建字0066号,北京经济技术开发区河西区X92R1地块R2二类居住用地项目（1#住宅楼等9项）,北京雅晟房地产开发有限公司,亦庄开发区河西区X92R1地块,2019-12-18
2019规自（门）乡临建字0001号,0032-1#集体租赁住房等21项,北京市门头沟区永定镇西辛称村经济合作社、北京市门头沟区永定镇栗元庄村经济合作社,门头沟区永定镇镇西辛称、栗元庄村,2019-12-18
2019规自（大）建字0053号,中国食品药品检定研究院加层建设项目（教学楼（加层）等4项）,中国食品药品检定研究院,大兴区华佗路,2019-12-17
2019规（开）建字0065号,北京经济技术开发区河西区X92R1地块R2二类居住用地项目（5#住宅楼等5项）,北京雅晟房地产开发有限公司,亦庄开发区河西区X92R1地块,2019-12-17
2019规自（大）建字0050号,岩土木工程技术、设备研制基地项目（1#厂房等7项）,北京全泰科技发展有限公司,大兴区庞各庄镇,2019-12-17
2019规自（大）建字0052号,大兴区庞各庄镇PGZ01-05地块商业办公项目（三期）（A3#办公楼等9项）,北京兴展宏业投资有限公司,大兴区,2019-12-17
2019规自（大）建字0051号,大兴区庞各庄镇PGZ01-05地块商业办公项目（二期）（A1#办公楼等7项）,北京兴展宏业投资有限公司,大兴区,2019-12-17
2019规自（西）建字0074号,光源里棚户区改造项目13#、14#、15#、16#住宅楼及地下车库（13#住宅楼等6项）,北京天恒正合置业有限公司,西城区樱桃园十字路口东南侧路,2019-12-17
2019规自（延）建字0033号,北京市延庆区延庆新城YQ00-0300-0067、0069地块（世园会二期）项目（36#商品房住宅等16项）,北京碧晟凤盈房地产开发有限公司,延庆区延庆区延庆镇百康路与阜康路交叉口至百康路与规划二路交叉口,2019-12-17
2019规自建字0068号,北京新机场东航基地项目（北区机库及附楼等11项）,中国东方航空股份有限公司,大兴区北京新机场W-01-04地块,2019-12-13
2019规自（怀）建字0030号,怀柔新城04街区棚户区改造项目四区（安置房集中建设区）项目规划HR00-0004-6021地块（21-1#住宅楼等21项）,北京北控京闽投资有限公司,怀柔区怀柔镇张各长、唐自口、杨宋镇张自口村,2019-12-13
2019规自（怀）建字0031号,怀柔新城04街区棚户区改造项目四区（安置房集中建设区）项目规划HR00-0004-6016地块（16-1#住宅楼等27项）,北京北控京闽投资有限公司,怀柔区张各长村,2019-12-13
2019规自（怀）建字0032号,怀柔新城04街区棚户区改造项目四区（安置房集中建设区）项目规划HR00-0004-6005地块（05-1#住宅楼等10项）,北京北控京闽投资有限公司,怀柔区怀柔镇王化村,2019-12-13
2019规自（西）建字0074号,光源里棚户区改造项目13#、14#、15#、16#住宅楼及地下车库（13#住宅楼等6项）,北京天恒正合置业有限公司,西城区樱桃园十字路口东南侧路,2019-12-13
2019规自（丰）建字0036号,北京市丰台区花乡白盆窑村BPY-L011地块R2二类居住用地（S-2#公共服务设施）,北京中铁诺德盛兴置业有限公司,丰台区花乡白盆窑村,2019-12-12
2019规自（房）建字0043号,北京燕化医院星城院区改扩建项目（新建门诊楼等3项）,北京燕化医院,房山区阎村燕化星城健德二里42号,2019-12-12
2019规自（怀）乡建字0001号,A-01#住宅等14项,北京雁栖国际建设发展有限公司,怀柔区雁栖镇陈各庄村,2019-12-12
2019规自（东）建字0043号,翻建10号房屋,穆跃弟,东城区谢家胡同甲38号,2019-12-12
2019规自（海）建字0076号,海淀区永丰产业基地（新）C4、C5公租房项目（B1#住宅楼等18项）,北京实创高科技发展有限责任公司,海淀区西北旺镇,2019-12-12
2019规自（怀）建字0031号,怀柔新城04街区棚户区改造项目四区（安置房集中建设区）项目规划HR00-0004-6016地块（16-1#住宅楼等27项）,北京北控京闽投资有限公司,怀柔区张各长村,2019-12-12
2019规自（怀）建字0030号,怀柔新城04街区棚户区改造项目四区（安置房集中建设区）项目规划HR00-0004-6021地块（21-1#住宅楼等21项）,北京北控京闽投资有限公司,怀柔区怀柔镇张各长、唐自口、杨宋镇张自口村,2019-12-12
2019规自（怀）建字0032号,怀柔新城04街区棚户区改造项目四区（安置房集中建设区）项目规划HR00-0004-6005地块（05-1#住宅楼等10项）,北京北控京闽投资有限公司,怀柔区怀柔镇王化村,2019-12-12
2019规自（密）建字0019号,密云区水源路北侧住宅项目（1#住宅楼等16项）,北京绿州博园投资有限公司,密云区密云新城中部、水源路北侧,2019-12-11
2019规自（大）建字0049号,新建二期生产研发基地（研发厂房等7项）,聚协昌（北京）药业有限公司,大兴区采育镇,2019-12-11
2019规自（西）建字0073号,翻建住房（瓦4）,冯敬民,西城区育德胡同16号,2019-12-11
2019规自（密）建字0023号,密云区密云新城0102街区MY00-0102-6014地块R2二类居住用地项目（1#住宅楼等4项）,北京檀营鑫房地产开发有限公司,密云区檀营乡檀西路西侧,2019-12-11
2019规自（房）建字0043号,北京燕化医院星城院区改扩建项目（新建门诊楼等3项）,北京燕化医院,房山区阎村燕化星城健德二里42号,2019-12-11
2019规自（丰）建字0036号,北京市丰台区花乡白盆窑村BPY-L011地块R2二类居住用地（S-2#公共服务设施）,北京中铁诺德盛兴置业有限公司,丰台区花乡白盆窑村,2019-12-11
2019规自（东）建字0043号,翻建10号房屋,穆跃弟,东城区谢家胡同甲38号,2019-12-11
2019规自（海）建字0076号,海淀区永丰产业基地（新）C4、C5公租房项目（B1#住宅楼等18项）,北京实创高科技发展有限责任公司,海淀区西北旺镇,2019-12-11
2019规自（怀）乡建字0001号,A-01#住宅等14项,北京雁栖国际建设发展有限公司,怀柔区雁栖镇陈各庄村,2019-12-11
2019规自（昌）建字0055号,中国电子信息安全技术研究院项目（E栋科研楼等5项）,中国信息安全研究院有限公司,昌平区北七家镇,2019-12-10
2019规自（海）建字0075号,两园之间村庄棚改安置房一期项目（02-1#住宅楼等8项）,北京万方安和投资有限责任公司,海淀区西北旺镇唐家岭地区,2019-12-10
2019规自（西）建字0073号,翻建住房（瓦4）,冯敬民,西城区育德胡同16号,2019-12-10
2019规自（大）建字0049号,新建二期生产研发基地（研发厂房等7项）,聚协昌（北京）药业有限公司,大兴区采育镇,2019-12-10
2019规自（密）建字0023号,密云区密云新城0102街区MY00-0102-6014地块R2二类居住用地项目（1#住宅楼等4项）,北京檀营鑫房地产开发有限公司,密云区檀营乡檀西路西侧,2019-12-10
2019规自（怀）建字0022号,怀柔新城04街区土地一级开发安置房项目规划HR00-0004-6009地块（09-1#住宅楼等10项）,北京北控京闽投资有限公司,怀柔区怀柔镇张各长村,2019-12-09
2019规自（怀）建字0023号,怀柔新城04街区土地一级开发安置房项目规划HR00-0004-6014地块（14-1#住宅楼等24项）,北京北控京闽投资有限公司,怀柔区怀柔镇张各长村,2019-12-09
2019规自（房）建字0042号,无线局中星9A卫星覆盖南海上行系统建设项目（功放室）,国家广播电视总局五四二台,房山区长阳镇,2019-12-09
2019规自（怀）建字0029号,怀柔新城04街区土地一级开发安置房项目规划HR00-0004-6010地块（10-1#社区综合服务设施等2项）,北京北控京闽投资有限公司,怀柔区怀柔镇张各长村,2019-12-09
2019规自（怀）建字0027号,怀柔新城04街区土地一级开发安置房项目规划HR00-0004-6012地块（12-1#托老所）,北京北控京闽投资有限公司,怀柔区怀柔镇张各长村,2019-12-09
2019规自（怀）建字0028号,怀柔新城04街区土地一级开发安置房项目规划HR00-0004-6011地块（11-1#幼儿园）,北京北控京闽投资有限公司,怀柔区张各长村,2019-12-09
2019规自（大）建字0048号,大兴区榆垡镇第一幼儿园建设项目（教学楼等2项）,北京市大兴区榆垡镇人民政府,大兴区榆垡镇,2019-12-09
2019规自（怀）建字0025号,怀柔新城03街区HR00-0003-6004等地块A33基础教育用地、R2二类居住用地、F1住宅混合公建用地、F3其他类多功能用地项目（8-1#楼幼儿园等2项）,北京城建兴胜置业有限公司,怀柔区府前东街北侧,2019-12-06
2019规自（海）建字0074号,新馨苑居住区666地块住宅及配套工程（31#住宅楼等18项）,中央国家机关公务员住宅建设服务中心,海淀区建材城西路,2019-12-06
2019规自（怀）建字0026号,北京市怀柔区雁栖镇陈各庄村HR00-0010-6037地块R2二类居住用地、HR00-0010-6043地块A33基础教育用地项目（1#住宅楼等14项）,北京怀柔科学城置业有限公司,怀柔区雁栖镇陈各庄村,2019-12-06
2019规自（丰）建字0035号,丰台区南苑植物油厂保障性住房项目（2#住宅楼）,北京京粮置业有限公司,丰台区槐房路175号,2019-12-06
2019规自（海）建字0073号,新馨苑居住区657地块住宅及配套工程（20#住宅楼等18项）,中央国家机关公务员住宅建设服务中心,海淀区建材城西路16号,2019-12-06
2019规自（怀）建字0024号,怀柔新城03街区HR00-0003-6004等地块A33基础教育用地、R2二类居住用地、F1住宅混合公建用地、F3其他类多功能用地项目（5-1#住宅楼等8项）,北京城建兴胜置业有限公司,怀柔区府前东街北侧,2019-12-06
2019规自（房）建字0042号,无线局中星9A卫星覆盖南海上行系统建设项目（功放室）,国家广播电视总局五四二台,房山区房山区长阳镇,2019-12-06
2019规自（大）建字0048号,大兴区榆垡镇第一幼儿园建设项目（教学楼等2项）,北京市大兴区榆垡镇人民政府,大兴区榆垡镇,2019-12-06
2019规自（怀）建字0028号,怀柔新城04街区土地一级开发安置房项目规划HR00-0004-6011地块（11-1#幼儿园）,北京北控京闽投资有限公司,怀柔区张各长村,2019-12-06
2019规自（怀）建字0027号,怀柔新城04街区土地一级开发安置房项目规划HR00-0004-6012地块（12-1#托老所）,北京北控京闽投资有限公司,怀柔区怀柔镇张各长村,2019-12-06
2019规自（怀）建字0029号,10-1#社区综合服务设施等2项,北京北控京闽投资有限公司,怀柔区怀柔镇张各长村,2019-12-06
2019规自（丰）建字0034号,北京市丰台区花乡造甲村1512-653等地块（丰台区花乡造甲村土地一级开发项目南地块）综合性商业金融服务业及二类居住用地1512-664地块（2-1#住宅楼等11项）,北京中海鑫海房地产开发有限公司,丰台区花乡造甲村,2019-12-05
2019规自（海）建字0074号,新馨苑居住区666地块住宅及配套工程（31#住宅楼等18项）,中央国家机关公务员住宅建设服务中心,海淀区建材城西路,2019-12-05
2019规自（海）建字0073号,新馨苑居住区657地块住宅及配套工程（20#住宅楼等18项）,中央国家机关公务员住宅建设服务中心,海淀区建材城西路16号,2019-12-05
2019规自（怀）建字0026号,北京市怀柔区雁栖镇陈各庄村HR00-0010-6037地块R2二类居住用地、HR00-0010-6043地块A33基础教育用地项目（1#住宅楼等14项）,北京怀柔科学城置业有限公司,怀柔区雁栖镇陈各庄村,2019-12-05
2019规自（丰）建字0035号,丰台区南苑植物油厂保障性住房项目（2#住宅楼）,北京京粮置业有限公司,丰台区槐房路175号,2019-12-05
2019规自（怀）建字0025号,怀柔新城03街区HR00-0003-6004等地块A33基础教育用地、R2二类居住用地、F1住宅混合公建用地、F3其他类多功能用地项目（8-1#楼幼儿园等2项）,北京城建兴胜置业有限公司,怀柔区府前东街北侧,2019-12-05
2019规自（怀）建字0024号,怀柔新城03街区HR00-0003-6004等地块A33基础教育用地、R2二类居住用地、F1住宅混合公建用地、F3其他类多功能用地项目（5-1#住宅楼等8项）,北京城建兴胜置业有限公司,怀柔区府前东街北侧,2019-12-05
2019规自（怀）建字0021号,怀柔新城03街区HR00-0003-6004等地块A33基础教育用地、R2二类居住用地、F1住宅混合公建用地、F3其他类多功能用地项目（3-1#住宅楼等11项）,北京城建兴胜置业有限公司,怀柔区府前东街北侧,2019-12-04
2019规自（朝）建字0053号,朝阳区黑庄户定辛庄农民安置房项目（1#住宅等47项）,北京万合双新房地产开发有限责任公司,朝阳区黑庄户乡,2019-12-04
2019规自（朝）建字0052号,人民日报社小红门职工住宅项目（1#住宅楼等12项）,人民日报社,朝阳区小红门乡,2019-12-04
2019规自（怀）建字0023号,怀柔新城04街区土地一级开发安置房项目规划HR00-0004-6014地块（14-1#住宅楼等24项）,北京北控京闽投资有限公司,怀柔区怀柔镇张各长村,2019-12-04
2019规自（丰）建字0034号,北京市丰台区花乡造甲村1512-653等地块（丰台区花乡造甲村土地一级开发项目南地块）综合性商业金融服务业及二类居住用地1512-664地块（2-1#住宅楼等11项）,北京中海鑫海房地产开发有限公司,丰台区花乡造甲村,2019-12-04
2019规自（丰）建字0033号,丰台区郭公庄车辆段三期二类居住、综合性商业金融服务业及基础教育用地项目（1#住宅楼等5项）,北京京投丰德房地产有限公司,丰台区花乡郭公庄村,2019-12-03
2019规自（大）建字0047号,大兴区庞各庄镇PGZ01-05地块商业办公项目（一期）（C1#商业办公楼等2项）,北京兴展宏业投资有限公司,大兴区庞各庄镇,2019-12-03
2019规自（通）建字0123号,北京环球影城主题公园项目标段六（711）1-15（111）服务用房（北京环球影城主题公园项目标段六(711)1-15（111）服务用房）,北京首寰文化旅游投资有限公司北京国际度假区有限公司,通州区通州区文化旅游区,2019-12-03
2019规自（海）建字0072号,海淀区永丰产业基地（新）C4、C5公租房项目（A1#住宅楼等12项）,北京实创高科技发展有限责任公司,海淀区海淀区西北旺镇,2019-12-03
2019规自（大）建字0046号,北京市大兴区新城核心区I组团0101-013地块商业金融用地项目B-5栋办公/商业楼（B-5栋办公/商业楼）,北京宜化恒业科技发展有限公司,大兴区大兴区核心区,2019-12-03
2019规自（怀）建字0021号,怀柔新城03街区HR00-0003-6004等地块A33基础教育用地、R2二类居住用地、F1住宅混合公建用地、F3其他类多功能用地项目（3-1#住宅楼等11项）,北京城建兴胜置业有限公司,怀柔区府前东街北侧,2019-12-03
2019规自（怀）建字0022号,怀柔新城04街区土地一级开发安置房项目规划HR00-0004-6009地块（09-1#住宅楼等10项）,北京北控京闽投资有限公司,怀柔区怀柔镇张各长村,2019-12-03
2019规自（朝）建字0053号,朝阳区黑庄户定辛庄农民安置房项目（1#住宅等47项）,北京万合双新房地产开发有限责任公司,朝阳区黑庄户乡,2019-12-03
2019规自（朝）建字0052号,人民日报社小红门职工住宅项目（1#住宅楼等12项）,人民日报社,朝阳区小红门乡,2019-12-03
2019规自（延）建字0015号,延庆区延庆新城03街区会展中心东侧地块土地一级开发项目（二期）YQ00-0003-0010等地块二类居住用地项目（ 1#住宅楼等7项）,中交富力和美（北京）置业有限公司,延庆区延庆新城03街区,2019-12-02
2019规自（昌）建字0054号,北店嘉园南侧规划学校（A#（教学区）等5项）,北京市昌平区教育委员会,昌平区龙泽园街道,2019-12-02
2019规自（昌）建字0053号,和谐家园东侧规划小学项目（综合教学楼等4项）,北京市昌平区教育委员会,昌平区霍营街道,2019-11-29
2019规自（顺）建字0073号,自动驾驶汽车用低成本、小型化激光雷达和智能网联设备研发及产业化项目（激光雷达产品生产厂房等3项）,北京万集科技股份有限公司,顺义区北小营镇后鲁村北侧,2019-11-29
2019规自（海）建字0071号,留学生与专家公寓（集体宿舍）（学生集体宿舍楼）,中国农业大学,海淀区圆明园西路2号,2019-11-29
2019规自（昌）建字0054号,北店嘉园南侧规划学校（A#（教学区）等5项）,北京市昌平区教育委员会,昌平区龙泽园街道,2019-11-29
2019规自（顺）建字0072号,远大住工绿色建筑辅助基地项目（7#厂房等5项）,远大住宅工业（北京）有限公司,顺义区顺义新城第7街区SY-0701-040、042（局部）地块,2019-11-28
2019规自（石）建字0044号,石景山区衙门口棚户区改造土地开发项目回迁安置房一期(1612-730地块)（1#住宅楼等9项）,北京石泰基础设施投资有限公司,石景山区衙门口,2019-11-28
2019规自（石）建字0043号,石景山区衙门口棚户区改造土地开发项目回迁安置房一期（1612-731地块）（1#住宅楼等10项）,北京石泰基础设施投资有限公司,石景山区衙门口,2019-11-28
2019规自（昌）建字0053号,和谐家园东侧规划小学项目（综合教学楼等4项）,北京市昌平区教育委员会,昌平区霍营街道,2019-11-28
2019规自（顺）建字0073号,自动驾驶汽车用低成本、小型化激光雷达和智能网联设备研发及产业化项目（激光雷达产品生产厂房等3项）,北京万集科技股份有限公司,顺义区北小营镇后鲁村北侧,2019-11-28
2019规自（海）建字0071号,留学生与专家公寓（集体宿舍）（学生集体宿舍楼）,中国农业大学,海淀区圆明园西路2号,2019-11-28
2019规自（丰）建字0032号,丰台区王佐镇魏各庄FT00-0503-0087、0088、0092地块项目（2#配套楼）,北京万筑国青房地产有限公司,丰台区王佐镇魏各庄,2019-11-27
2019规自（大）建字0045号,北京市大兴区瀛海镇YZ00-0803-0802、6021地块R2二类居住用地项目（1-1#住宅楼等30项）,北京中海盈达房地产开发有限公司,大兴区瀛海镇,2019-11-27
2019规自（昌）建字0052号,和谐家园东侧规划幼儿园项目（9班幼儿园等2项）,北京市昌平区教育委员会,昌平区霍营街道,2019-11-27
2019规自（石）建字0043号,石景山区衙门口棚户区改造土地开发项目回迁安置房一期（1612-731地块）（1#住宅楼等10项）,北京石泰基础设施投资有限公司,石景山区衙门口,2019-11-27
2019规自（石）建字0044号,石景山区衙门口棚户区改造土地开发项目回迁安置房一期(1612-730地块)（1#住宅楼等9项）,北京石泰基础设施投资有限公司,石景山区衙门口,2019-11-27
2019规自（顺）建字0072号,远大住工绿色建筑辅助基地项目（7#厂房等5项）,远大住宅工业（北京）有限公司,顺义区顺义新城第7街区SY-0701-040、042（局部）地块,2019-11-27
2019规自（大）建字0044号,生产基地项目（1#仓库等3项）,北京京酿调味品有限公司,大兴区安定镇工业园区,2019-11-26
2019规自（通）建字0122号,通州区首寰度假酒店（TZ00-1003-0003地块）F3其他类多功能用地项目（地下车库、商业及附属用房等5项）,北京首寰文化旅游投资有限公司,通州区文化旅游区,2019-11-26
2019规自（西）建字0072号,翻建住房（瓦2）等2项,翟铭,西城区小黑虎胡同7号,2019-11-26
2019规（开）建字0064号,佳讯飞鸿物联网及无人系统产业基地项目（A栋基于物联网放在安全监控系统与安全智能锁系统产品生产楼等10项）,北京佳讯云创科技有限公司,亦庄开发区河西区X6-1M3地块,2019-11-26
2019规自（门）建字0035号,门头沟区三家店粮库棚改定向安置房项目（G1#居住公共服务设施楼）,北京京粮泰兴房地产有限公司,门头沟区三家店东路12号,2019-11-26
2019规自（昌）建字0052号,和谐家园东侧规划幼儿园项目（9班幼儿园等2项）,北京市昌平区教育委员会,昌平区霍营街道,2019-11-26
2019规自（丰）建字0032号,丰台区王佐镇魏各庄FT00-0503-0087、0088、0092地块项目（2#配套楼）,北京万筑国青房地产有限公司,丰台区王佐镇魏各庄,2019-11-26
2019规自（大）建字0045号,北京市大兴区瀛海镇YZ00-0803-0802、6021地块R2二类居住用地项目（1-1#住宅楼等30项）,北京中海盈达房地产开发有限公司,大兴区瀛海镇,2019-11-26
2019规自（怀）建字0020号,先进光源技术研发与测试平台（1#实验厅等6项）,北京怀柔科学城建设发展有限公司,怀柔区怀柔新城11街区HR00-0011-6006地块,2019-11-25
2019规自建字0067号,北京新机场东航基地项目（1#出勤楼等8项）,中国东方航空股份有限公司,大兴区礼贤镇,2019-11-22
2019规自（怀）建字0020号,先进光源技术研发与测试平台（1#实验厅等6项）,北京怀柔科学城建设发展有限公司,怀柔区怀柔新城11街区HR00-0011-6006地块,2019-11-22
2019规自建字0067号,北京新机场东航基地项目（1#出勤楼等8项）,中国东方航空股份有限公司,大兴区礼贤镇,2019-11-22
2019规自（通）建字0121号,通州区运河核心区Ⅷ-14-2地块项目（14-2#地块地上部分）,鹏瑞利美融加一（北京）置业有限公司,通州区运河核心区,2019-11-21
2019规自（通）建字0120号,通州区运河核心区Ⅷ-14-1地块项目（14-1#地块地上部分）,鹏瑞利美融加三（北京）置业有限公司,通州区运河核心区,2019-11-21
2019规自（东）建字0042号,东城区青少年科技馆改扩建工程（青少年科技馆）,北京市东城区教育委员会,东城区安定门外大街33号,2019-11-21
2019规自（西）建字0071号,陶然亭公园东门改造项目（东门出入口及游廊）,北京市陶然亭公园管理处,西城区太平街19号,2019-11-20
2019规自（顺）建字0070号,第三代等先进半导体产业标准化厂房项目（1#办公楼等13项）,北京汽车城投资管理有限公司,顺义区顺义新城第4街区,2019-11-20
2019规自（顺）建字0069号,中国国际航空股份有限公司新车间楼项目（新车间楼）,中国国际航空股份有限公司,顺义区首都机场路北京飞机维修工程有限公司院内,2019-11-20
2019规自（顺）建字0071号,北京德宏盛景环境监测仪器仪表生产基地项目（3#厂房等5项）,北京德宏盛景物流有限公司,顺义区北京市顺义区临空经济核心区B区安庆大街甲9号,2019-11-20
2019规自（东）建字0042号,东城区青少年科技馆改扩建工程（青少年科技馆）,北京市东城区教育委员会,东城区安定门外大街33号,2019-11-20
2019规自（通）建字0120号,通州区运河核心区Ⅷ-14-1地块项目（14-1#地块地上部分）,鹏瑞利美融加三（北京）置业有限公司,通州区运河核心区,2019-11-20
2019规自（通）建字0121号,通州区运河核心区Ⅷ-14-2地块项目（14-2#地块地上部分）,鹏瑞利美融加一（北京）置业有限公司,通州区运河核心区,2019-11-20
2019规自（大）乡建字0023号,1#楼集体租赁住房等10项,北京文心兴业文化科技有限责任公司,大兴区旧宫镇,2019-11-19
2019规自（怀）建字0018号,怀柔区庙城HR00-0014-6019等地块R2二类居住用地、B1商业用地、S4社会停车场用地、A33基础教育用地、U22环卫设施用地项目（32-1#住宅等15项）,北京首城山水置业有限公司,怀柔区庙城镇庙城村,2019-11-19
2019规自（大）建字0043号,中关村高端医疗器械产业园（二期）项目（13#标准化厂房等27项）,中关村医疗器械园有限公司,大兴区生物医药基地,2019-11-19
2019规自（顺）建字0068号,北京林河经济开发区定向安置房（景盛花园）一期（1#住宅楼等19项）,北京林河景盛房地产开发有限公司,顺义区顺义新城第7街区,2019-11-19
2019规自（大）建字0042号,国际生物医药创新合作园项目（生产实验楼等4项）,北京生物医药产业基地发展有限公司,大兴区生物医药产业基地,2019-11-19
2019规自（顺）建字0071号,北京德宏盛景环境监测仪器仪表生产基地项目（3#厂房等5项）,北京德宏盛景物流有限公司,顺义区北京市顺义区临空经济核心区B区安庆大街甲9号,2019-11-19
2019规自（顺）建字0070号,第三代等先进半导体产业标准化厂房项目（1#办公楼等13项）,北京汽车城投资管理有限公司,顺义区顺义新城第4街区,2019-11-19
2019规自（顺）建字0069号,中国国际航空股份有限公司新车间楼项目（新车间楼）,中国国际航空股份有限公司,顺义区首都机场路北京飞机维修工程有限公司院内,2019-11-19
2019规自（西）建字0071号,陶然亭公园东门改造项目（东门出入口及游廊）,北京市陶然亭公园管理处,西城区太平街19号,2019-11-19
2019规自（密）建字0022号,北京脑血管病医院连廊加建项目（）,北京脑血管病医院,密云区经济开发区水源路2号,2019-11-18
2019规自（通）建字0118号,通州口岸（YZ00-0606-0014地块）F3其他类多功能用地项目（1#楼等15项）,北京北建通成国际物流有限公司,通州区马驹桥镇,2019-11-15
2019规自（通）建字0119号,北京市通州区煤炭公司源创科技研发楼建设项目（研发楼）,北京市通州区煤炭公司,通州区 永顺镇,2019-11-15
2019规自（昌）建字0051号,昌平区沙河镇七里渠南北村QLQ-004地块综合性商业金融服务业项目（商业及商务办公）,时代好未来教育科技（北京）有限公司,昌平区沙河镇七里渠南北村,2019-11-15
