2022年1-10月北京市专利授权量超百件专利权人名单统计,,,
排序,权利人名称,合计
181,同方威视技术股份有限公司,119
182,中国人民解放军军事科学院国防科技创新研究院,119
183,北京京东振世信息技术有限公司,118
184,北京胜能能源科技有限公司,118
185,北京天融信网络安全技术有限公司,118
186,摩拜（北京）信息技术有限公司,118
187,三一重工股份有限公司,118
188,中海油能源发展股份有限公司,118
189,北京服装学院,117
190,北京积水潭医院,117
191,北京快码加编科技有限公司,117
192,中国计量科学研究院,116
193,中冶建筑研究总院有限公司,116
194,泰康保险集团股份有限公司,115
195,三一重能股份有限公司,114
196,中国华电科工集团有限公司,114
197,中国科学院地质与地球物理研究所,114
198,中国科学院力学研究所,114
199,中国人民解放军总医院第七医学中心,114
200,国家计算机网络与信息安全管理中心,113
201,中国人民解放军火箭军特色医学中心,113
202,北京大学人民医院,111
203,北京福田戴姆勒汽车有限公司,110
204,北京建工集团有限责任公司,110
205,北京万集科技股份有限公司,110
206,北控水务（中国）投资有限公司,110
207,中国农业科学院作物科学研究所,110
208,北京东方雨虹防水技术股份有限公司,108
209,北京天玛智控科技股份有限公司,108
210,北京经纬恒润科技股份有限公司,107
211,三一机器人科技有限公司,107
212,中国铁道科学研究院集团有限公司,107
213,中国科学院生态环境研究中心,106
214,中国人民解放军战略支援部队航天工程大学,105
215,北京智行者科技有限公司,104
216,中国航空制造技术研究院,104
217,中建铁路投资建设集团有限公司,104
218,北京极智嘉科技股份有限公司,103
219,华电重工股份有限公司,102
220,中国航天科工飞航技术研究院（中国航天海鹰机电技术研究院）,102
221,国开启科量子技术（北京）有限公司,101
222,北京三一智造科技有限公司,100
223,北京云上隐居文化发展有限公司,100
224,中国农业科学院农产品加工研究所,100
截止2022年10月北京市有效发明专利量超百件专利权人名单统计,,
排序,权利人名称,有效发明专利量
1,中国石油化工股份有限公司,28286
2,清华大学,17225
3,京东方科技集团股份有限公司,17017
4,国家电网公司,11815
5,联想（北京）有限公司,10052
6,北京航空航天大学,9449
7,中国石油天然气股份有限公司,9227
8,大唐移动通信设备有限公司,7151
9,北京理工大学,7000
10,北京工业大学,5767
11,百度在线网络技术（北京）有限公司,5026
12,北京小米移动软件有限公司,4992
13,中国联合网络通信集团有限公司,4738
14,北京科技大学,4450
15,北京邮电大学,4365
16,北京大学,4035
17,北京化工大学,3706
18,北京奇虎科技有限公司,3685
19,中国移动通信集团公司,3560
20,中国电信股份有限公司,3453
21,中国农业大学,3154
22,小米科技有限责任公司,3112
23,北京百度网讯科技有限公司,3080
24,中国海洋石油集团有限公司,2553
25,中国科学院微电子研究所,2472
26,中国石油天然气集团公司,2298
27,中国石油大学（北京）,2287
28,中国电力科学研究院,2209
29,北京交通大学,2143
30,北京北方华创微电子装备有限公司,2105
31,中国科学院化学研究所,2020
32,中国科学院过程工程研究所,1996
33,北京京东尚科信息技术有限公司,1992
34,中国石油天然气集团有限公司,1967
35,北京奇艺世纪科技有限公司,1921
36,中国科学院自动化研究所,1918
37,华北电力大学,1876
38,北京字节跳动网络技术有限公司,1658
39,中国科学院理化技术研究所,1494
40,中国科学院计算技术研究所,1442
41,中国移动通信有限公司研究院,1390
42,首钢集团有限公司,1348
43,北京国双科技有限公司,1322
44,中国科学院半导体研究所,1319
45,中国矿业大学（北京）,1305
46,北京控制工程研究所,1278
47,北汽福田汽车股份有限公司,1242
48,北京新能源汽车股份有限公司,1213
49,中国水利水电科学研究院,1199
50,中国神华能源股份有限公司,1196
51,北京达佳互联信息技术有限公司,1174
52,中国原子能科学研究院,1132
53,新方正控股发展有限责任公司,1121
54,中国科学院电工研究所,1113
55,北京三快在线科技有限公司,1110
56,国家电网有限公司,1079
57,北京林业大学,1060
58,飞天诚信科技股份有限公司,1041
59,中国电力科学研究院有限公司,1041
60,中国科学院电子学研究所,998
61,北京空间飞行器总体设计部,990
62,北京金风科创风电设备有限公司,915
63,北京师范大学,906
64,中国科学院信息工程研究所,901
65,中国科学院工程热物理研究所,859
66,国家能源投资集团有限责任公司,853
67,中国科学院声学研究所,846
68,国家纳米科学中心,782
69,腾讯科技（北京）有限公司,778
70,中国科学院物理研究所,771
71,视联动力信息技术股份有限公司,768
72,中国地质大学（北京）,768
73,中国工商银行股份有限公司,752
74,浪潮（北京）电子信息产业有限公司,742
75,中国恩菲工程技术有限公司,729
76,北京金山安全软件有限公司,719
77,中国航天空气动力技术研究院,694
78,中国科学院地质与地球物理研究所,682
79,北京搜狗科技发展有限公司,670
80,北京建筑大学,668
81,北京嘀嘀无限科技发展有限公司,667
82,中国银行股份有限公司,656
83,航天信息股份有限公司,634
84,北京工商大学,622
85,北京机械设备研究所,622
86,北京市农林科学院,622
87,中国科学院生态环境研究中心,609
88,中国核电工程有限公司,607
89,北京空间机电研究所,606
90,神华集团有限责任公司,606
91,钢铁研究总院,601
92,中国科学院力学研究所,601
93,普天信息技术有限公司,597
94,中国环境科学研究院,583
95,航天特种材料及工艺技术研究所,578
96,中国科学院微生物研究所,576
97,北京航天控制仪器研究所,575
98,航天材料及工艺研究所,570
99,同方威视技术股份有限公司,570
100,中国农业科学院农产品加工研究所,570
101,中国建设银行股份有限公司,568
102,北京经纬恒润科技股份有限公司,566
103,北京三星通信技术研究有限公司,565
104,交控科技股份有限公司,561
105,北方工业大学,555
106,中国空间技术研究院,552
107,中芯国际集成电路制造（北京）有限公司,551
108,中国航空制造技术研究院,549
109,中国农业科学院作物科学研究所,548
110,有研工程技术研究院有限公司,546
111,中国铝业股份有限公司,546
112,北京航天发射技术研究所,537
113,天地融科技股份有限公司,535
114,北京市商汤科技开发有限公司,525
115,北京京东方光电科技有限公司,524
116,北京汽车股份有限公司,523
117,北京精密机电控制设备研究所,520
118,北京智谷睿拓技术服务有限公司,520
119,北京旷视科技有限公司,519
120,北京信息科技大学,509
121,三六零科技集团有限公司,507
122,中国北方车辆研究所,501
123,北京全路通信信号研究设计院集团有限公司,499
124,中国石油化工集团公司,499
125,中国农业科学院植物保护研究所,495
126,兆易创新科技集团股份有限公司,492
127,中国航发北京航空材料研究院,484
128,中国计量科学研究院,483
129,中国科学院国家空间科学中心,476
130,中国人民解放军军事科学院军事医学研究院,473
131,全球能源互联网研究院有限公司,469
132,中国科学院软件研究所,462
133,北新集团建材股份有限公司,461
134,中国农业科学院北京畜牧兽医研究所,456
135,北京金山云网络技术有限公司,444
136,奇安信科技集团股份有限公司,442
137,首都师范大学,437
138,北京卫星环境工程研究所,432
139,北京无线电计量测试研究所,431
140,中国信息通信研究院,426
141,龙芯中科技术股份有限公司,417
142,国网北京市电力公司,413
143,国家计算机网络与信息安全管理中心,409
144,首都医科大学,408
145,中国人民解放军总医院,402
146,中国运载火箭技术研究院,396
147,中国科学院地理科学与资源研究所,391
148,北京石油化工学院,388
149,深圳方正微电子有限公司,388
150,中国科学院高能物理研究所,386
151,北京农业信息技术研究中心,384
152,北京京东乾石科技有限公司,378
153,泰康保险集团股份有限公司,377
154,航天东方红卫星有限公司,374
155,中国科学院遥感与数字地球研究所,374
156,宝沃汽车（中国）有限公司,372
157,北京思特奇信息技术股份有限公司,372
158,曙光信息产业（北京）有限公司,372
159,北京环境特性研究所,371
160,北京四方继保自动化股份有限公司,370
161,中国科学院空天信息创新研究院,367
162,北京无线电测量研究所,361
163,交通运输部公路科学研究所,360
164,中国建筑材料科学研究总院,358
165,航天恒星科技有限公司,357
166,中石化石油工程技术服务有限公司,355
167,北京时代民芯科技有限公司,351
168,中国航空工业集团公司北京航空材料研究院,349
169,北京遥测技术研究所,347
170,中国医学科学院药物研究所,346
171,北京纳米能源与系统研究所,345
172,华北电力科学研究院有限责任公司,339
173,瑞斯康达科技发展股份有限公司,338
174,中国铁路总公司,336
175,北京紫光展锐通信技术有限公司,335
176,北京星网锐捷网络技术有限公司,332
177,中国科学院遗传与发育生物学研究所,332
178,北京智芯微电子科技有限公司,328
179,普天信息技术研究院有限公司,328
180,北京宇航系统工程研究所,325
181,北京矿冶研究总院,319
