丰台区应急管理局执法检查公示目录（第三季度6月24日-9月30日）,,,,,,
序号,被检查单位名称,检查日期,执法检查单编号,检查方式是否双随机,检查结论,检查部门
241,罗德汉森（北京）工程建设有限公司,44790,(京丰)应急现记〔2022〕执01187号,否,合格,区应急管理局
242,北京城建混凝土有限公司,44790,(京丰)应急现记〔2022〕执01185号,否,不合格（复查以后合格）,区应急管理局
243,北京西国贸大酒店管理有限公司（本部）,44790,(京丰)应急现记〔2022〕执01192号,否,合格,区应急管理局
244,北京六必居食品有限公司天源酱园食品厂,44790,(京丰)应急现记〔2022〕执01183号,否,合格,区应急管理局
245,航天增材科技（北京）有限公司,44790,(京丰)应急现记〔2022〕执01189号,是,合格,区应急管理局
246,北京康潞源纯净水厂,44790,(京丰)应急现记〔2022〕执01190号,否,合格,区应急管理局
247,北京龙江奔达加油站,44790,(京丰)应急现记〔2022〕执01175号,否,合格,区应急管理局
248,北京航天雷特机电工程有限公司气体分公司,44791,(京丰)应急现记〔2022〕执01196号,是,合格,区应急管理局
249,北京市液化石油气公司储备分公司云岗供应站,44791,(京丰)应急现记〔2022〕执01197号,否,合格,区应急管理局
250,北京市化工原料有限公司,44791,(京丰)应急现记〔2022〕执01198号,是,合格,区应急管理局
251,北京市液化石油气有限公司云岗储备厂,44791,(京丰)应急现记〔2022〕执01313号,否,不合格（复查以后合格）,区应急管理局
252,北京市液化石油气有限公司赵公口供应站,44791,(京丰)应急现记〔2022〕执01195号,是,合格,区应急管理局
253,宝酒造食品有限公司（南苑）,44792,(京丰)应急现记〔2022〕执01200号,否,合格,区应急管理局
254,北京华泽磐鼎科技有限公司,44792,(京丰)应急现记〔2022〕执01202号,否,合格,区应急管理局
255,宝酒造食品有限公司（南苑）,44792,(京丰)应急现记〔2022〕执01201号,否,合格,区应急管理局
256,北京槐房万达广场商业管理有限公司,44792,(京丰)应急现记〔2022〕执01228号,否,合格,区应急管理局
257,北京龙门醋业有限公司,44792,(京丰)应急现记〔2022〕执01199号,否,合格,区应急管理局
258,北京万达国际电影城有限公司槐房店,44792,(京丰)应急现记〔2022〕执01204号,否,合格,区应急管理局
259,北京丰科万达广场商业管理有限公司,44792,(京丰)应急现记〔2022〕执01203号,否,合格,区应急管理局
260,北京榆构有限公司,44792,(京丰)应急现记〔2022〕执01206号,否,合格,区应急管理局
261,北京市丰台区学苑幼儿园,44795,(京丰)应急现记〔2022〕执01215号,是,合格,区应急管理局
262,北京智盈商贸有限公司,44795,(京丰)应急现记〔2022〕执01220号,是,合格,区应急管理局
263,北京钟鼓缘餐饮管理有限公司,44795,(京丰)应急现记〔2022〕执01211号,是,合格,区应急管理局
264,北京百合迅达餐饮管理有限公司,44795,(京丰)应急现记〔2022〕执01217号,是,合格,区应急管理局
265,北京麦当劳食品有限公司宋家庄餐厅,44795,(京丰)应急现记〔2022〕执01210号,是,合格,区应急管理局
266,北京期选信息技术有限公司宋家庄第二分公司,44795,(京丰)应急现记〔2022〕执01207号,是,合格,区应急管理局
267,云莱果蔬商贸（北京）有限公司,44795,(京丰)应急现记〔2022〕执01212号,是,合格,区应急管理局
268,北京鑫瑞通达商贸有限公司,44795,(京丰)应急现记〔2022〕执01222号,是,合格,区应急管理局
269,北京杉竹石油化工技术有限公司,44795,(京丰)应急现记〔2022〕执01213号,否,合格,区应急管理局
270,北京正华佳宇商城有限公司,44795,(京丰)应急现记〔2022〕执01223号,是,合格,区应急管理局
271,北京纤指梦舞文化交流中心,44795,(京丰)应急现记〔2022〕执01221号,是,合格,区应急管理局
272,北京飞鸿基业房地产经纪有限公司,44795,(京丰)应急现记〔2022〕执01219号,是,合格,区应急管理局
273,北京百药堂医药有限公司,44795,(京丰)应急现记〔2022〕执01209号,是,合格,区应急管理局
274,北京蓝溪日升烟酒超市,44795,(京丰)应急现记〔2022〕执01216号,是,合格,区应急管理局
275,北京依邈商务服务有限公司,44795,(京丰)应急现记〔2022〕执01214号,是,合格,区应急管理局
276,北京婧涵食品有限公司,44795,(京丰)应急现记〔2022〕执01208号,是,合格,区应急管理局
277,北京靛厂圣泉水厂,44796,(京丰)应急现记〔2022〕执01230号,否,合格,区应急管理局
278,北京市液化石油气公司,44796,(京丰)应急现记〔2022〕执01227号,否,合格,区应急管理局
279,北京市天润中电高压电子有限公司,44796,(京丰)应急现记〔2022〕执01224号,否,合格,区应急管理局
280,北京市美廉美连锁商业有限公司马家堡超市,44796,(京丰)应急现记〔2022〕执01225号,否,合格,区应急管理局
281,北京常睿石油化工产品有限公司,44796,(京丰)应急现记〔2022〕执01231号,否,合格,区应急管理局
282,北京聚远酒店管理有限公司,44796,(京丰)应急现记〔2022〕执01226号,否,合格,区应急管理局
283,北京庄子工贸有限责任公司,44796,(京丰)应急现记〔2022〕执01405号,否,合格,区应急管理局
284,北京燃气绿源达清洁燃料有限公司,44797,(京丰)应急现记〔2022〕执01244号,否,合格,区应急管理局
285,北京市丰台赵辛店加油站,44797,(京丰)应急现记〔2022〕执01237号,否,合格,区应急管理局
286,北京国铁畅达机车配件厂,44797,(京丰)应急现记〔2022〕执01236号,否,合格,区应急管理局
287,北京兆与时贸易有限公司,44797,(京丰)应急现记〔2022〕执01245号,是,合格,区应急管理局
288,北京建工一建工程建设有限公司混凝土分公司,44797,(京丰)应急现记〔2022〕执01232号,否,不合格（复查以后合格）,区应急管理局
289,北京市第二建筑工程有限责任公司混凝土分公司,44797,(京丰)应急现记〔2022〕执01248号,否,不合格（复查以后合格）,区应急管理局
290,北京二七纳川机电设备有限公司,44797,(京丰)应急现记〔2022〕执01238号,否,合格,区应急管理局
291,北京敬业北低自动化设备有限公司,44797,(京丰)应急现记〔2022〕执01233号,否,合格,区应急管理局
292,北京兆与时贸易有限公司,44797,(京丰)应急现记〔2022〕执01247号,否,合格,区应急管理局
293,北京太平兴盛商贸中心,44797,(京丰)应急现记〔2022〕执01396号,否,不合格（复查以后合格）,区应急管理局
294,北京黄土岗水厂,44797,(京丰)应急现记〔2022〕执01234号,否,合格,区应急管理局
295,北京信良伟业金属加工有限公司,44797,(京丰)应急现记〔2022〕执01235号,否,合格,区应急管理局
296,北京市第二建筑工程有限责任公司混凝土分公司,44797,(京丰)应急现记〔2022〕执01258号,否,不合格（复查以后合格）,区应急管理局
297,北京兴燕车辆悬挂装置机械厂,44797,(京丰)应急现记〔2022〕执01243号,否,合格,区应急管理局
298,北京西南郊食品冷冻有限公司,44797,(京丰)应急现记〔2022〕执01242号,否,合格,区应急管理局
299,北京燃气绿源达清洁燃料有限公司,44797,(京丰)应急现记〔2022〕执01246号,否,合格,区应急管理局
300,北京中彧空分科技有限公司,44797,(京丰)应急现记〔2022〕执01241号,否,合格,区应急管理局
301,北京金泰恒业燃料有限公司加油站,44797,(京丰)应急现记〔2022〕执01239号,否,合格,区应急管理局
302,北京北方燕兴达机械制造有限责任公司,44797,(京丰)应急现记〔2022〕执01240号,否,合格,区应急管理局
303,华中伟业影视文化传媒有限公司,44798,(京丰)应急现记〔2022〕执01256号,是,合格,区应急管理局
304,北京昂子健康管理有限公司,44798,(京丰)应急现记〔2022〕执01251号,是,合格,区应急管理局
305,北京嘉安堂健康管理有限公司,44798,(京丰)应急现记〔2022〕执01253号,是,合格,区应急管理局
306,北京市丰台亚源加油站,44798,(京丰)应急现记〔2022〕执01278号,否,合格,区应急管理局
307,北京美廉美连锁商业有限公司横一条超市,44798,(京丰)应急现记〔2022〕执01249号,是,合格,区应急管理局
308,北京咪米宠物用品店,44798,(京丰)应急现记〔2022〕执01255号,是,合格,区应急管理局
309,北京凌峰正航机电设备有限公司,44798,(京丰)应急现记〔2022〕执01257号,否,合格,区应急管理局
310,北京泰德亿餐饮服务有限公司,44798,(京丰)应急现记〔2022〕执01254号,是,合格,区应急管理局
311,北京新辉天缘图文设计有限公司,44798,(京丰)应急现记〔2022〕执01250号,是,合格,区应急管理局
312,北京丰谷源餐饮管理有限公司,44798,(京丰)应急现记〔2022〕执01252号,是,合格,区应急管理局
313,中建二局第三建筑工程有限公司张家坟金茂府,44799,(京丰)应急现记〔2022〕执01259号,是,合格,区应急管理局
314,北京中北创新科技发展有限公司分公司,44799,(京丰)应急现记〔2022〕执01260号,否,合格,区应急管理局
315,姬鸿（北京）科技有限责任公司,44799,(京丰)应急现记〔2022〕执01264号,否,合格,区应急管理局
316,北京天路时代电气设备有限责任公司（长辛店）,44799,(京丰)应急现记〔2022〕执01261号,否,合格,区应急管理局
317,北京市液化石油气公司朱家坟站,44799,(京丰)应急现记〔2022〕执01262号,否,合格,区应急管理局
318,北京市液化石油气公司,44799,(京丰)应急现记〔2022〕执01263号,否,合格,区应急管理局
319,北京全福德商贸有限公司,44800,(京丰)应急现记〔2022〕执01268号,是,合格,区应急管理局
320,北京富顺强盛商贸有限公司,44800,(京丰)应急现记〔2022〕执01266号,是,合格,区应急管理局
321,北京京雕伟业数控设备有限公司,44800,(京丰)应急现记〔2022〕执01265号,否,合格,区应急管理局
322,北京聚仁伟业房地产经纪有限公司,44800,(京丰)应急现记〔2022〕执01267号,是,合格,区应急管理局
323,北京有优健康科技有限公司,44801,(京丰)应急现记〔2022〕执01269号,是,合格,区应急管理局
324,北京莉星舞艺文化传媒有限公司,44801,(京丰)应急现记〔2022〕执01270号,是,合格,区应急管理局
325,北京美课美容美发有限公司,44801,(京丰)应急现记〔2022〕执01271号,是,合格,区应急管理局
326,北京京安佳业门窗有限公司,44802,(京丰)应急现记〔2022〕执01286号,否,合格,区应急管理局
327,北京松源华兴科技发展有限公司,44802,(京丰)应急现记〔2022〕执01279号,否,合格,区应急管理局
328,北京福兴瑞工业气体有限公司,44802,(京丰)应急现记〔2022〕执01282号,否,合格,区应急管理局
329,北京鑫源印品图文设计中心,44802,(京丰)应急现记〔2022〕执01273号,是,合格,区应急管理局
330,北京虹盈家政服务有限公司,44802,(京丰)应急现记〔2022〕执01274号,是,合格,区应急管理局
331,北京新乐恩教育咨询有限公司,44802,(京丰)应急现记〔2022〕执01276号,是,合格,区应急管理局
332,北京长京行汽车销售服务有限公司,44802,(京丰)应急现记〔2022〕执01284号,否,合格,区应急管理局
333,北京隆庆德文化发展有限责任公司,44802,(京丰)应急现记〔2022〕执01272号,是,合格,区应急管理局
334,北京伊思特加油站,44802,(京丰)应急现记〔2022〕执01283号,否,合格,区应急管理局
335,北京舒心堂健康管理中心,44802,(京丰)应急现记〔2022〕执01275号,是,合格,区应急管理局
336,北京驰泉机械厂,44802,(京丰)应急现记〔2022〕执01277号,否,合格,区应急管理局
337,北京鑫茂佳业门窗有限公司,44802,(京丰)应急现记〔2022〕执01285号,否,合格,区应急管理局
338,北京东方天益生贸易有限公司,44802,(京丰)应急现记〔2022〕执01281号,否,合格,区应急管理局
339,祥威胜（北京）厨房设备工贸有限公司,44802,(京丰)应急现记〔2022〕执01280号,否,合格,区应急管理局
340,北京航天海鹰星航机电设备有限公司,44803,(京丰)应急现记〔2022〕执01298号,否,合格,区应急管理局
341,北京丰台永定消毒设备厂,44803,(京丰)应急现记〔2022〕执01289号,否,合格,区应急管理局
342,北京厚旺佳成商贸有限公司,44803,(京丰)应急现记〔2022〕执01303号,否,合格,区应急管理局
343,美创利科（北京）科技有限公司,44803,(京丰)应急现记〔2022〕执01308号,是,合格,区应急管理局
344,北京榆构砂石有限公司,44803,(京丰)应急现记〔2022〕执01293号,否,不合格（复查以后合格）,区应急管理局
345,北京中亿润德机械有限公司,44803,(京丰)应急现记〔2022〕执01292号,否,合格,区应急管理局
346,北京玉手华清健康管理有限公司成寿寺分公司,44803,(京丰)应急现记〔2022〕执01288号,是,合格,区应急管理局
347,北京市益华电气控制设备厂,44803,(京丰)应急现记〔2022〕执01306号,否,合格,区应急管理局
348,中国电信股份有限公司北京成寿寺营业厅,44803,(京丰)应急现记〔2022〕执01287号,是,合格,区应急管理局
349,北京二七通信五金厂,44803,(京丰)应急现记〔2022〕执01304号,否,合格,区应急管理局
350,北京中氢华源科技有限公司,44803,(京丰)应急现记〔2022〕执01312号,否,合格,区应急管理局
351,北京康益弘善商贸有限责任公司,44803,(京丰)应急现记〔2022〕执01295号,是,合格,区应急管理局
352,北京长辛店成意金属结构加工厂,44803,(京丰)应急现记〔2022〕执01309号,否,合格,区应急管理局
353,北京市丰台航南金属结构制造厂,44803,(京丰)应急现记〔2022〕执01297号,否,合格,区应急管理局
354,北京凯泓家政服务有限公司,44803,(京丰)应急现记〔2022〕执01311号,是,合格,区应急管理局
355,北京亿成恒通环保科技发展有限公司,44803,(京丰)应急现记〔2022〕执01301号,否,合格,区应急管理局
356,北京天航源科工贸有限公司,44803,(京丰)应急现记〔2022〕执01300号,否,合格,区应急管理局
357,北京湘中北机械维修中心,44803,(京丰)应急现记〔2022〕执01310号,否,合格,区应急管理局
358,北京汇金拍卖有限公司,44803,(京丰)应急现记〔2022〕执01290号,是,合格,区应急管理局
359,北京和意佳人商贸有限公司,44803,(京丰)应急现记〔2022〕执01291号,是,合格,区应急管理局
360,北京永泰液压润滑机械有限责任公司,44803,(京丰)应急现记〔2022〕执01294号,否,合格,区应急管理局
361,北京康得利智能科技有限公司,44803,(京丰)应急现记〔2022〕执01302号,否,合格,区应急管理局
362,北京国瑞动力纸制品有限公司,44803,(京丰)应急现记〔2022〕执01307号,否,合格,区应急管理局
363,北京鼎维原工贸有限公司,44803,(京丰)应急现记〔2022〕执01296号,否,合格,区应急管理局
364,北京中慈桥健康管理有限公司,44803,(京丰)应急现记〔2022〕执01305号,是,合格,区应急管理局
365,北京八零时代电子商务有限公司,44804,(京丰)应急现记〔2022〕执01341号,是,合格,区应急管理局
366,北京弘豪福安仪器有限公司,44804,(京丰)应急现记〔2022〕执01319号,否,合格,区应急管理局
367,北京惯导科技有限公司,44804,(京丰)应急现记〔2022〕执01346号,否,合格,区应急管理局
368,北京紫芳园百合千喜美容中心,44804,(京丰)应急现记〔2022〕执01325号,是,合格,区应急管理局
369,北京市中福建筑机械厂,44804,(京丰)应急现记〔2022〕执01329号,否,合格,区应急管理局
370,北京必胜客披萨饼有限公司宋庄路餐厅,44804,(京丰)应急现记〔2022〕执01345号,是,合格,区应急管理局
371,北京现代工业技术研究所高压胶管厂,44804,(京丰)应急现记〔2022〕执01328号,否,合格,区应急管理局
372,北京丰镇好运物资有限公司,44804,(京丰)应急现记〔2022〕执01339号,否,合格,区应急管理局
373,北京市杰美丽人美容美发中心,44804,(京丰)应急现记〔2022〕执01336号,是,合格,区应急管理局
374,北京北方巴特莱索道技术股份有限公司（长辛店街道）,44804,(京丰)应急现记〔2022〕执01327号,否,合格,区应急管理局
375,中国石化销售股份有限公司北京长辛店石油库,44804,(京丰)应急现记〔2022〕执01348号,否,合格,区应急管理局
376,北京恒拓塑钢制品有限公司,44804,(京丰)应急现记〔2022〕执01340号,否,合格,区应急管理局
377,北京宋庄味多美面包坊,44804,(京丰)应急现记〔2022〕执01343号,是,合格,区应急管理局
378,北京顺和源商贸有限公司丰台分公司,44804,(京丰)应急现记〔2022〕执01314号,是,合格,区应急管理局
379,北京吉欧特美发有限公司,44804,(京丰)应急现记〔2022〕执01322号,是,合格,区应急管理局
380,北京瑞林昌盛商贸有限公司,44804,(京丰)应急现记〔2022〕执01338号,是,合格,区应急管理局
381,北京华景仁康医药有限公司,44804,(京丰)应急现记〔2022〕执01317号,是,合格,区应急管理局
382,北京依唯美容美发中心,44804,(京丰)应急现记〔2022〕执01320号,是,合格,区应急管理局
383,北京百信万芝堂医药有限责任公司新宋家庄分公司,44804,(京丰)应急现记〔2022〕执01316号,是,合格,区应急管理局
384,北京华辉尚影美容美发中心,44804,(京丰)应急现记〔2022〕执01334号,是,合格,区应急管理局
385,北京铁纳科技有限公司,44804,(京丰)应急现记〔2022〕执01333号,否,合格,区应急管理局
386,北京京安群祥玻璃制品有限公司,44804,(京丰)应急现记〔2022〕执01344号,否,合格,区应急管理局
387,北京日福机械设备厂,44804,(京丰)应急现记〔2022〕执01342号,否,合格,区应急管理局
388,北京雷音电子技术开发有限公司,44804,(京丰)应急现记〔2022〕执01335号,否,合格,区应急管理局
389,北京航天博德科技有限责任公司产品试制中心,44804,(京丰)应急现记〔2022〕执01323号,否,合格,区应急管理局
390,北京逸丝风尚雅园美容美发有限公司,44804,(京丰)应急现记〔2022〕执01324号,是,合格,区应急管理局
391,北京华威京药医药有限公司第十八分店,44804,(京丰)应急现记〔2022〕执01321号,是,合格,区应急管理局
392,北京旺兴爱尚美容美发中心,44804,(京丰)应急现记〔2022〕执01326号,是,合格,区应急管理局
393,北京乐浩权欣商贸店,44804,(京丰)应急现记〔2022〕执01347号,是,合格,区应急管理局
394,北京航天飞龙工贸有限公司,44804,(京丰)应急现记〔2022〕执01337号,否,合格,区应急管理局
395,北京百药堂医药有限公司,44804,(京丰)应急现记〔2022〕执01318号,是,合格,区应急管理局
396,北京市北方永定工贸有限责任公司,44804,(京丰)应急现记〔2022〕执01331号,否,合格,区应急管理局
397,北京宝霖堂医药有限公司博祥宋庄路店,44804,(京丰)应急现记〔2022〕执01315号,是,合格,区应急管理局
398,北京融通新风洁净技术有限公司,44804,(京丰)应急现记〔2022〕执01332号,否,合格,区应急管理局
399,北京方仕国际黄金珠宝商城有限公司,44804,(京丰)应急现记〔2022〕执01330号,是,合格,区应急管理局
400,北京澳丰源科技股份有限公司,44804,(京丰)应急现记〔2022〕执01349号,否,不合格（复查以后合格）,区应急管理局
401,北京青丝飞坊形象设计有限公司,44805,(京丰)应急现记〔2022〕执01363号,是,合格,区应急管理局
402,北京御海星光酒店管理公司,44805,(京丰)应急现记〔2022〕执01364号,是,合格,区应急管理局
403,北京客满源餐饮管理有限公司,44805,(京丰)应急现记〔2022〕执01356号,是,合格,区应急管理局
404,北京御尊健康管理有限公司,44805,(京丰)应急现记〔2022〕执01355号,是,合格,区应急管理局
405,阳光凯讯（北京）科技有限公司,44805,(京丰)应急现记〔2022〕执01371号,否,合格,区应急管理局
406,北京航天普霖科技有限公司,44805,(京丰)应急现记〔2022〕执01367号,否,合格,区应急管理局
407,北京家和汇鲜商贸有限公司石榴庄分公司,44805,(京丰)应急现记〔2022〕执01366号,是,合格,区应急管理局
408,北京葆台水厂,44805,(京丰)应急现记〔2022〕执01352号,否,合格,区应急管理局
409,北京梓树钢琴有限公司,44805,(京丰)应急现记〔2022〕执01357号,是,合格,区应急管理局
410,北京合欣机电有限责任公司,44805,(京丰)应急现记〔2022〕执01370号,否,合格,区应急管理局
411,北京龙洋液化气站,44805,(京丰)应急现记〔2022〕执01353号,否,合格,区应急管理局
412,北京京城冰雪制冰厂,44805,(京丰)应急现记〔2022〕执01362号,否,合格,区应急管理局
413,北京声联美音医疗器材有限公司,44805,(京丰)应急现记〔2022〕执01358号,是,合格,区应急管理局
414,北京市合利看丹混凝土有限公司,44805,(京丰)应急现记〔2022〕执01350号,否,合格,区应急管理局
415,北京光华宠物有限公司,44805,(京丰)应急现记〔2022〕执01359号,是,合格,区应急管理局
416,北京大恒医疗设备有限公司,44805,(京丰)应急现记〔2022〕执01369号,否,合格,区应急管理局
417,北京四环科宝制药有限公司,44805,(京丰)应急现记〔2022〕执01368号,否,合格,区应急管理局
418,北京市花乡海华金属结构厂,44805,(京丰)应急现记〔2022〕执01351号,否,合格,区应急管理局
419,北京北方生物技术研究所有限公司,44805,(京丰)应急现记〔2022〕执01365号,否,合格,区应急管理局
420,北京闫维旺超市(东铁匠营街道办事处-闫维旺),44805,(京丰)应急现记〔2022〕执01361号,是,合格,区应急管理局
421,北京燃气绿源达清洁燃料有限公司,44805,(京丰)应急现记〔2022〕执01354号,否,合格,区应急管理局
422,北京橙天盛景国际影业有限公司,44805,(京丰)应急现记〔2022〕执01360号,是,合格,区应急管理局
423,交控科技股份有限公司,44806,(京丰)应急现记〔2022〕执01373号,否,合格,区应急管理局
424,北京城建天宁防火材料有限公司,44806,(京丰)应急现记〔2022〕执01375号,否,合格,区应急管理局
425,北京中氢华源科技有限公司,44806,(京丰)应急现记〔2022〕执01374号,否,合格,区应急管理局
426,北京京铁火车头混凝土有限公司,44806,(京丰)应急现记〔2022〕执01376号,否,合格,区应急管理局
427,北京动力源科技股份有限公司,44806,(京丰)应急现记〔2022〕执01372号,否,合格,区应急管理局
428,北京中海华信石油化工科技有限公司,44806,(京丰)应急现记〔2022〕执01377号,否,合格,区应急管理局
429,北京奥康双泉能源技术有限公司,44806,(京丰)应急现记〔2022〕执01378号,否,合格,区应急管理局
430,北京诚丰建材制品有限公司,44809,(京丰)应急现记〔2022〕执01393号,否,合格,区应急管理局
431,北京物美便利超市有限公司东大街分店,44809,(京丰)应急现记〔2022〕执01382号,否,合格,区应急管理局
432,北京京丰制药集团有限公司,44809,(京丰)应急现记〔2022〕执01390号,否,合格,区应急管理局
433,北京真香阁餐饮有限公司,44809,(京丰)应急现记〔2022〕执01380号,否,合格,区应急管理局
434,北京福香源食品有限公司,44809,(京丰)应急现记〔2022〕执01392号,否,合格,区应急管理局
435,北京汇鑫拓达建筑工程有限公司,44809,(京丰)应急现记〔2022〕执01885号,否,不合格（复查以后合格）,区应急管理局
436,北京鑫东华腾体育器械有限公司,44809,(京丰)应急现记〔2022〕执01394号,否,合格,区应急管理局
437,北京京铁火车头混凝土有限公司,44809,(京丰)应急现记〔2022〕执01395号,否,合格,区应急管理局
438,北京鑫源丽都企业管理有限公司,44809,(京丰)应急现记〔2022〕执01386号,否,合格,区应急管理局
439,北京真香阁餐饮有限公司,44809,(京丰)应急现记〔2022〕执01379号,否,合格,区应急管理局
440,北京鑫鸿辉潢建筑工程有限公司,44809,(京丰)应急现记〔2022〕执01558号,否,不合格（复查以后合格）,区应急管理局
441,北京川渝天下餐饮有限责任公司,44809,(京丰)应急现记〔2022〕执01384号,否,合格,区应急管理局
442,北京物美便利超市有限公司东大街分店,44809,(京丰)应急现记〔2022〕执01381号,否,合格,区应急管理局
443,北京鑫源丽都企业管理有限公司,44809,(京丰)应急现记〔2022〕执01388号,否,合格,区应急管理局
444,北京醉新鲜餐饮管理有限公司,44809,(京丰)应急现记〔2022〕执01387号,否,合格,区应急管理局
445,北京伊百年餐饮管理有限公司,44809,(京丰)应急现记〔2022〕执01383号,否,合格,区应急管理局
446,北京元六鸿远电子科技股份有限公司,44809,(京丰)应急现记〔2022〕执01391号,否,合格,区应急管理局
447,北京丰益居餐饮有限公司,44809,(京丰)应急现记〔2022〕执01389号,否,合格,区应急管理局
448,北京锦浩轩餐饮文化有限公司,44809,(京丰)应急现记〔2022〕执01385号,否,合格,区应急管理局
449,北京鑫鑫超越健身服务有限公司,44810,(京丰)应急现记〔2022〕执01404号,是,合格,区应急管理局
450,北京众一锅火锅服务有限公司,44810,(京丰)应急现记〔2022〕执01406号,否,合格,区应急管理局
451,北京时尚码头堡美发中心,44810,(京丰)应急现记〔2022〕执01401号,是,合格,区应急管理局
452,北京航天海鹰贸易有限公司云岗加油站,44810,(京丰)应急现记〔2022〕执01398号,否,合格,区应急管理局
453,北京青丝飞扬形象设计有限公司,44810,(京丰)应急现记〔2022〕执01402号,是,合格,区应急管理局
454,北京航天海鹰贸易有限公司云岗加油站,44810,(京丰)应急现记〔2022〕执01397号,否,合格,区应急管理局
455,北京齐力同创商贸有限公司,44810,(京丰)应急现记〔2022〕执01399号,是,合格,区应急管理局
456,北京建工双兴建设集团有限公司,44810,(京丰)应急现记〔2022〕执01639号,否,不合格（复查以后合格）,区应急管理局
457,北京圣地苑宾馆有限责任公司,44810,(京丰)应急现记〔2022〕执01407号,否,合格,区应急管理局
458,北京顶秀金瑞餐饮管理有限公司,44810,(京丰)应急现记〔2022〕执01400号,是,合格,区应急管理局
459,北京花之丽美容美发店,44810,(京丰)应急现记〔2022〕执01403号,是,合格,区应急管理局
460,北京好运宝亦石油制品商店,44811,(京丰)应急现记〔2022〕执01452号,否,合格,区应急管理局
461,中国石化销售股份有限公司北京丰台方庄加油站,44811,(京丰)应急现记〔2022〕执01409号,否,合格,区应急管理局
462,中国石化销售股份有限公司北京丰台马家堡分公司,44811,(京丰)应急现记〔2022〕执01524号,否,合格,区应急管理局
463,北京元乾元加油站有限公司,44811,(京丰)应急现记〔2022〕执01491号,否,合格,区应急管理局
464,中国石化销售股份有限公司北京丰台六里桥加油站,44811,(京丰)应急现记〔2022〕执01461号,否,合格,区应急管理局
465,北京广仟达加油站有限公司,44811,(京丰)应急现记〔2022〕执01500号,否,合格,区应急管理局
466,北京京铁诚信加油站有限责任公司,44811,(京丰)应急现记〔2022〕执01453号,否,合格,区应急管理局
467,北京公联京华石油有限责任公司柳村南加油站,44811,(京丰)应急现记〔2022〕执01506号,否,合格,区应急管理局
468,中国石化销售股份有限公司北京丰台玉泉营加油站,44811,(京丰)应急现记〔2022〕执01497号,否,合格,区应急管理局
469,北京好运油料供应有限公司分钟寺加油站,44811,(京丰)应急现记〔2022〕执01411号,否,合格,区应急管理局
470,北京宛平迅捷销售有限公司,44811,(京丰)应急现记〔2022〕执01425号,否,合格,区应急管理局
471,北京好运宝亦石油制品商店,44811,(京丰)应急现记〔2022〕执01446号,否,合格,区应急管理局
472,北京市丰台亚源加油站,44811,(京丰)应急现记〔2022〕执01504号,否,合格,区应急管理局
473,中油首汽石油销售有限公司北京十三号站,44811,(京丰)应急现记〔2022〕执01437号,否,合格,区应急管理局
474,北京倪庄鑫马加油站,44811,(京丰)应急现记〔2022〕执01418号,否,合格,区应急管理局
475,北京市于家坟加油站有限公司,44811,(京丰)应急现记〔2022〕执01414号,否,合格,区应急管理局
476,北京燕鑫海源石油制品有限公司,44811,(京丰)应急现记〔2022〕执01436号,否,合格,区应急管理局
477,北京市大灰厂加油站有限公司,44811,(京丰)应急现记〔2022〕执01441号,否,合格,区应急管理局
478,北京市国兴长油加油站有限公司,44811,(京丰)应急现记〔2022〕执01448号,否,合格,区应急管理局
479,北京市宛丰加油站,44811,(京丰)应急现记〔2022〕执01427号,否,合格,区应急管理局
480,北京市于家坟加油站有限公司,44811,(京丰)应急现记〔2022〕执01413号,否,合格,区应急管理局
481,北京万泉运通汽车燃料有限责任公司,44811,(京丰)应急现记〔2022〕执01447号,否,合格,区应急管理局
482,北京北青阳光石油化工有限公司右安门分公司,44811,(京丰)应急现记〔2022〕执01470号,否,合格,区应急管理局
483,北京市丰台赵辛店加油站,44811,(京丰)应急现记〔2022〕执01481号,否,合格,区应急管理局
484,北京北青阳光石油化工有限公司右安门分公司,44811,(京丰)应急现记〔2022〕执01468号,否,合格,区应急管理局
485,北京宛平迅捷销售有限公司,44811,(京丰)应急现记〔2022〕执01426号,否,合格,区应急管理局
486,北京市造甲村加油站,44811,(京丰)应急现记〔2022〕执01440号,否,合格,区应急管理局
487,北京广仟达加油站有限公司,44811,(京丰)应急现记〔2022〕执01499号,否,合格,区应急管理局
488,北京市丰台看丹加油站,44811,(京丰)应急现记〔2022〕执01434号,否,合格,区应急管理局
489,北京凡家村加油站,44811,(京丰)应急现记〔2022〕执01454号,否,合格,区应急管理局
490,北京超强力油脂销售中心,44811,(京丰)应急现记〔2022〕执01487号,否,合格,区应急管理局
491,北京石富丰机动车加油有限责任公司,44811,(京丰)应急现记〔2022〕执01445号,否,合格,区应急管理局
492,北京市造甲村加油站,44811,(京丰)应急现记〔2022〕执01438号,否,合格,区应急管理局
493,中国石化销售股份有限公司北京丰台丽泽东路加油站,44811,(京丰)应急现记〔2022〕执01465号,否,合格,区应急管理局
494,中国石化销售股份有限公司北京丰台成寿寺加油站,44811,(京丰)应急现记〔2022〕执01415号,否,合格,区应急管理局
495,北京公联京华石油有限责任公司柳村南加油站,44811,(京丰)应急现记〔2022〕执01505号,否,合格,区应急管理局
496,北京元乾元加油站有限公司,44811,(京丰)应急现记〔2022〕执01489号,否,合格,区应急管理局
