丰台区应急管理局执法检查公示目录（第三季度6月24日-9月30日）,,,,,,
序号,被检查单位名称,检查日期,执法检查单编号,检查方式是否双随机,检查结论,检查部门
55,北京市于家坟加油站有限公司,44760,(京丰)应急现记〔2022〕执00983号,否,合格,区应急管理局
56,中国石化销售股份有限公司北京丰台台金加油站,44760,(京丰)应急现记〔2022〕执00986号,否,合格,区应急管理局
57,北京四环翔亚加油站,44761,(京丰)应急现记〔2022〕执00994号,否,合格,区应急管理局
58,北京万泉运通汽车燃料有限责任公司,44761,(京丰)应急现记〔2022〕执01003号,否,合格,区应急管理局
59,北京万泉运通汽车燃料有限责任公司,44761,(京丰)应急现记〔2022〕执01019号,否,合格,区应急管理局
60,北京方庄时代商业管理有限公司,44761,(京丰)应急现记〔2022〕执00993号,是,不合格（复查以后合格）,区应急管理局
61,中国石化销售股份有限公司北京丰台成寿寺加油站,44761,(京丰)应急现记〔2022〕执01005号,否,合格,区应急管理局
62,北京公联京华石油有限责任公司柳村南加油站,44761,(京丰)应急现记〔2022〕执00988号,否,合格,区应急管理局
63,北京京辰瑞达投资管理有限公司,44761,(京丰)应急现记〔2022〕执01020号,否,合格,区应急管理局
64,北京北青阳光石油化工有限公司右安门分公司,44761,(京丰)应急现记〔2022〕执01010号,否,合格,区应急管理局
65,北京中北通达物业管理有限公司,44761,(京丰)应急现记〔2022〕执01007号,是,不合格（复查以后合格）,区应急管理局
66,北京金海航金属结构有限公司,44761,(京丰)应急现记〔2022〕执00992号,否,合格,区应急管理局
67,北京京铁诚信加油站有限责任公司,44761,(京丰)应急现记〔2022〕执01004号,否,合格,区应急管理局
68,中国石化销售股份有限公司北京丰台成寿寺加油站,44761,(京丰)应急现记〔2022〕执01016号,否,合格,区应急管理局
69,中油首汽石油销售有限公司北京十三号站,44761,(京丰)应急现记〔2022〕执00990号,否,合格,区应急管理局
70,北京凯利瑞成科技有限责任公司,44761,(京丰)应急现记〔2022〕执00999号,否,合格,区应急管理局
71,北京市造甲村加油站,44761,(京丰)应急现记〔2022〕执00998号,否,合格,区应急管理局
72,中油北汽石油产品销售（北京）有限公司石榴庄加油站,44761,(京丰)应急现记〔2022〕执01002号,否,合格,区应急管理局
73,北京公联京华石油有限责任公司柳村北加油站,44761,(京丰)应急现记〔2022〕执00989号,否,合格,区应急管理局
74,北京航天海鹰贸易有限公司云岗加油站,44761,(京丰)应急现记〔2022〕执01018号,否,合格,区应急管理局
75,北京京铁诚信加油站有限责任公司,44761,(京丰)应急现记〔2022〕执01000号,否,合格,区应急管理局
76,北京航天益来电子科技有限公司,44761,(京丰)应急现记〔2022〕执00995号,否,合格,区应急管理局
77,北京利安顺成品油有限公司,44761,(京丰)应急现记〔2022〕执01001号,否,合格,区应急管理局
78,北京天贶太和体育发展有限公司,44761,(京丰)应急现记〔2022〕执00996号,否,合格,区应急管理局
79,北京利安顺成品油有限公司,44761,(京丰)应急现记〔2022〕执01011号,否,合格,区应急管理局
80,北京华宇信诺印刷有限公司（王佐）,44761,(京丰)应急现记〔2022〕执00991号,否,合格,区应急管理局
81,北京航天海鹰贸易有限公司云岗加油站,44761,(京丰)应急现记〔2022〕执01009号,否,合格,区应急管理局
82,北京市富丰加油站有限公司,44761,(京丰)应急现记〔2022〕执01006号,否,合格,区应急管理局
83,北京市富丰加油站有限公司,44761,(京丰)应急现记〔2022〕执01017号,否,合格,区应急管理局
84,北京龙江奔达加油站,44761,(京丰)应急现记〔2022〕执00997号,否,合格,区应急管理局
85,中国石化销售股份有限公司北京丰台长兴加油站,44761,(京丰)应急现记〔2022〕执01008号,否,合格,区应急管理局
86,中国石化销售股份有限公司北京丰台台金加油站,44761,(京丰)应急现记〔2022〕执01012号,否,合格,区应急管理局
87,北京航天凯恩新材料有限公司,44762,(京丰)应急现记〔2022〕执01021号,否,合格,区应急管理局
88,北京二七通信工厂有限公司,44762,(京丰)应急现记〔2022〕执01023号,否,合格,区应急管理局
89,北京燕鑫海源石油制品有限公司,44762,(京丰)应急现记〔2022〕执01022号,否,合格,区应急管理局
90,北京市德利发加油站有限责任公司,44762,(京丰)应急现记〔2022〕执01029号,否,合格,区应急管理局
91,北京市杜家坎加油站有限公司,44762,(京丰)应急现记〔2022〕执01025号,否,合格,区应急管理局
92,中国石化销售股份有限公司北京丰台中垦丰南加油站,44762,(京丰)应急现记〔2022〕执01031号,否,合格,区应急管理局
93,北京市花乡盛丰明加油站有限公司,44762,(京丰)应急现记〔2022〕执01014号,否,合格,区应急管理局
94,北京广仟达加油站有限公司,44762,(京丰)应急现记〔2022〕执01015号,否,合格,区应急管理局
95,北京市花乡新发地加油站,44762,(京丰)应急现记〔2022〕执01013号,否,合格,区应急管理局
96,北京盛丰明陈留加油站有限公司,44762,(京丰)应急现记〔2022〕执01030号,否,合格,区应急管理局
97,北京市人教科发工贸有限责任公司,44762,(京丰)应急现记〔2022〕执01026号,否,合格,区应急管理局
98,北京丽维赛德酒店管理有限公司,44762,(京丰)应急现记〔2022〕执01051号,否,合格,区应急管理局
99,北京丰管路加油站,44762,(京丰)应急现记〔2022〕执01027号,否,合格,区应急管理局
100,北京苑津强加油站有限公司,44762,(京丰)应急现记〔2022〕执01028号,否,合格,区应急管理局
101,北京元泰宏财务咨询有限公司,44762,(京丰)应急现记〔2022〕执01048号,是,不合格（复查以后合格）,区应急管理局
102,北京润福通丰盾加油站有限公司,44762,(京丰)应急现记〔2022〕执01024号,否,合格,区应急管理局
103,中国石化销售股份有限公司北京丰台玉泉营加油站,44763,(京丰)应急现记〔2022〕执01033号,否,合格,区应急管理局
104,北京石富丰机动车加油有限责任公司,44763,(京丰)应急现记〔2022〕执01041号,否,合格,区应急管理局
105,北京宛平迅捷销售有限公司,44763,(京丰)应急现记〔2022〕执01035号,否,合格,区应急管理局
106,北京南三环草桥加油站,44763,(京丰)应急现记〔2022〕执01032号,否,合格,区应急管理局
107,北京物美京门商贸有限公司横一条店,44763,(京丰)应急现记〔2022〕执01076号,否,合格,区应急管理局
108,北京倪庄鑫马加油站,44763,(京丰)应急现记〔2022〕执01037号,否,合格,区应急管理局
109,中国石化销售股份有限公司北京丰台六里桥加油站,44763,(京丰)应急现记〔2022〕执01040号,否,合格,区应急管理局
110,北京市宛丰加油站,44763,(京丰)应急现记〔2022〕执01034号,否,合格,区应急管理局
111,北京京西三兴加油站,44763,(京丰)应急现记〔2022〕执01069号,否,合格,区应急管理局
112,北京丰台京旭加油站,44763,(京丰)应急现记〔2022〕执01039号,否,合格,区应急管理局
113,北京壳牌石油有限公司槐房路加油站,44763,(京丰)应急现记〔2022〕执01038号,否,合格,区应急管理局
114,北京市丰台亚源加油站,44764,(京丰)应急现记〔2022〕执01050号,否,合格,区应急管理局
115,北京元乾元加油站有限公司,44764,(京丰)应急现记〔2022〕执01045号,否,合格,区应急管理局
116,北京二商大红门南郊冷冻厂有限公司,44764,(京丰)应急现记〔2022〕执01079号,否,合格,区应急管理局
117,北京中外运加油站,44764,(京丰)应急现记〔2022〕执01044号,否,合格,区应急管理局
118,北京航天雷特机电工程有限公司气体分公司,44764,(京丰)应急现记〔2022〕执01049号,否,合格,区应急管理局
119,北京台宜汽车清洗保养有限公司,44764,(京丰)应急现记〔2022〕执01046号,否,合格,区应急管理局
120,北京鑫垚金地加油站有限公司,44764,(京丰)应急现记〔2022〕执01042号,否,合格,区应急管理局
121,北京陇兴嘉能能源有限公司,44764,(京丰)应急现记〔2022〕执01047号,否,合格,区应急管理局
122,北京丰北公交加油站,44764,(京丰)应急现记〔2022〕执01043号,否,合格,区应急管理局
123,北京物美京丰科技发展有限公司杜家坎店,44765,(京丰)应急现记〔2022〕执01086号,否,合格,区应急管理局
