id,预售许可证号,项目名称,建设单位,发文编号,交换时间,采集时间
487338,京房售证字(2005)228号,北京国际花园,北京金丰国际企业家俱乐部有限公司,（2005）长民一初字第16-6号,2005-06-09 00:00:00.000,2005-06-09 00:00:00.000
891298,京房售证字(并)208号,美邦亚联酒店商业写字楼,北京美邦亚联房地产有限公司,（2008）一中民初字第4920、4921、4922号,2005-05-09 00:00:00.000,2005-05-09 00:00:00.000
445431,京房售证字(2005)158号,春曦园,北京亚连房地产开发有限公司,(2006)平民初字第4350号,2005-04-30 00:00:00.000,2005-04-30 00:00:00.000
333739,京房售证字(2005)73号,国瑞城,北京国瑞兴业地产股份有限公司,经侦发字[2006]130,2005-04-28 00:00:00.000,2005-04-28 00:00:00.000
305808,京房售证字(2005)121号,方泽园住宅小区1#楼等10项,北京中豪房地产开发有限公司,(2007)二中民保字第12513号,2005-04-11 00:00:00.000,2005-04-11 00:00:00.000
819,京房售证字(2005)109号,朱雀门家苑,北京中集宏达房地产开发有限公司,（2008）京铁中执字第103号,2005-04-05 00:00:00.000,2005-04-05 00:00:00.000
169033,京房售证字(2005)98号,方泽园住宅小区,北京中豪房地产开发有限公司,(2007)二中民保字第12513号,2005-03-31 00:00:00.000,2005-03-31 00:00:00.000
1518,京房售证字(2005)71号,韦伯国际发展中心,北京鑫丰物业发展有限公司,（2005）二中民初字第683号,2005-03-09 00:00:00.000,2005-03-09 00:00:00.000
64691,京房售证字(2005)55号,建国公寓,北京裕金房地产开发有限公司,(2009)丰执字第4041号,2005-02-24 00:00:00.000,2005-02-24 00:00:00.000
64691,京房售证字(2005)55号,建国公寓,北京裕金房地产开发有限公司,经侦发字（2007）60号,2005-02-24 00:00:00.000,2005-02-24 00:00:00.000
64691,京房售证字(2005)55号,建国公寓,北京裕金房地产开发有限公司,（2005）二中民终字第4011、4013号,2005-02-24 00:00:00.000,2005-02-24 00:00:00.000
628,京房售证字(2005)54号,湖畔雅居三期,北京法亚房地产开发有限公司,（2006）朝民保字第28496号,2005-02-24 00:00:00.000,2005-02-24 00:00:00.000
450509,京房售证字(2005)51号,三星庄园1号楼、2号楼,北京恒鑫房地产开发有限公司,（2005）二中民终字第13732-2号,2005-02-07 00:00:00.000,2005-02-07 00:00:00.000
450509,京房售证字(2005)51号,三星庄园1号楼、2号楼,北京恒鑫房地产开发有限公司,（2005）二中民终字第13732-2,2005-02-07 00:00:00.000,2005-02-07 00:00:00.000
1022,京房售证字(2005)44号,太阳宫水星园,北京京冠房地产开发有限公司,(2006)朝执字第13005号,2005-02-06 00:00:00.000,2005-02-06 00:00:00.000
806,京房售证字(2005)39号,平英阁、安海阁（华普花园III段），华普中心（II段）,北京中地房地产开发有限公司,（2007）二中民初字第9278号,2005-02-04 00:00:00.000,2005-02-04 00:00:00.000
806,京房售证字(2005)39号,平英阁、安海阁（华普花园III段），华普中心（II段）,北京中地房地产开发有限公司,（2007）一中执字第746、747号,2005-02-04 00:00:00.000,2005-02-04 00:00:00.000
