2021年度绿色发展资金拟支持项目（首批）名单,,,
序号,项目类别,实施单位,项目名称
66,,北京京东方显示技术有限公司,绿色供应链管理企业
67,节水型单位称号类项目, 百泰生物药业有限公司,节水型单位称号类项目
68,,葆婴有限公司,节水型单位称号类项目
69,,北京包尔乐物业管理有限公司,节水型单位称号类项目
70,,北京北方华创微电子装备有限公司,节水型单位称号类项目
71,,北京奔驰汽车有限公司,节水型单位称号类项目
72,, 北京博大开拓热力有限公司,节水型单位称号类项目
73,,北京朝林君道源企业服务有限公司,节水型单位称号类项目
74,,北京丰大国际大酒店有限责任公司,节水型单位称号类项目
75,,北京金佰利个人卫生用品有限公司,节水型单位称号类项目
76,,北京京运通科技股份有限公司,节水型单位称号类项目
77,, 北京经纬纺机新技术有限公司,节水型单位称号类项目
78,,北京曼可顿食品科技有限公司,节水型单位称号类项目
79,,北京神州细胞生物技术集团股份公司,节水型单位称号类项目
80,,北京四达时代软件技术股份有限公司,节水型单位称号类项目
81,,北京四环生物制药有限公司,节水型单位称号类项目
82,,北京天骥智谷资产经营管理有限公司,节水型单位称号类项目
83,,北京新能源汽车股份有限公司,节水型单位称号类项目
84,,北京亦庄城市服务集团有限公司工业企业物业管理分公司,节水型单位称号类项目
85,,北京亦庄京芯园投资发展有限公司,节水型单位称号类项目
86,,北京智飞绿竹生物制药有限公司,节水型单位称号类项目
87,,博世力士乐（北京）液压有限公司,节水型单位称号类项目
88,,布瑞琳科技（北京）有限公司,节水型单位称号类项目
89,,第一三共制药（北京）有限公司,节水型单位称号类项目
90,,冠捷显示科技（中国）有限公司,节水型单位称号类项目
91,,航天长征化学工程股份有限公司,节水型单位称号类项目
92,, 加多宝（中国）饮料有限公司,节水型单位称号类项目
93,, 利乐包装（北京）有限公司,节水型单位称号类项目
94,,联华林德气体（北京）有限公司,节水型单位称号类项目
95,,深圳市大族物业管理有限公司北京分公司,节水型单位称号类项目
96,, 舒泰神（北京）生物制药股份有限公司,节水型单位称号类项目
97,,亿滋食品（北京）有限公司,节水型单位称号类项目
98,,中化金茂物业管理（北京）有限公司亦庄分公司,节水型单位称号类项目
99,,中冶京诚工程技术有限公司,节水型单位称号类项目
