2022年度北京经济技术开发区消防安全重点单位名录,,
序号,名称,地址
91,富智康精密组件（北京）有限公司,开发区同济中路18号
92,中国检验检疫科学研究院,开发区荣华南路11号
93,北京亦庄城市服务集团有限公司楼宇物业管理分公司(BDA国际企业大道A区),开发区景园北街2号
94,北京亦庄城市服务集团有限公司楼宇物业管理分公司(经开尚庭公寓项目）,开发区荣华街道景园北街2号院
95,北京亦创科技文化有限公司（高层办公楼）,开发区荣昌东街6号2幢4层
96,中国华冶科工集团有限公司,开发区康定街1号B座
97,北京同仁堂健康药业股份有限公司,开发区景园北街2号
98,中冶京诚工程技术有限公司,开发区建安街7号
99,北京嘉捷企业物业管理服务有限公司,开发区西环南路26号院31幢
100,通用电气医疗（中国）有限公司,开发区同济南路1号院
101,北京惠买在线网络科技有限公司,开发区同济南路19号
102,嘉捷盛世（北京）物业顾问有限公司,开发区景园北街2号50-1幢
103,北京意尔诗丹经贸有限责任公司,开发区景园北街2号50-2幢
104,北京亦庄国际投资发展有限公司,开发区景园北街2号52幢
105,中恒国际租赁有限公司,开发区景园北街2号53幢
106,中国建设银行股份有限公司北京经济技术开发区支行,开发区景园北街2号55幢
107,北京集创北方科技股份有限公司,开发区景园北街2号56幢
108,北京金源利德投资有限公司,开发区景园北街2号60幢
109,北京晟晖投资管理有限公司,开发区景园北街2号62-1幢
110,北京高田服装服饰有限责任公司,开发区景园北街2号62-2幢
111,北京朝林君道源企业服务有限公司,开发区荣华中路15号
112,中国国际电子商务中心,开发区荣华中路11号
113,北京佳洁鸿运物业管理有限公司(富兴国际项目),开发区天华北街11号院
114,北京亦庄置业有限公司楼宇物业管理分公司（亦城科技中心）,开发区荣华南路9号院
115,唯石（宁夏）物业管理有限责任公司北京分公司（BDA国际广场）,开发区地盛西路6号院
116,中航物业管理有限公司北京公司(中航技广场项目),开发区荣华南路15号
117,北京亦庄置业有限公司楼宇物业管理分公司（北工大项目B区）,开发区地盛北街1号B区
118,北京经开投资开发股份有限公司（北工大项目C、D区）,开发区地盛北街1号C、D区
119,中航物业管理有限公司北京公司（中航国际广场）,开发区荣华南路13号院
120,北京亦庄城市服务集团有限公司楼宇物业管理分公司（隆盛大厦）,开发区荣昌东街甲五号
121,北京城市服务集团有限公司楼宇物业管理分公司（亦城财富中心）,开发区荣华街道荣华中路22号
122,北京市市场监管发展研究中心,开发区中和街4号
123,深圳市大族物业管理有限公司北京分公司（大族广场项目）,开发区荣华街道荣华南路2号院
124,中外运-敦豪国际航空快件有限公司,开发区荣华街道荣华南路18号
125,中铁十九局集团有限公司,开发区荣华街道南路19号
126,中国安全防伪证件研制中心,开发区荣昌东街甲一号
127,中国农业银行股份有限公司北京经济技术开发区分行,开发区荣华街道中和街3号
128,北京泰德制药股份有限公司,开发区荣京东街8号 
129,北京新能源汽车股份有限公司,开发区东环中路5号
130,百泰生物药业有限公司,开发区荣京东街2号
131,北京欣联恒业投资有限责任公司,开发区永昌中路甲6号
132,北京亦庄置业有限公司楼宇物业管理分公司（亦城国际中心项目）,开发区荣华中路10号
133,北京航天万源科技有限公司,开发区锦绣街6号
134,北京泰豪智能科技有限公司,开发区运成街2号
135,北京万佳鑫物业管理有限责任公司（荣华鑫泰大厦）,开发区荣华南路10号院
136,北京联通兴业科贸有限公司（中国联通科研大厦）,开发区北环东路1号
137,北京佳洁鸿运物业管理有限公司（兴盛国际）,开发区同济中路7号
138,北京城市服务集团有限公司工业企业物业管理分公司（中和工业园）,开发区中和街16号
139,北京安瑞泰富物业管理有限公司（荣京丽都项目）,开发区荣京东街3号
140,北京晟邦物业管理有限公司（林肯公寓项目）,开发区荣华街道北环东路17号院
141,北京晟邦物业管理有限公司（林肯公园A区）,开发区荣华街道荣华北路2号
142,第一太平戴维斯物业顾问（北京）有限公司经济技术开发区分公司（力宝诗礼庭项目）,开发区荣华中路8号
143,北京天翼物业管理有限责任公司 (易居国际项目),开发区荣华中路5号
144,北京晟邦物业管理有限公司(林肯公园C区项目),开发区文化园西路8号院
145,北京晟邦物业管理有限公司(林肯公园B区项目),开发区文化园西路6号院
146,第一物业（北京）股份有限公司亦庄分公司（国融国际项目）,开发区荣华中路7号院
147,北京澳西物业管理有限公司（国锐金嵿项目）,开发区荣华南路1号
148,北京晟邦物业管理有限公司（君安国际项目）,开发区荣华南路7号
149,夏晖物流（北京）有限公司,开发区荣华街道兴盛街6号
150,金鹰国际货运代理有限公司,开发区锦绣街11号
151,北京市邮政速递物流有限公司物流分公司,开发区宏达南路76号
152,博大世通国际物流（北京）有限公司,开发区西环南路36号
153,国药物流有限责任公司,开发区康定街8号
154,SMC（中国）有限公司（单身宿舍）,开发区中和街乙3号
155,北京亦庄城市服务集团有限公司楼宇物业管理分公司（永康公寓项目）,开发区康定街18号
156,北京博大开拓热力有限公司3号供热厂,开发区永昌南路10号
157,北京金佰利个人卫生用品有限公司,开发区建安街2号
158,北京东进世美肯科技有限公司（一厂）,开发区兴业街10号
159,北京爱贝宫健悦国际母婴护理有限公司,开发区天华南街3号院61号楼四、五层
160,北京博大开拓热力有限公司5号供热厂,天宝中街1号
161,北京和利时系统工程有限公司,开发区地盛中路2号院
162,京东方科技集团股份有限公司,开发区西环中路12号
163,中芯北方集成电路制造（北京）有限公司,开发区文昌大道18号
164,资生堂丽源化妆品有限公司,开发区宏达北路2号
165,拜耳医药保健有限公司,开发区荣京东街7号
166,中粮可口可乐饮料（北京）有限公司,开发区荣京东街9号
167,北京大宝化妆品有限公司,开发区荣华中路12号
168,北京博大开拓热力有限公司荣慧分公司（1厂）,开发区宏达北路6号
169,北京博大开拓热力有限公司永昌分公司（2厂）,开发区运成街10号
170,揖斐电电子（北京）有限公司（1厂）,开发区荣华街道荣昌东街15号
171,中体彩印务技术有限公司,开发区东环中路1号
172,北京亦城科创酒店管理有限公司,开发区经海七路100号院11号楼
173,北京益尚酒店管理有限公司,开发区科谷一街10号院6号楼3层301-3B
174,北京鸿盛嘉苑酒店管理有限公司,开发区科创十三街29号院一区7号楼
175,北京恩泽园企业管理有限公司,开发区泰和园四里三区甲1号楼
176,北京市第二中学经开区学校,开发区博兴七路
177,北京市建华实验亦庄学校,开发区科创十一街与经海七路交汇处
178,北京卓越天和运营管理有限公司,开发区科谷四街1号院
179,北京久芯科技有限公司,开发区路东区科创八街与经海三路交叉口北
180,北京国盛兴业投资有限公司（城乡世纪商厦）,开发区科创五街38号
181,北京期选信息技术有限公司亦庄经海路店,开发区科创十一街4号院4号楼1层、2层
182,北京都市假日酒店管理有限公司,开发区科谷二街6号
183,北京德沁酒店管理有限公司,开发区经海七路101号10号楼
184,北京心源文化发展有限公司,开发区科创五街38号D座四层D407
185,北京电子科技职业学院,开发区凉水河一街9号
186,中国电信股份有限公司北京分公司,开发区瑞合西二路3号院
187,百度云计算技术（北京）有限公司,开发区瑞合西二路10号院
188,北京中金云网科技有限公司,开发区博兴八路1号
189,联华林德气体（北京）有限公司,开发区经海三路108号
190,北京东进世美肯科技有限公司（二厂）,开发区科创九街36号
191,冠捷显示科技（中国）有限公司 ,开发区经海三路106号
192,中国石油化工股份有限公司北京大兴赫凯基业加油站,开发区荣昌西街2号
193,中国石化销售股份有限公司北京亦庄融兴街加油站,开发区融兴南二街19号
194,中国石油天然气股份有限公司北京市通安加油站,开发区经海一路142号
195,采埃孚汽车底盘系统（北京）有限公司,开发区兴海一街1号
196,北京德尔福万源发动机管理系统有限公司,开发区博兴路19号
197,北京北生研生物制品有限责任公司,开发区博兴二路6、9号
198,北京新华印刷有限公司,开发区凉水河一街8号
199,鸿博昊天科技有限公司,开发区博兴七路5号
200,北京奔驰汽车有限公司,开发区博兴路8号
201,北京京东方显示技术有限公司,开发区经海一路118号
202,北京盛通印刷股份有限公司,开发区经海三路18号
203,舒泰神(北京)生物制药股份有限公司,开发区经海二路36号
204,康宁显示科技（中国）有限公司,开发区科创十街26号
205,北方导航控制技术股份有限公司,开发区科创十五街2号
206,亿滋食品（北京）有限公司,开发区经海三路148号
207,北京中寰普尔特物业管理有限公司,开发区融兴北一街19号
208,康龙化成（北京）新药技术有限公司,开发区泰河路6号
209,深圳市大族物业管理有限公司北京分公司（企业湾项目）,开发区凉水河二街8号
210,北京金风科创风电设备有限公司（二期）,开发区博兴一路8号
211,北京航化节能环保技术有限公司,开发区泰河三街2号
212,北京京东世纪贸易有限公司亦庄总部,开发区科创十一街18号
213,北京亦庄京芯园投资发展有限公司,开发区经惠东路5号院
214,岩德物业管理（北京）有限公司（汇龙森3期）,开发区科创十四街99号
215,北京包尔乐物业管理有限公司（天通泰科技金融谷）,开发区科创十三街29号院
216,合众思壮北斗导航有限公司,开发区科创十二街8号
217,北京亦庄置业有限公司楼宇物业管理分公司（信创园项目）,开发区科谷一街10号院
218,北京世纪帕克科技有限公司,开发区科创十三街18号院
219,北京科创慧谷商务发展有限公司,开发区经海六路3号院
220,北京天骥智谷资产经营管理有限公司,开发区经海三路109号院
221,北京凯恩帝自动化科技有限公司,开发区科创十一街8号院
222,北京银和港科技管理有限公司,开发区经海六路9号院
223,北京亦庄城市服务集团有限公司工业企业物业管理分公司（生物医药园项目）,开发区科创六街88号
224,北京亦庄城市服务集团有限公司楼宇物业管理分公司（亦城时代项目）,开发区经海路22号院
225,北京赛斯特服装有限公司（开发区）,开发区科创四街9号院
226,宇华卫士（北京）物业管理有限公司,开发区经海二路29号院
227,北京亦庄置业有限公司楼宇物业分公司（亦城科创家园）,开发区经海七路100号
228,北京越海全球物流有限公司,开发区经海五路59号
229,北京亦庄城市服务集团有限公司工业企业物业管理分公司（青年公寓）,开发区凉水河一街20号
230,北京博大开拓热力有限公司7号供热厂,开发区科创十街24号
,,
,,
,,
