唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
9f0ba55e-492f-48bf-bf53-4a35dda96797,北京四海汇成生态旅游开发有限公司,91110114MA04D6841Y,马*杰,(京)文执罚 〔2024〕第600144号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京四海汇成生态旅游开发有限公司于2024年04月01日与2024年04月30日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,1.罚款伍仟元;,0.5,2024/7/17,2099/12/31,2025/7/17,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:49
57007784-1389-4979-89d9-c85127552e92,中鑫国际旅行社（北京）有限公司,91110102569514487K,曹*伟,(京)文执罚 〔2023〕第600115号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,中鑫国际旅行社（北京）有限公司于2023年04月29日，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/6/19,2099/12/31,2024/6/19,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:44
bbb0a1e8-b1b6-4463-b35b-61ba83f7ebbf,驴友部落（北京）旅行社有限公司,91110115MACB7CWM30,黄*云,(京)文执罚 〔2024〕第600167号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,驴友部落（北京）旅行社有限公司2024年7月3日至7月7日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款“旅行社违反本条例第二十五条第一款规定，未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的，由旅游行政部门责令改正，处以5000元以上 5 万元以下罚款，并可以责令停业整顿；情节严重的，吊销旅行社业务经营许可证。”,罚款,罚款人民币伍仟元。,0.5,2024/8/29,2099/12/31,2025/8/29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:43
0a7f73cb-a138-4991-af0e-4c8fbec4c1f0,北京一路伴航国际旅行社有限公司,91110114MACGCRXJ85,张*建,(京)文执罚 〔2024〕第600224号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京一路伴航国际旅行社有限公司分别于2024年08月17日、2024年08月19日、2024年08月20日组织旅游团队开展旅游业务，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款5000元人民币,0.5,2024/11/6,2099/12/31,2025/11/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:45
0d200554-48d0-4f9e-97a6-b19a7a37a432,利隆嘉美（北京）国际旅行社有限公司, 91110114MA01J1J05T,张*广,(京)文执罚 〔2023〕第600137号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,利隆嘉美（北京）国际旅行社有限公司于2023年06月01日存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/6/30,2099/12/31,2024/6/30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:24
ace18ad3-e67e-4230-8b84-473c7e6dbaff,北京六人游国际旅行社股份有限公司, 91110105082824803G,贾*强,(京)文执罚 〔2025〕第600009号,旅行社安排旅游者参观或参与违反我国法律、法规和社会公德的项目或者活动,北京六人游国际旅行社股份有限公司于2024年9月28日组织13名游客参加“醉美越南*14日全景之旅”的出境旅游活动，未通过北京市文化和旅游局“旅行社电子行程单备案系统”进行电子行程单填报，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的违法事实，该单位未通过上述违法行为获取收益（款项）。,《北京市旅游条例》第六十六条第一款,罚款,    罚款人民币伍仟元。,0.5,2025/1/13,2099/12/31,2026/1/13,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,18/3/2025 10:30:45
b9ed3cfb-c872-429c-998f-2396f0cce1e4,北京海洋行国际旅行社有限公司,91110108MACY3WHM1W,孙*保,(京)文执罚 〔2024〕第600198号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京海洋行国际旅行社有限公司于2024年6月28日至7月2日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的行为,《北京市旅游条例》第六十六条第一款,罚款,1.罚款伍仟元元;,0.5,2024/10/5,2099/12/31,2025/10/5,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:50
db4e87f1-3a33-4e07-b834-ea3ba548b1a9,山河壮美（北京）国际旅行社有限公司,91110107MACU6LHD0Q,金*,(京)文执罚 〔2024〕第600227号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,"山河壮美（北京）国际旅行社有限公司于织2024年8月12
日至17日“昆明大理丽江 5 晚 6 日游”期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案。",《北京市旅游条例》第六十六条第一款,罚款,    罚款伍仟元。,0.5,2024/11/11,2099/12/31,2025/11/11,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:46
f6ee39a7-ca37-49fb-87d6-7447cbcb77fb,北京洲邮旅行社有限公司,91110400MA7LKU4N32,张*,(京)文执罚 〔2023〕第600224号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京洲邮旅行社有限公司于2023年07月12日与2023年07月14日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/9/13,2099/12/31,2024/9/13,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:30
1bce7ddb-d981-4e0a-9191-853ee8c2b84e,北京开心国际旅游有限公司,91110106MA001RMJ1N,李*,(京)文执罚 〔2023〕第600288号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京开心国际旅游有限公司于2023年07月03日，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/11/13,2099/12/31,2024/11/13,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:35
3a4b488c-a2fa-4343-a012-8748d39f5781,亿和时代（北京）国际旅行社有限公司,911101080628306327,邵*冰,(京)文执罚 〔2023〕第600131号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,亿和时代（北京）国际旅行社有限公司于2023年03月24日存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/6/30,2099/12/31,2024/6/30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:34
5df8fa4f-c2d0-4d43-8c61-6e713e0c60de,北京彩云间国际旅行社有限公司,91110106MACD9PCY2E,徐*,(京)文执罚 〔2023〕第600328号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京彩云间国际旅行社有限公司于2023年07月02日与2023年07月04日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/12/26,2099/12/31,2024/12/26,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:26
5edb797e-83b9-44cb-9389-16ebef0e2c98,利隆嘉美（北京）国际旅行社有限公司, 91110114MA01J1J05T,张*广,(京)文执罚 〔2023〕第600138号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,利隆嘉美（北京）国际旅行社有限公司于2023年05月01日存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/6/30,2099/12/31,2024/6/30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:23
fdf6a381-6409-4642-8caf-7ebed52b22a1,续游旅行社（北京）有限公司,91110105MA01P3C767,王*琦,(京)文执罚 〔2023〕第600239号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,续游旅行社（北京）有限公司于2023年07月04日与2023年08月19日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币壹万元。,1,2023/9/26,2099/12/31,2024/9/26,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:44
319d4ef7-dd4a-4bd5-a050-f0c6890f22aa,北京爱达国际旅行社有限公司,91110105MACRF64QXJ,苏*华,(京)文执罚 〔2024〕第600252号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京爱达国际旅行社有限公司2024年9月15日的旅游团队未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案，未取得违法所得。,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2024/12/5,2099/12/31,2025/12/5,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:49
