项目名称,企业名称,获奖人姓名
TRIZ创新理论在钢铁领域特征标识物检测中的应用,中冶京诚工程技术有限公司,"陈*,林*,杜**"
TRIZ方法在电气设计数据管理平台开发中的应用,中冶京诚工程技术有限公司,"倪*,李*,张*"
病生理音频诊断系统,北京市丰台中西医结合医院,"励*,程**,柯**"
城市综合管廊可持续建设研究,中国中建设计研究院有限公司,"郭**,李*,吕*"
高线大规格包型改善及性能提升,北京京诚瑞信长材工程技术有限公司,"岳*,梁*,王**"
氦气成因资源评价方法及装置,中国石油天然气股份有限公司勘探开发研究院,"吴**,王**,王*"
基于TIRZ的AMT换挡策略解决方案,北汽福田汽车股份有限公司,何*
基于TRIZ创新开发的市政雨水调蓄系统,中冶京诚工程技术有限公司,"张*,胡**,孔**"
基于TRIZ创新开发的一种多流连铸坯出坯系统和方法,中冶京诚工程技术有限公司,"祝**,曹**,陈**"
基于TRIZ创新开发的一种防堵减速溜管,中冶京诚工程技术有限公司,"王**,刘**,吴**"
基于TRIZ的建筑智能化物联网控制网关专利规划,北京市建筑设计研究院有限公司,"刘*,周*,韦**"
基于TRIZ方法的高温富燃燃气消声安全装置研制,北京航天试验技术研究所,"范**,陈*,崔**"
基于TRIZ方法解决导电抗病毒锦纶纤维连续熔融纺丝问题,北京航天凯恩新材料有限公司,"杨**,郑**,孟*"
基于TRIZ方法解决既有建筑改造的新型点挂式外墙保温体系的问题,北京市建筑装饰设计工程有限公司,"乔**,毛*,郭**"
基于TRIZ方法开展高性能电力复合脂的研发,北京殷图网联科技股份有限公司,"孙*,刘*,杨**"
基于Triz方法探究磁流体时钟产品化的路线,北京航天试验技术研究所,"江**,董**,张**"
基于TRIZ解决组培接种过程中污染问题,北京中农富通园艺有限公司,"柳**,马*,王**"
基于TRIZ开发的一种圆坯生产方法,中冶京诚工程技术有限公司,"李**,董**,陈**"
基于TRIZ理论的“智能泌尿肿瘤术后家庭加速康复系统”,医数未来（北京）科技有限公司,"孙**,何**,孙**"
基于TRIZ理论的“智能多体位防压疮充气床垫”,医数未来（北京）科技有限公司,"孙**,孙**,牛*"
基于TRIZ理论的板带表面处理方法与系统,中冶京诚工程技术有限公司,"武**,王**,王**"
基于TRIZ理论的大型化烟气低浓度低成本碳捕集技术,中国寰球工程有限公司,"黄*,解**,林*"
基于TRIZ理论的仿生鳞片抗冲击结构设计,北京航天雷特机电工程有限公司,"戴**,李**,李**"
基于TRIZ理论的分布式数据采集平台,中冶京诚工程技术有限公司,"王*,王**,刘**"
基于triz理论的冷轧水平活套系统的创新升级,中冶京诚工程技术有限公司,"颜**,吴**,武**"
