延庆区2023年度施工许可证信息,,,,,,,,
序号,工程名称,施工许可证号,工程所在区,建设单位,工程规模,发证日期,建设地址,施工单位
23,延庆区康庄镇康园路热力工程（延庆区康庄镇康园路热力工程）,[2023]施[延]市政字0032号,延庆区,北京庆隆建设管理有限公司,737.50米,2023/9/18,由延庆区康庄镇兴隆街经延庆区到延庆区康庄镇晨光东街,北京鑫旺路桥建设有限公司
24,延庆区康庄镇一、二、三街村棚改市政配套项目（康园路项目）（延庆区康庄镇一、二、三街村棚改市政配套项目（康园路））、延庆区康庄镇一、二、三街村棚改市政配套项目（康园路项目）（延庆区康庄镇一、二、三街村棚改市政配套项目（康园路项目）（管线工程））,[2023]施[延]市政字0031号,延庆区,北京庆隆建设管理有限公司,4192.16米,2023/9/13,由延庆区兴隆街经延庆区康园路到延庆区晨光东街,北京路桥瑞通养护中心有限公司
25,3#生产车间、4#生产车间,[2023]施[延]建字0030号,延庆区,北京美康正科技有限公司,11717.440平方米,2023/9/7,延庆区康庄镇八达岭开发区,北京市建雄建筑集团有限公司
26,1号楼研发厂房（运控及研发厂房），门房1，门房2,[2023]施[延]建字0029号,延庆区,航天时代飞鸿技术有限公司,28899.060平方米,2023/9/1,延庆区康庄镇YQ02-0102-6030-1、YQ02-0102-6030-2地块,中航天建设工程集团有限公司
27,2#生产车间,[2023]施[延]建字0028号,延庆区,北京美康正科技有限公司,3876.840平方米,2023/8/30,延庆区康庄镇八达岭开发区,北京市京强建筑有限责任公司
28,1#生产车间、实验小试车间及配套用房,[2023]施[延]建字0027号,延庆区,北京美康正科技有限公司,18185.020平方米,2023/8/30,延庆区康庄镇八达岭开发区,中航天建设工程集团有限公司
29,北京凯霖娜国际贸易有限公司好益生医院分公司装修工程,[2023]施[延]装字0026号,延庆区,北京凯霖娜国际贸易有限公司好益生医院分公司,9492.000平方米,2023/8/9,延庆区庆园街2号（南部）,北京龙庆建筑工程有限公司
30,北京华风大城堡康乐宫装修工程,[2023]施[延]装字0025号,延庆区,北京甜蜜一生文化传媒有限公司,5327.020平方米,2023/7/26,延庆区庆园街2号（北部）,北京中博汇金建筑装饰工程有限公司
31,新华家园养老住区（延庆）项目C-1老年服务用房等7项-D3报告厅等三项工程,[2023]施[延]装字0024号,延庆区,新华家园健康科技（北京）有限公司,1343.000平方米,2023/7/24,延庆区鸿川北路2号院六区,北京市第五建筑工程集团有限公司
32,延庆区康庄镇榆林路道路工程（雨水、污水、供水、再生水管线）（延庆区康庄镇榆林路道路工程（雨水、污水、供水、再生水管线））,[2023]施[延]市政字0023号,延庆区,北京庆隆建设管理有限公司,2880.60米,2023/7/12,由延庆区康庄镇兴隆街经延庆区到延庆区康庄镇晨光东街东侧,北京市常青市政工程有限公司
33,延庆区康庄镇晨光街道路工程（延庆区康庄镇晨光街道路工程）、延庆区康庄镇晨光街道路工程（雨水、污水、供水、再生水管线）（延庆区康庄镇晨光街道路工程（雨水、污水、供水、再生水管线））,[2023]施[延]市政字0022号,延庆区,北京庆隆建设管理有限公司,7381.62米,2023/6/16,由延庆区康庄镇榆林路经晨光街到延庆区康庄镇汇通路,北京易成市政工程有限责任公司
34,延庆区康庄镇汇通路东段道路工程（延庆区康庄镇汇通路东段道路工程）、延庆区康庄镇汇通路东段道路工程（雨水、污水、供水、再生水管线）（延庆区康庄镇汇通路东段道路工程（雨水、污水、供水、再生水管线））,[2023]施[延]市政字0021号,延庆区,北京庆隆建设管理有限公司,3717.01米,2023/6/14,由延庆区康庄镇兴隆街经汇通路到延庆区康庄镇晨光街东街,北京建工土木工程有限公司
35,延庆区康庄镇汇通路东段、晨光街、榆林路热力工程(延庆区康庄镇汇通路东段、晨光街、榆林路热力工程),[2023]施[延]市政字0020号,延庆区,北京庆隆建设管理有限公司,2283.00米,2023/6/5,由延庆县康庄镇经延庆区到延庆区康庄镇,北京市常青市政工程有限公司
36,北京市延庆区张山营镇后黑龙庙村共生社区接待中心项目（旅游接待中心）,[2023]施[延]建字0019号,延庆区,北京市延庆区张山营镇后黑龙庙村经济合作社,656.640平方米,2023/5/31,延庆区张山营镇后黑龙庙村,中工立业建设有限公司
37,延庆辉煌云栖谷项目（B-06地块）（B06-1#楼等6项）,[2023]施[延]建字0018号,延庆区,北京辉煌凯盛旅游产业有限公司,3396.500平方米,2023/5/26,延庆区张山营镇古龙路66号,中顺铭远（北京）建筑有限公司
38,延庆区第八中学风雨操场建设工程（风雨操场）,[2023]施[延]建字0017号,延庆区,北京市延庆区第八中学,3542.400平方米,2023/5/24,延庆区延庆镇广积屯村甲5号,北京市第五建筑工程集团有限公司
39,厂房及研发中心（北方大陆生物工程有限公司生产及研发中心建筑项目）,[2023]施[延]建字0016号,延庆区,北京北方大陆生物工程有限公司,12346.000平方米,2023/5/23,延庆区八达岭经济开发区紫光东路9号,长春昌驰建设集团有限公司
40,河海宾馆改造工程,[2023]施[延]装字0015号,延庆区,北京鼎熙阁酒店管理有限公司,4180.300平方米,2023/5/17,延庆区高塔街40号东侧,中兴华通（北京）建筑有限公司
41,耿家营110千伏输变电工程（耿家营110千伏输变电工程（输电线路））,[2023]施[延]市政字0014号,延庆区,国网北京市电力公司,354.60米,2023/5/17,由延庆区延庆镇延庆110千伏变电站到延庆区旧县镇耿家营110千伏变电站,中壤建设股份有限公司
42,延庆辉煌云栖谷项目（A-03地块）（配套商业）,[2023]施[延]建字0013号,延庆区,北京辉煌凯盛旅游产业有限公司,3915.000平方米,2023/4/26,延庆区张山营镇古龙路66号,中顺铭远（北京）建筑有限公司
43,北京世园营地交流中心项目,[2023]施[延]装字0012号,延庆区,北京世园投资发展有限责任公司,4255.020平方米,2023/4/21,延庆区延康路10号院1号楼,北京韩建集团有限公司
44,中关村延庆园企业之家三层餐厅升级改造项目,[2023]施[延]装字0011号,延庆区,北京八达岭工发新能源科技企业孵化器有限公司,1132.000平方米,2023/4/17,延庆区康庄镇风谷四路8号院27号楼,北京双盈达建设集团有限公司
45,华夏银行股份有限公司北京延庆支行内装修工程,[2023]施[延]装字0010号,延庆区,华夏银行股份有限公司北京分行,580.040平方米,2023/4/17,延庆区东外大街51号院2号楼1层103,北京中金华圣建设工程有限公司
46,耿家营110千伏输变电工程(耿家营110千伏输变电工程（变电站）),[2023]施[延]市政字0009号,延庆区,国网北京市电力公司,3453.000平方米,2023/3/30,延庆区旧县镇旧县村,北京城建北方集团有限公司
47,延庆新城龙顺路（延琉路-规划二路）道路工程（延庆新城龙顺路（延琉路-规划二路）道路工程）、延庆新城龙顺路（延琉路-规划二路）道路工程（管线工程）（延庆新城龙顺路（延琉路-规划二路）道路工程（管线工程））,[2023]施[延]市政字0008号,延庆区,北京市延庆区城市管理委员会,3111.30米,2023/3/28,由延庆区延琉路经龙顺路到延庆区规划二路,中集建设集团有限公司
48,延庆新城高塔路东延（龙庆路-龙顺路）道路工程（延庆新城高塔路东延（龙庆路-龙顺路）道路工程）、延庆新城高塔路东延（龙庆路-龙顺路）道路工程（管线工程）（延庆新城高塔路东延（龙庆路-龙顺路）道路工程（管线工程））,[2023]施[延]市政字0007号,延庆区,北京市延庆区城市管理委员会,2076.31米,2023/3/28,由延庆区龙庆路到延庆区龙顺路,北京城建集团有限责任公司
49,延庆区延庆新城小营中路（延庆小营七号加密路-湖北东路）道路工程（延庆区延庆新城小营中路（延庆小营七号加密路-湖北东路）道路工程）、延庆区延庆新城小营中路（东外大街-湖北东路）道路工程（延庆区延庆新城小营中路（东外大街-湖北东路）道路工程（管线工程））,[2023]施[延]市政字0006号,延庆区,北京市延庆区城市管理委员会,2334.39米,2023/3/27,由延庆区小营七号加密路到延庆区湖北东路,北京政平建设投资集团有限公司
50,延庆公路应急保障中心（延庆公路应急保障中心）,[2023]施[延]市政字0005号,延庆区,北京路桥瑞通养护中心有限公司,6050.100平方米,2023/3/24,延庆区延庆镇莲花池村南,北京市市政四建设工程有限责任公司
51,世园村F地块住宅项目（1#住宅楼等10项）,[2023]施[延]建字0004号,延庆区,北京世园投资发展有限责任公司,48073.460平方米,2023/3/22,延庆区延庆镇,中国建筑一局（集团）有限公司
52,延庆区延庆新城石河营中街（香水园路-石河营东路）道路工程（延庆区延庆新城石河营中街（香水园路-石河营东路）道路工程及管线工程）,[2023]施[延]市政字0003号,延庆区,北京市延庆区城市管理委员会,3019.68米,2023/3/2,由延庆县香水园路经延庆区到延庆区石河营东路,泛华建设集团有限公司
53,无人机组装车间及配套设施项目（二期）（3#生产厂房等6项）,[2023]施[延]建字0002号,延庆区,东晨阳光（北京）太阳能科技有限公司,18607.190平方米,2023/2/17,延庆区康庄镇东南、康西路南侧,天丰建筑集团有限公司
54,7#配套用房,[2023]施[延]建字0001号,延庆区,北京市延庆区沈家营镇东王化营村经济合作社,1078.000平方米,2023/2/6,延庆区沈家营镇镇政府以北，沈韩路以东,北京八达岭金宸建筑集团有限公司
