企业名称,许可类型,项目大类,项目小类,申请类型,申请日期,发证日期,所属区县
北京凯德石英塑料制品有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2012-05-22,2012-06-08,通州区
中化化肥有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2012-05-07,2012-06-19,西城区
北京科丽力尔净水科技有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2012-04-17,2012-04-11,房山区
北京东方亚科力化工科技有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2012-03-19,2012-08-07,通州区
北京东光恒远工贸中心,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2012-01-06,2012-02-21,通州区
北京三木化工有限公司,市局许可,危险化学品,危险化学品生产企业安全生产许可,初次申请,2011-11-09,2011-12-08,通州区
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
