不良行为责任主体,公布期限
中建三局集团有限公司,2020/10/20-2021/4/20
中国建筑第六工程局有限公司,2021/1/4-2021/7/4
江苏福星建设工程有限公司,2020/10/20-2021/4/20
北京房修一建筑工程有限公司,2020/10/20-2021/4/20
河北建设集团股份有限公司,2021/1/4-2021/7/4
北京建工四建工程建设有限公司,2021/1/4-2021/7/4
上海地通建设（集团）有限公司,2021/1/4-2021/7/4
承德长城建设集团有限公司,2020/7/17-2021/1/16
承德长城建设集团有限公司,2020/10/20-2021/4/20
中铁天丰建筑工程有限公司,2021/1/4-2021/7/4
