实施主体,职权编号,职权名称,职权种类
区规划和自然资源委员会,C1207000,对地质灾害治理工程的勘查、设计、施工单位不按规定办理资质证书的变更、注销手续的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1207100,对地质灾害治理工程监理单位不按规定办理资质证书的变更、注销手续的行为进行处罚,罚款
,,,
,,,
,,,
区规划和自然资源委员会,C1207200,对地质灾害危险性评估单位不按规定办理资质证书的变更、注销手续的行为进行处罚,罚款
,,,
,,,
,,,
区规划和自然资源委员会,C1207300,对地质灾害治理工程的勘查、设计、施工单位不按规定进行备案的行为进行处罚,罚款
,,,
,,,
区规划和自然资源委员会,C1207400,对地质灾害治理工程监理单位不按规定进行备案的行为进行处罚,罚款
,,,
,,,
区规划和自然资源委员会,C1207500,对地质灾害危险性评估单位不按规定进行备案的行为进行处罚,罚款
,,,
,,,
区规划和自然资源委员会,C1207800,对未经批准发掘古生物化石的行为进行处罚,"没收违法所得,罚款"
,,,
区规划和自然资源委员会,C1207900,对未按照批准的发掘方案发掘古生物化石的行为进行处罚,"没收违法所得,罚款"
,,,
区规划和自然资源委员会,C1208100,对古生物化石收藏单位不符合收藏条件收藏古生物化石的行为进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
区规划和自然资源委员会,C1208200,对古生物化石收藏单位未按照规定建立本单位收藏的古生物化石档案的行为进行处罚,"没收非法财物,罚款"
,,,
区规划和自然资源委员会,C1208400,对将收藏的重点保护古生物化石转让、交换、赠与、质押给外国人或者外国组织的行为进行处罚,"没收违法所得,罚款"
,,,
区规划和自然资源委员会,C1208500,对利用职务上的便利将国有古生物化石非法占为己有的行为进行处罚,没收违法所得
,,,
区规划和自然资源委员会,C1208600,对单位或者个人违反规定买卖重点保护古生物化石的行为进行处罚,"没收违法所得,罚款"
,,,
区规划和自然资源委员会,C1208800,对采矿权人不填报矿产资源统计基础表，虚报、瞒报、拒报、迟报、矿产资源统计资料，拒绝接受检查、现场抽查或者弄虚作假的行为进行处罚,"警告,罚款,吊销许可证或营业执照"
,,,
,,,
区规划和自然资源委员会,C1208900,对应当编制矿山地质环境保护与治理恢复方案而未编制的，或者扩大开采规模、变更矿区范围或者开采方式，未重新编制矿山地质环境保护与治理恢复方案并经原审批机关批准的行为进行处罚,罚款
,,,
,,,
区规划和自然资源委员会,C1209000,对采矿权人未按照批准的矿山地质环境保护与土地复垦方案治理的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1209200,对探矿权人未采取治理恢复措施的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1209300,对扰乱、阻碍矿山地质环境保护与治理恢复工作，侵占、损坏、损毁矿山地质环境监测设施或者矿山地质环境保护与治理恢复设施的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1210100,对矿山企业未达到经依法审查确定的开采回采率、采矿贫化率、选矿回收率、矿山水循环利用率和土地复垦率等指标的行为进行处罚,"罚款,吊销许可证或营业执照"
,,,
区规划和自然资源委员会,C1500100,对未按照规划许可证件许可内容进行建设，尚可采取改正措施消除对规划实施的影响的建设工程进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
区规划和自然资源委员会,C1500200,对未取得规划许可证件，尚可采取改正措施消除对规划实施的影响的建设工程进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
区规划和自然资源委员会,C1500300,对国家和本市规定符合公共利益的尚可采取改正措施消除对规划实施影响的城镇违法建设进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
