唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,是否删除,行政相对人类别,更新时间
dd9416bd-3d55-4c1c-83b8-e5897d1e7a5f,北京唤忆文化传播有限公司,91110101MA04DH3L9G,崔*,(京)文执罚 〔2023〕第200066号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京唤忆文化传播有限公司于2022年01月02日与2023年05月28日期间，存在传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）的违法行为，依法对该单位作出警告的行政处罚。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-25,2099-12-31,2024-06-25,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:36
f22e3090-7823-4aa1-a852-aa340aab9b11,北京贺霖文化传媒有限公司,91110105MACCUXJL68,刘*节,(京)文执罚 〔2023〕第200168号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京贺霖文化传媒有限公司于2023年05月07日与2023年08月15日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为），无违法所得。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-11-07,2099-12-31,2024-11-07,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:44
f7e82ba3-3e30-4837-b165-2cf92d18bfa5,北京韵迎文化传媒有限公司,91110115MA02A4CM0P,崔*迎,(京)文执罚 〔2023〕第400216号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,"北京韵迎文化传媒有限公司于2022年02月01日与2023年07月18日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）。依据《中华人民共和国未成年人保护法》第一百二十一条的规定,对其进行行政处罚。",《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-12,2099-12-31,2024-09-12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:34
febeae7e-82a8-4345-9aa2-bfdc27b31d19,北京灰原文化有限公司,91110105MA7M73540W,刘*辰,(京)文执罚 〔2023〕第200116号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京灰原文化有限公司于2022年02月01日与2023年06月17日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-01,2099-12-31,2024-09-01,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:31
d9f4f4d0-1dfa-4730-8210-39f066c1a116,北京原点光阴文化传媒有限公司,91110115MA020GWKXK,郭*暄,(京)文执罚 〔2023〕第400215号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京原点光阴文化传媒有限公司于2022年11月10日与2023年08月15日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-12,2099-12-31,2024-09-12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:28
e1c6a9ba-b600-4916-9152-8b6aa6303d58,北京详和酒店管理有限公司,91110102MA00551Y29,张*建,(京)文执罚 〔2023〕第200090号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京祥和酒店管理有限公司于2023年05月01日与2023年05月25日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-29,2099-12-31,2024-06-29,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:27
12e17115-b436-478b-91c6-b39bfa1d19e8,北京茗颐餐饮文化有限公司,91110106MA04GY6768,袁*,(京)文执罚 〔2023〕第200065号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京茗颐餐饮文化有限公司于2022年10月01日与2023年05月25日期间，存在传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为），无违法所得。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-25,2099-12-31,2024-06-25,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:31
198ccbce-deb6-4f5d-a446-635950f664f7,傲越霆星（北京）文化传媒有限公司,91110106MA7KWQKQ3X,祝*仁,(京)文执罚 〔2023〕第200093号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,傲越霆星（北京）文化传媒有限公司于2023年04月27日与2023年05月19日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为），无违法所得,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-30,2099-12-31,2024-06-30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:24
28d87ad1-47c0-4f0d-94bb-8b50c9ce5922,北京禹荟星雪文化传播店（经营者:邬惺祚）,92110101MA7F5KLJ4L,邬*祚,(京)文执罚 〔2023〕第200142号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京禹荟星雪文化传播店于2023年02月15日至2023年08月29日期间，存在传播《中华人民共和国未成年人保护法》第五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）的违法行为，无违法所得。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-25,2099-12-31,2024-09-25,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,个体工商户,13/6/2024 17:22:29
a5842166-b401-4492-bf1d-101c61d3b0fa,北京每天文化有限公司,91110105MA028JYK4E,车*,(京)文执罚 〔2023〕第200124号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京每天文化有限公司于2023年03月20日与2023年06月23日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-06,2099-12-31,2024-09-06,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:44
