年度,序号,集体名称
2023,1,中航油(北京)机场航空油料有限责任公司航空供油部
2023,2,北京建工集团有限责任公司北京轨道交通22号线(平谷线)工程土建施工08合同段
2023,3,中建八局国家金融信息大厦工程项目部
2023,4,中建三局北京公司人民日报社百子湾项目部
2023,5,中建一局总承包公司北京清华长庚医院二期建设工程项目部
2023,6,中建二局通州棚改项目
2023,7,北京金隅投资物业管理集团有限公司金隅物业时代分公司腾达项目部安全保卫部
2023,8,北京京东方显示技术有限公司技安环保部安全消防科
2023,9,北京市燃气集团有限责任公司第四分公司运行维护二所运维一班
2023,10,国网北京平谷供电公司峪口供电所
