2021年度北京经济技术开发区科技成果专项奖励政策拟支持企业名单,
序号,单位名称
1,北京北方华创微电子装备有限公司
2,北京金风科创风电设备有限公司
3,北京京东乾石科技有限公司
4,北京京东世纪贸易有限公司
5,北京奔驰汽车有限公司
6,中冶京诚工程技术有限公司
7,北京天诚同创电气有限公司
8,北京睿芯高通量科技有限公司
9,北京沃东天骏信息技术有限公司
10,北京嘉永会通能源科技有限公司
