序号,房地产开发企业新设立资质核定
1,北京先科中电电力技术设备有限公司
2,北京通投兴运置业有限公司
3,中慧云置业有限责任公司
4,北京通投兴顺置业有限公司
5,小城故事文脉文化旅游开发（北京）集团有限公司
6,北京合盛恒嘉房地产开发有限公司
7,北京合煜鼎豪房地产开发有限公司
8,北京中疃建设有限公司
9,北京宏瑞置业有限公司
10,北京润和信通房地产开发有限公司
11,北京合盈锐恒房地产开发有限公司
