实施主体,职权编号,职权名称,职权种类
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1106400,对用人单位非法使用未满十六周岁的未成年人的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1106500,对用人单位违反《中华人民共和国劳动法》规定，延长劳动者工作时间的行为进行处罚,"警告,罚款"
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1106900,对用人单位未对未成年工定期进行健康检查的行为进行行政处罚,罚款
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1107000,对用人单位无理抗拒、阻挠劳动保障行政部门依法实施劳动保障监察的行为进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1107100,对用人单位不按照劳动保障行政部门的要求报送书面材料，隐瞒事实真相，出具伪证或者隐匿、毁灭证据的行为进行行政处罚,罚款
,,,
区人力资源和社会保障局,C1107200,对用人单位经劳动保障行政部门责令改正拒不改正，或者拒不履行劳动保障行政部门的行政处理决定的行为进行行政处罚,罚款
,,,
区人力资源和社会保障局,C1107400,对以担保或者其他名义向劳动者收取财物或向劳动者收取押金、扣押劳动者的居民身份证和其他证件的行为进行处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1107500,对劳动者依法解除或终止劳动合同，用人单位扣押劳动者档案或者其他物品的行为进行处罚,罚款
,,,
,,,
区人力资源和社会保障局,C1107600,对未经许可，擅自经营劳务派遣业务的行为进行处罚,"没收违法所得,罚款"
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1107700,对劳务派遣单位、用工单位违法有关劳务派遣规定，且由劳动行政部门责令限期改正逾期不改或情节严重的行为进行处罚,"罚款,吊销许可证或营业执照"
,,,
区人力资源和社会保障局,C1107800,对用人单位违反劳动合同法有关建立职工名册规定，且逾期不改的行为进行处罚,罚款
,,,
,,,
区人力资源和社会保障局,C1107900,对任何单位或者个人为不满16周岁的未成年人介绍就业的行为进行处罚,"罚款,吊销许可证或营业执照"
,,,
区人力资源和社会保障局,C1108000,对用人单位未按规定保存录用登记材料，或者伪造录用登记材料的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1108100,对娱乐场所招用未成年人的行为进行行政处罚,罚款
,,,
区人力资源和社会保障局,C1108200,对劳务派遣单位涂改、倒卖、出租、出借《劳务派遣经营许可证》，或者以其他形式非法转让《劳务派遣经营许可证》的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1108300,对劳务派遣单位隐瞒真实情况或者提交虚假材料取得劳务派遣行政许可的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1108400,对劳务派遣单位以欺骗、贿赂等不正当手段取得劳务派遣行政许可的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1108500,对用人单位违反《劳务派遣暂行规定》第三条第三款规定的行为进行处罚,警告
,,,
区人力资源和社会保障局,C1108600,对用人单位违法退回被派遣劳动者，且逾期不改的行为进行处罚,"罚款,吊销许可证或营业执照"
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1108700,对用人单位未依法与劳动者订立劳动合同，且逾期不改的行为进行处罚,罚款
,,,
