是否已注销,产权单位企业名称,登记编号,设备类型,生产厂家,产权单位统一社会信用代码
有效,北京乐名洋建筑机械设备租赁有限公司,京FS-T58655,塔式起重机,徐州建机工程机械有限公司,91110111571276051X
有效,北京三上建筑机械租赁有限公司,京FT-T71645,塔式起重机,徐州建机工程机械有限公司,911101067461137227
有效,远宏强顺（北京）机械设备租赁有限公司,京HR-S56149,施工升降机,黄骅市昌达起重设备有限公司,91110116MA01LHWX28
有效,北京国成伟业机械设备租赁有限公司,京HR-S70633,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京国成伟业机械设备租赁有限公司,京HR-S78671,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京悫信建功建筑机械有限公司,京XC-S68808,施工升降机,北京汇鑫机械厂,9111010271779096X8
有效,北京厚德伟业建筑机械租赁有限公司,京HR-T81161,塔式起重机,徐州建机工程机械有限公司,91110116MA00GQ961J
有效,北京神州恒运达机电设备有限公司,京HD-S57083,施工升降机,北京九虹中工工程机械有限公司,9111010878395941XA
有效,北京汇聚同安设备安装有限公司,京MY-T77360,塔式起重机,亚泰重工股份有限公司,91110228MA01MPXP06
有效,北京鑫联诚工业机械设备服务有限公司,京PG-T74191,塔式起重机,中联重科股份有限公司,911101170765634835
有效,北京九筑机械有限公司,京FS-T82163,塔式起重机,中联重科股份有限公司,91110111MA01UDYN1A
有效,北京新邦机械工程有限公司,京FS-T77319,塔式起重机,徐州建机工程机械有限公司,91110111059286509A
有效,北京鑫涌伟业机械设备租赁有限公司,京TZ-S56073,施工升降机,黄骅市昌达起重设备有限公司,91110112667522341Y
有效,北京天润伟业建筑机械租赁有限公司,京SJ-T78286,塔式起重机,中联重科股份有限公司,91110107675714693M
有效,北京润合建筑机械租赁有限公司,京FS-S57718,施工升降机,中联重科股份有限公司,91110304599637269H
有效,北京鑫涌伟业机械设备租赁有限公司,京TZ-S73587,施工升降机,中联重科建筑起重机械有限责任公司,91110112667522341Y
有效,北京兴鸿达建筑机械设备租赁有限公司,京MY-T54772,塔式起重机,徐州建机工程机械有限公司,91110228MA01PCH21F
有效,北京金山建筑机械厂,京HD-S57035,施工升降机,北京金山建筑机械厂,91110108700313788L
有效,北京鑫和安达工程机械有限公司,京HR-S81789,施工升降机,大汉科技股份有限公司,91110116575218393A
有效,北京福刚设备租赁有限公司,京TZ-S80823,施工升降机,大汉科技股份有限公司,911101125769240707
有效,北京坤克鼎盛建筑机械租赁有限公司,京FS-T58567,塔式起重机,徐州建机工程机械有限公司,91110111MA01M6F777
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S69305,施工升降机,广州市特威工程机械有限公司,911101066336408682
有效,北京国成伟业机械设备租赁有限公司,京HR-S68268,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京攀腾伟业建筑机械设备租赁有限公司,京FS-T61829,塔式起重机,徐州建机工程机械有限公司,91110111665649816H
有效,北京振邦万达机械设备有限公司,京HR-S74821,施工升降机,北京宏升卓越工程机械有限公司,91110116551415640F
有效,北京庞源机械工程有限公司,京TZ-T81807,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京永丰建筑机械设备租赁有限公司,京FS-T68996,塔式起重机,徐州建机工程机械有限公司,91110111MA01NE191Q
有效,北京紫竹慧建设服务股份有限公司,京MT-T63667,塔式起重机,中联重科股份有限公司,91110109700090035D
有效,建中福安(北京）建设工程有限公司,京FS-T64263,塔式起重机,江西中天机械有限公司,91110111MA01TRGG2N
有效,北京鑫联诚工业机械设备服务有限公司,京PG-T57756,塔式起重机,中联重科股份有限公司,911101170765634835
有效,北京庞源机械工程有限公司,京TZ-T68500,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京国成伟业机械设备租赁有限公司,京HR-S75010,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京金久安建筑设备租赁有限公司,京HR-S73538,施工升降机,北京宏升卓越工程机械有限公司,911102288020872162
有效,北京荣基建筑机械设备租赁有限公司,京CP-S76422,施工升降机,北京宏升卓越工程机械有限公司,91110114MA01EWF4XC
有效,北京国成伟业机械设备租赁有限公司,京HR-S64390,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京华浩鼎立机电设备有限公司,京DX-W66856,物料提升机,天津泓鑫兴旺机械科技有限公司,91110115688366747L
有效,北京正和恒泰机械工程有限公司,京MY-T76674,塔式起重机,中联重科股份有限公司,91110228MA018UPN0B
有效,北京瑞胜高雄机械设备租赁有限公司,京SY-S59757,施工升降机,大汉科技股份有限公司,91110113673814770U
有效,中建二局第三建筑工程有限公司,京FT-T80930,塔式起重机,廊坊中建机械有限公司,9111000063370987XW
有效,北京铁庆吊装设备租赁有限公司,京FT-S67619,施工升降机,大汉科技股份有限公司,91110106771594580J
有效,北京庞源机械工程有限公司,京TZ-S59834,施工升降机,中联重科股份有限公司,911101125568120205
有效,北京安建鑫成机械设备租赁有限公司,京HR-S56179,施工升降机,北京九虹中工工程机械有限公司,91110116579038584T
有效,北京攀腾伟业建筑机械设备租赁有限公司,京FS-T62127,塔式起重机,中联重科股份有限公司,91110111665649816H
有效,北京金运恒业机械建材有限公司,京HR-S67710,施工升降机,中联重科股份有限公司,91110116699610696D
有效,北京庞源机械工程有限公司,京TZ-T76912,塔式起重机,四川锦城建筑机械有限责任公司,911101125568120205
有效,北京顺昌安泰建筑机械租赁有限公司,京FS-S58775,施工升降机,北京宏升卓越工程机械有限公司,91110106580836591K
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S81585,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
有效,北京和众天成建筑设备租赁有限公司,京DX-W64491,物料提升机,天津市宝亮建筑机械有限公司,911101155996859306
有效,北京中心诚建筑机械设备租赁有限公司,京TZ-T80424,塔式起重机,广西建工集团建筑机械制造有限责任公司,911101127609343599
有效,北京庞源机械工程有限公司,京TZ-T74618,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京天平建筑机械租赁有限公司,京TZ-S70650,施工升降机,北京汇鑫机械厂,91110112681213668E
有效,北京元吉祥建筑机械工程技术有限公司,京HD-T80014,塔式起重机,中联重科股份有限公司,91110108101941707K
有效,北京安建鑫成机械设备租赁有限公司,京HR-S57445,施工升降机,北京九虹中工工程机械有限公司,91110116579038584T
有效,北京华东顺成机械设备租赁有限公司,京DX-W60174,物料提升机,山东鲁塔建工机械有限公司,911101156963942036
有效,北京庞源机械工程有限公司,京TZ-T63323,塔式起重机,中联重科股份有限公司,911101125568120205
有效,北京国成伟业机械设备租赁有限公司,京HR-S64642,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京润康鼎业机械设备租赁有限公司,京FS-S56532,施工升降机,北京博邦重工机械有限公司,9111011158089568XD
有效,北京坤克鼎盛建筑机械租赁有限公司,京FS-T64963,塔式起重机,广西建工集团建筑机械制造有限责任公司,91110111MA01M6F777
有效,北京铁庆吊装设备租赁有限公司,京FT-T63551,塔式起重机,徐州建机工程机械有限公司,91110106771594580J
有效,北京正和恒泰机械工程有限公司,京MY-T71954,塔式起重机,湖北江汉建筑工程机械有限公司,91110228MA018UPN0B
有效,北京康龙建筑机械租赁有限公司,京MY-S63362,施工升降机,大汉科技股份有限公司,9111022877195358XH
有效,北京荣兴振华机械设备租赁有限公司,京HR-S58823,施工升降机,北京宏升卓越工程机械有限公司,91110116082838850Y
有效,北京福刚设备租赁有限公司,京TZ-T58142,塔式起重机,湘潭江麓建筑机械有限公司,911101125769240707
有效,北京厚德伟业建筑机械租赁有限公司,京HR-T75678,塔式起重机,广西建工集团建筑机械制造有限责任公司,91110116MA00GQ961J
有效,北京城建集团有限责任公司,京HD-T59945,塔式起重机,中联重科股份有限公司,91110000101909934T
有效,北京庞源机械工程有限公司,京TZ-T56972,塔式起重机,廊坊中建机械有限公司,911101125568120205
有效,北京国成伟业机械设备租赁有限公司,京HR-S58922,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京信康建设工程有限公司,京MT-T64788,塔式起重机,北京永茂建工机械制造有限公司,911101093067629994
有效,北京兴顺明达建筑设备租赁有限公司,京FS-T78950,塔式起重机,广西建工集团建筑机械制造有限责任公司,91110106667535716R
有效,北京庞源机械工程有限公司,京TZ-T72704,塔式起重机,中联重科股份有限公司,911101125568120205
有效,北京北野建筑工程有限公司,京PG-T51825,塔式起重机,徐州建机工程机械有限公司,91110117MA01GP6R22
有效,北京庞源机械工程有限公司,京TZ-T58143,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京国成伟业机械设备租赁有限公司,京HR-S75083,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京天宇伟业建筑装饰工程有限公司,京HR-S62469,施工升降机,北京宏升卓越工程机械有限公司,911101165636558952
有效,北京宏信机械设备租赁有限公司,京MT-S67603,施工升降机,北京宏升卓越工程机械有限公司,911101060929215949
有效,北京庞源机械工程有限公司,京TZ-T77467,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京汇聚同安设备安装有限公司,京MY-T71718,塔式起重机,亚泰重工股份有限公司,91110228MA01MPXP06
有效,北京国成伟业机械设备租赁有限公司,京HR-S67150,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京齐君设备租赁有限公司,京DX-T70993,塔式起重机,中联重科股份有限公司,911101156637463991
有效,北京宏达盛都商贸有限公司,京DX-S80689,施工升降机,大汉科技股份有限公司,91110115665626251Q
有效,北京紫竹慧建设服务股份有限公司,京MT-T68542,塔式起重机,中联重科股份有限公司,91110109700090035D
有效,北京中基恒达科贸有限公司,京FT-T77472,塔式起重机,中联重科股份有限公司,911101068014007842
有效,北京豪越龙祥机电设备有限公司,京CP-S65056,施工升降机,黄骅市昌达起重设备有限公司,91110114573186500Y
有效,北京庞源机械工程有限公司,京TZ-T79529,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京汇宏新远机械租赁有限公司,京FS-S70160,施工升降机,大汉科技股份有限公司,91110111MA01LPK595
有效,北京安泰宏达机械设备有限公司,京FS-S80067,施工升降机,黄骅市昌达起重设备有限公司,9111010656360457XU
有效,北京紫竹慧建设服务股份有限公司,京MT-T55721,塔式起重机,湖北江汉建筑工程机械有限公司,91110109700090035D
有效,北京市第三建筑工程有限公司,京XC-T55486,塔式起重机,抚顺永茂建筑机械有限公司,91110000101389748B
有效,北京北野建筑工程有限公司,京PG-T65422,塔式起重机,中联重科股份有限公司,91110117MA01GP6R22
有效,北京创恒伟业建筑机械设备租赁有限公司,京FS-S69998,施工升降机,黄骅市昌达起重设备有限公司,911101116656498402
有效,北京乐鑫远程建筑机械租赁有限公司,京DX-S56467,施工升降机,安徽升业工程机械有限公司,91110115695007021Q
有效,北京顺博伟业建筑机械租赁有限公司,京SY-T79271,塔式起重机,中联重科股份有限公司,91110113MA01K3TP4L
有效,北京顺博伟业建筑机械租赁有限公司,京SY-T55654,塔式起重机,中联重科股份有限公司,91110113MA01K3TP4L
有效,北京嘉诚兴旺建筑机械设备租赁有限公司,京PG-S54895,施工升降机,邢台新恒成机床有限公司,91110117560422340T
有效,北京卓立云达设备租赁有限公司,京FS-T54930,塔式起重机,沈阳三洋建筑机械有限公司,91110111MA01NMCA1T
有效,北京庞源机械工程有限公司,京TZ-S79648,施工升降机,中联重科股份有限公司,911101125568120205
有效,北京和顺兴业机械工程技术服务有限公司,京MY-S54839,施工升降机,山东鲁塔建工机械有限公司,91110228MA01M39B31
有效,北京国成伟业机械设备租赁有限公司,京HR-S75481,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京沂鑫建筑机械租赁有限公司,京PG-T75200,塔式起重机,徐州建机工程机械有限公司,91110117700065817E
有效,北京天宇伟业建筑装饰工程有限公司,京HR-S62376,施工升降机,黄骅市昌达起重设备有限公司,911101165636558952
有效,北京成建华业建筑机械租赁有限公司,京CP-T79845,塔式起重机,中联重科股份有限公司,911101057001902126
有效,北京斌悍商贸有限公司,京HR-S73328,施工升降机,山东明龙建筑机械有限公司,9111011679344775X1
有效,北京天赐平安机械设备租赁有限公司,京FS-S70194,施工升降机,天津京龙工程机械有限公司,91110111078546804J
有效,北京金久安建筑设备租赁有限公司,京PG-S66490,施工升降机,北京宏升卓越工程机械有限公司,911102288020872162
有效,北京凯硕工程机械租赁有限公司,京MT-S68232,施工升降机,北京宏升卓越工程机械有限公司,91110109MA020NYC66
有效,北京鑫联诚工业机械设备服务有限公司,京PG-T72132,塔式起重机,中联重科股份有限公司,911101170765634835
有效,北京三上建筑机械租赁有限公司,京FT-T78465,塔式起重机,徐州建机工程机械有限公司,911101067461137227
有效,北京城乡中昊建设有限责任公司,京DC-T80836,塔式起重机,沈阳三洋建筑机械有限公司,91110101101119844W
有效,北京正和恒泰机械工程有限公司,京MY-T69901,塔式起重机,沈阳三洋建筑机械有限公司,91110228MA018UPN0B
有效,北京乐名洋建筑机械设备租赁有限公司,京FS-S81785,施工升降机,北京宏升卓越工程机械有限公司,91110111571276051X
有效,北京紫竹慧建设服务股份有限公司,京MT-T54674,塔式起重机,湖北江汉建筑工程机械有限公司,91110109700090035D
有效,北京顺昌安泰建筑机械租赁有限公司,京FS-S69593,施工升降机,北京宏升卓越工程机械有限公司,91110106580836591K
有效,北京国成伟业机械设备租赁有限公司,京HR-S67147,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京瑞麒铭建筑机械租赁有限责任公司,京CP-T74197,塔式起重机,中联重科股份有限公司,911101148026600002
有效,北京庞源机械工程有限公司,京TZ-S72384,施工升降机,中联重科股份有限公司,911101125568120205
有效,北京国成伟业机械设备租赁有限公司,京HR-S79782,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京新震环宇机械设备租赁有限责任公司,京TZ-T78109,塔式起重机,徐州建机工程机械有限公司,91110112760912520P
有效,北京鑫金建筑机械租赁有限公司,京CY-S56931,施工升降机,黄骅市昌达起重设备有限公司,91110105663114228C
有效,北京豪联宝顺建筑机械有限公司,京FT-S58517,施工升降机,北京宏升卓越工程机械有限公司,91110106102741555B
有效,北京长金顺发建筑设备租赁有限公司,京DX-W66045,物料提升机,郑州市革新建筑机械有限公司,91110115L19406337P
有效,北京庞源机械工程有限公司,京TZ-T76017,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京姚永乐设备安装有限公司,京FS-T78150,塔式起重机,徐州建机工程机械有限公司,91110111664621109J
有效,中建二局第三建筑工程有限公司,京FT-T60502,塔式起重机,廊坊中建机械有限公司,9111000063370987XW
有效,北京德宇伟业机械设备租赁有限公司,京HR-T70459,塔式起重机,中联重科股份有限公司,91110116MA01KPLF1W
有效,北京吉安建立工程设备安装有限公司,京MT-S75695,施工升降机,中联重科股份有限公司,91110109MA01D24K32
有效,北京正和恒泰机械工程有限公司,京MY-T69899,塔式起重机,沈阳三洋建筑机械有限公司,91110228MA018UPN0B
有效,中铁建设集团北京工程有限公司,京SJ-T78546,塔式起重机,中联重科股份有限公司,9111010706489893X2
有效,北京荣基建筑机械设备租赁有限公司,京CP-S81174,施工升降机,北京宏升卓越工程机械有限公司,91110114MA01EWF4XC
有效,北京龙泰机械设备安装有限公司,京FT-S69408,施工升降机,北京宏升卓越工程机械有限公司,911101061021981424
有效,北京国成伟业机械设备租赁有限公司,京HR-S75067,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京京皖可信机械设备租赁有限公司,京DX-S58021,施工升降机,北京宏升卓越工程机械有限公司,91110115697683314Y
有效,北京庞源机械工程有限公司,京TZ-T61360,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京信康建设工程有限公司,京MT-T53997,塔式起重机,中联重科股份有限公司,911101093067629994
有效,北京荣基建筑机械设备租赁有限公司,京CP-S79228,施工升降机,北京宏升卓越工程机械有限公司,91110114MA01EWF4XC
有效,北京忠鑫伟业建筑机械设备租赁有限公司,京FS-T63702,塔式起重机,江西中天智能装备股份有限公司,91110111MA01QTW37L
有效,北京吉安建立工程设备安装有限公司,京MT-T79785,塔式起重机,中联重科股份有限公司,91110109MA01D24K32
有效,北京紫竹慧建设服务股份有限公司,京MT-T54673,塔式起重机,湖北江汉建筑工程机械有限公司,91110109700090035D
有效,北京宏达盛都商贸有限公司,京DX-S55836,施工升降机,北京宏升卓越工程机械有限公司,91110115665626251Q
有效,北京瑞麒铭建筑机械租赁有限责任公司,京CP-T74200,塔式起重机,中联重科股份有限公司,911101148026600002
有效,北京谷润建筑安装有限公司,京PG-S55645,施工升降机,大汉科技股份有限公司,91110117677439218X
有效,北京中心诚建筑机械设备租赁有限公司,京TZ-T70976,塔式起重机,广西建工集团建筑机械制造有限责任公司,911101127609343599
有效,北京振邦万达机械设备有限公司,京HR-S57249,施工升降机,北京宏升卓越工程机械有限公司,91110116551415640F
有效,北京汇聚同安设备安装有限公司,京MY-T70570,塔式起重机,亚泰重工股份有限公司,91110228MA01MPXP06
有效,北京九方源建筑机械设备租赁有限公司,京CP-S63307,施工升降机,大汉科技股份有限公司,911101145732379612
有效,北京同创天诚机械设备租赁有限公司,京FS-T70864,塔式起重机,中联重科股份有限公司,911101115636780348
有效,北京方圆安泰商贸有限公司,京FS-T78409,塔式起重机,抚顺永茂建筑机械有限公司,91110111666289920G
有效,北京九方源建筑机械设备租赁有限公司,京CP-S80417,施工升降机,大汉科技股份有限公司,911101145732379612
有效,北京汇聚同安设备安装有限公司,京MY-T80944,塔式起重机,中联重科股份有限公司,91110228MA01MPXP06
有效,北京物奇博机械设备租赁有限公司,京CP-S62569,施工升降机,山东鲁塔建工机械有限公司,91110114554821257A
有效,北京嘉诚兴旺建筑机械设备租赁有限公司,京PG-S64542,施工升降机,邢台新恒成机床有限公司,91110117560422340T
有效,北京庞源机械工程有限公司,京TZ-T74834,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S58871,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
有效,北京安建鑫成机械设备租赁有限公司,京HR-S81159,施工升降机,北京宏升卓越工程机械有限公司,91110116579038584T
有效,北京城乡中昊建设有限责任公司,京DC-T69479,塔式起重机,抚顺永茂建筑机械有限公司,91110101101119844W
有效,北京同创天诚机械设备租赁有限公司,京FS-T76618,塔式起重机,中联重科股份有限公司,911101115636780348
有效,北京众帮伟业机械设备租赁有限公司,京FS-T72957,塔式起重机,中联重科建筑起重机械有限责任公司,91110106678238557U
有效,中铁建工集团第一建设有限公司,京FT-T73506,塔式起重机,中联重科股份有限公司,91110106MABRP90L46
有效,北京金久安建筑设备租赁有限公司,京HR-S73539,施工升降机,北京宏升卓越工程机械有限公司,911102288020872162
有效,北京庞源机械工程有限公司,京TZ-T53156,塔式起重机,中联重科股份有限公司,911101125568120205
有效,北京燕钲新发晋达建设有限公司,京FS-T71695,塔式起重机,辽宁天一重工有限公司,91110304MABT9GKK7G
有效,北京新鸿泰机械设备租赁有限公司,京HD-S55072,施工升降机,山东大汉建设机械股份有限公司,91110108102046931J
有效,北京九方源建筑机械设备租赁有限公司,京CP-S68797,施工升降机,大汉科技股份有限公司,911101145732379612
有效,北京市晋塔建筑机械设备租赁有限公司,京CP-T53566,塔式起重机,山西省工程机械厂,911101148026644231
有效,北京天宇伟业建筑装饰工程有限公司,京HR-S60048,施工升降机,北京宏升卓越工程机械有限公司,911101165636558952
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S54319,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
有效,北京鑫金建筑机械租赁有限公司,京SY-S79123,施工升降机,北京宏升卓越工程机械有限公司,91110105663114228C
有效,北京大通基业设备租赁有限公司,京DX-S75168,施工升降机,中联重科股份有限公司,91110115057312582R
有效,北京宏瑞顺达建筑装饰工程有限公司,京HR-S74653,施工升降机,中联重科建筑起重机械有限责任公司,9111011659969057XF
有效,北京齐君设备租赁有限公司,京DX-T72277,塔式起重机,抚顺永茂建筑机械有限公司,911101156637463991
有效,北京坤克鼎盛建筑机械租赁有限公司,京FS-S58426,施工升降机,中联重科股份有限公司,91110111MA01M6F777
有效,北京鑫地顺通机械设备租赁有限公司,京SY-T80130,塔式起重机,辽宁天一重工有限公司,91110113587746601L
有效,北京京能建设机械安装有限公司,京MT-T60361,塔式起重机,沈阳三洋建筑机械有限公司,91110109102316655Y
有效,北京厚德伟业建筑机械租赁有限公司,京HR-T77267,塔式起重机,徐州建机工程机械有限公司,91110116MA00GQ961J
有效,北京国成伟业机械设备租赁有限公司,京HR-S73767,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京中弘盛世机械租赁有限公司,京PG-T70348,塔式起重机,沈阳三洋建筑机械有限公司,91110117MA01QEJ84P
有效,北京安旺建筑设备租赁有限公司,京FS-S59723,施工升降机,中联重科股份有限公司,91110111667536524P
有效,北京国成伟业机械设备租赁有限公司,京HR-S76134,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京芳顺达建筑机械租赁有限公司,京SJ-S60533,施工升降机,北京宏升卓越工程机械有限公司,91110107055574618X
有效,北京金鼎盛起重建筑机械设备有限公司,京DX-S57509,施工升降机,北京金鼎盛起重建筑机械设备有限公司,91110115666921391C
有效,北京宏兴兴业建筑机械租赁有限公司,京DX-T75565,塔式起重机,徐州建机工程机械有限公司,91110115688380899R
有效,北京国成伟业机械设备租赁有限公司,京HR-S73784,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,顺达金泰(北京)工程机械设备有限责任公司,京DX-S64319,施工升降机,中联重科股份有限公司,91110115MA020EU32B
有效,北京国成伟业机械设备租赁有限公司,京HR-S76111,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京金川兴业机械设备有限公司,京PG-T74669,塔式起重机,辽宁天一重工有限公司,91110117MA01JUDN49
有效,北京天罡星机械设备租赁有限公司,京TZ-T71065,塔式起重机,中联重科股份有限公司,91110112792139325U
有效,北京乐亿联机械设备租赁有限公司,京FT-S56846,施工升降机,中联重科股份有限公司,91110106699623032N
有效,北京谷润建筑安装有限公司,京PG-S72050,施工升降机,徐州建机工程机械有限公司,91110117677439218X
有效,北京浩瀚建筑机械设备租赁有限公司,京DC-T56563,塔式起重机,沈阳连云建筑机械有限责任公司,91110101678223224A
有效,北京国泰浩安机械设备有限公司,京SY-T81573,塔式起重机,江西中天智能装备股份有限公司,91110113675099918K
有效,北京宏信机械设备租赁有限公司,京MT-S81880,施工升降机,中联重科股份有限公司,911101060929215949
有效,北京宏达盛都商贸有限公司,京DX-S80664,施工升降机,大汉科技股份有限公司,91110115665626251Q
有效,北京瑞点石机械设备租赁有限公司,京FS-S76290,施工升降机,徐州建机工程机械有限公司,91110111MAD6XFDXX3
有效,北京天罡星机械设备租赁有限公司,京TZ-S61483,施工升降机,中联重科股份有限公司,91110112792139325U
有效,北京志远设备租赁有限公司,京DX-S68731,施工升降机,中联重科股份有限公司,91110115668427813H
有效,北京国成伟业机械设备租赁有限公司,京HR-S71838,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京安答建筑设备有限公司,京HR-S69049,施工升降机,天津恒信建筑机械制造有限公司,91110116MA01B96M0D
有效,中臻（北京）建设工程有限公司,京TZ-T68529,塔式起重机,抚顺永茂建筑机械有限公司,91110112MA01FFBM0A
有效,北京齐君设备租赁有限公司,京DX-T81615,塔式起重机,中联重科股份有限公司,911101156637463991
有效,北京金山建筑机械厂,京HD-S61546,施工升降机,北京金山建筑机械厂,91110108700313788L
有效,北京市晋塔建筑机械设备租赁有限公司,京CP-S57183,施工升降机,山西省工程机械有限公司,911101148026644231
有效,中铁三局集团第四工程有限公司,京MT-T54152,塔式起重机,中联重科股份有限公司,91110000102334212L
有效,北京三上建筑机械租赁有限公司,京FT-T53734,塔式起重机,中联重科股份有限公司,911101067461137227
有效,北京中泰建筑设备租赁有限公司,京MY-T81323,塔式起重机,中联重科股份有限公司,91110109MACDMA0163
有效,北京君立伟业建筑机械设备租赁有限公司,京FS-T66015,塔式起重机,江西中天智能装备股份有限公司,91110111553128872X
有效,北京攀腾伟业建筑机械设备租赁有限公司,京FS-T82050,塔式起重机,沈阳三洋建筑机械有限公司,91110111665649816H
有效,北京中灿世纪红机械有限公司,京FS-T79634,塔式起重机,中联重科股份有限公司,91110111MA01ECW35U
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S80505,施工升降机,北京汇鑫机械厂,911101066336408682
有效,北京顺昌安泰建筑机械租赁有限公司,京FS-S77743,施工升降机,北京宏升卓越工程机械有限公司,91110106580836591K
有效,北京景州伟业机械设备租赁有限公司,京FS-S61529,施工升降机,北京宏升卓越工程机械有限公司,91110111MA0186577R
有效,北京中晨建筑机械设备租赁有限公司,京CP-T53757,塔式起重机,朝阳凌云建筑机械有限公司,91110114565802043H
有效,北京景州伟业机械设备租赁有限公司,京FS-S81433,施工升降机,邢台新恒成机床有限公司,91110111MA0186577R
有效,北京沂鑫建筑机械租赁有限公司,京PG-T75201,塔式起重机,徐州建机工程机械有限公司,91110117700065817E
有效,北京庆发建筑机械设备租赁有限公司,京DX-S64993,施工升降机,北京宏升卓越工程机械有限公司,911101157596474243
有效,北京乐亿联机械设备租赁有限公司,京FT-T63484,塔式起重机,徐州建机工程机械有限公司,91110106699623032N
有效,北京谷润建筑安装有限公司,京PG-S72049,施工升降机,徐州建机工程机械有限公司,91110117677439218X
有效,北京神州恒运达机电设备有限公司,京HD-S67829,施工升降机,北京九虹中工工程机械有限公司,9111010878395941XA
有效,北京金山建筑机械厂,京HD-S61551,施工升降机,北京金山建筑机械厂,91110108700313788L
有效,北京龙友设备租赁有限公司,京MT-S72064,施工升降机,北京宏升卓越工程机械有限公司,911101096343243226
有效,北京紫竹慧建设服务股份有限公司,京MT-T65633,塔式起重机,湖北江汉建筑工程机械有限公司,91110109700090035D
有效,中铁北京工程局集团北京有限公司,京YQ-T65122,塔式起重机,中联重科股份有限公司,911102291000285539
有效,北京国成伟业机械设备租赁有限公司,京HR-S73688,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京隆昌创业商贸有限公司,京FS-S60142,施工升降机,山东鲁塔建工机械有限公司,911101116699466741
有效,北京国成伟业机械设备租赁有限公司,京HR-S73842,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京宏瑞顺达建筑装饰工程有限公司,京HR-T79903,塔式起重机,中联重科股份有限公司,9111011659969057XF
有效,北京城建华泰土木工程有限公司,京PG-T62299,塔式起重机,中联重科股份有限公司,91110117092442542M
有效,北京天润伟业建筑机械租赁有限公司,京SJ-T72846,塔式起重机,中联重科股份有限公司,91110107675714693M
有效,北京鸿荣机械设备租赁有限公司,京MT-W57120,物料提升机,天津市宝亮建筑机械有限公司,91110109MA01JGJ57B
有效,北京中达创源机械设备有限公司,京FS-T80526,塔式起重机,徐州建机工程机械有限公司,91110111MA01M07N08
有效,中建一局集团第三建筑有限公司,京TZ-T70966,塔式起重机,北京永茂建工机械制造有限公司,91110101102126157P
有效,北京建国伟业设备租赁有限公司,京CP-S77186,施工升降机,黄骅市昌达起重设备有限公司,91110114071739531E
有效,北京庞源机械工程有限公司,京TZ-T55982,塔式起重机,中联重科股份有限公司,911101125568120205
有效,北京宏达盛都商贸有限公司,京DX-S61959,施工升降机,大汉科技股份有限公司,91110115665626251Q
有效,北京庞源机械工程有限公司,京TZ-T68307,塔式起重机,沈阳三洋建筑机械有限公司,911101125568120205
有效,北京悫信建功建筑机械有限公司,京XC-S62617,施工升降机,北京汇鑫机械厂,9111010271779096X8
有效,北京天赐平安机械设备租赁有限公司,京FS-S78822,施工升降机,大汉科技股份有限公司,91110111078546804J
有效,北京嘉诚兴旺建筑机械设备租赁有限公司,京PG-S59812,施工升降机,邢台新恒成机床有限公司,91110117560422340T
