是否已注销,产权单位企业名称,登记编号,设备类型,生产厂家,产权单位统一社会信用代码
有效,北京天和建筑机械设备租赁有限责任公司,,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
有效,北京攀腾伟业建筑机械设备租赁有限公司,京FS-T74853,塔式起重机,中联重科建筑起重机械有限责任公司,91110111665649816H
有效,北京鑫盈佳诺机械设备租赁有限公司,京FS-S65306,施工升降机,中联重科股份有限公司,91110111MA01DK783E
有效,北京国成伟业机械设备租赁有限公司,京HR-S75453,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京龙友设备租赁有限公司,京MT-S76274,施工升降机,中联重科股份有限公司,911101096343243226
有效,北京新鸿泰机械设备租赁有限公司,京HD-S66582,施工升降机,山东大汉建设机械股份有限公司,91110108102046931J
有效,北京市晋塔建筑机械设备租赁有限公司,京CP-S79235,施工升降机,山西省工程机械有限公司,911101148026644231
有效,北京国成伟业机械设备租赁有限公司,京HR-S74715,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京卓立云达设备租赁有限公司,京FS-T54734,塔式起重机,徐州建机工程机械有限公司,91110111MA01NMCA1T
有效,北京斌悍商贸有限公司,京HR-T64876,塔式起重机,辽宁天一重工有限公司,9111011679344775X1
有效,北京弘大炜业建筑工程有限公司,京SY-S62461,施工升降机,北京九虹中工工程机械有限公司,91110113MA00DLHG44
有效,北京攀腾伟业建筑机械设备租赁有限公司,京FS-T53314,塔式起重机,沈阳三洋建筑机械有限公司,91110111665649816H
有效,北京顺昌安泰建筑机械租赁有限公司,京FS-S72292,施工升降机,北京宏升卓越工程机械有限公司,91110106580836591K
有效,北京新震环宇机械设备租赁有限责任公司,京TZ-T64474,塔式起重机,江麓机电集团有限公司,91110112760912520P
有效,北京庞源机械工程有限公司,京TZ-S80114,施工升降机,南京高立特种装备有限公司,911101125568120205
有效,北京华源泰机械设备有限公司,京PG-S81676,施工升降机,黄骅市昌达起重设备有限公司,91110117059289996D
有效,北京庞源机械工程有限公司,京TZ-T81403,塔式起重机,陕西建设机械股份有限公司,911101125568120205
有效,北京天宇伟业建筑装饰工程有限公司,京HR-S67969,施工升降机,北京宏升卓越工程机械有限公司,911101165636558952
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S58532,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
有效,北京宏瑞顺达建筑装饰工程有限公司,京HR-T72276,塔式起重机,中联重科股份有限公司,9111011659969057XF
有效,北京万盛汇鑫建筑机械设备租赁有限公司,京DX-T75800,塔式起重机,中联重科股份有限公司,91110112593847513T
有效,北京富帮机械工程有限公司,京FS-T81942,塔式起重机,广西建工集团建筑机械制造有限责任公司,91110111MA01NP5X3B
有效,北京华友益宏建筑设备租赁有限公司,京MT-S62400,施工升降机,北京宏升卓越工程机械有限公司,91110109694955871Y
有效,北京金山建筑机械厂,京HD-S57022,施工升降机,北京金山建筑机械厂,91110108700313788L
有效,北京鑫盈佳诺机械设备租赁有限公司,京FS-T72431,塔式起重机,山西省工程机械有限公司,91110111MA01DK783E
有效,北京富达建筑设备租赁有限公司,京HD-S69059,施工升降机,徐州建机工程机械有限公司,91110108793447506N
有效,北京京能建设机械安装有限公司,京MT-T69334,塔式起重机,湖南三一塔式起重机械有限公司,91110109102316655Y
