序号*,年份*,企业名称*,详细地址*,重点行业类型*,重点行业分支*,其他行业类型,管控类型*,红色预警_减排措施*,橙色预警_减排措施*,黄色预警_减排措施*
129,2020,北京祥龙博瑞汽车服务（集团）有限公司三分公司,蒲黄榆路48号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
130,2020,北京华益德泓汽车服务有限公司,大瓦窑780号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
131,2020,北京智鸿雅合贸易发展有限公司,云岗路168号第一间到第十一间,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
132,2020,北京市大有汽车修理部,四方景园五区10号院,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
133,2020,北京冠都永顺汽车技术服务有限公司,刘庄子119号2幢1层、3幢1层、15幢1层,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
134,2020,北京寰宇标特汽车销售服务有限公司,张仪村路23号院甲5号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
135,2020,北京汇丰正业汽车维修有限公司,花乡葆台村191号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
136,2020,北京市神康汽车维修站,长辛店杜家坎南路25号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
137,2020,亚都伟业（北京）汽车维修服务有限公司,北京市丰台区张仪村3号路67号院（原北京京仪液压机械厂院）1号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
138,2020,北京市量力汽车服务有限公司,张仪村路23号院内甲7号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
139,2020,北京思维汽车服务有限公司,南四环中路260号院内8号厅,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
140,2020,北京勤兴汽车维修服务有限公司,大井后街188号内9号101室,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
141,2020,北京通声鹏程汽车科技有限公司,西五里店22号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
142,2020,北京新兴快马汽车服务有限公司丰台销售分公司,长辛店杜家坎1号平房,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
143,2020,北京市丰台天海汽车修理厂,永合庄240号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
144,2020,北京雅胜天成汽车维修服务有限公司,双林东路,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
145,2020,北京汇丰伟业汽车维修有限公司,草桥东路27号汇丰汽配城内,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
146,2020,北京瑞泽鸿汽车维修中心丰台分部,马家楼213号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
147,2020,北京中机恒诚汽车销售有限公司,长辛店光明里75号1幢,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
148,2020,北京市丰台大美汽车维修站,白盆窑路北京南单身公寓,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
149,2020,北京智成佳源汽车维修,大瓦窑11号1幢,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
150,2020,北京汇京鸿运汽车贸易发展有限公司,丰管路16号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
151,2020,北京聚百丰汽车销售服务有限公司,北京市丰台区新村巴庄子124号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
152,2020,北京君禹德汽车服务有限公司,张仪村路23号院甲9号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
