序号*,年份*,企业名称*,详细地址*,重点行业类型*,重点行业分支*,其他行业类型,管控类型*,红色预警_减排措施*,橙色预警_减排措施*,黄色预警_减排措施*
18,2020,北京市合利看丹混凝土有限公司,花乡地区办事,水泥,水泥制品,,非绩效引领性企业,停产；停止使用国四及以下重型载货车辆（含国五燃气）进行运输,停产；停止使用国四及以下重型载货车辆（含国五燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
19,2020,北京市高强混凝土有限责任公司丰台西道口分站,北京市丰台区卢沟桥西道口沙岗村69号,水泥,水泥制品,,非绩效引领性企业,停产；停止使用国四及以下重型载货车辆（含国五燃气）进行运输,停产；停止使用国四及以下重型载货车辆（含国五燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
20,2020,北京市第二建筑工程有限责任公司混凝土分公司,北京市丰台区卢沟桥乡小屯路53号,水泥,水泥制品,,非绩效引领性企业,停产；停止使用国四及以下重型载货车辆（含国五燃气）进行运输,停产；停止使用国四及以下重型载货车辆（含国五燃气）进行运输,停止使用国四及以下重型载货车辆（含燃气）进行运输
21,2020,北京三兴汽车有限公司,丰台区新村一里15号,工业涂装,其他工业涂装, 改装汽车制造,D,2个喷烤漆房和1个调漆间等涉VOCs排放工序停产；停止使用国四及以下重型载货车辆（含燃气）进行运输,2个喷烤漆房和1个调漆间等涉VOCs排放工序停产；停止使用国四及以下重型载货车辆（含燃气）进行运输,2个喷烤漆房和1个调漆间等涉VOCs排放工序停产；停止使用国四及以下重型载货车辆（含燃气）进行运输
22,2020,北京北方华德尼奥普兰客车股份有限公司,朱家坟五里5号,汽车整车制造,汽车整车制造工业,,D,烤漆房3个，调漆间1个，喷漆房13间，总装车间4条等涉VOCs排放工序停用；停止使用国四及以下重型载货车辆（含燃气）进行运输,烤漆房3个，调漆间1个，喷漆房13间，总装车间4条等涉VOCs排放工序停用；停止使用国四及以下重型载货车辆（含燃气）进行运输,烤漆房3个，调漆间1个，喷漆房13间，总装车间4条等涉VOCs排放工序停用；停止使用国四及以下重型载货车辆（含燃气）进行运输
23,2020,北京地铁车辆装备有限公司,苇子坑23号,工业涂装,其他工业涂装,地铁车辆制造,D,2个喷漆车间等涉VOCs排放工序停产；停止使用国四及以下重型载货车辆（含燃气）进行运输,2个喷漆车间等涉VOCs排放工序停产；停止使用国四及以下重型载货车辆（含燃气）进行运输,2个喷漆车间等涉VOCs排放工序停产；停止使用国四及以下重型载货车辆（含燃气）进行运输
24,2020,北京榆构砂石有限公司,丰台区榆树庄铁路氧气厂南20米,其他,其他工业,砂石料厂,其他,停产；停止使用国四及以下重型载货车辆（含燃气）进行运输,停产；停止使用国四及以下重型载货车辆（含燃气）进行运输,停产；停止使用国四及以下重型载货车辆（含燃气）进行运输
25,2020,北京京博祥云汽车维修服务有限公司,晓月苑二里6号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
26,2020,北京东方龙珠汽车服务有限公司北京分公司,杜家坎6号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
27,2020,北京公共交通控股（集团）有限公司第二保修分公司,六合庄2号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
28,2020,北京恒通伟业汽车服务有限责任公司,南岗洼长青路8号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
29,2020,北京加达永通汽车销售有限公司,高立庄村587号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
30,2020,北京上汽丰华汽车销售服务有限公司,青塔西路46号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
31,2020,北京鑫迈隆汽车修理有限责任公司,草桥东路27号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
32,2020,北京英普特汽车服务有限公司,白盆窑村花乡政府东边2幢,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
33,2020,北京长久世捷汽车销售有限公司,张仪村路215号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
34,2020,北京中汽雷日汽车有限公司,丰台区南四环中路20号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
35,2020,北京众车天下汽车服务有限公司,张仪村乙22号101号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
36,2020,中车（北京）汽修连锁有限公司第五十九分公司,卢沟桥晓月苑二里,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
37,2020,北京宝泽行汽车销售服务有限公司,西三环南路59号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
38,2020,北京云冠汽车修理有限公司,王佐镇南岗洼村275号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
39,2020,北京国服信奥众汽车有限公司,南四环榴乡桥东200米路北,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
40,2020,北京鑫利宝经贸有限公司,南四环西路73号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
41,2020,北京天鸿和毅汽车修理厂,南四环中路260号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
42,2020,北京市江腾汽车维修站,长辛店镇赵辛店村931号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
43,2020,北京京湘顺汽车修理站,赵辛店村475号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
44,2020,北京昊天意顺汽车服务有限责任公司,张仪村22号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
45,2020,北京市京福汽车整形修理部,潘家庙400号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
46,2020,北京益达兴隆汽车修理厂,丰台路口26号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
47,2020,北京上汽首创上海大众汽车维修有限公司,北京市丰台区丰台北路12号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
48,2020,北京金泰开元汽车销售服务有限公司,大红门三星庄34号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
49,2020,北京鹏龙大道汽车销售服务有限公司,南三环西路85号甲-1,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
50,2020,北京汇京柯曼汽车贸易发展有限公司,丰管路46号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
51,2020,北京中业丰田汽车销售服务有限公司,南三环西路260号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
52,2020,北京金世纪汽车维修服务有限公司,北京市丰台区新发地潘家庙北街201号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
53,2020,北京长怡汽车销售服务有限公司,南三环西路31号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
54,2020,北京市远洋汽车修理站,郭庄子29号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
55,2020,北京中润发汽车销售有限公司,丽泽路99号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
56,2020,北京福铃汽车技术发展有限公司,郭公庄608号北院,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
57,2020,北京海文捷汽车销售服务有限公司,六里桥南里10号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
58,2020,北京陆新一通汽车修理服务有限公司,世界公园对面农业银行口内100米,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
59,2020,北京银建汽车修理有限公司二厂,西洪泰庄98号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
60,2020,北京宣保行汽车服务有限责任公司,五里店260号南平房,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
61,2020,北京首汽腾达汽车销售服务有限公司,莲花池西里11号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
62,2020,北京市汇友汽车维修服务有限公司,丰葆路709号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
63,2020,北京庆洋汽车服务有限公司,马家楼215号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
64,2020,北京凯迪行汽车销售服务有限公司,张仪村23号院甲6号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
65,2020,北京市天达汽车修理有限公司,北京市丰台区西四环中路92-7,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
66,2020,北京恒星天诚汽车销售有限公司,花乡高立庄东京良路北,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
67,2020,北京恩远大汽车技术服务有限公司,北京丰台区花乡镇国寺甲1号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
68,2020,北京亚之杰伯乐汽车销售服务有限公司,南三环西路115号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
69,2020,北京庆金良汽车修理有限公司,小屯路121号10幢1号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
70,2020,北京博瑞宝汽车销售服务有限公司,西罗园南里44号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
71,2020,北京北汽出租汽车集团有限责任公司青塔福斯特汽车修理厂,大成路19-2,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
72,2020,北京利豪广厦汽车销售有限公司,张仪村甲7号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
73,2020,北京玉环天云汽车服务中心,卢沟桥沙岗村甲5号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
74,2020,北京长辛店圳兴汽车修理厂,长辛店镇东河沿村北一路北侧,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
75,2020,北京加达博通汽车系销售有限公司,张仪村23号院内甲1号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
76,2020,北京加达汽车服务有限公司,张仪村路23号内甲3号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
77,2020,大众汽车服务中心（北京）有限公司,北京市丰台区南四环中路161号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
78,2020,北京世纪鸿运汽车服务有限公司,新发地潘家庙518号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
79,2020,北京世纪红光汽车修理厂,新发地潘家庙518号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
80,2020,北京盛奥通汽车服务有限公司,黄土岗村555号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
81,2020,北京凯郁富汽车修理有限公司,云岗西路甲16号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
82,2020,北京路博达汽车修理有限公司,大井后街188号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
83,2020,北京北方华驿车辆销售服务有限公司,洋桥西1号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
84,2020,北京市鑫春瑞汽车维修站,卢沟桥路西五里店甲558号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
85,2020,北京博瑞凌志汽车销售服务有限公司,南四环中路161号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
86,2020,北京启丰汽车修理有限责任公司,新发地潘家庙北街200号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
87,2020,北京华越汽车服务公司,卢沟桥城北路1号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
88,2020,北京嘉金福瑞汽车销售服务有限公司,青塔西路69号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
89,2020,北京大井蓝天勤丰汽车修理厂,卢沟桥路181号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
90,2020,北京中企欣源汽车销售服务有限公司,右安门外南三环西路43号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
91,2020,北京中机华辰汽车销售有限公司第五分公司,南四环西路11号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
92,2020,北京万通国发汽车销售服务有限公司,南四环中路260号新发地汽车交易市场Z区207号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
93,2020,利星行（北京）汽车有限公司,南四环西路123号北京市旧机动车交易市场G118号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
94,2020,北京民新昌达汽车销售服务有限公司,菜户营东街乙168号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
95,2020,北京聚宝来汽车维修中心,永合庄17号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
96,2020,北京鑫伯龙商贸有限公司,西局西街298号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
97,2020,北京明静雅汽车服务有限公司,正阳大街65号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
98,2020,北京市京丰宝信汽车服务有限公司,丰台区看丹村杨树庄129号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
99,2020,北京燕宏智翔汽车科技有限公司,南关东里100号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
100,2020,北京长辛店国林伟业汽车修理厂,长辛店镇公路街29号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
101,2020,北京芳飞汽车服务有限责任公司,程庄路71号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
102,2020,北京卫宇行汽车服务有限公司,万丰路288号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
103,2020,北京戎丰兴业汽车服务有限公司,程庄路69号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
104,2020,北京北方创成车辆技术发展有限公司,杜家坎1号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
105,2020,北京庆达伟业汽车服务有限公司,郑常庄天安街15号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
106,2020,北京靛厂京铁汽车维修站,北京市靛厂村718号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
107,2020,北京方庄丰田汽车销售服务有限公司,蒲黄榆路48号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
108,2020,北京福铃丰瑞汽车销售有限公司,郭公庄608号北院,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
109,2020,北京兆安汽车维修中心,草桥东路北甲地2号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
110,2020,北京京丰蓝天汽车维修有限公司,西四环南路61号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
111,2020,北京京石丰田汽车销售服务有限公司,五里店260号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
112,2020,北京猎豹商贸有限责任公司,南四环西路73号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
113,2020,北京市北奔汽车修理厂,成寿寺路17号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
114,2020,北京中汽京田汽车贸易有限公司,北京市丰台区张仪村甲1号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
115,2020,北京祥瑞驰通汽车销售有限公司,南四环西路66号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
116,2020,北京经典合安汽车销售服务有限公司,樊家村101号-1,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
117,2020,北京大道汽车维修有限责任公司,程庄子85号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
