序号,"行政相对人
类别",行政相对人名称,处罚决定书文号,违法行为类型,"违法事实
(立案表)",处罚依据,"处罚
类别",处罚内容,"罚款金额
（万元）","处罚决定
日期","处罚
有效期","公示
截止期",处罚机关,
1,个体工商户,"北京崔**汽车运输户(崔**，男，出生日期：196*年*月*日，
身份证号：1325**196*******51)",京城管罚字〔2022〕17号,《城市生活垃圾管理办法》,"2022年12月26日9时30分，本行政机关通过微信公众号“大北京早知道”发现，在2022年8月11日17时左右，北京市西五环内环石丰桥附近发生了生活垃圾遗撒。经调查，现场发生生活垃圾遗撒的车辆为北京崔**汽车运输户提供，遂于2022年12月26日立案。
2022年6月16日，当事人与北京卓越大地环境清洁服务有限公司签订了《运输服务合同》。自该合同签订之日起，当事人按照合同约定的路线即北京环丰世纪绿色能源科技有限公司至阿苏卫焚烧厂，每日派出三辆车运输生活垃圾。2022年8月11日14时33分，当事人临时协调车牌号为赣C3H019的车辆代为运输生活垃圾，17时左右该车辆行驶至阿苏卫焚烧厂途径西五环内环石丰桥附近时，因车厢后门锁链断裂，发生生活垃圾遗撒。经查，当事人无违法所得。
当事人在未取得城市生活垃圾经营性清扫、收集、运输服务许可证的情况下，从事生活垃圾经营性收集、运输服务持续时间长达近两个月，本行政机关要求其限期改正违法行为，当事人表示以后不再从事生活垃圾经营性清扫、收集、运输行为。",违反条款：第十七条；处罚条款：第四十三条，责令停止违法行为，并处以3万元的罚款。,罚款,罚款30000.00,3,2023/3/23,2099-12-31,2024/3/23,北京市城市管理综合行政执法局,
2,法人及非法人组织,北京卓越大地环境清洁服务有限公司,京城管罚字〔2022〕19号,《北京市生活垃圾管理条例》,经查，2022年2月21日，当事人与北京环丰世纪绿色能源科技有限公司签订了《委托运输服务合同》，自合同生效之日起开始运输生活垃圾。2022年6月16日，当事人又与北京崔志俭汽车运输户签订了《运输服务合同》，自该合同签订之日起，北京崔志俭汽车运输户按照合同约定的路线每日派出三辆车运输生活垃圾。2022年8月11日14时33分，北京崔志俭汽车运输户临时协调车牌号为赣C3H019的车辆代为运输生活垃圾，17时左右该车辆行驶至阿苏卫焚烧厂途径西五环内环石丰桥附近时发生生活垃圾遗撒。当事人未能提供2022年8月11日生活垃圾管理台账，也未能提供涉事车辆及其他运输车辆的生活垃圾管理台账，未建立生活垃圾管理台账。,违反条款：第四十五条第一款第（三）项；处罚条款：第七十一条第三款 责令限期改正，处一千元以上一万元以下罚款；情节严重的，由城市管理综合执法部门吊销生活垃圾收集、运输经营许可证。,罚款,罚款7000.00,0.7,2023/3/23,2099-12-31,2024/3/23,北京市城市管理综合行政执法局,
3,法人及非法人组织,北京中润宏坤建筑工程有限公司,京城管罚字〔2023〕1号,《北京市燃气管理条例》,2023年4月12日11时10分许，该单位在北京市通州区马驹桥镇永安公墓东侧150米处，在拓宽河道过程中使用挖掘机械将燃气DN200中压管线挖漏。现场被破坏管线上游已切断，未影响下游用户。,对单位：违反条款：《北京市燃气管理条例》第三十六条第一款；处罚条款：第六十二条第一款  责令限期改正，恢复原状或者采取其他补救措施，处五万元以上十万元以下罚款。,罚款,罚款50000.00,5,2023/4/23,2099-12-31,2024/4/23,北京市城市管理综合行政执法局,
4,法人及非法人组织,北京中厚建设有限公司,京城管罚字〔2022〕21号,《北京市燃气管理条例》,该单位于2022年5月9日16时50分，在北京市通州区马驹桥镇兴华中街鑫源超市东侧抢修爆裂自来水管施工过程中，施工人员使用挖掘机械将燃气DE200中压管线挖漏。北京燃气集团四分公司于2022年5月10日4时00分许修复完毕，泄漏情况未影响到下游用户。,对单位：违反条款：《北京市燃气管理条例》第三十六条第一款；处罚条款：第六十二条第一款  责令限期改正，恢复原状或者采取其他补救措施，处五万元以上十万元以下罚款。,罚款,罚款50000.00,5,2023/5/6,2099/12/31,2024/5/6,北京市城市管理综合行政执法局,
5,法人及非法人组织,北京朕阳新泰建筑工程有限公司,京城管罚字〔2023〕3号,《北京市燃气管理条例》,2023年5月5日09时50分，该单位在北京市通州区玉桥南里北区11号楼西侧进行通州区玉桥南里老旧小区综合整治工程施工作业，该单位作业人员在进行雨污水管网敷设过程中使用挖掘机械将燃气DE110低压管线挖漏。2023年5月5日14时30分，燃气公司修复了燃气管线，期间共影响下游72户居民用户用气，存在较大安全隐患。,对单位：违反条款：《北京市燃气管理条例》第三十六条第一款；处罚条款：第六十二条第一款  责令限期改正，恢复原状或者采取其他补救措施，处五万元以上十万元以下罚款。,罚款,罚款100000.00,10,2023/5/18,2099/12/31,2026/5/18,北京市城市管理综合行政执法局,
6,法人及非法人组织,北京朕阳新泰建筑工程有限公司,京城管罚字〔2023〕3号,《北京市燃气管理条例》,2023年5月5日09时50分，该单位在北京市通州区玉桥南里北区11号楼西侧进行通州区玉桥南里老旧小区综合整治工程施工作业，该单位作业人员在进行雨污水管网敷设过程中使用挖掘机械将燃气DE110低压管线挖漏。2023年5月5日14时30分，燃气公司修复了燃气管线，期间共影响下游72户居民用户用气，存在较大安全隐患。,对单位：违反条款：《北京市燃气管理条例》第三十六条第一款；处罚条款：第六十二条第一款  责令限期改正，恢复原状或者采取其他补救措施，处五万元以上十万元以下罚款。,罚款,罚款100000.00,10,2023/5/18,2099/12/31,2026/5/18,北京市城市管理综合行政执法局,
7,法人及非法人组织,北京朕阳新泰建筑工程有限公司,京城管罚字〔2023〕3号,《北京市燃气管理条例》,2023年5月5日09时50分，该单位在北京市通州区玉桥南里北区11号楼西侧进行通州区玉桥南里老旧小区综合整治工程施工作业，该单位作业人员在进行雨污水管网敷设过程中使用挖掘机械将燃气DE110低压管线挖漏。2023年5月5日14时30分，燃气公司修复了燃气管线，期间共影响下游72户居民用户用气，存在较大安全隐患。,对单位：违反条款：《北京市燃气管理条例》第三十六条第一款；处罚条款：第六十二条第一款  责令限期改正，恢复原状或者采取其他补救措施，处五万元以上十万元以下罚款。,罚款,罚款100000.00,10,2023/5/18,2099/12/31,2026/5/18,北京市城市管理综合行政执法局,
8,法人及非法人组织,北京朕阳新泰建筑工程有限公司,京城管罚字〔2023〕3号,《北京市燃气管理条例》,2023年5月5日09时50分，该单位在北京市通州区玉桥南里北区11号楼西侧进行通州区玉桥南里老旧小区综合整治工程施工作业，该单位作业人员在进行雨污水管网敷设过程中使用挖掘机械将燃气DE110低压管线挖漏。2023年5月5日14时30分，燃气公司修复了燃气管线，期间共影响下游72户居民用户用气，存在较大安全隐患。,对单位：违反条款：《北京市燃气管理条例》第三十六条第一款；处罚条款：第六十二条第一款  责令限期改正，恢复原状或者采取其他补救措施，处五万元以上十万元以下罚款。,罚款,罚款100000.00,10,2023/5/18,2099/12/31,2026/5/18,北京市城市管理综合行政执法局,
9,法人及非法人组织,北京鑫洋顺建筑有限公司,京城管罚字〔2023〕10号,《北京市建筑垃圾处置管理规定》,经查，2023年3月2日凌晨，当事人北京鑫洋顺建筑有限公司需要处理2车建筑垃圾，未交由施工项目备案的运输单位，交由北京京顺盛达建筑工程有限公司清运。北京京顺盛达建筑工程有限公司使用车牌号为京AKE262和京AHZ283的车辆从北京地铁12号线工程施工05合同段项目分别外运1车建筑垃圾，并于当日凌晨3:40左右将建筑垃圾随意倾倒在东城区东直门立交桥西北角空地，共计2处，面积为27平方米。,违反条款：第二十条第二款；处罚条款：第四十一条第二款 责令限期改正，处10万元以上100万元以下罚款。,罚款,罚款70万元,70,2023/5/26,2099/12/31,2026/5/26,北京市城市管理综合行政执法局,
10,法人及非法人组织,北京市液化石油气有限公司,京城管罚字〔2023〕2号,《中华人民共和国安全生产法》,2023年3月28日14时30分，本行政机关在检查中发现，该单位位于北京市西城区东太平街甲1号的北京液化气东太平供应站，属于有较大危险因素的生产经营场所，在北京液化气东太平供应站入口处未设置明显的安全警示标志。,"违反条款：《中华人民共和国安全生产法》第三十五条；
违反条款：《中华人民共和国安全生产法》第三十五条；
处罚条款：第九十九条第（一）项，责令限期改正，处五万元以下的罚款；逾期未改正的，处五万元以上二十万元以下的罚款，对其直接负责的主管人员和其他直接责任人员处一万元以上二万元以下的罚款；情节严重的，责令停产停业整顿；构成犯罪的，依照刑法有关规定追究刑事责任。",罚款,罚款10000.00,1,2023/6/21,2099/12/31,2024/6/21,北京市城市管理综合行政执法局,
