2022年度开发区和谐劳动关系创建活动企业名单,Unnamed: 1
序号,企业名称
1,北京亦庄国际生物医药投资管理有限公司
2,北京宇航推进科技有限公司
3,中冶赛迪电气技术有限公司
4,美巢集团股份公司
5,北京海步医药科技有限公司
6,森特士兴集团股份有限公司
7,北京亦庄智能城市研究院集团有限公司
8,北京嘉捷源技术开发有限公司（嘉捷集团）
9,中冶赛迪电气技术有限公司
10,北京亦庄智能城市研究院集团有限公司
