规则：1、数据来源于双公示数据。2、日期按照决定日期选择1月日至6月30日。3、删除公示截止期小于6月30日的处罚。4、详情组合认定依据、违法事由、处罚依据、处罚内容,/,/,/,/,/,/,/,/,/,/
序号,行政相对人名称,处罚决定书文号,详情,,,,,处罚决定书决定日期,处罚公示期限,办案机关
10,浙江弘安建设有限公司,京建法罚（市）字[2023]第010213号,《建筑起重机械安全监督管理规定》第三十一条,你单位是北京市大兴区旧宫镇绿化隔离地区建设旧村二期1号土地一级开发项目A2-2地块R2二类居住用地项目（1#住宅楼等12项）项目的施工总承包单位。2023年3月21日，本机关在对上述项目的执法检查中发现，施工现场在用的登记编号为京CP-T68136的塔式起重机与施工现场在用的登记编号为京CP-T68137的塔式起重机水平安全距离不足2米，与该工程《群塔作业专项方案》第20页第6.1条的要求不符。你单位作为该项目的施工总承包单位，在施工现场有多台塔式起重机作业时，未实施防止塔式起重机相互碰撞的安全措施，构成了未履行安全生产职责的行为。经查，你单位上述行为未造成事故。,《建筑起重机械安全监督管理规定》第三十一条,警告;罚款,给予你单位警告，并处12500元罚款的行政处罚,2023-05-08,2023-11-08,北京市住房和城乡建设委员会
11,中建一局集团东南建设有限公司,京建法罚（市）字[2023]第010154号,《中华人民共和国建筑法》第七十一条第一款；《北京市建设工程施工现场管理办法》第三十一条,你单位是位于经济技术开发区北京市通州区中关村科技园区通州园金桥科技产业基地景盛南二街29号的润生二期城市更新产业升级项目（1#生产研发楼等3项）的施工总承包单位。2023年2月20日执法人员现场检查时，发现该工程存在以下问题：1、1#生产研发楼地下一层220V临时照明灯具直接放在分配电箱上，距地面1.2米，不符合《施工现场临时用电安全技术规范》JGJ46-2005第10.3.2条第一款的要求。2、1#生产研发楼一层西侧分配电箱内控制开关未标明用途，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》DB11/945-2012第2.10.10条的要求。你单位在该工程施工现场上述行为违反2条技术标准，可能造成火灾事故，存在安全事故隐患，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《中华人民共和国建筑法》第七十一条第一款；《北京市建设工程施工现场管理办法》第三十一条,罚款,给予你单位处5500.00元罚款的行政处罚,2023-05-08,2024-05-08,北京市住房和城乡建设委员会
12,北京荣达智能建筑工程有限公司,京建法罚（市）字[2023]第010232号,《中华人民共和国消防法》第五十九条第一款第（三）项以及《北京市住房城乡建设系统行政处罚裁量基准》C0586300A020,你单位北京荣达智能建筑工程有限公司是位于朝阳区平房乡姚家园村的平房乡姚家园新村三期安置房项目（9#-12#住宅楼、3#低压配电室、5#人防出入口、2#地下汽车库、幼儿园、幼儿园门卫室）的消防工程分包施工单位。2023年3月16日现场检查时发现，现场检查时12#住宅楼地下一层及2#地下汽车库地下二层、地下三层喷淋系统喷头已于2023年3月1日前安装约3000个，现场不能提供试压、冲洗记录表，消防工程专业分包单位、监理单位承认喷淋系统喷头安装前未进行系统试压、冲洗，不符合《自动喷水灭火系统施工及验收规范》（GB50261-2017）第5.2.1条的规定。上述行为属于不按照消防技术标准施工，降低消防施工质量的行为。,《中华人民共和国消防法》第五十九条第一款第（三）项以及《北京市住房城乡建设系统行政处罚裁量基准》C0586300A020,罚款,给予你单位处以55000元罚款的行政处罚,2023-05-08,2025-05-08,北京市住房和城乡建设委员会
13,北京友原房地产经纪有限公司,京建法罚（市）字[2023]第010147号,《北京市住房租赁条例》六十七条第（四）项及《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1672200B010,你单位北京友原房地产经纪有限公司作为房地产经纪机构，在组织出租人与承租人签订位于丰台区卢沟桥乡小瓦窑村黄庄九雅嘉园3号楼7层701房屋租赁合同（编号：202300003）过程中，无从业人员持卡实名从业并在其提供服务的住房租赁合同上签字、注明从业信息卡号。,《北京市住房租赁条例》六十七条第（四）项及《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1672200B010,罚款,给予北京友原房地产经纪有限公司处12500.00元罚款的行政处罚,2023-05-12,2023-11-12,北京市住房和城乡建设委员会
14,北京市中中防水工程有限责任公司,京建法罚（市）字[2023]第010247号,《《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A010,位于北京市朝阳区北京地铁12号线工程土建施工13合同段项目工程的建设单位是北京市轨道交通建设管理有限公司，总包施工单位是中铁十五局集团有限公司，监理单位是北京中铁诚业工程建设监理有限公司，你单位是该项目工程西坝河站的防腐喷涂专业分包单位。本机关于2023年2月13日现场检查时，发现你单位施工现场存在以下问题：1.西坝河站站厅层36轴钢管处的临时照明灯具用电线沿建筑物敷设时，未采取绝缘隔离措施，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.6条的要求；2.西坝河站站厅层F出入口旁边正在使用的1台临时用电开关箱每日巡视检查记录日期填写至2023年2月11日，检查当日为2023年2月13日，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.3.3条的要求；3.西坝河站站厅层公共去F出入口旁边设置了1台临时用电开关箱未配锁，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.3.2条的要求。你单位存在的上述安全隐患总共违反了3条技术标准，未违反强制性条文。你单位上述行为属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A010,罚款,给予北京市中中防水工程有限责任公司处5500元罚款的行政处罚。,2023-05-19,2024-05-19,北京市住房和城乡建设委员会
15,北京洪雨建设工程有限公司,京建法罚（市）字[2023]第010173号,《北京市建设工程质量条例》第七十五条第一款和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1663500A010,你单位是位于通州区梨园镇的通州区梨园镇大稿村集体土地租赁住房项目（A1#楼（租赁住房）等8项）的防水工程专业分包施工单位。本机关检查人员于2023年2月20日现场检查时，发现你单位在施工现场存在以下问题：A3#楼屋面防水卷材已经于2022年8月17日进行了卷材防水层检验批质量验收，2023年2月20日现场检查时，A3#楼屋面防水卷材未做收头，不符合《屋面工程质量验收规范》（GB50207-2012）第6.2.14条第1款的要求。上述问题涉及的A3#楼建筑屋面分部中卷材防水层分项工程的合同价款为102953.76元。2023年3月17日，经本机关复核，你单位已按照要求完成整改。你单位上述行为属于在施工中不按照施工技术标准施工，未造成质量事故的行为。,《北京市建设工程质量条例》第七十五条第一款和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1663500A010,罚款,给予你单位处处工程合同价款2.5%的罚款，罚款金额2573.84元的行政处罚,2023-05-19,2024-05-19,北京市住房和城乡建设委员会
16,北京泓冠房地产经纪有限公司,京建法罚（市）字[2023]第010117号,《北京市住房租赁条例》第六十七条第(四）项和《北京市住房城乡建设系统行政处罚裁量基准》C1672200B010,你单位于2022年11月16日与出租人王淮签订了关于东城区石雀胡同19号房屋的《房屋出租委托协议》，并收取了该套房屋不动产权证书和业主的身份证复印件等资料，后于2022年11月17日后陆续开展发布广告、招揽合适租客等居间租赁经纪服务活动。但从事该业务的从业人员张深博未在其提供服务的房地产经纪合同上签字并注明从业信息卡号。北京市住房和城乡建设委员会针对你单位的上述行为，于2023年03月13日向你单位下达了京建法改（市）字[2023]第010084号的责令改正通知书，要求你单位于2023年03月16日前改正该行为。你单位在规定时间内改正了该行为，并按规定提交了整改报告，经北京市住房和城乡建设委员会执法人员于2023年03月16日复核整改情况，你单位在规定期限内改正了该行为，复核合格。你单位的该行为属于未按规定实名从业，违法情节一般。,《北京市住房租赁条例》第六十七条第(四）项和《北京市住房城乡建设系统行政处罚裁量基准》C1672200B010,罚款,处12500元罚款,2023-05-19,2023-11-19,北京市住房和城乡建设委员会
17,中铁二十一局集团有限公司,京建法罚（市）字[2023]第010199号,《北京市建设工程施工现场管理办法》第三十一条,你单位是位于经济技术开发区大兴区旧宫镇DX05-0200-0037地块的大兴区旧宫镇南郊农场棚户区改造项目DX05-0200-0037地块R2二类居住用地项目（1#住宅楼等15项）的施工总承包单位，2023年3月16日执法人员现场检查时，发现你单位在该工程存在以下问题：1、施工现场地下一层吊装口临边防护缺失，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.7.1条的要求；2、施工现场9#楼屋面部分短边小于1.5m的孔洞未应用坚实盖板封闭，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.6.1条的要求；3、5#楼4层一分配电箱中出线的PE线绝缘颜色未采用绿黄双色，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第5.1.11条的要求。你单位在该工程施工现场存在违反3条技术标准的行为，可能造成火灾事故，存在安全事故隐患，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条,罚款,给予你单位处5500.00元罚款的行政处罚,2023-05-25,2024-05-25,北京市住房和城乡建设委员会
18,北京嘉莱鸿泰建筑装饰工程有限公司,京建法罚（市）字[2023]第010201号,《北京市建设工程质量条例》第八十七条第（一）项,你单位是位于经济技术开发区大兴区旧宫镇DX05-0200-0037地块的大兴区旧宫镇南郊农场棚户区改造项目DX05-0200-0037地块R2二类居住用地项目（1#住宅楼等15项）的防水工程专业分包单位。2023年3月16日本机关的执法人员现场检查时，你单位在该工程施工现场存在以下问题：地下车库顶板11-19/A-E轴范围内的防水卷材已经施工完成，防水保护层也已施工完成，防水卷材的《材料、构配件进场检验记录》（资料编号：00-00-C4-001）中监理单位未签署审查意见，防水卷材未经监理单位审查。你单位的上述行为属于使用未经监理单位审查建筑材料的行为，未造成质量事故。该行为直接负责的主管人员是封卫佳，其他直接责任人员是苏彪。,《北京市建设工程质量条例》第八十七条第（一）项,罚款,给予你单位处47500.00元罚款的行政处罚。,2023-06-15,2024-06-15,北京市住房和城乡建设委员会
19,北京惠租房地产经纪有限公司,京建法罚（市）字[2023]第010209号,《北京市住房租赁条例》第六十九条第一款第（二）项及《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671300B020,你单位作为房地产经纪机构，于2023年3月22日在58同城网站上发布标题为“8号线和义地铁站临近地铁押一付一无中介费直租随时看房无杂费”、位于丰台区大红门南路158号（网址为：https://bj.58.com/zufang/53694853837360x.shtml）的出租房源，你单位作为房地产经纪机构，不能提供与所指房源产权人签订的委托合同、委托人身份信息、房源的不动产权属证书或者其他合法的不动产权属证明等材料，你单位的上述行为属于发布房源信息不符合相关规定的行为。北京市住房和城乡建设委员会于2023年4月3日向你单位下达了责令改正通知书（编号为京建法改（市）字[2023]第010118号），责令你单位限期改正上述违法行为。你单位在规定期限内下架违规房源并提交了书面整改报告。经复核，你单位已在规定期限内改正了违法行为，复核合格，相关责任人为刘树强。,《北京市住房租赁条例》第六十九条第一款第（二）项及《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671300B020,罚款,给予北京惠租房地产经纪有限公司处以30000.00元罚款的行政处罚,2023-06-20,2023-12-20,北京市住房和城乡建设委员会
