规则：1、数据来源于双公示数据。2、日期按照决定日期选择1月日至6月30日。3、删除公示截止期小于6月30日的处罚。4、详情组合认定依据、违法事由、处罚依据、处罚内容,/,/,/,/,/,/,/,/,/,/
序号,行政相对人名称,处罚决定书文号,详情,,,,,处罚决定书决定日期,处罚公示期限,办案机关
73,北京蜗牛空间住房租赁有限公司,京建法罚（市）字[2023]第010186号,《北京市住房租赁条例》第六十七条第(三）项,北京蜗牛空间住房租赁有限公司（曾用名：北京蜗牛空间企业管理有限公司）作为住房租赁企业，于2023年3月22日在贝壳网站发布标题为“合租·兆丰家园 3居室 南卧”的住房租赁房源信息，发布该住房租赁房源信息时未按照要求在网络服务端公示服务内容和标准。本机关2023年3月29日向你单位下达责令改正通知书（编号为京建法改（市）字[2023]第010116号），责令你单位于2023年4月6日前改正上述违法行为。你单位在规定期限内改正上述违法行为并提交了书面整改报告，经复核合格。,《北京市住房租赁条例》第六十七条第(三）项,罚款,给予你单位处以12500.00元罚款的行政处罚,2023-04-21,2023-10-21,北京市住房和城乡建设委员会
74,上海金茂建筑装饰有限公司,京建法罚（市）字[2023]第010102号,《北京市建设工程施工现场管理办法》第三十一条,"通过2022年9月28日现场检查、责令改正通知书（京建法改（市）字[2022]第020747号）和2023年3月15日对当事人上海金茂建筑装饰有限公司的委托代理人郑伟的询问，以及调取有关资料，查明你公司是位于西城区西直门外大街南路28号、甲28号的世纪天乐大厦改造项目的室内精装修工程专业分包施工单位。在该工程施工现场存在以下安全事故隐患：1.施工现场B座10层一开关箱直接控制三个插座，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.3条的要求;2.施工现场B座10层一开关箱箱体正面门内侧面未设本箱单线系统图,不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.10条的要求；3.施工现场B座16层一手持电动工具负荷线有接头，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第9.6.4条的要求。你单位的上述行为有可能导致触电事故，存在安全事故隐患，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为，违反了《北京市建设工程施工现场管理办法》第十三条第一款的规定。你单位在该工程施工现场存在违反3条技术标准，且其中1条是强制性条文的事故隐患的行为。认定你单位的上述行为违反了《北京市建设工程施工现场管理办法》第十三条第一款的规定，违法事实清楚，证据确实、充分。",《北京市建设工程施工现场管理办法》第三十一条,罚款,给予上海金茂建筑装饰有限公司处20000元罚款的行政处罚,2023-04-20,2025-04-20,北京市住房和城乡建设委员会
75,北京泛华天河建设工程有限公司,京建法罚（市）字[2023]第010109号,《北京市建设工程质量条例》第八十七条第（三）项,你单位是位于北京经济技术开发区瀛海镇YZ00-0803-0012地块的瀛海镇集体经营性建设用地YZ00-0803-0012地块（经开区国际人才社区1号地块）项目（1#专家楼（住宅）等25项）的防水工程专业分包施工单位。2022年11月09日本机关的执法人员现场检查时，你单位在该工程施工现场存在以下问题：地下车库 61-67/P-W轴混凝土底板防水卷材加强层未进行隐蔽验收即进行第一层防水层的铺贴，不符合《地下防水工程施工质量验收规范》(GB50208-2011)第3.0.9条“工程隐蔽前，应由施工单位通知有关单位进行验收，并形成隐蔽工程验收记录；未经监理单位或建设单位代表对上道工序的检查确认，不得进行下道工序的施工”的要求。你单位上述行为属于防水卷材加强层隐蔽工程未经监理单位验收，进行下一工序施工的行为，你单位该行为直接负责的主管人员是项目经理窦美芳，其他直接责任人员是施工员刘振东。,《北京市建设工程质量条例》第八十七条第（三）项,罚款,给予你单位处47500.00元罚款的行政处罚,2023-04-25,2024-04-25,北京市住房和城乡建设委员会
76,北京太中设备安装有限公司,京建法罚（市）字[2023]第010140号,《中华人民共和国行政许可法》第七十八条和《建筑业企业资质管理规定》第三十五条,2022年9月，你单位北京太中设备安装有限公司在申请消防设施工程专业承包壹级资质时，提交的四川省巴中市“九洲商业城-综合楼消防工程”和“林茂大楼消防工程”两项工程业绩不属实。你单位未取得消防设施工程专业承包壹级资质，你单位的上述行为属于提供虚假材料申请建筑业企业资质的行为。,《中华人民共和国行政许可法》第七十八条和《建筑业企业资质管理规定》第三十五条,警告,责令你单位15日内改正违法行为，给予警告，一年内不得再次申请该项建筑业企业资质（消防设施工程专业承包资质）,2023-04-25,2023-07-25,北京市住房和城乡建设委员会
77,北京西飞世豪建筑装饰工程有限公司,京建法罚（市）字[2023]第010166号,《注册建造师管理规定》第三十九条,你单位于2020年5月18日将蒲蕊的二级注册建造师证书注册到你单位。在申请注册时，蒲蕊并未与你单位签订劳动合同。2020年5月至2021年6月蒲蕊在你单位注册二级建造师注册证书期间，你单位未与蒲蕊签订劳动合同，蒲蕊实际并未到你单位任职并从事执业活动，你单位未支付给蒲蕊任何工资报酬。2021年6月蒲蕊认识到上述行为可能违反了《注册建造师管理规定》，同你单位协商并于2021年7月到你单位上岗任职，你单位于2021年7月开始按月支付给蒲蕊工资。2022年5月26日蒲蕊从你单位离职，之后你单位未再支付给蒲蕊任何工资报酬。你单位于2022年8月16日办理完成了蒲蕊在你单位注册证书的注销手续。你单位存在为二级注册建造师蒲蕊提供虚假注册材料的行为。,《注册建造师管理规定》第三十九条,警告,责令你单位15日内改正违法行为，对你单位给予警告,2023-04-25,2023-07-25,北京市住房和城乡建设委员会
78,北京万家家园房地产经纪有限公司,京建法罚（市）字[2023]第010169号,《北京市住房租赁条例》第六十七条第(四）项,你公司作为房地产经纪机构于2023年2月20日为坐落于崇文区西花市南里东区3号楼9层5单元903房屋（房屋产权证书编号为京房权证崇字第90329号）提供了居间服务，房屋出租委托书上受托签字人为杨丽。经核实，为该房屋提供服务的从业人员为杨书娟，你公司上述行为构成未按规定实名从业，并在其提供服务的房地产经纪合同上签字的违法行为   ,《北京市住房租赁条例》第六十七条第(四）项,罚款,你单位在规定期限内改正了违法行为并提交了整改报告，对你公司（单位）处以1.25万元罚款的行政处罚,2023-04-20,2023-10-20,北京市住房和城乡建设委员会
79,北京通汇创基机电工程有限公司,京建法罚（市）字[2023]第010101号,《建筑业企业资质管理规定》第三十五条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1670300B000,你单位2022年10月申请电子智能化专业承包壹级资质时，提交了四川省巴中市“罡正电子—电子元件制造设备安装工程”、“磁性元器件生产线与电子变压器全自动生产线设备安装工程”两项工程业绩。2022年11月，本机关向工程项目所在地建设主管部门四川省住房和城乡建设厅发函核实，经四川省住房和城乡建设厅核实确认，你单位所申报业绩均不属实。你单位上述行为已构成提供虚假材料申请建筑业企业资质的行为。,《建筑业企业资质管理规定》第三十五条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1670300B000,警告,责令你单位北京通汇创基机电工程有限公司15日内改正违法行为，给予警告，1年内不得再次申请建筑业企业资质（电子智能化专业承包）,2023-04-25,2023-07-25,北京市住房和城乡建设委员会
80,北京筑兴顺达建筑有限公司,京建法罚（市）字[2023]第010100号,《建筑业企业资质管理规定》第三十五条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1670300B000,你单位2022年9月申请消防设施工程专业承包壹级资质时，提交了四川省广元市“山珍大厦消防工程”、“百利城购物中心消防工程”两项工程业绩。2022年10月，本机关向工程项目所在地建设主管部门四川省住房和城乡建设厅发函核实，经四川省住房和城乡建设厅核实确认，你公司所申报业绩均不属实。你单位上述行为已构成提供虚假材料申请建筑业企业资质的行为。,《建筑业企业资质管理规定》第三十五条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1670300B000,警告,责令你单位北京筑兴顺达建筑有限公司15日内改正违法行为，给予警告，1年内不得再次申请建筑业企业资质（消防设施工程专业承包）,2023-04-25,2023-07-25,北京市住房和城乡建设委员会
81,北京双良混凝土有限公司,京建法罚（市）字[2023]第010085号,《北京市建设工程质量条例》第七十九条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1663900A010,2022年9月5日，本机关对位于北京市朝阳区双桥路9号的北京双良混凝土有限公司正在使用的矿粉进行现场抽样，并进行了检验。根据编号为2022-01107的通用材料试验报告，该批次矿粉所检项目中活性指数（7d、28d）不符合S95级粒化高炉矿渣粉的技术要求。2023年3月13日，本机关对当事人北京双良混凝土有限公司、直接负责的主管人员向桃及其他直接责任人员常志奇的委托代理人李杰进行了询问，并在调取有关资料后，查明：2022年9月5日现场抽样检验的矿粉为S95级，在委托编号为2022-01107的通用材料试验报告所检项目中活性指数（7d）为43%，活性指数（28d）为62%，不符合国家标准《用于水泥、砂浆和混凝土中的粒化高炉矿渣粉》GB/T18046表1“矿渣粉的技术要求”的S95级活性指数（7d）≥70%，活性指数（28d）≥95%的要求，违反了《混凝土质量控制标准》GB50164-2011第2.4.1条的规定。该批次矿粉属于不合格原材料，已用于预拌混凝土生产。经本机关现场复查并追溯工程质量，复查合格，未发生质量事故。北京双良混凝土有限公司上述行为属于使用检验不合格的原材料的行为，北京双良混凝土有限公司材料主管向桃是该行为直接负责的主管人员，试验室主任常志奇是该行为其他直接责任人员。,《北京市建设工程质量条例》第七十九条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1663900A010,罚款,125000.00元罚款的行政处罚,2023-05-09,2024-05-09,北京市住房和城乡建设委员会
82,北京诚佳物业管理有限公司,京建法罚（市）字[2023]第010119号,《北京市住房租赁条例》第六十七条第(三）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671700B010,北京诚佳物业管理有限公司作为住房租赁企业，在与房屋产权人签订合同并实际承租他人住房的情况下，于2023年2月27日在贝壳网站发布标题为“合租.夏都盈座 5居室 西北卧”的住房租赁房源信息，发布该住房租赁房源信息时未按照要求在网络服务端公示服务内容和标准。北京市住房和城乡建设委员会向你单位下达责令改正通知书（编号为京建法改（市）字[2023]第010070号），责令你单位限期改正上述违法行为，你单位在规定期限内改正了违法行为并提交了书面整改报告，经复核合格。,《北京市住房租赁条例》第六十七条第(三）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671700B010,罚款,给予北京诚佳物业管理有限公司处以12500.00元罚款的行政处罚,2023-04-12,2023-10-12,北京市住房和城乡建设委员会
83,北京鸿浩添业顺房地产经纪有限责任公司,京建法罚（市）字[2023]第010120号,《北京市住房租赁条例》第六十七条第(三）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671700B010,北京鸿浩添业顺房地产经纪有限责任公司作为房地产经纪机构，未按照要求在经营场所公示服务内容和标准、从业人员信息，存在未遵守相关公示要求的行为。2023年3月13日北京市住房和城乡建设委员会向你单位下达责令改正通知书（编号为京建法改（市）字[2023]第010078号），责令你单位在2023年3月20日前改正上述违法行为。2023年3月16日你单位在经营场所对服务内容和标准、从业人员信息进行了公示并提交了书面整改报告，经复核合格。,《北京市住房租赁条例》第六十七条第(三）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671700B010,罚款,给予北京鸿浩添业顺房地产经纪有限责任公司处以12500.00元罚款的行政处罚,2023-04-12,2023-10-12,北京市住房和城乡建设委员会
84,合肥堃俊建筑安装工程有限公司,京建法罚（市）字[2023]第010215号,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A020,你单位为位于通州区永顺镇的北京市通州区永顺镇运通人和良园二期FZX-0604-6002、FZX-0604-6006地块R2二类居住用地、A334托幼用地建设项目（幼儿园等2项、1#住宅楼等5项、4#住宅楼等7项）机电安装一标段的专业分包施工单位。2023年3月21日本机关检查人员现场检查时，发现你单位在施工现场存在以下问题：地下一层机电工程加工区内一台切割机由分配电箱直接控制，未设置专用开关箱，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.3条的规定。你单位的上述行为已构成施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A020,罚款,给予合肥堃俊建筑安装工程有限公司处20000元罚款的行政处罚,2023-05-06,2025-05-06,北京市住房和城乡建设委员会
85,北京金港银亮建筑工程有限公司,京建法罚（市）字[2023]第010214号,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A010,你单位为位于朝阳区平房乡姚家园村的平房乡姚家园新村三期安置房项目（9#-12#住宅楼、3#低压配电室、5#人防出入口、2#地下汽车库、幼儿园、幼儿园门卫室）外墙装修的专业分包施工单位。2023年3月16日本机关检查人员现场检查时，发现你单位在施工现场存在以下问题：1.9#住宅楼北侧的一个空压机开关箱放置在地面上，未装设在坚固、稳定的支架上，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.8条的规定。2.12#住宅楼南侧的一台空压机的开关箱内连接金属箱门与金属箱体的编织软铜线断开，金属箱门与金属箱体未做电气连接，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.13条的规定。3.12#住宅楼南侧的一台空压机的开关箱内未设置PE线端子板，控制开关未标明用途，未设置本箱单线系统图，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.10条的规定。你单位的上述行为已构成施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667000A010,罚款,给予北京金港银亮建筑工程有限公司处5500元罚款的行政处罚,2023-05-06,2024-05-06,北京市住房和城乡建设委员会
86,北京顺天建筑劳务有限公司,京建法罚（市）字[2023]第010145号,《中华人民共和国安全生产法》第九十七条第（一）项,你单位是位于朝阳区的北京市朝阳区崔各庄乡黑桥村、南皋村棚户区改造土地开发项目30-L03-01地块R2二类居住用地、30-L03-03地块A62社区养老设施用地、30-L03-04地块A334基础教育用地、30-L03-05地块U12供电用地（配建“保障性租赁住房”）（1#住宅楼等24项）劳务分包单位，2023年2月13日本机关现场检查时，施工现场存在以下问题：北京顺天建筑劳务有限公司已进场施工人员212人，现场仅配备2名专职安全生产管理人员（李再飞、张艺林），不符合《建筑施工企业安全生产管理机构设置及专职安全生产管理人员配备办法》(建质[2008]91号)第十四条第(二)项关于劳务分包单位施工人员在200人及以上的，应当配备3名及以上专职安全生产管理人员的要求。上述行为属于未按照规定配备安全生产管理人员的行为。,《中华人民共和国安全生产法》第九十七条第（一）项,罚款,给予你单位处2.5万元罚款的行政处罚,2023-04-12,2024-04-12,北京市住房和城乡建设委员会
87,北京正继建筑劳务有限责任公司,京建法罚（市）字[2023]第010125号,《中华人民共和国安全生产法》第九十七条第（一）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1602200A010,你单位是位于朝阳区崔各庄乡黑桥村、南皋村的北京市朝阳区崔各庄乡黑桥村、南皋村棚户区改造土地开发项目30-L03-01地块R2二类居住用地、30-L03-03地块A62社区养老设施用地、30-L03-04地块A334基础教育用地、30-L03-05地块U12供电用地（配建“保障性租赁住房”）（1#住宅楼等24项）工程劳务分包施工单位，2023年2月13日本机关现场检查时现场正在进行主体结构施工，施工现场存在以下问题：北京正继建筑劳务有限责任公司在施工现场共有167人进行施工作业，现场仅配备1名专职安全生产管理人员，不符合《建筑施工企业安全生产管理机构设置及专职安全生产管理人员配备办法》(建质[2008]91号)第十四条第(二)项关于劳务分包单位施工人员在50人-200人的，应当配备2名专职安全生产管理人员的要求。上述行为属于未按照规定配备安全生产管理人员的行为。,《中华人民共和国安全生产法》第九十七条第（一）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1602200A010,罚款,给予你单位处2.5万元罚款的行政处罚,2023-04-12,2024-04-12,北京市住房和城乡建设委员会
88,中铁建设集团机电安装有限公司,京建法罚（市）字[2023]第010139号,《北京市建设工程施工现场管理办法》第三十一条,中铁建设集团机电安装有限公司是位于石景山区京原路的石景山区政务服务中心和档案馆新建工程通风空调工程专业分包单位。2023年2月21日本机关执法人员在该工程现场检查时，发现中铁建设集团机电安装有限公司存在如下问题：1.政务服务中心和档案馆十二层内你单位使用的移动式开关箱放置在地面上，未装设在坚固、稳定的支架上，不符合《施工现场临时用电安全技术规范》(JGJ46-2005)第8.1.8条的规定。2.政务服务中心和档案馆十一层内你单位使用的一台砂轮未装设牢固可调整的工作托架，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》(DB11/945-2012)第2.11.24条的规定。3.政务服务中心和档案馆十一层内你单位使用的一台开关箱无系统接线图，不符合《施工现场临时用电安全技术规范》(JGJ46-2005)第8.3.1条的规定。中铁建设集团机电安装有限公司的上述行为违反了3条技术标准，但未违反强制性条款，上述行为有可能造成施工现场发生触电等安全事故，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条,罚款,给予中铁建设集团机电安装有限公司处5500.00元罚款的行政处罚,2023-04-14,2024-04-14,北京市住房和城乡建设委员会
89,北京市长建燕城建筑工程有限公司,京建法罚（市）字[2023]第010061号,《注册建造师管理规定》第三十九条,你(单位)于2018年6月26日申报了二级注册建造师冷雪的注册申请，并于2018年7月20日获准公告。冷雪二级建造师证书在你单位注册期间，冷雪未与你单位建立劳动关系，冷雪本人也未到你单位工作。你单位已于2020年9月28日注销了冷雪的二级建造师证书。你单位已构成为申请人提供虚假注册材料的违法行为。,《注册建造师管理规定》第三十九条,警告,责令你（单位）改正违法行为，对你（单位）给予警告,2023-04-19,2023-07-19,北京市住房和城乡建设委员会
90,北京筑实劳务服务有限公司,京建法罚（市）字[2023]第010273号,《建筑施工企业安全生产许可证管理规定》第二十三条,2023年3月19日，朝阳区东郊农场保障房ABCD地块（棚户区改造定向安置房）项目（A5#住宅及配套楼等9项）发生一起高处坠落事故，造成1人死亡。你单位为该项目的劳务分包单位，该人员为你单位的作业人员。你单位于2023年4月21日接受了本机关到你单位位于北京市朝阳区祁家豁子2号（南院）1号楼5层503室进行的安全生产条件核查，检查中你单位存在以下问题：1、你单位组织机构中职能部门有财务部、经营部、综合办公室和安全生产部，《北京筑实劳务服务有限公司各职能部门安全生产责任制》中未见经营部和安全生产部的安全生产职责，不符合《国务院安委会办公室关于全面加强企业全员安全生产责任制工作的通知》（安委办[2017]29号）第二条第（三）项的规定；2、你单位各职能部门安全生产责任制中，没有明确考核标准，不符合《中华人民共和国安全生产法》第二十二条第一款的规定；3、你单位未建立隐患排查治理制度，不符合《北京市生产安全事故隐患排查治理办法》第十条的规定；4、截止检查当日，你单位2022年度未对公司管理人员进行安全生产教育培训，不符合《建筑施工企业安全生产许可证管理规定》第四条第(六) 项中的规定。你单位在安全生产责任制度建立、安全生产教育培训等方面存在较为突出的问题，构成了不再具备安全生产条件的行为。,《建筑施工企业安全生产许可证管理规定》第二十三条,暂扣许可证件,责令你单位10日内改正违法行为，并处暂扣安全生产许可证60日的行政处罚,2023-05-16,2025-05-16,北京市住房和城乡建设委员会
91,北京华盛康科技发展有限公司,京建法罚（市）字[2023]第010152号,《《北京市建设工程施工现场管理办法》第三十一条,"根据案件移送的情况，经立案调查,查明在昌平区东小口镇HC-031地块R2二类居住用地、HC-030地块A33基础教育用地建设工程项目（5＃住宅楼、11＃住宅楼、12＃住宅楼、13＃住宅楼、14＃住宅楼、15＃住宅楼、17＃托老所、18＃公服配套楼、1期地下车库）施工过程中，你单位作为该工程的通风工程专业分包单位，在施工现场存在以下问题：1、1期地下车库地下一层内北京华盛康科技发展有限公司使用的移动式开关箱放置在地面上，未装设在坚固、稳定的支架上，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.8条的规定。2、1期地下车库地下一层内北京华盛康科技发展有限公司使用的一台开关箱无系统接线图，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.3.1条的规定。3、1期地下车库地下一层内北京华盛康科技发展有限公司使用的一台220V照明灯具距地面高度为1.8m，违反了《施工现场临时用电安全技术规范》（JGJ46-2005）第10.3.2条的规定。你单位的上述行为违反了3条技术标准，无强制性条文，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。本案无减轻、从轻或从重处罚情节。",《《北京市建设工程施工现场管理办法》第三十一条,罚款,给予你单位处5500元罚款,2023-04-14,2024-04-14,北京市住房和城乡建设委员会
92,中工投建设有限公司,京建法罚（市）字[2023]第010044号,《北京市建设工程施工现场管理办法》第三十一条,"本机关于2023年2月23日对你单位在昌平区龙泽园街道的北店嘉园南侧规划学校（A#（教学区）等5项）项目施工过程中涉嫌存在施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为予以立案，开展调查。根据2023年2月23日对你单位委托代理人的询问，以及调取有关资料，查明：你单位是该工程的施工总承包单位。2022年9月7日，你单位在该工程施工现场存在以下问题：1.塔吊开关箱中的漏电保护器的额定漏电动作电流为100mA，额定漏电动作时间≦0.2s,不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.2.10条的规定；2.施工现场用的全自动高压微雾喷淋机，电源直接从分配电箱接入，未使用专用开关箱，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.3条的规定；3.塔吊北侧分配电箱内控制开关未标明用途，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.10条的要求。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。未发现你单位有其他适用减轻、从轻或从重处罚的情形。",《北京市建设工程施工现场管理办法》第三十一条,罚款,给予中工投建设有限公司处2万元罚款的行政处罚,2023-04-14,2025-04-14,北京市住房和城乡建设委员会
93,北京中瑞顺通建设工程有限公司,京建法罚（市）字[2023]第010060号,《建设工程质量管理条例》第六十五条,你单位是位于北京市大兴区的大兴区生物医药基地和顺大街跨魏永路排水沟桥梁工程的施工单位。2022年11月9日，本机关对上述工程进行了执法检查。现场检查时发现，根据设计图纸，上述工程1#桥墩盖梁长度为19.816米，2#桥墩盖梁长度为19.74米。1#、2#桥墩盖梁、挡块混凝土于2022年5月23日进行混凝土施工，共浇筑82方，现场28天标准养护试块留置数量为1组，不符合《城市桥梁工程施工质量检验标准》DB11/1072-2014第7.2.1条第1款中“每片梁长16~30m取样不得少于2次”的要求。你单位的上述行为属于在施工中未对商品混凝土进行检验的行为，未造成质量事故。你单位上述问题直接负责的主管人员是项目负责人李永涛，其他直接责任人员是任虎。,《建设工程质量管理条例》第六十五条,罚款,给予你单位处12.5万元罚款的行政处罚,2023-05-09,2024-05-09,北京市住房和城乡建设委员会
94,北京中天越铭建筑工程有限公司,京建法罚（市）字[2023]第010180号,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667700B020,"你单位为海淀区羊坊店路皇亭子的玉渊潭中学改扩建工程项目（北院新建地下室等12项）基坑支护及降水工程专业分包单位，2023年3月28日执法人员现场检查时发现以下问题：该工程北院基坑开挖最大深度为8.65m,北院基坑侧壁安全等级为一级，现场检查时北院基坑已经开挖到底，尚未回填，你单位自2023年2月1日起未对围护墙（边坡）顶部水平位移（坡（桩）顶水平位移）、周边地表竖向位移、周边建筑竖向位移和周边管线竖向位移进行施工监测，不符合《建筑基坑工程监测技术标准》（GB50497-2019）第4.2.1条“一级基坑应测项目有围护墙（边坡）顶部水平位移、周边地表竖向位移、周边建筑竖向位移和周边管线竖向位移”的要求。你单位存在未按照规定进行施工监测的违法违规行为，无法有效保障基坑工程安全。该工程直接负责的主管人员为杨奎，其他直接责任人员为王惜缘。在调查过程中，未发现你单位有减轻、从轻或从重情节。按照《住房城乡建设部办公厅关于实施<危险性较大的分部分项工程安全管理规定>有关问题的通知》(建办质〔2018〕31号)附件2第一条的规定，开挖深度超过5m（含5m）的基坑支护工程属于超过一定规模的危险性较大的分部分项工程。该工程北院基坑开挖最大深度为8.65m,北院基坑侧壁安全等级为一级，现场检查时北院基坑已经开挖到底，尚未回填，开挖深度大于5m，属于超过一定规模的危险性较大的分部分项工程。",《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667700B020,罚款,给予你单位处20000.00元罚款,2023-05-11,2023-11-11,北京市住房和城乡建设委员会
95,罗德汉森(北京)国际建设有限公司,京建法罚（市）字[2023]第010190号,《中华人民共和国行政许可法》第七十八条、《建筑业企业资质管理规定》第三十五条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1670300B000,你单位于2022年9月申请消防设施工程专业承包壹级资质时，提交的“百色温德姆度假酒店消防设施工程、园丁大厦消防设施工程”两项工程业绩不属实。你单位存在提供虚假材料申请消防设施工程专业承包壹级资质的行为。,《中华人民共和国行政许可法》第七十八条、《建筑业企业资质管理规定》第三十五条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1670300B000,警告,责令你单位立即改正违法行为，给予警告，1年内不得再次申请消防设施工程专业承包壹级资质,2023-05-08,2023-08-08,北京市住房和城乡建设委员会
96,北京天龙建筑集团有限公司,京建法罚（市）字[2023]第010052号,《建设工程质量管理条例》第六十五条,你单位是位于北京市大兴区的大兴区生物医药基地祥瑞大街跨魏永路排水沟桥梁工程的施工单位。2022年11月10日，本机关对上述工程进行了执法检查。现场检查时发现，根据设计图纸，该工程1#、2#桥墩盖梁为用于桥梁承重的两片独立盖梁，其中，1号桥墩盖梁长度15.0275×2米、2号桥墩盖梁长度为14.9135×2米。你单位于2022年5月26日共浇筑1#、2#桥墩盖梁混凝土146方，现场28天标准养护试块留置数量为2组，不符合《城市桥梁工程施工质量检验标准》DB11/1072-2014第7.2.1条第1款中“每片梁长16~30m取样不得少于2次”的要求。你单位的上述行为属于在施工中未对商品混凝土进行检验的行为，未造成质量事故。你单位上述问题直接负责的主管人员是张林松，其他直接责任人员是杨凡。,《建设工程质量管理条例》第六十五条,罚款,给予你单位处12.5万元罚款的行政处罚,2023-05-09,2024-05-09,北京市住房和城乡建设委员会
97,北京泰德正融房地产经纪有限公司,京建法罚（市）字[2023]第010204号,《北京市住房租赁条例》第六十七条第(五）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,你单位作为房地产经纪机构从事租赁业务，在组织出租人与承租人签订位于海淀区复兴路61号院西1楼2单元402小单间的房屋租赁合同前，未编制房屋状况说明书，未向意向承租人书面告知有关情况，你单位上述行为属于房地产经纪机构从事租赁业务未按规定编制房屋状况说明书。北京市住房和城乡建设委员会于2023年3月6日向你单位下达了责令改正通知书（编号为京建法改（市）字[2023]第010117号），责令你单位于2023年3月17日前改正该行为。你单位于2023年3月14日提交了整改报告，经北京市住房和城乡建设委员会3月16日现场复核，你单位在规定期限内改正了违法行为，复核合格。,《北京市住房租赁条例》第六十七条第(五）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,罚款,给予你单位处12500.00元罚款的行政处罚,2023-05-25,2023-11-25,北京市住房和城乡建设委员会
98,北京安居惠住房租赁有限公司,京建法罚（市）字[2023]第010015号,《北京市住房租赁条例》第六十七条第(三）项,经查，你单位北京安居惠住房租赁有限公司（原名称为北京安居惠房地产经纪有限公司）作为住房租赁企业，在未公示办公地址、投诉受理电话的情况下，于2023年1月16日在58同城网站上（https://bj.58.com/hezu/52840431241245x.shtml）发布了一条名称为“和泓四季 大卧室2200正规次卧 实图实价 随时看房入住”的房源出租信息，你公司上述行为已构成在网络服务端未如实公示办公地址、投诉受理电话两项内容。北京市住房和城乡建设委员会于2023年2月10日向你公司下达了责令改正通知书（编号为京建法改（市）字[2023]第010012号），责令你公司于2023年2月17日前改正该行为。你公司于2023年2月16日提交了整改报告，经复核，你公司已在规定期限内改正了违法行为，复核合格。,《北京市住房租赁条例》第六十七条第(三）项,罚款,给予你单位处以12500.00元的罚款,2023-03-30,2023-09-30,北京市住房和城乡建设委员会
