序号,企业名称,申请事项,业务流水号,,,,,,,,,,,,,,,,,
1195,中通环境治理有限公司,(区)建筑业企业首次申请资质,0014190114004487,,,,,,,,,,,,,,,,,
1196,北京南瑞怡和环保科技有限公司,(市)建筑业企业首次申请资质,0014190315002826,,,,,,,,,,,,,,,,,
1197,北京伟农奇苑园林绿化科技有限公司,(区)建筑业企业首次申请资质,0014190614002277,,,,,,,,,,,,,,,,,
1198,北京中虹防水工程有限公司,(市)建筑业企业首次申请资质,0014181024000168,,,,,,,,,,,,,,,,,
1199,北京丽港建筑装饰工程有限公司,建筑业企业增项资质申请,0014180607003729,,,,,,,,,,,,,,,,,
1200,北京鸿安凯跃建设工程有限公司,(区)建筑业企业首次申请资质,0014180911002962,,,,,,,,,,,,,,,,,
1201,北京信德伟业建筑装饰工程有限公司,建筑业企业新设立资质申请,0014171205000416,,,,,,,,,,,,,,,,,
1202,北京天舜建筑装饰工程有限公司,(市)建筑业企业首次申请资质,0014181212001450,,,,,,,,,,,,,,,,,
1203,中冷高科(北京)环境技术有限公司,建筑业企业首次申请资质,0014180604000576,,,,,,,,,,,,,,,,,
1204,北京石基铭诚建筑工程有限公司,建筑业企业首次申请资质,0014190724001986,,,,,,,,,,,,,,,,,
1205,北京泛华国金工程咨询有限公司,工程造价咨询企业延续资质，工程造价咨询企业资质证书注册资本金变更，工程造价咨询企业组织形式变更合并办理,0014181107001903,,,,,,,,,,,,,,,,,
1206,中景印象(北京)市政工程有限公司,建筑业企业首次申请资质,0014190402000337,,,,,,,,,,,,,,,,,
1207,北京锐航建筑装饰工程有限公司,建筑业企业首次申请资质,0014190422003411,,,,,,,,,,,,,,,,,
1208,北京金飞天鹰建筑装饰工程有限公司,(区)建筑业企业资质增项资质申请,0014180515000049,,,,,,,,,,,,,,,,,
1209,北京宏源博雅建筑装饰工程有限公司,建筑业企业新设立资质申请,0014180125001069,,,,,,,,,,,,,,,,,
1210,北京佳林国际建设工程有限公司,(市)建筑业企业首次申请资质,0014180717001112,,,,,,,,,,,,,,,,,
1211,北京环宇楷尚建筑工程设计有限公司,(区)建筑业企业首次申请资质,0014190603006729,,,,,,,,,,,,,,,,,
1212,北京金悦亿丰建筑装饰工程有限公司,(市)建筑业企业新设立资质申请,0014180103000592,,,,,,,,,,,,,,,,,
1213,北京庆明众诚建筑有限公司,建筑业企业增项资质申请,0014190723003213,,,,,,,,,,,,,,,,,
1214,北京华江建设有限公司,(区)建筑业企业资质增项资质申请,0014180817001821,,,,,,,,,,,,,,,,,
1215,北京鸿日冬升建设开发有限公司,(市)建筑业企业首次申请资质,0014190118001534,,,,,,,,,,,,,,,,,
1216,北京中铁诚业工程建设监理有限公司,工程监理企业延续资质申请,0014190527007860,,,,,,,,,,,,,,,,,
1217,北京奥凯龙腾建筑工程有限公司,(市)建筑业企业首次申请资质,0014180716000637,,,,,,,,,,,,,,,,,
1218,北京红泰装饰有限公司,(市)建筑业企业首次申请资质,0014180514001588,,,,,,,,,,,,,,,,,
1219,北京原德建设工程有限公司,建筑业企业首次申请资质,0014190402002137,,,,,,,,,,,,,,,,,
1220,北京中能云端建设工程有限公司,(市)建筑业企业首次申请资质,0014190228001963,,,,,,,,,,,,,,,,,
1221,北京彩业丽诚建筑工程有限公司,建筑业企业首次申请资质,0014190801003120,,,,,,,,,,,,,,,,,
1222,北京翔达建筑工程有限公司,建筑业企业首次申请资质,0014190315000598,,,,,,,,,,,,,,,,,
1223,北京博华睿通建筑工程有限公司,建筑业企业首次申请资质,0014190807003531,,,,,,,,,,,,,,,,,
1224,北京信合恒通建筑工程有限公司,(市)建筑业企业首次申请资质,0014190411005275,,,,,,,,,,,,,,,,,
1225,北京洋信建筑工程有限公司,(区)建筑业企业首次申请资质,0014180622003311,,,,,,,,,,,,,,,,,
1226,北京市辅仁装饰工程有限公司,建筑业企业增项资质申请,0014181121002618,,,,,,,,,,,,,,,,,
1227,北京高度国际装饰工程有限公司,建筑业企业升级资质申请,0014190104001449,,,,,,,,,,,,,,,,,
1228,北京信弘装饰设计有限公司,(市)建筑业企业首次申请资质,0014190712000689,,,,,,,,,,,,,,,,,
1229,北京奥普电气安装有限公司,建筑业企业增项资质申请,0014190415001916,,,,,,,,,,,,,,,,,
1230,北京鹏晨伟业市政工程有限公司,(市)建筑业企业首次申请资质,0014181211001134,,,,,,,,,,,,,,,,,
1231,北京万鑫腾达科技有限公司,(市)建筑业企业首次申请资质,0014181014000156,,,,,,,,,,,,,,,,,
1232,北京国泰兴云市政工程有限公司,(区)建筑业企业首次申请资质,0014190307005112,,,,,,,,,,,,,,,,,
1233,北京市爱巢装饰工程有限公司,(区)建筑业企业增项资质申请，建筑业企业升级资质申请合并办理,0014190108004121,,,,,,,,,,,,,,,,,
1234,北京燕京工程管理有限公司,工程监理企业延续资质申请,0014190610007133,,,,,,,,,,,,,,,,,
1235,北京东方迅腾建筑装饰工程有限公司,(市)建筑业企业资质增项资质申请,0014180529001393,,,,,,,,,,,,,,,,,
1236,北京中旭华盛建筑有限公司,建筑业企业首次申请资质,0014190512000429,,,,,,,,,,,,,,,,,
1237,北京富润成照明系统工程有限公司,(区)建筑业企业增项资质申请,0014180803000049,,,,,,,,,,,,,,,,,
1238,北京城建深港建筑装饰工程有限公司,建筑业企业升级资质申请,0014171223000269,,,,,,,,,,,,,,,,,
1239,北京永信通达建筑工程有限公司,(区)建筑业企业首次申请资质,0014180828002688,,,,,,,,,,,,,,,,,
1240,北京广源惠峰建筑工程有限公司,(区)建筑业企业资质增项资质申请,0014180619002967,,,,,,,,,,,,,,,,,
1241,北京鑫琨建设有限公司,(市)建筑业企业首次申请资质,0014180426000354,,,,,,,,,,,,,,,,,
1242,北京博鼎通机电工程有限公司,(区)建筑业企业首次申请资质,0014180606000174,,,,,,,,,,,,,,,,,
1243,北京金宇江装饰安装工程有限公司,(市)建筑业企业首次申请资质,0014181026001879,,,,,,,,,,,,,,,,,
1244,北京中电中天电子工程有限公司,(区)建筑业企业增项资质申请,0014190108003579,,,,,,,,,,,,,,,,,
1245,中北嘉联(北京)建筑工程有限公司,建筑业企业首次申请资质,0014190704007137,,,,,,,,,,,,,,,,,
1246,北京信远鸿装饰有限公司,建筑业企业首次申请资质,0014190527002922,,,,,,,,,,,,,,,,,
1247,中国国际工程咨询有限公司,工程造价咨询企业延续资质,0014190122000145,,,,,,,,,,,,,,,,,
1248,运盛(北京)建筑装饰工程有限公司,(区)建筑业企业首次申请资质,0014190401000774,,,,,,,,,,,,,,,,,
1249,北京住总第四开发建设有限公司,建筑业企业增项资质申请,0014171103001672,,,,,,,,,,,,,,,,,
1250,北京泰和同业建筑工程有限公司,(市)建筑业企业首次申请资质,0014181114002889,,,,,,,,,,,,,,,,,
1251,北京雅点聚力建筑装饰工程有限公司,建筑业企业资质增项资质申请,0014180704000599,,,,,,,,,,,,,,,,,
1252,北京中平建工程造价咨询有限公司,工程造价咨询企业延续资质,0014180920001501,,,,,,,,,,,,,,,,,
1253,北京大冶建设工程有限公司,建筑业企业增项资质申请,0014181105002665,,,,,,,,,,,,,,,,,
1254,北京锦翔建设有限公司,(区)建筑业企业首次申请资质,0014190808000337,,,,,,,,,,,,,,,,,
1255,北京中鑫盛达建筑工程有限公司,建筑业企业首次申请资质,0014181120003753,,,,,,,,,,,,,,,,,
1256,北京宏昌佳业建筑工程有限责任公司,(市)建筑业企业首次申请资质,0014180823000692,,,,,,,,,,,,,,,,,
1257,北京久恒送变电工程安装有限公司,建筑业企业资质增项资质申请,0014180612000597,,,,,,,,,,,,,,,,,
1258,北京振兴盛世建设工程有限公司,建筑业企业首次申请资质,0014190412001654,,,,,,,,,,,,,,,,,
1259,中禾达缘(北京)建筑工程有限公司,建筑业企业首次申请资质,0014190904003483,,,,,,,,,,,,,,,,,
1260,北京顺景园林股份有限公司,建筑业企业首次申请资质,0014190107004658,,,,,,,,,,,,,,,,,
1261,北京姚永乐设备安装有限公司,建筑业企业首次申请资质,0014190729006616,,,,,,,,,,,,,,,,,
1262,北京瑞拓电子技术发展有限公司,建筑业企业资质增项资质申请,0014180712000453,,,,,,,,,,,,,,,,,
1263,北京顺隆基业水利工程有限公司,建筑业企业首次申请资质,0014180702000261,,,,,,,,,,,,,,,,,
1264,北京宏盛源装饰装璜有限责任公司,(区)建筑业企业首次申请资质,0014180808001461,,,,,,,,,,,,,,,,,
1265,北京明煜长盛建设工程有限公司,(区)建筑业企业首次申请资质,0014190806004069,,,,,,,,,,,,,,,,,
1266,北京东方经纬装饰工程有限公司,建筑业企业升级资质申请,0014190121001910,,,,,,,,,,,,,,,,,
1267,北京艺匠神工建设工程有限公司,(区)建筑业企业首次申请资质,0014181228001491,,,,,,,,,,,,,,,,,
1268,北京方圆化装饰工程有限公司,建筑业企业升级资质申请,0014181029004314,,,,,,,,,,,,,,,,,
1269,北京诚公通信工程监理股份有限公司,工程监理企业新增项资质申请（包含丙级晋升乙级），工程监理企业技术负责人变更合并办理,0014180718000369,,,,,,,,,,,,,,,,,
1270,北京城建恒远建设工程有限公司,建筑业企业资质增项资质申请,0014180523000105,,,,,,,,,,,,,,,,,
1271,北京华信东方科技有限公司,建筑业企业资质增项资质申请,0014180410002786,,,,,,,,,,,,,,,,,
1272,北京市花木有限公司,建筑业企业增项资质申请,0014180920003413,,,,,,,,,,,,,,,,,
1273,北京兴业诚远建筑劳务分包有限公司,建筑业企业首次申请资质,0014190226003233,,,,,,,,,,,,,,,,,
1274,北京昊业众兴劳务服务有限公司,建筑业企业首次申请资质,0014190514002940,,,,,,,,,,,,,,,,,
1275,北京时代卓航建筑工程有限公司,(区)建筑业企业首次申请资质,0014190613001534,,,,,,,,,,,,,,,,,
1276,北京盛佳凯奥建筑装饰工程有限公司,建筑业企业升级资质申请,0014181016002587,,,,,,,,,,,,,,,,,
1277,北京国强恒信科技有限公司,(区)建筑业企业首次申请资质,0014190408005686,,,,,,,,,,,,,,,,,
1278,北京福盛腾坤科技有限公司,建筑业企业首次申请资质,0014180717000324,,,,,,,,,,,,,,,,,
1279,北京迅世达环保工程有限公司,建筑业企业首次申请资质,0014190103002304,,,,,,,,,,,,,,,,,
1280,澜途实业有限公司,(市)建筑业企业首次申请资质,0014190227001085,,,,,,,,,,,,,,,,,
1281,北京英特威迅建筑装饰工程有限公司,(区)建筑业企业资质增项资质申请,0014180626001313,,,,,,,,,,,,,,,,,
1282,北京虹林泰电气工程有限公司,建筑业企业资质增项资质申请,0014180619000493,,,,,,,,,,,,,,,,,
1283,北京嘉亿建业幕墙装饰工程有限公司,(市)建筑业企业首次申请资质,0014181016000934,,,,,,,,,,,,,,,,,
1284,北京玺胜建筑工程有限公司,(区)建筑业企业首次申请资质,0014180625000096,,,,,,,,,,,,,,,,,
1285,北京励创建设股份有限公司,建筑业企业升级资质申请,0014180912002671,,,,,,,,,,,,,,,,,
1286,北京中豪鑫宇建设工程有限公司,(区)建筑业企业首次申请资质,0014181116003433,,,,,,,,,,,,,,,,,
1287,北京国金管理咨询有限公司,工程监理企业延续资质申请,0014181010002637,,,,,,,,,,,,,,,,,
1288,北京市福源路道路养护有限公司,(区)建筑业企业首次申请资质,0014180510003306,,,,,,,,,,,,,,,,,
1289,北京云信建筑工程有限公司,(区)建筑业企业首次申请资质,0014190705003404,,,,,,,,,,,,,,,,,
1290,北京旺鑫电气工程有限公司,(市)建筑业企业资质增项资质申请,0014180705002288,,,,,,,,,,,,,,,,,
1291,北京中巨建设工程有限公司,(区)建筑业企业资质增项资质申请,0014180810000216,,,,,,,,,,,,,,,,,
1292,北京中元盛业建筑工程有限公司,建筑业企业首次申请资质,0014180827001877,,,,,,,,,,,,,,,,,
1293,北京华建博达建筑工程有限公司,建筑业企业首次申请资质,0014190709002508,,,,,,,,,,,,,,,,,
1294,北京航港建设工程有限公司,建筑业企业首次申请资质,0014180704001028,,,,,,,,,,,,,,,,,
1295,北京轩杨装饰工程有限公司,(区)建筑业企业首次申请资质,0014190218001917,,,,,,,,,,,,,,,,,
1296,北京首煜建设有限公司,(区)建筑业企业增项资质申请,0014180815000097,,,,,,,,,,,,,,,,,
1297,鸿蒙天禄(北京)科技有限责任公司,建筑业企业首次申请资质,0014190812002378,,,,,,,,,,,,,,,,,
1298,北京市时运达家居装饰有限公司,(区)建筑业企业首次申请资质,0014190621000565,,,,,,,,,,,,,,,,,
1299,北京中电联环保股份有限公司,建筑业企业升级资质申请,0014180515001624,,,,,,,,,,,,,,,,,
1300,北京鼎鑫基业建筑工程有限公司,(区)建筑业企业首次申请资质,0014190212001887,,,,,,,,,,,,,,,,,
1301,森特士兴集团股份有限公司,建筑业企业增项资质申请,0014181010002873,,,,,,,,,,,,,,,,,
1302,北京创邦装饰工程有限公司,(市)建筑业企业首次申请资质,0014180515000218,,,,,,,,,,,,,,,,,
1303,北京国嘉同诚工程管理咨询有限公司,工程造价咨询企业延续资质,0014180731000285,,,,,,,,,,,,,,,,,
1304,北京经开亦成建设工程有限公司,(市)建筑业企业首次申请资质,0014190213000393,,,,,,,,,,,,,,,,,
1305,北京城建北方集团有限公司,建筑业企业资质增项资质申请,0014180518000323,,,,,,,,,,,,,,,,,
1306,北京云信建筑工程有限公司,(市)建筑业企业首次申请资质,0014190612005571,,,,,,,,,,,,,,,,,
1307,北京鑫景鼎佩建筑工程有限公司,(区)建筑业企业首次申请资质,0014180818000113,,,,,,,,,,,,,,,,,
1308,北京进前金诚生发建筑工程有限公司,(市)建筑业企业首次申请资质,0014180808002293,,,,,,,,,,,,,,,,,
1309,中业建城(北京)建设有限公司,建筑业企业首次申请资质,0014180702001431,,,,,,,,,,,,,,,,,
1310,北京鹏巍建设工程有限公司,(市)建筑业企业资质增项资质申请,0014180401000188,,,,,,,,,,,,,,,,,
1311,北京路建工程监理有限责任公司,工程监理企业延续资质申请,0014190507007903,,,,,,,,,,,,,,,,,
1312,北京新峰寰宇信息技术有限公司,建筑业企业首次申请资质,0014180328001985,,,,,,,,,,,,,,,,,
1313,北京绿都浩天环保科技有限公司,建筑业企业首次申请资质,0014150810002653,,,,,,,,,,,,,,,,,
1314,北京鸿耀科技发展有限公司,(市)建筑业企业首次申请资质,0014181223000136,,,,,,,,,,,,,,,,,
1315,北京合强电力安装有限公司,建筑业企业增项资质申请,0014180807002720,,,,,,,,,,,,,,,,,
1316,北京钱天华环保科技发展有限公司,(市)建筑业企业首次申请资质,0014180628001157,,,,,,,,,,,,,,,,,
1317,北京潞城建筑有限公司,(市)建筑业企业增项资质申请,0014180810002522,,,,,,,,,,,,,,,,,
1318,导洁(北京)环境科技有限公司,(市)建筑业企业首次申请资质,0014190610004275,,,,,,,,,,,,,,,,,
1319,北京通达仁和新能源科技有限公司,建筑业企业首次申请资质,0014190401000976,,,,,,,,,,,,,,,,,
1320,费米(北京)建设工程有限公司,(市)建筑业企业首次申请资质,0014190504000093,,,,,,,,,,,,,,,,,
1321,北京睿鸿祥建筑劳务工程有限公司,(市)建筑业企业首次申请资质,0014190912005811,,,,,,,,,,,,,,,,,
1322,华宇空港(北京)科技有限公司,建筑业企业增项资质申请,0014180724003640,,,,,,,,,,,,,,,,,
1323,北京安信达建筑工程有限公司,建筑业企业首次申请资质,0014181224002364,,,,,,,,,,,,,,,,,
1324,北京舜鑫建筑工程有限公司,建筑业企业升级资质申请,0014190218002851,,,,,,,,,,,,,,,,,
1325,北京首泰建设工程有限公司,(区)建筑业企业首次申请资质,0014181018000251,,,,,,,,,,,,,,,,,
1326,北京天贵建设工程有限公司,建筑业企业首次申请资质,0014180315003792,,,,,,,,,,,,,,,,,
1327,国瑞天成(北京)建设工程有限公司,建筑业企业首次申请资质,0014190803000657,,,,,,,,,,,,,,,,,
1328,华审(北京)工程造价咨询有限公司,工程造价咨询企业延续资质,0014180921002659,,,,,,,,,,,,,,,,,
1329,北京鑫汇鸿业系统工程有限公司,(区)建筑业企业首次申请资质,0014180906002539,,,,,,,,,,,,,,,,,
1330,中企国联(北京)建筑工程有限公司,建筑业企业首次申请资质,0014190530002746,,,,,,,,,,,,,,,,,
1331,北京永兴达建筑机械设备租赁有限公司,建筑业企业首次申请资质,0014190416000152,,,,,,,,,,,,,,,,,
1332,北京正信筑诚建筑工程有限公司,建筑业企业首次申请资质,0014180601003576,,,,,,,,,,,,,,,,,
1333,北京首钢自动化信息技术有限公司,建筑业企业增项资质申请,0014190108000116,,,,,,,,,,,,,,,,,
1334,中海创安(北京)建设有限公司,建筑业企业首次申请资质,0014190508008769,,,,,,,,,,,,,,,,,
1335,北京工联建设工程有限公司,(区)建筑业企业首次申请资质,0014190715008398,,,,,,,,,,,,,,,,,
1336,北京振东顺达建筑工程有限公司,(市)建筑业企业首次申请资质,0014181030002808,,,,,,,,,,,,,,,,,
1337,北京建冉建筑装饰工程有限责任公司,(区)建筑业企业首次申请资质,0014190225002994,,,,,,,,,,,,,,,,,
1338,北京华兴建设监理咨询有限公司,工程监理企业延续资质申请,0014190508006509,,,,,,,,,,,,,,,,,
1339,北京华勤能环科技有限公司,(市)建筑业企业首次申请资质,0014181203002776,,,,,,,,,,,,,,,,,
1340,北京宏福达建筑工程有限公司,建筑业企业首次申请资质,0014190823001672,,,,,,,,,,,,,,,,,
1341,北京洪德成电力工程有限公司,(区)建筑业企业首次申请资质,0014180809002586,,,,,,,,,,,,,,,,,
1342,北京益泰东方电子技术有限公司,建筑业企业资质增项资质申请,0014180704003075,,,,,,,,,,,,,,,,,
1343,北京天狼大地国际工程有限公司,(市)建筑业企业首次申请资质,0014190624006104,,,,,,,,,,,,,,,,,
1344,北京正凯建筑工程有限公司,(区)建筑业企业首次申请资质,0014180630000294,,,,,,,,,,,,,,,,,
1345,北京中巨建设工程有限公司,(市)建筑业企业资质增项资质申请,0014180622003232,,,,,,,,,,,,,,,,,
1346,北京城建六建设集团有限公司,建筑业企业资质增项资质申请,0014180607002841,,,,,,,,,,,,,,,,,
1347,北京泰宏润达建筑工程有限公司,(市)建筑业企业首次申请资质,0014190320008491,,,,,,,,,,,,,,,,,
1348,北京中城华远建设发展有限公司,(市)建筑业企业首次申请资质,0014190219001930,,,,,,,,,,,,,,,,,
1349,北京常德装饰工程有限公司,(市)建筑业企业首次申请资质,0014180717002685,,,,,,,,,,,,,,,,,
1350,北京燕杰泰达建筑工程有限责任公司,(市)建筑业企业首次申请资质,0014181210000569,,,,,,,,,,,,,,,,,
1351,北京振晨天邦建筑工程有限公司,建筑业企业首次申请资质,0014190626005992,,,,,,,,,,,,,,,,,
1352,北京美伦美装饰工程有限公司,建筑业企业首次申请资质,0014180625003189,,,,,,,,,,,,,,,,,
1353,北京信创市政工程有限公司,(区)建筑业企业首次申请资质,0014180822000253,,,,,,,,,,,,,,,,,
1354,北京博泰钢结构工程有限公司,建筑业企业资质增项资质申请,0014180702001150,,,,,,,,,,,,,,,,,
1355,光洋(北京)国际广告有限公司,建筑业企业首次申请资质,0014181018000992,,,,,,,,,,,,,,,,,
1356,北京易羽恒天电力工程有限公司,(市)建筑业企业首次申请资质,0014180717000447,,,,,,,,,,,,,,,,,
1357,首钢环境产业有限公司,建筑业企业首次申请资质,0014180724002414,,,,,,,,,,,,,,,,,
1358,北京鹏昶建筑有限公司,建筑业企业首次申请资质,0014190828001611,,,,,,,,,,,,,,,,,
1359,北京鑫力科技有限公司,(区)建筑业企业首次申请资质,0014190121003798,,,,,,,,,,,,,,,,,
1360,北京北智天成科技发展有限公司,建筑业企业资质增项资质申请,0014180613001410,,,,,,,,,,,,,,,,,
1361,高频美特利环境科技(北京)有限公司,建筑业企业首次申请资质,0014180902000319,,,,,,,,,,,,,,,,,
1362,北京中宇启航建设工程有限公司,(市)建筑业企业首次申请资质,0014190112000357,,,,,,,,,,,,,,,,,
1363,北京华宇铭通科技有限公司,(区)建筑业企业首次申请资质,0014190826006423,,,,,,,,,,,,,,,,,
1364,北京百利城防水保温工程有限公司,(区)建筑业企业增项资质申请,0014181121000841,,,,,,,,,,,,,,,,,
1365,中瑞广茂(北京)建设有限公司,建筑业企业首次申请资质,0014190813006867,,,,,,,,,,,,,,,,,
1366,北京通创工程监理有限公司,工程监理企业延续资质申请,0014190710006335,,,,,,,,,,,,,,,,,
1367,北京东地岩土工程有限公司,(市)建筑业企业资质增项资质申请,0014180516003144,,,,,,,,,,,,,,,,,
1368,北京晟禹建筑工程有限公司,(市)建筑业企业首次申请资质,0014180516003021,,,,,,,,,,,,,,,,,
1369,北京三增净化工程技术有限公司,建筑业企业资质增项资质申请,0014171211000356,,,,,,,,,,,,,,,,,
1370,北京艺心生态环境治理有限公司,(市)建筑业企业首次申请资质,0014180510003845,,,,,,,,,,,,,,,,,
1371,北京中安天地消防工程有限公司,(区)建筑业企业首次申请资质,0014190709007817,,,,,,,,,,,,,,,,,
1372,北京翔鸿建设工程有限公司,(区)建筑业企业首次申请资质,0014181025001788,,,,,,,,,,,,,,,,,
1373,北京典方建设工程咨询有限公司,工程造价咨询企业延续资质,0014180824001942,,,,,,,,,,,,,,,,,
1374,北京迈亚方圆通讯技术有限公司,建筑业企业增项资质申请,0014190114003903,,,,,,,,,,,,,,,,,
1375,中恒创(北京)建设工程有限公司,(区)建筑业企业首次申请资质,0014181213004263,,,,,,,,,,,,,,,,,
1376,北京顺捷通畅交通设施工程有限公司,建筑业企业增项资质申请,0014190531000284,,,,,,,,,,,,,,,,,
1377,北京都润生态环境工程有限公司,建筑业企业增项资质申请,0014180820000059,,,,,,,,,,,,,,,,,
1378,北京华业恒基工程项目管理有限公司,工程监理单位新增项资质申请（包含丙级晋升乙级）,0014180716000222,,,,,,,,,,,,,,,,,
1379,贝欧德(北京)建筑装饰工程有限公司,建筑业企业首次申请资质,0014180905002695,,,,,,,,,,,,,,,,,
1380,北京和圣建筑工程有限公司,(区)建筑业企业首次申请资质,0014181217004133,,,,,,,,,,,,,,,,,
1381,北京中创艺达建筑工程有限公司,建筑业企业首次申请资质,0014180702000474,,,,,,,,,,,,,,,,,
1382,北京志裕建筑劳务有限公司,建筑业企业首次申请资质,0014190514007608,,,,,,,,,,,,,,,,,
1383,北京靖海鸿程建筑工程有限公司,(市)建筑业企业首次申请资质,0014180817000943,,,,,,,,,,,,,,,,,
1384,北京诚信少康工程造价咨询有限公司,工程造价咨询企业延续资质,0014190131000550,,,,,,,,,,,,,,,,,
1385,鸿睿嘉讯(北京)建筑装饰工程有限公司,建筑业企业升级资质申请,0014181109003008,,,,,,,,,,,,,,,,,
1386,北京华宇居巢建筑装饰工程有限公司,(区)建筑业企业首次申请资质,0014180726001516,,,,,,,,,,,,,,,,,
1387,北京生宝路桥工程有限公司,建筑业企业首次申请资质,0014190513002994,,,,,,,,,,,,,,,,,
1388,北京阳光海天停车管理有限公司,建筑业企业增项资质申请,0014190505005820,,,,,,,,,,,,,,,,,
1389,远洋国际建设有限公司,(区)建筑业企业增项资质申请,0014180828002947,,,,,,,,,,,,,,,,,
1390,北京航盛项目管理有限公司,工程监理企业申请新设立资质（包含工程监理企业申请事务所资质）,0014190225005087,,,,,,,,,,,,,,,,,
1391,北京中欣联建建设工程有限公司,(市)建筑业企业首次申请资质,0014181026003567,,,,,,,,,,,,,,,,,
1392,北京亿盛合建设工程有限公司,(市)建筑业企业首次申请资质,0014190226000128,,,,,,,,,,,,,,,,,
1393,北京京大通建设有限公司,(市)建筑业企业首次申请资质,0014190514006540,,,,,,,,,,,,,,,,,
1394,北京中润华安建筑工程有限公司,建筑业企业资质增项资质申请,0014180619000224,,,,,,,,,,,,,,,,,
1395,北京东方天利建设工程监理有限公司,工程监理企业延续资质申请,0014190610005939,,,,,,,,,,,,,,,,,
1396,北京屹昂建筑工程有限公司,(市)建筑业企业首次申请资质,0014180620002891,,,,,,,,,,,,,,,,,
1397,北京顺腾建筑工程有限责任公司,(市)建筑业企业资质增项资质申请,0014180604002163,,,,,,,,,,,,,,,,,
1398,北京首合建设工程有限公司,(市)建筑业企业首次申请资质,0014180919000474,,,,,,,,,,,,,,,,,
1399,北京天兆建设工程有限公司,(区)建筑业企业首次申请资质,0014180906002797,,,,,,,,,,,,,,,,,
1400,北京中宏天成建筑工程有限公司,(区)建筑业企业首次申请资质,0014190626007073,,,,,,,,,,,,,,,,,
1401,北京万隆丰市政工程有限公司,(区)建筑业企业资质增项资质申请,0014180618000166,,,,,,,,,,,,,,,,,
1402,北京宸通建设有限公司,建筑业企业升级资质申请,0014190123000146,,,,,,,,,,,,,,,,,
1403,北京佳明宏泰建筑装饰工程有限公司,建筑业企业增项资质申请,0014190213001002,,,,,,,,,,,,,,,,,
1404,中国水利水电建设工程咨询北京有限公司,工程监理企业延续资质申请,0014190329000537,,,,,,,,,,,,,,,,,
1405,北京飞涂建筑工程有限公司,建筑业企业首次申请资质,0014190415002658,,,,,,,,,,,,,,,,,
1406,北京通成网联科技有限公司,建筑业企业首次申请资质,0014180716003382,,,,,,,,,,,,,,,,,
1407,中安和岳(北京)建设有限公司,(市)建筑业企业首次申请资质,0014190307000713,,,,,,,,,,,,,,,,,
1408,北京特别热建筑劳务有限公司,建筑业企业首次申请资质,0014181223000013,,,,,,,,,,,,,,,,,
1409,中星致诚(北京)建筑工程有限公司,(区)建筑业企业首次申请资质,0014190128002996,,,,,,,,,,,,,,,,,
1410,中安筑美(北京)建筑工程有限公司,(市)建筑业企业首次申请资质,0014190506000523,,,,,,,,,,,,,,,,,
1411,北京环世优工程咨询有限公司,工程造价咨询企业延续资质,0014180720002151,,,,,,,,,,,,,,,,,
1412,北京兴业安建设工程有限公司,建筑业企业首次申请资质,0014190701007055,,,,,,,,,,,,,,,,,
1413,北京全包圆家居装饰有限公司,建筑业企业首次申请资质,0014181029003447,,,,,,,,,,,,,,,,,
1414,北京谦建益诚建设工程有限公司,(区)建筑业企业首次申请资质,0014190222002238,,,,,,,,,,,,,,,,,
1415,北京展途建筑工程有限公司,(区)建筑业企业首次申请资质,0014180715000197,,,,,,,,,,,,,,,,,
1416,北京方瑞工程造价咨询有限公司,工程造价咨询企业延续资质,0014190111000165,,,,,,,,,,,,,,,,,
1417,北京元石建设有限公司,(市)建筑业企业首次申请资质,0014190522003029,,,,,,,,,,,,,,,,,
1418,建银工程咨询有限责任公司,工程监理企业新增项资质申请（包含丙级晋升乙级）,0014190716007118,,,,,,,,,,,,,,,,,
1419,北京双通世纪科技发展有限公司,建筑业企业首次申请资质,0014190430000057,,,,,,,,,,,,,,,,,
1420,北京勇文博建筑装饰有限公司,(区)建筑业企业首次申请资质,0014190308001108,,,,,,,,,,,,,,,,,
1421,北京路问建设工程有限公司,(市)建筑业企业首次申请资质,0014180509003629,,,,,,,,,,,,,,,,,
1422,北京中恒佳兴建筑装饰工程有限公司,(区)建筑业企业首次申请资质,0014190122004262,,,,,,,,,,,,,,,,,
1423,东方盛联(北京)建筑工程有限公司,(市)建筑业企业首次申请资质,0014190614000770,,,,,,,,,,,,,,,,,
1424,国涛建业(北京)建设工程有限公司,(市)建筑业企业首次申请资质,0014180716002651,,,,,,,,,,,,,,,,,
1425,北京顺立安建筑劳务有限公司,建筑业企业首次申请资质,0014190403001687,,,,,,,,,,,,,,,,,
1426,北京英诺威建设工程管理有限公司,工程监理企业延续资质申请,0014190508002066,,,,,,,,,,,,,,,,,
1427,北京仲泰建筑集团有限公司,(区)建筑业企业首次申请资质,0014190611005671,,,,,,,,,,,,,,,,,
1428,北京奥儒装饰工程有限公司,建筑业企业首次申请资质,0014180427000647,,,,,,,,,,,,,,,,,
1429,北京华君朋工程咨询有限公司,工程监理企业申请新设立资质（包含工程监理企业申请事务所资质）,0014180522000452,,,,,,,,,,,,,,,,,
1430,北京皓璟机电设备安装工程有限公司,(区)建筑业企业首次申请资质,0014190403003207,,,,,,,,,,,,,,,,,
