项目单位名称,统一社会信用代码,更新时间
北京普瑞浩特能源科技有限公司,91110105685137949Y,19/10/2021 10:01:27
中联能天蒙能源科技有限公司,9.11101E+17,29/4/2024 09:41:51
中联能天蒙能源科技有限公司,9.11101E+17,24/3/2021 10:24:59
北京天启鸿源新能源科技有限公司,91110105MA01JBQH6Q,27/2/2024 09:41:28
北京东亚新华投资集团有限公司,91110112785547793P,15/3/2024 17:52:16
北京风光电科技有限公司,91110105MA005RNY2C,19/11/2021 09:19:28
北京新创绿能新能源汽车科技有限公司,91110302MA00652E0A,10/3/2022 09:54:30
北京新创绿能新能源汽车科技有限公司,91110302MA00652E0A,7/3/2022 09:44:09
北京帝森克罗德科技有限公司,,29/12/2023 15:20:24
北京创新远景能源科技有限公司,,10/3/2023 09:42:16
北京同通新能源科技有限公司,,25/10/2021 13:37:40
市政府,,26/4/2017 15:52:52
市政府,,9/8/2016 16:25:38
市政府,,8/4/2019 11:30:00
北京能源投资（集团）有限公司,,20/1/2016 09:54:33
北京达仁华信鼎新能源科技有限公司,,27/12/2022 16:01:03
北京聚观新能科技有限公司,,14/3/2024 14:11:33
瑞晟（北京）能源有限公司,,14/6/2022 11:14:45
中石油（北京）科技开发中心,,8/11/2015 16:46:09
中关村科技园区管委会,,9/8/2016 16:25:38
北京北燃实业有限公司,,12/6/2017 11:09:36
潍焦（北京）技术开发有限公司,,29/4/2024 08:40:49
易非凡新能源（北京）中心（有限合伙）,,8/2/2024 12:41:25
国家发展改革委,,13/10/2016 09:40:25
北京金城云联能源科技有限公司,,7/8/2023 16:23:08
中国科学院工程热物理研究所,,4/5/2023 14:01:05
中国科学院工程热物理研究所,,12/12/2023 18:20:12
北京瑞科同创科技股份有限公司,,29/5/2024 09:09:58
北京海新能源科技股份有限公司,,27/9/2022 10:29:26
怀柔区发展改革委,,1/4/2017 15:06:38
怀柔区发展改革委,,31/10/2017 15:12:44
怀柔区发展改革委,,17/2/2017 17:11:35
