行政相对人名称,行政相对人代码_1(统一社会信用代码),行政相对人代码_3(组织机构代码),行政相对人代码_4(税务登记号),行政相对人代码_5(事业单位证书号),行政相对人代码_6(社会组织登记证号),法定代表人,法定代表人证件类型,法定代表人证件号码,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收非法财物的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,行政相对人类别,行政相对人代码_2(工商注册号),证件类型,证件号码,更新时间
北京卡乐时代娱乐有限公司,91110102753327788F,753327788,,,,刘*玲,,,(京)文执罚 〔2023〕第200192号,设置未经文化和旅游主管部门内容核查的游戏游艺设备,北京卡乐时代娱乐有限公司于2023年10月10日与2023年10月11日期间，存在设置未经文化和旅游主管部门内容核查的游戏游艺设备,《娱乐场所管理办法》第三十条,罚款,罚款人民币伍仟元。,0.5,,,2023-12-12,2099-12-31,2024-03-12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,14/6/2024 09:26:47
北京缘梦兴云乐花园娱乐有限公司,92110117L447897984,L44789798,,,,梁*海,,,(京)文执罚 〔2023〕第800046号,在宗教活动场所以外的公共场所设置宗教设施,北京缘梦兴云乐花园娱乐有限公司于2022年1月至2023年10月25日期间，存在在宗教活动场所以外的公共场所设置宗教设施的违法行为，被北京市文化和旅游局予以行政处罚如下：1.警告；2.没收违法所得人民币陆元;,《北京市宗教事务条例》第四十六条第一款第（二）项,警告;没收违法所得、没收非法财物,1.没收违法所得人民币陆元;2.警告。,,0.0006,,2023-12-28,2099-12-31,2024-12-28,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,14/6/2024 09:26:57
北京优酷康体俱乐部有限公司,91110106774746324W,774746324,,,,段*利,,,(京)文执罚 〔2023〕第200050号,娱乐场所未在显著位置悬挂娱乐经营许可证,北京优酷康体俱乐部有限公司于2023年03月15日与2023年05月11日期间，存在娱乐场所未在显著位置悬挂娱乐经营许可证的行为，我机关给予该单位警告的行政处罚。,《娱乐场所管理办法》第三十三条,警告,警告。,,,,2023-06-15,2099-12-31,2023-09-15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,法人及非法人组织,,,,14/6/2024 09:26:55
