id,搅拌站名称,混凝土企业注册地,zdszd,采集时间,更新状态,交换时间,统一社会信用代码
70,北京建顺隆混凝土有限公司,北京市房山区房山工业园区西区顾八路甲1号-A8,房山区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110111660517929A
71,北京鑫旺华宇混凝土制品有限公司,北京市平谷区昌兴工业开发区A区39号,平谷区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110117752615403R
72,北京朝阳华东材料有限公司,北京市朝阳区来广营乡来广营村8号,朝阳区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,9111010573821040XG
73,北京高强亿圆混凝土有限责任公司,北京市昌平区沙河镇白各庄村南,昌平区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110114746701372H
74,北京城建混凝土有限公司,北京市丰台区小郭庄西路43号,丰台区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,9111010680228421XP
75,北京新源混凝土有限公司,北京市顺义区李遂镇魏辛庄村东2号,顺义区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110113663131845K
76,北京欣江峰建筑材料有限公司昌平分站,北京市昌平区马池口镇横桥村临1175号9号,昌平区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110114317933087E
77,北京京华兴商品混凝土有限公司,北京市密云区十里堡镇统军庄村村南50米,密云区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110105801776968J
78,北京建工新型建材有限责任公司通州分公司,北京市通州区张家湾镇北大化村,通州区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110112MA01TE581U
79,北京城建建材工业有限公司,北京市通州区宋庄镇任庄村工业大院,通州区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,911101081018969341
80,北京民佳混凝土有限公司,北京市通州区漷县镇龙庄村委会北300米,通州区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110112801783180L
81,北京懋隆混凝土有限责任公司,北京市大兴区黄村镇孙村乡薄村北京福安建材有限公司院内6幢,大兴区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110115745455317Y
82,北京市合利看丹混凝土有限公司,北京市丰台区看丹村看杨路,丰台区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,911101067501402996
83,北京金隅混凝土有限公司顺义分公司,北京市顺义区大孙各庄镇吴雄寺村村委会北侧1000米,顺义区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,9111011367426394X4
84,北京住总新型建材有限公司四元桥站,北京市朝阳区四元桥京顺路东坝河北侧,朝阳区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110105722607402T
85,北京班诺混凝土有限公司,北京市昌平区马池口镇亭子庄村村西,昌平区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,911101147719956670
86,北京市昌平一建建筑有限责任公司环昌商品混凝土搅拌站,北京市昌平区水库路东侧,昌平区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110114721447793W
87,北京太平洋水泥制品有限公司,北京市昌平区百善镇狮子营村,昌平区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110114742603302D
88,北京市同顺城混凝土有限公司,北京市顺义区南彩镇北彩村委会西700米,顺义区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,911101131025692226
89,北京建工新型建材有限责任公司建威分公司,北京市通州区台湖镇董村,通州区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,91110112MA01X8K07H
90,北京浩然混凝土有限公司,北京市房山区长阳环岛北侧,房山区,1/12/2025 00:00:00,0,1/12/2025 00:00:00,911101117675160612
