唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
65204e22-25be-488a-ba2a-23c1177c2488,北京新盛国际旅游有限公司,91110113MA01XHH7X1,李*楼,(京)文执罚 〔2025〕第600021号,旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,北京新盛国际旅游有限公司组织接待游客李某参加了8月18日至8月22日的北京四晚五日游旅游团，并与李某签订了编号为BJ240817PS1IEP的境内旅游电子合同，该单位存在旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年的行为，此行为未获得收益。,《旅行社条例实施细则》第六十五条,罚款,罚款人民币3000元。,0.3,,2025/3/4,2099/12/31,2025/6/4,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,23/6/2025 11:18:07
a8ca8895-5038-4988-8ca4-6036e6ee6bda,北京京蒙假期旅行社有限公司,91110106085496243X,姜*兴,(京)文执罚 〔2024〕第600155号,旅行社未经旅游者的同意，将旅游者转交给其他旅行社组织、接待,北京京蒙假期旅行社有限公司2024年4月15日通过网上宣传的方式，招徕举报人李某及其家人共3人参加5月1日到5月4日的北京四晚五日游旅游团，收取李某旅游团队定金100元，并向李某提供了盖有该单位定金收款专用章的收款凭证，该单位未将负责此团实际组织、接待的是华夏四季（北京）国际旅行社有限公司这一事实告知李某，也未征得李某的同意，存在旅行社未经旅游者的同意，将旅游者转交给其他旅行社组织、接待的行为，此行为无违法所得。,《旅行社条例》第五十五条和《旅行社条例实施细则》第六十三条,罚款,1.罚款贰万元;,2,,2024/8/6,2099/12/31,2025/8/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:53
313fa3d1-ecfa-49c5-b1d7-b8cd7c4b0156,北京与君同行国际旅行社有限公司,91110106MADTQ42A4R,许*月,(京)文执罚 〔2024〕第600264号,旅行社未将旅游目的地接待旅行社的情况告知旅游者,北京与君同行国际旅行社有限公司于2024年10月至2024年10月期间，存在旅行社未将旅游目的地接待旅行社的情况告知旅游者的行为。,《旅行社条例》第五十五条和《旅行社条例实施细则》第六十二条,罚款,1.罚款贰万元;,2,,2024/12/24,2099/12/31,2025/12/24,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:41
8c3f20fd-4ac6-4a04-8eb5-29918b9b00f9,北京畅游玖玖捌国际旅行社有限公司,91110113MA01JQXJ8W,孙*稳,(京)文执罚 〔2023〕第600282号,旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,北京畅游玖玖捌国际旅行社有限公司于2023年07月26日与2023年07月28日期间，存在旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,《旅行社条例实施细则》第六十五条,罚款,罚款人民币叁仟元。,0.3,,2023/11/1,2099/12/31,2024/2/1,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:42
8ed5d8c4-f0d1-4d7b-bad7-75fd5f97be9f,北京青年旅行社股份有限公司,91110000101200159U,李*平,(京)文执罚 〔2025〕第600044号,旅行社未将旅游目的地接待旅行社的情况告知旅游者,北京青年旅行社股份有限公司在2024年8月11日至22日组织的“肯尼亚+坦桑尼亚12日游”，未将旅游目的地接待旅行社的情况告知旅游者，该行为无违法所得,《旅行社条例》第五十五条和《旅行社条例实施细则》第六十二条,罚款,罚款20000元,2,,2025/7/15,2099/12/31,2026/7/15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,22/12/2025 16:07:22
156659bd-7dba-43b1-b747-507fd2c63a81,自由天下国际旅行社（北京）有限公司,91110106MA0080CH6K,伍*禧,(京)文执罚 〔2024〕第600089号,旅行社未将旅游目的地接待旅行社的情况告知旅游者,自由天下国际旅行社（北京）有限公司于2024年02月11日与2024年02月16日期间，存在旅行社未将旅游目的地接待旅行社的情况告知旅游者的行为,《旅行社条例》第五十五条和《旅行社条例实施细则》第六十二条,罚款,罚款人民币贰万元。,2,,2024/4/28,2099/12/31,2025/4/28,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:27
648a1627-1e21-4741-b1ad-365008e32bae,北京中联假日旅行社有限公司,911101065790490561,崔*,(京)文执罚 〔2023〕第600221号,旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,北京中联假日旅行社有限公司于2023年07月05日至07月09日期间，存在旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,《旅行社条例实施细则》第六十五条,罚款,罚款人民币叁仟元。,0.3,,2023/9/13,2099/12/31,2023/12/13,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:26
9abdcd0f-34f4-4c28-982b-55ad51826a2a,北京万客国际旅游有限公司,91110400MACYDQ6507,刘*然,(京)文执罚 〔2024〕第600164号,旅行社签订合同时要求旅游者必须参加旅行社安排的购物活动、需要旅游者另行付费的旅游项目,北京万客国际旅游有限公司于5月13日至5月17日期间，存在旅行社签订合同时要求旅游者必须参加旅行社安排的购物活动、需要旅游者另行付费的旅游项目的行为,《旅行社条例实施细则》第六十一条,罚款,1.罚款伍仟元;,0.5,,2024/8/22,2099/12/31,2024/11/22,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:49
f96ee24c-9812-45d7-879a-6734002df0a8,北京新畅国际旅行社有限公司,91110111MAE62HWQ10,贺*琦,(京)文执罚 〔2025〕第600039号,旅行社未将旅游目的地接待旅行社的情况告知旅游者,北京新畅国际旅行社有限公司于2024年12月至2025年3月期间，存在旅行社未将旅游目的地接待旅行社的情况告知旅游者的行为,《旅行社条例》第五十五条和《旅行社条例实施细则》第六十二条,罚款;没收违法所得、没收非法财物,1.罚款贰万元;2.没收违法所得壹仟伍佰玖拾叁点玖玖元,2,0.159399,2025/6/6,2099/12/31,2026/6/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,23/6/2025 11:18:04
0743e7b1-8fea-49b6-b035-b54cf1d1fcb6,北京云上行国际旅行社有限公司,91110106MA01N4UX5X,吴*平,(京)文执罚 〔2024〕第600035号,旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,北京云上行国际旅行社有限公司于2023年07月23日，存在旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年的行为。,《旅行社条例实施细则》第六十五条,罚款,罚款人民币叁仟元。,0.3,,2024/1/23,2099/12/31,2024/4/23,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:31
442680b0-8b73-49fb-8ec7-4e2beb72155f,全天游（北京）国际旅行社有限公司,91110108MABR7D5E11,王*,(京)文执罚 〔2025〕第600056号,旅行社未经旅游者的同意，将旅游者转交给其他旅行社组织、接待,全天游（北京）国际旅行社有限公司在抖音平台开始直播间宣传北京旅游，招徕到旅游者程翠等一行 10 人，收取旅游费用后，在未经旅游者同意的情况下，将旅游者的组织接待业务转交给有合作关系的北京完美旅途国际旅行社有限公司，由北京完美旅途国际旅行社有限公司与旅游者签订旅游合同，构成了未经旅游者的同意，将旅游者转交给其他旅行社组织、接待行为。,《旅行社条例》第五十五条和《旅行社条例实施细则》第六十三条,罚款,罚款20000元。,2,,2025/8/19,2099/12/31,2026/8/19,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,22/12/2025 16:07:23
8c3e202a-b240-4ecd-9a72-c5b338ea7853,中国铁道旅行社集团有限公司北京方庄分社,91110106699563148C,彭*成,(京)文执罚 〔2023〕第600187号,旅行社签订合同时要求旅游者必须参加旅行社安排的购物活动、需要旅游者另行付费的旅游项目,"该单位的上述行为违反了《旅行社条例实施细则》第三十九条第一款的规定，依据《旅行社条例实施细则》第六十一条的规定,对该单位没收违法所得人民币壹仟壹佰柒拾元，并处以罚款人民币伍仟元的行政处罚。",《旅行社条例实施细则》第六十一条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹仟壹佰柒拾元;2.罚款人民币伍仟元。,0.5,0.117,2023/8/4,2099/12/31,2023/11/4,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:37
d8eec081-eba5-4c3c-a64e-d45de8a9d9b8,北京巨象国际旅行社有限公司,91110105MACAF92J2C,张*纬,(京)文执罚 〔2024〕第600219号,旅行社签订合同时要求旅游者必须参加旅行社安排的购物活动、需要旅游者另行付费的旅游项目,北京巨象国际旅行社有限公司于2024年8月12日至8月14日存在要求旅游者必须参加旅行社安排的购物活动、需要旅游者另行付费的旅游项目的违法行为。无违法所得。,《旅行社条例实施细则》第六十一条,罚款,罚款 5000 元。,0.5,,2024/10/31,2099/12/31,2025/10/31,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:49
786b05eb-d0fc-4a39-9e9a-316d8a3c5bcd,北京畅游玖玖捌国际旅行社有限公司,91110113MA01JQXJ8W,孙*稳,(京)文执罚 〔2023〕第600281号,旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,北京畅游玖玖捌国际旅行社有限公司于2023年07月21日与2023年07月25日期间，存在旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,《旅行社条例实施细则》第六十五条,罚款,罚款人民币叁仟元。,0.3,,2023/11/1,2099/12/31,2024/2/1,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:27
c9e55a99-9fd0-4712-9782-0280cd8b2825,相遇（北京）国际旅行社有限公司,91110116MAC9LU2G7X,王*云,(京)文执罚 〔2024〕第600117号,旅行社签订合同时要求旅游者必须参加旅行社安排的购物活动、需要旅游者另行付费的旅游项目,相遇（北京）国际旅行社有限公司2024年3月31日至2024年4月2日期间存在虚假宣传，误导旅游者的行为，该行为产生违法所得1950元。依据《旅行社条例实施细则》第六十一条的规定，参照《北京市文化市场综合执法行政处罚裁量基准》，对该单位作出没收违法所得1950元，罚款3000元的行政处罚。,《旅行社条例实施细则》第六十一条,罚款;没收违法所得、没收非法财物,1.没收违法所得人民币壹仟玖佰伍拾元;2.罚款人民币叁仟元。,0.3,0.195,2024/6/18,2099/12/31,2024/9/18,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,21/6/2024 17:19:25
d9ff0383-4044-460f-9508-bdb59958ccf7,北京国美假期国际旅行社有限公司,91110106MA009D8F5D,王*伟,(京)文执罚 〔2023〕第600168号,旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,北京国美假期国际旅行社有限公司于2023年04月03日至2023年04月05日期间，存在旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,《旅行社条例实施细则》第六十五条,罚款,罚款人民币壹仟元。,0.1,,2023/7/12,2099/12/31,2023/10/12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:24
191241b6-2991-4ff3-b50b-c93a0cd5f66a,北京鑫诚环球国际旅行社有限公司,91110105670581940P,孟*民,(京)文执罚 〔2023〕第600229号,旅行社未将旅游目的地接待旅行社的情况告知旅游者,北京鑫诚环球国际旅行社有限公司于2023年08月03日与2023年08月10日期间，存在旅行社未将旅游目的地接待旅行社的情况告知旅游者。,《旅行社条例》第五十五条和《旅行社条例实施细则》第六十二条,罚款,罚款人民币贰万元。,2,,2023/9/18,2099/12/31,2024/9/18,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:30
30eb016d-0a37-4874-b839-fa96fdfcc305,北京乐扬国际旅行社有限公司,91110106766288757T,李*,(京)文执罚 〔2023〕第600191号,旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,北京乐扬国际旅行社有限公司于2023年04月29日与2023年04月29日期间，存在旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,《旅行社条例实施细则》第六十五条,罚款,罚款人民币伍仟元。,0.5,,2023/8/10,2099/12/31,2023/11/10,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:40
8c045872-690a-4272-b34d-aa581d60aadb,北京金鸿盛世旅行社有限公司,91110106783216253Y,刘*,(京)文执罚 〔2023〕第600233号,旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,北京金鸿盛世旅行社有限公司于2023年08月03日，存在旅行社未妥善保存各类旅游合同及相关文件、资料，保存期不够两年,《旅行社条例实施细则》第六十五条,罚款,罚款人民币叁仟元。,0.3,,2023/9/21,2099/12/31,2023/12/21,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:46
