业户名称,评定等级,所属区域,年度,统一社会信用代码
北京中兴盛达汽车服务有限公司,A,,2024,91110115MA7ETQH18Y
北京金城顺旅游客运有限公司,A,,2024,91110228MA01YQJG60
北京兴顺达旅游有限公司,A,,2024,91110400MA020WYK66
北京京铁欣途出租汽车有限公司,A,丰台,2023,91110106101246157U
北京海天腾飞运输有限公司,A,,2023,911101061022976266
北京铭悦旅游客运有限公司,B,,2023,91110106MACE591Y81
北京广运恒通汽车服务有限公司,A,,2023,91110111055579590L
中青旅控股股份有限公司旅游服务分公司,A,东城运输管理分局,2022,91110000101310358E
北京天行健汽车服务有限公司,A,朝阳运输管理分局,2022,91110105556863805R
北京龙脉温泉疗养院,B,昌平交通局,2022,911101141026553316
北京畅的科技开发有限公司,A,经开区城市运行局,2022,911103023443550757
北京大地国际旅行社有限公司,AA,丰台,2019,911101066337065216
中青旅控股股份有限公司旅游服务分公司,AAA,东城,2019,91110000101310358E
幸福国际旅行社（北京）有限公司,A,,2024,91110101102036741B
北京一路领先旅游客运有限公司,A,,2024,9111010158913473XE
北京京旅导游服务中心,A,,2024,911101051011353261
交通国际旅行社有限公司,A,,2024,91110105710925876F
北京文隆客运有限公司,B,,2024,91110116MA00G9M25J
北京渡城旅游客运服务有限公司,B,,2024,91110228MA01ND5N98
北京八达岭畅通旅行有限公司,A,,2024,911102291030321796
中国国际体育旅游有限公司,A,东城,2023,91110000100003727Y
新国线运输集团有限公司,A,丰台,2023,91110000726340629X
幸福国际旅行社（北京）有限公司,A,东城,2023,91110101102036741B
北京市房山昊港出租汽车公司,A,,2023,91110111102721634K
新国线运输集团北京京汉运输有限公司,A,丰台,2023,911101156259053792
赛特国际旅行社,A,朝阳运输管理分局,2022,91110000101721595X
北京赛笛芭诗城市观光旅行社有限公司,A,西城运输管理分局,2022,911101026662827378
北京申威狮星汽车服务有限公司,A,西城运输管理分局,2022,911101027226527805
融通运输有限公司,B,,2022,91110102MA01XUBJ5A
北京阿尔萨客运有限公司,A,朝阳运输管理分局,2022,91110105600026028M
北京水木氢城科技有限公司,B,,2022,91110108MA01JW1T29
北京市房山昊港出租汽车公司,A,房山交通局,2022,91110111102721634K
北京四合汽车服务公司,B,昌平交通局,2022,91110114102627680G
北京新朗途客运有限公司,A,怀柔交通局,2022,911101163442437869
北京天地人源汽车租赁有限公司,A,平谷交通局,2022,91110117799035297P
氢动力（北京）科技服务有限公司,A,延庆交通局,2022,91110119MA04CU8C72
幸福国际旅行社（北京）有限公司,AAA,东城,2019,91110101102036741B
北京飞鸣出租汽车有限责任公司,AAA,丰台,2019,91110106102166933X
北京赛笛芭诗城市观光旅行社有限公司,AAA,西城,2019,911101026662827378
北京市良友旅行社有限公司,___,东城,2019,91110101101503483E
北京天马旅行社有限公司,AA,西城,2019,9111010210171503XW
中国国际体育旅游有限公司,A,东城运输管理分局,2023,91110000100003727Y
北京青年旅行社股份有限公司,A,,2024,91110000101200159U
中青旅控股股份有限公司旅游服务分公司,A,,2024,91110000101310358E
北京飞鸣出租汽车有限责任公司,A,,2024,91110106102166933X
北京交运通达客运有限公司,A,,2024,91110106MA01MM294B
北京水木氢城科技有限公司,A,,2024,91110108MA01JW1T29
北京市顺风旅游有限公司,A,,2024,91110112102452251T
北京市兴顺达客运有限责任公司,A,,2024,911101157003500877
北京德林顺华科技有限公司,A,,2024,91110115MA01R8L27M
中青旅控股股份有限公司旅游服务分公司,A+,东城,2023,91110000101310358E
北京北方创业出租汽车有限公司,A,大兴,2023,91110000102172209L
北京旅游集散中心有限责任公司,A,东城,2023,91110101773351785P
北京京运顺达客运有限公司,B,,2023,911101065568091200
北京交运通达客运有限公司,A,丰台,2023,91110106MA01MM294B
北京首钢园区综合服务有限公司,A,石景山,2023,91110107071737042K
北京中大旅游客运有限公司,A,大兴,2023,911101083065917202
北京申威狮星新能源汽车有限公司,A,海淀,2023,91110108MA01YKDM0X
北京九龙祥和客运有限公司,A,房山,2023,9111011168510707XB
北京四合汽车服务公司,A,昌平,2023,91110114102627680G
北京空港兴航达客运有限公司,A,,2023,91110115MA01ED413C
北京鑫聚隆源客运有限公司,A,怀柔,2023,91110116344286073U
北京首汽（集团）股份有限公司,A,东城运输管理分局,2022,91110000101166202X
北京壹北网旅游股份有限公司,A,东城运输管理分局,2022,91110000101174835M
北京北方创业出租汽车有限公司,A,大兴交通局,2022,91110000102172209L
北京市蓝光出租汽车公司,B,东城运输管理分局,2022,91110101101489925H
北京博大忠强旅游客运有限公司,B,,2022,91110102MABQ3Q0P28
北京民航机场巴士有限公司,A,朝阳运输管理分局,2022,91110105101255715M
北京风雅创捷旅游汽车客运服务有限公司,A,朝阳运输管理分局,2022,91110105553135642U
北京市钓鱼台出租汽车有限公司,A,丰台运输管理分局,2022,91110106102123212C
北京虹桥旅行社有限公司,B,丰台运输管理分局,2022,91110108600409926E
北京高客长途客运有限责任公司,A,丰台运输管理分局,2022,91110115802897278T
北京八达岭畅通旅行有限公司,A,延庆交通局,2022,911102291030321796
北京八达岭旅游有限公司,B,,2022,91110229103049675G
北京水木通达运输有限公司,AA,海淀,2019,91110114MA017TN52W
北京新月联合汽车有限公司,AAA,西城,2019,91110000633699990X
北京寰宇纵横旅行社有限公司,___,东城,2019,9111010110133662XU
北京北方创业出租汽车有限公司,AA,大兴,2019,91110000102172209L
北京京铁欣途出租汽车有限公司,AA,丰台,2019,91110106101246157U
中信联合汽车（北京）有限公司,AAA,朝阳,2019,91110105742344582E
北京浩驰汽车服务有限公司,B,,2022,91110304746747565A
北京北方创业出租汽车有限公司,A,,2024,91110000102172209L
北京渔阳出租汽车集团有限公司,A,,2024,911100001029182777
新国线集团北京省际客运股份有限公司,A,,2024,911100006336461438
北京北汽出租汽车集团有限责任公司,A,,2024,91110000633692131T
北京天悦商旅有限公司,B,,2024,91110106MA0186E58N
北京中大旅游客运有限公司,A,,2024,911101083065917202
北京鑫聚隆源客运有限公司,A,,2024,91110116344286073U
北京畅的科技开发有限公司,A,,2024,911103023443550757
中国职工国际旅行社总社,A,朝阳,2023,91110000100004367K
北京万泉寺出租汽车有限公司,A,丰台,2023,911100001021361014
北京北汽出租汽车集团有限责任公司,A,西城,2023,91110000633692131T
中信联合汽车（北京）有限公司,A,朝阳,2023,91110105742344582E
北京易游国际旅行社有限公司,B,,2023,91110106076584022X
北京市钓鱼台出租汽车有限公司,A,丰台,2023,91110106102123212C
北京国汇兴客运有限公司,A,,2023,91110106MA01AE8K53
北京新国线安泽运输有限公司,A,东城运输管理分局,2022,911101011021697633
北京海淀颐海出租汽车有限责任公司,A,海淀运输管理分局,2022,91110108101907103H
北京青年旅行社股份有限公司,AAA,朝阳,2019,91110000101200159U
北京鑫聚隆源客运有限公司,AAA,怀柔,2019,91110116344286073U
北京石化出租汽车有限公司,___,东城,2019,9111010110169323XN
北京大地出租汽车有限公司,AAA,朝阳,2019,9111010510174181XX
北京凯捷风公交客运有限责任公司,AAA,房山,2019,91110111678246434B
中国国际旅行社总社有限公司,AAA,东城,2019,911100001013930695
北京华宇汽车租赁有限公司,A,房山交通局,2022,91110304592382929L
北京首汽（集团）股份有限公司,A,,2024,91110000101166202X
北京寰宇纵横旅行社有限公司,A,,2024,9111010110133662XU
北京鸿运天下汽车租赁有限公司,A,,2024,911101015620682181
北京赛笛芭诗城市观光旅行社有限公司,A,,2024,911101026662827378
中苑出租汽车有限公司,A,,2024,911101086259109959
北京天寿山出租汽车有限责任公司,A,,2024,91110114700341690M
北京鸿途汽车服务有限公司,A,,2024,91110114MA01Y66G9L
北京四海同心客运有限公司,A,,2024,91110116662181672X
北京中辉国际旅游有限公司,A,,2024,91110116MA00AP6P2G
北京燕龙萱客运有限公司,A,,2024,91110116MA00E0H28L
北京华阳顺通科贸有限公司,B,,2024,91110116MA01BD1N8P
北京新月联合汽车有限公司,A,西城,2023,91110000633699990X
北京顺亿达运力科技集团有限公司,A,大兴,2023,91110115MA01XX8C7J
北京新朗途客运有限公司,A,怀柔,2023,911101163442437869
中旅旅游汽车有限公司,A,朝阳运输管理分局,2022,91110105101129049G
北京中大旅游客运有限公司,B,,2022,911101083065917202
北京空港兴航达客运有限公司,A,大兴交通局,2022,91110115MA01ED413C
北京市慕田峪汽车运输有限公司,B,怀柔交通局,2022,91110116741571935P
北京天马通驰旅游客运有限公司,A,朝阳运输管理分局,2022,9111022810145620XE
北京天马通驰旅游客运有限公司,___,朝阳,2019,9111022810145620XE
北京万泉寺出租汽车有限公司,AAA,丰台,2019,911100001021361014
中苑出租汽车有限公司,AA,海淀,2019,911101086259109959
中国职工国际旅行社总社,A,,2024,91110000100004367K
北京万泉寺出租汽车有限公司,A,,2024,911100001021361014
北京新月联合汽车有限公司,A,,2024,91110000633699990X
北京运盈百通汽车服务有限公司,B,,2024,91110102MACR35PC0Q
北京市钓鱼台出租汽车有限公司,A,,2024,91110106102123212C
北京京运顺达客运有限公司,A,,2024,911101065568091200
北京北青旅汽车租赁服务有限公司,A,,2024,91110106MA00BX0B75
氢时代（北京）汽车服务有限公司,A,,2024,91110400MAC914KW2B
融通运输有限公司,A,西城,2023,91110102MA01XUBJ5A
北京京旅导游服务中心,A,东城,2023,911101051011353261
北京天行健汽车服务有限公司,A,朝阳,2023,91110105556863805R
北京飞鸣出租汽车有限责任公司,A,丰台,2023,91110106102166933X
北京大地国际旅行社有限公司,A,丰台,2023,911101066337065216
中苑出租汽车有限公司,A,海淀,2023,911101086259109959
北京九龙旅游客运有限公司,B,昌平,2023,91110114752177642T
北京市良友旅行社有限公司,B,东城运输管理分局,2022,91110101101503483E
北京飞鸣出租汽车有限责任公司,A,丰台运输管理分局,2022,91110106102166933X
银建国际旅行社有限公司,A,顺义交通局,2022,91110113101737503H
北京鸿途汽车服务有限公司,B,,2022,91110114MA01Y66G9L
银建国际旅行社有限公司,AAA,顺义,2019,91110113101737503H
北京市顺风旅游有限公司,AAA,通州,2019,91110112102452251T
北京申威狮星汽车服务有限公司,AAA,西城,2019,911101027226527805
北京市慕田峪汽车运输有限公司,AA,怀柔,2019,91110116741571935P
北京北汽九龙出租汽车股份有限公司,AAA,西城,2019,91110000710936778H
北京申威狮星汽车服务有限公司,A,,2024,911101027226527805
北京信和汽车租赁有限公司,B,,2024,911101065604393884
北京四九城旅游客运有限公司,A,,2024,91110111MA04F7LR6K
北京中运氢动力运输有限公司,A,,2024,91110114MABU70LM6R
北京新朗途客运有限公司,A,,2024,911101163442437869
北京龙安通达客运服务有限公司,B,,2024,9111011679853801X6
北京联和中运客运有限公司,B,,2024,91110116MA01PHY66F
北京滴润旅游服务有限公司,A,,2024,91110228MA01YT053K
北京赶趟出行科技有限公司,A,,2024,91110302MA0049KA2A
北京辛润浩达商务服务（集团）有限责任公司,A,,2024,91110302MA01QY5C22
