企业或单位名称,纳税人识别号,经营地点,欠税金额,税种
北京天维创优水泥有限公司,110111102799191,北京市房山区河北镇磁家务村东,10410.170,房产税
北京天维创优水泥有限公司,110111102799191,北京市房山区河北镇磁家务村东,71250.000,土地使用税
北京天维创优水泥有限公司,110111102799191,北京市房山区河北镇磁家务村东,71250.000,土地使用税
北京天维创优水泥有限公司,110111102799191,北京市房山区河北镇磁家务村东,71250.000,土地使用税
北京天维创优水泥有限公司,110111102799191,北京市房山区河北镇磁家务村东,71250.000,土地使用税
北京天维创优水泥有限公司,110111102799191,北京市房山区河北镇磁家务村东,285000.000,土地使用税
北京天维创优水泥有限公司,110111102799191,北京市房山区河北镇磁家务村东,10410.160,房产税
北京天维创优水泥有限公司,110111102799191,北京市房山区河北镇磁家务村东,10410.160,房产税
北京天维创优水泥有限公司,110111102799191,北京市房山区河北镇磁家务村东,41640.660,房产税
北京天维创优水泥有限公司,110111102799191,北京市房山区河北镇磁家务村东,10410.160,房产税
北京双山水泥集团,11011110273067X,房山区河北镇磁家务,84180.460,房产税
北京双山水泥集团,11011110273067X,房山区河北镇磁家务,137507.330,土地使用税
北京双山水泥集团,11011110273067X,房山区河北镇磁家务,137507.330,土地使用税
北京双山水泥集团,11011110273067X,房山区河北镇磁家务,137507.330,土地使用税
北京双山水泥集团,11011110273067X,房山区河北镇磁家务,550029.310,土地使用税
北京双山水泥集团,11011110273067X,房山区河北镇磁家务,137507.330,土地使用税
北京双山水泥集团,11011110273067X,房山区河北镇磁家务,84180.460,房产税
北京双山水泥集团,11011110273067X,房山区河北镇磁家务,84180.460,房产税
北京双山水泥集团,11011110273067X,房山区河北镇磁家务,336721.820,房产税
北京双山水泥集团,11011110273067X,房山区河北镇磁家务,84180.460,房产税
北京市房山磁家务水泥厂,110111102730936,河北镇磁家务村,9381.690,房产税
北京市房山磁家务水泥厂,110111102730936,河北镇磁家务村,37526.760,房产税
北京市房山磁家务水泥厂,110111102730936,河北镇磁家务村,9381.690,房产税
北京市房山磁家务水泥厂,110111102730936,河北镇磁家务村,9381.690,房产税
北京市房山磁家务水泥厂,110111102730936,河北镇磁家务村,15000.000,土地使用税
北京市房山磁家务水泥厂,110111102730936,河北镇磁家务村,15000.000,土地使用税
北京市房山磁家务水泥厂,110111102730936,河北镇磁家务村,15000.000,土地使用税
北京市房山磁家务水泥厂,110111102730936,河北镇磁家务村,66100.000,土地使用税
北京市房山磁家务水泥厂,110111102730936,河北镇磁家务村,15000.000,土地使用税
北京市房山磁家务水泥厂,110111102730936,河北镇磁家务村,9381.690,房产税
北京黄兴水泥熟料有限公司,110111102731445,房山区河北镇黄土坡村,8134.440,房产税
北京黄兴水泥熟料有限公司,110111102731445,房山区河北镇黄土坡村,2033.610,房产税
北京黄兴水泥熟料有限公司,110111102731445,房山区河北镇黄土坡村,8500.050,土地使用税
北京黄兴水泥熟料有限公司,110111102731445,房山区河北镇黄土坡村,8500.050,土地使用税
北京黄兴水泥熟料有限公司,110111102731445,房山区河北镇黄土坡村,8500.050,土地使用税
北京黄兴水泥熟料有限公司,110111102731445,房山区河北镇黄土坡村,8500.050,土地使用税
北京黄兴水泥熟料有限公司,110111102731445,房山区河北镇黄土坡村,34000.200,土地使用税
北京黄兴水泥熟料有限公司,110111102731445,房山区河北镇黄土坡村,2033.610,房产税
北京黄兴水泥熟料有限公司,110111102731445,房山区河北镇黄土坡村,2033.610,房产税
北京黄兴水泥熟料有限公司,110111102731445,房山区河北镇黄土坡村,2033.610,房产税
北京飞科盛鑫广告有限公司,110107306559720,北京市石景山区古城大街75号院2号楼8层3单元804,9002.880,城建税
