2022年一季度产值增长奖励拟支持企业名单,
序号,企业名称
1,北京北方华创微电子装备有限公司
2,北京集创北方科技股份有限公司
3,中芯北方集成电路制造（北京）有限公司
4,森特士兴集团股份有限公司
5,神州细胞工程有限公司
6,中芯国际集成电路制造（北京）有限公司
7,北京金风科创风电设备有限公司
8,百泰生物药业有限公司
9,北京泰德制药股份有限公司
10,航天长征化学工程股份有限公司
11,北京北汽模塑科技有限公司
12,宝健（中国）有限公司
13,安川首钢机器人有限公司
14,北京海纳川汽车部件股份有限公司
15,佛吉亚排气控制系统（北京）有限公司
16,北京同仁堂科技发展股份有限公司
17,北京生物制品研究所有限责任公司
18,瓦里安医疗设备（中国）有限公司
19,北京智飞绿竹生物制药有限公司
20,北京华油联合燃气开发有限公司
