标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北京继远斋食品有限公司,北京继远斋食品有限公司,"冷加工糕点,蜜饯,糖果",完全合格,110101-2022-1-000456,26/10/2023 10:00:00
北京汇力发食品工业有限责任公司第二销售部,北京汇力发食品工业有限责任公司第二销售部,"冷加工糕点,热加工糕点",完全合格,110101-2023-1-000023,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2022-1-000113,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2022-1-000763,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2023-1-000054,26/10/2023 10:00:00
法美味饼业（北京）有限公司,法美味饼业（北京）有限公司,"糕点,冷加工糕点",完全合格,110105-2022-1-000107,26/10/2023 10:00:00
北京二商富月食品有限公司,北京二商富月食品有限公司,"其他粮食加工品,热加工糕点",完全合格,110105-2022-1-000310,26/10/2023 10:00:00
北京金华林营养保健品有限责任公司,北京金华林营养保健品有限责任公司,"蜂产品制品,蜂蜜,蜂王浆(含蜂王浆冻干品),其他方便食品",完全合格,110105-2023-1-000676,26/10/2023 10:00:00
北京圣祥乳制品厂,北京圣祥乳制品厂,液体乳,完全合格,110106-2022-1-000229,26/10/2023 10:00:00
北京艾森绿宝油脂有限公司,北京艾森绿宝油脂有限公司,食用植物油,完全合格,110106-2022-1-001185,26/10/2023 10:00:00
北京金美添技术发展有限公司,北京金美添技术发展有限公司,发酵肉制品,完全合格,110106-2023-1-000225,26/10/2023 10:00:00
北京京粮东方粮油贸易有限责任公司,北京京粮东方粮油贸易有限责任公司,"大米,其他粮食加工品",完全合格,110106-2023-1-000641,26/10/2023 10:00:00
北京樱桃泉矿泉水厂,北京樱桃泉矿泉水厂,包装饮用水,完全合格,110108-2022-1-000009,26/10/2023 10:00:00
北京蜂珍科技开发有限公司蜂产品加工厂,北京蜂珍科技开发有限公司蜂产品加工厂,"蜂产品制品,蜂蜜,蜂王浆(含蜂王浆冻干品)",本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110108-2023-1-002780,30/11/2023 22:00:03
北京正隆斋全素食品有限公司,北京正隆斋全素食品有限公司,"冷加工糕点,热加工糕点",完全合格,110108-2023-1-002804,27/11/2023 22:01:37
北京四季顺鑫食品有限公司,北京四季顺鑫食品有限公司,"热加工熟肉制品,预制调理肉制品",完全合格,110108-2023-1-002838,27/11/2023 22:02:51
北京四季顺鑫食品有限公司,北京四季顺鑫食品有限公司,"热加工熟肉制品,预制调理肉制品",完全合格,110108-2023-1-002914,30/11/2023 22:00:12
北京市荣洲工贸有限公司,北京市荣洲工贸有限公司,"冷加工糕点,其他粮食加工品,热加工糕点,热加工熟肉制品",完全合格,110111-2022-1-000008,26/10/2023 10:00:00
北京晋师傅工贸有限公司,北京晋师傅工贸有限公司,热加工糕点,"本次检查发现不符合项（3）项，其中：重点项（0）项，项目序号分别是（）；一般项（3）项，项目序号分别是（2.1,2.5,2.6）。",110111-2022-1-000125,26/10/2023 10:00:00
北京华采农业发展有限公司,北京华采农业发展有限公司,"蛋制品,热加工熟肉制品",完全合格,110111-2022-1-000148,26/10/2023 10:00:00
北京诚领农业有限公司,北京诚领农业有限公司,"即食水产品,热加工熟肉制品,速冻调制食品",完全合格,110111-2022-1-000149,26/10/2023 10:00:00
北京元鲜记食品科技有限公司,北京元鲜记食品科技有限公司,"炒货食品及坚果制品,淀粉及淀粉制品,调味料,非即食水产品,果蔬罐头,其他粮食加工品,其他食品,热加工熟肉制品,食用菌制品,蔬菜干制品,糖,味精",完全合格,110111-2022-1-000206,26/10/2023 10:00:00
北京市聚高府食品有限公司,北京市聚高府食品有限公司,"其他粮食加工品,热加工糕点,食品馅料",完全合格,110111-2022-1-000369,26/10/2023 10:00:00
北京德康园食品有限公司,北京德康园食品有限公司,热加工熟肉制品,完全合格,110111-2022-1-000379,26/10/2023 10:00:00
北京元兰嘉腾粮油有限公司,北京元兰嘉腾粮油有限公司,食用植物油,完全合格,110111-2022-1-000617,26/10/2023 10:00:00
北京乐世同源堂食品有限公司,北京乐世同源堂食品有限公司,"炒货食品及坚果制品,代用茶,水果制品,糖",完全合格,110111-2022-1-000696,26/10/2023 10:00:00
北京汇丰源粮食加工厂,北京汇丰源粮食加工厂,"大米,其他粮食加工品",完全合格,110111-2022-1-000714,26/10/2023 10:00:00
北京贡得利面粉厂,北京贡得利面粉厂,小麦粉,"本次检查发现不符合项（2）项，其中：重点项（0）项，项目序号分别是（）；一般项（2）项，项目序号分别是（2.1,2.10）。",110111-2022-1-000836,26/10/2023 10:00:00
北京大石窝洪源水业有限责任公司,北京大石窝洪源水业有限责任公司,瓶(桶)装饮用水,本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110111-2022-1-000970,27/8/2025 10:36:28
北京恒乐食品有限公司,北京恒乐食品有限公司,预制调理肉制品,完全合格,110111-2022-1-001010,22/5/2025 10:53:03
北京市荣洲工贸有限公司,北京市荣洲工贸有限公司,"冷加工糕点,其他粮食加工品,热加工糕点,热加工熟肉制品",完全合格,110111-2022-1-001020,26/10/2023 10:00:00
北京恒乐食品有限公司,北京恒乐食品有限公司,预制调理肉制品,完全合格,110111-2022-1-001027,26/10/2023 10:00:00
北京德康园食品有限公司,北京德康园食品有限公司,热加工熟肉制品,完全合格,110111-2022-1-001144,26/10/2023 10:00:00
北京永顺食品有限公司,北京永顺食品有限公司,"蜜饯,水果制品",完全合格,110111-2022-1-001263,26/10/2023 10:00:00
北京永顺食品有限公司,北京永顺食品有限公司,焙炒咖啡,完全合格,110111-2023-1-000769,26/10/2023 10:00:00
北京美时乐食品有限公司,北京美时乐食品有限公司,"饼干,冷加工糕点,其他食品,热加工糕点",完全合格,110111-2023-1-001001,26/10/2023 10:00:00
北京瑞阳恒业商贸有限公司,北京瑞阳恒业商贸有限公司,"热加工熟肉制品,速冻调制食品,预制调理肉制品",完全合格,110111-2023-1-001143,26/10/2023 10:00:00
北京龙熙堡葡萄酒业有限公司,北京龙熙堡葡萄酒业有限公司,葡萄酒及果酒,完全合格,110111-2023-1-001335,26/10/2023 10:00:00
北京南河北星农业发展有限公司,北京南河北星农业发展有限公司,其他食品,完全合格,110111-2023-1-001365,26/10/2023 10:00:00
北京波龙堡葡萄酒业有限公司,北京波龙堡葡萄酒业有限公司,葡萄酒及果酒,完全合格,110111-2023-1-001390,26/10/2023 10:00:00
北京德润通农业科技发展有限公司,北京德润通农业科技发展有限公司,"淀粉及淀粉制品,其他方便食品",完全合格,110111-2023-1-001433,26/10/2023 10:00:00
北京德润通农业科技发展有限公司,北京德润通农业科技发展有限公司,"淀粉及淀粉制品,其他方便食品",完全合格,110111-2023-1-001531,26/10/2023 10:00:00
北京宏味源食品有限公司,北京宏味源食品有限公司,"蛋制品,调味料,热加工熟肉制品",完全合格,110111-2023-1-001720,26/10/2023 10:00:00
北京南河北星农业发展有限公司,北京南河北星农业发展有限公司,其他食品,完全合格,110111-2023-1-001739,26/10/2023 10:00:00
北京汇力发食品工业有限责任公司第二销售部,北京汇力发食品工业有限责任公司第二销售部,"冷加工糕点,热加工糕点",完全合格,110101-2022-1-000138,26/10/2023 10:00:00
北京继远斋食品有限公司,北京继远斋食品有限公司,"冷加工糕点,蜜饯,糖果",完全合格,110101-2023-1-000701,26/10/2023 10:00:00
法美味饼业（北京）有限公司,法美味饼业（北京）有限公司,"糕点,冷加工糕点",本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110105-2023-1-000677,26/10/2023 10:00:00
北京二商富月食品有限公司,北京二商富月食品有限公司,"其他粮食加工品,热加工糕点",完全合格,110105-2023-1-000681,26/10/2023 10:00:00
北京呀咪呀咪营养快餐有限公司,北京呀咪呀咪营养快餐有限公司,"调味料,其他食品",本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110105-2023-1-002862,29/11/2023 22:01:23
北京鑫福乐食品有限责任公司,北京鑫福乐食品有限责任公司,"冷加工糕点,热加工糕点",完全合格,110106-2022-1-000647,26/10/2023 10:00:00
北京科源兴生物科技有限公司红门玉龙水厂,北京科源兴生物科技有限公司红门玉龙水厂,瓶(桶)装饮用水,本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（2.1）。,110106-2022-1-001180,26/10/2023 10:00:00
北京鹏味达食品有限公司,北京鹏味达食品有限公司,调味料,完全合格,110106-2022-1-001183,26/10/2023 10:00:00
北京圣祥乳制品厂,北京圣祥乳制品厂,液体乳,完全合格,110106-2023-1-000970,26/10/2023 10:00:00
北京市豪伦科贸有限责任公司广浩食品加工厂,北京市豪伦科贸有限责任公司广浩食品加工厂,热加工糕点,"本次检查发现不符合项（3）项，其中：重点项（0）项，项目序号分别是（）；一般项（3）项，项目序号分别是（2.6,4.11,4.8）。",110107-2022-1-000935,26/10/2023 10:00:00
北京四季顺鑫食品有限公司,北京四季顺鑫食品有限公司,"热加工熟肉制品,预制调理肉制品",完全合格,110108-2022-1-000116,26/10/2023 10:00:00
北京隆福斋食品有限公司,北京隆福斋食品有限公司,热加工糕点,完全合格,110108-2023-1-002810,27/11/2023 22:01:56
北京中宝饮用水有限公司,北京中宝饮用水有限公司,瓶(桶)装饮用水,完全合格,110109-2022-1-000718,26/10/2023 10:00:00
北京本乡良实面业有限责任公司,北京本乡良实面业有限责任公司,"其他粮食加工品,热加工糕点",完全合格,110109-2023-1-003165,14/12/2023 22:00:07
北京圣怡堂食品有限公司,北京圣怡堂食品有限公司,热加工熟肉制品,完全合格,110111-2022-1-000003,26/10/2023 10:00:00
北京元鲜记食品科技有限公司,北京元鲜记食品科技有限公司,"炒货食品及坚果制品,淀粉及淀粉制品,调味料,非即食水产品,果蔬罐头,其他粮食加工品,其他食品,热加工熟肉制品,食用菌制品,蔬菜干制品,糖,味精",完全合格,110111-2022-1-000007,26/10/2023 10:00:00
北京市裕农优质农产品种植有限公司房山分公司,北京市裕农优质农产品种植有限公司房山分公司,"豆制品,冷加工糕点,其他食品,热加工糕点,热加工熟肉制品,预制调理肉制品",完全合格,110111-2022-1-000046,26/10/2023 10:00:00
北京宏味源食品有限公司,北京宏味源食品有限公司,"蛋制品,调味料,热加工熟肉制品",完全合格,110111-2022-1-000086,26/10/2023 10:00:00
北京市裕农优质农产品种植有限公司房山分公司,北京市裕农优质农产品种植有限公司房山分公司,"豆制品,冷加工糕点,其他食品,热加工糕点,热加工熟肉制品,预制调理肉制品",完全合格,110111-2022-1-000143,26/10/2023 10:00:00
北京元鲜记食品科技有限公司,北京元鲜记食品科技有限公司,"炒货食品及坚果制品,淀粉及淀粉制品,调味料,非即食水产品,果蔬罐头,其他粮食加工品,其他食品,热加工熟肉制品,食用菌制品,蔬菜干制品,糖,味精",完全合格,110111-2022-1-000144,26/10/2023 10:00:00
北京天蜂奇科技开发有限公司,北京天蜂奇科技开发有限公司,"蜂花粉,蜂蜜,蜂王浆(含蜂王浆冻干品)",完全合格,110111-2022-1-000157,26/10/2023 10:00:00
北京德润通农业科技发展有限公司,北京德润通农业科技发展有限公司,"淀粉及淀粉制品,其他方便食品",完全合格,110111-2022-1-000158,26/10/2023 10:00:00
北京春香禾福食品有限公司,北京春香禾福食品有限公司,热加工糕点,完全合格,110111-2022-1-000273,26/10/2023 10:00:00
北京香麦源食品科技有限公司,北京香麦源食品科技有限公司,"饼干,冷加工糕点,其他粮食加工品,热加工糕点",完全合格,110111-2022-1-000284,26/10/2023 10:00:00
北京燕都食品有限公司,北京燕都食品有限公司,"热加工熟肉制品,速冻调制食品",完全合格,110111-2022-1-000348,26/10/2023 10:00:00
北京瑞阳恒业商贸有限公司,北京瑞阳恒业商贸有限公司,"热加工熟肉制品,速冻调制食品,预制调理肉制品",完全合格,110111-2022-1-000353,26/10/2023 10:00:00
北京顺风飞扬物流中心,北京顺风飞扬物流中心,"其他粮食加工品,热加工糕点,热加工熟肉制品",完全合格,110111-2022-1-000361,26/10/2023 10:00:00
北京瑞阳恒业商贸有限公司,北京瑞阳恒业商贸有限公司,"热加工熟肉制品,速冻调制食品,预制调理肉制品",完全合格,110111-2022-1-000370,26/10/2023 10:00:00
北京湘福润食品有限公司,北京湘福润食品有限公司,肉制品,完全合格,110111-2022-1-000623,26/10/2023 10:00:00
北京荣华斋食品有限公司西场分公司,北京荣华斋食品有限公司西场分公司,"热加工熟肉制品,腌腊肉制品",本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（2.3）。,110111-2022-1-000654,26/10/2023 10:00:00
北京御生堂保健食品有限公司,北京御生堂保健食品有限公司,"茶剂,茶剂,代用茶,固体饮料,口服液,片剂,糖果",完全合格,110111-2022-1-000671,26/10/2023 10:00:00
北京白草畔帅旭天然植物油压榨有限公司,北京白草畔帅旭天然植物油压榨有限公司,食用植物油,完全合格,110111-2022-1-000719,26/10/2023 10:00:00
北京市裕农优质农产品种植有限公司房山分公司,北京市裕农优质农产品种植有限公司房山分公司,"豆制品,冷加工糕点,其他食品,热加工糕点,热加工熟肉制品,预制调理肉制品",完全合格,110111-2022-1-000750,26/10/2023 10:00:00
北京寿春堂医药保健品有限公司,北京寿春堂医药保健品有限公司,"粉剂,固体饮料,片剂,糖果,硬胶囊剂",完全合格,110111-2022-1-000856,26/10/2023 10:00:00
北京龙熙堡葡萄酒业有限公司,北京龙熙堡葡萄酒业有限公司,葡萄酒及果酒,完全合格,110111-2022-1-000894,26/10/2023 10:00:00
北京鑫顺斋食品厂,北京鑫顺斋食品厂,调味料,完全合格,110111-2022-1-000898,26/10/2023 10:00:00
北京佳年葡萄种植有限公司,北京佳年葡萄种植有限公司,葡萄酒及果酒,完全合格,110111-2022-1-000946,26/10/2023 10:00:00
北京春香禾福食品有限公司,北京春香禾福食品有限公司,热加工糕点,完全合格,110111-2022-1-000949,26/10/2023 10:00:00
北京源生号酿酒有限公司,北京源生号酿酒有限公司,其他酒,完全合格,110111-2022-1-000968,31/7/2025 13:56:29
北京源生号酿酒有限公司,北京源生号酿酒有限公司,其他酒,完全合格,110111-2022-1-001002,21/4/2025 16:48:59
北京汇力发食品工业有限责任公司第二销售部,北京汇力发食品工业有限责任公司第二销售部,"冷加工糕点,热加工糕点",完全合格,110101-2023-1-000331,26/10/2023 10:00:00
北京汇力发食品工业有限责任公司第二销售部,北京汇力发食品工业有限责任公司第二销售部,"冷加工糕点,热加工糕点",完全合格,110101-2023-1-001121,26/10/2023 10:00:00
北京继远斋食品有限公司,北京继远斋食品有限公司,"冷加工糕点,蜜饯,糖果",完全合格,110101-2023-1-001165,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2022-1-000592,26/10/2023 10:00:00
北京寒山人制冰厂,北京寒山人制冰厂,冷冻饮品,"本次检查发现不符合项（4）项，其中：重点项（0）项，项目序号分别是（）；一般项（4）项，项目序号分别是（10.1,2.1,2.6,6.1）。",110105-2023-1-002854,29/11/2023 22:00:59
北京圣祥乳制品厂,北京圣祥乳制品厂,液体乳,完全合格,110106-2022-1-000069,26/10/2023 10:00:00
北京圣祥乳制品厂,北京圣祥乳制品厂,液体乳,完全合格,110106-2022-1-000851,26/10/2023 10:00:00
北京京粮东方粮油贸易有限责任公司,北京京粮东方粮油贸易有限责任公司,"大米,其他粮食加工品",完全合格,110106-2022-1-001166,26/10/2023 10:00:00
北京圣祥乳制品厂,北京圣祥乳制品厂,液体乳,完全合格,110106-2023-1-000642,26/10/2023 10:00:00
北京市永清至信水业有限公司,北京市永清至信水业有限公司,瓶(桶)装饮用水,完全合格,110107-2023-1-000602,26/10/2023 10:00:00
北京龙泉峡古水厂,北京龙泉峡古水厂,包装饮用水,完全合格,110108-2022-1-000011,26/10/2023 10:00:00
北京隆福斋食品有限公司,北京隆福斋食品有限公司,热加工糕点,完全合格,110108-2022-1-000076,26/10/2023 10:00:00
北京阳光雨露饮品有限责任公司,北京阳光雨露饮品有限责任公司,瓶(桶)装饮用水,完全合格,110108-2022-1-000315,26/10/2023 10:00:00
北京阳光雨露饮品有限责任公司,北京阳光雨露饮品有限责任公司,瓶(桶)装饮用水,完全合格,110108-2022-1-000664,26/10/2023 10:00:00
北京樱桃泉矿泉水厂,北京樱桃泉矿泉水厂,包装饮用水,完全合格,110108-2023-1-002789,27/11/2023 22:00:42
北京樱桃泉矿泉水厂,北京樱桃泉矿泉水厂,包装饮用水,完全合格,110108-2023-1-002902,30/11/2023 22:00:07
北京龙徽酿酒有限公司,北京龙徽酿酒有限公司,"葡萄酒及果酒,其他酒",完全合格,110108-2023-1-002913,30/11/2023 22:00:11
北京中宝饮用水有限公司,北京中宝饮用水有限公司,瓶(桶)装饮用水,完全合格,110109-2023-1-001662,26/10/2023 10:00:00
北京中宝饮用水有限公司,北京中宝饮用水有限公司,瓶(桶)装饮用水,完全合格,110109-2023-1-001782,26/10/2023 10:00:00
北京青龙湖金福源食品有限公司,北京青龙湖金福源食品有限公司,淀粉及淀粉制品,完全合格,110111-2022-1-000066,26/10/2023 10:00:00
北京明远强英食品有限公司,北京明远强英食品有限公司,热加工熟肉制品,完全合格,110111-2022-1-000163,26/10/2023 10:00:00
北京蓉山食品有限公司,北京蓉山食品有限公司,"调味料,酱腌菜",本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（2.1）。,110111-2022-1-000196,26/10/2023 10:00:00
北京腾飞工贸有限公司,北京腾飞工贸有限公司,热加工熟肉制品,完全合格,110111-2022-1-000210,26/10/2023 10:00:00
北京华采农业发展有限公司,北京华采农业发展有限公司,"蛋制品,热加工熟肉制品",完全合格,110111-2022-1-000276,26/10/2023 10:00:00
北京香麦源食品科技有限公司,北京香麦源食品科技有限公司,"饼干,冷加工糕点,其他粮食加工品,热加工糕点",完全合格,110111-2022-1-000282,26/10/2023 10:00:00
北京春香禾福食品有限公司,北京春香禾福食品有限公司,热加工糕点,完全合格,110111-2022-1-000331,26/10/2023 10:00:00
北京元海堂食品有限公司,北京元海堂食品有限公司,"炒货食品及坚果制品,蜜饯,其他粮食加工品,食用菌制品,水果制品",完全合格,110111-2022-1-000517,26/10/2023 10:00:00
北京德惠祥食品有限责任公司,北京德惠祥食品有限责任公司,热加工糕点,完全合格,110111-2022-1-000565,26/10/2023 10:00:00
北京寿春堂医药保健品有限公司,北京寿春堂医药保健品有限公司,"粉剂,固体饮料,片剂,糖果,硬胶囊剂",完全合格,110111-2022-1-000669,26/10/2023 10:00:00
北京蜂珍科技开发有限公司房山分公司,北京蜂珍科技开发有限公司房山分公司,"蜂产品制品,蜂花粉,蜂蜜,蜂王浆(含蜂王浆冻干品)",完全合格,110111-2022-1-000809,26/10/2023 10:00:00
北京臻味坊食品有限公司,北京臻味坊食品有限公司,"炒货食品及坚果制品,大米,蜜饯,其他方便食品,其他粮食加工品,热加工糕点,食用菌制品,食用植物油,蔬菜干制品,水果制品",本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（2.10）。,110111-2022-1-000814,26/10/2023 10:00:00
北京德润通农业科技发展有限公司,北京德润通农业科技发展有限公司,"淀粉及淀粉制品,其他方便食品",完全合格,110111-2022-1-000832,26/10/2023 10:00:00
北京钰汇嘉餐饮管理有限公司,北京钰汇嘉餐饮管理有限公司,调味料,完全合格,110111-2022-1-000869,26/10/2023 10:00:00
北京燕都食品有限公司,北京燕都食品有限公司,"热加工熟肉制品,速冻调制食品",完全合格,110111-2022-1-000871,26/10/2023 10:00:00
北京八贡品酒厂,北京八贡品酒厂,"白酒,包装饮用水",完全合格,110111-2022-1-000987,26/10/2023 10:00:00
北京燕都酿酒有限公司,北京燕都酿酒有限公司,白酒,完全合格,110111-2022-1-000995,26/10/2023 10:00:00
北京乐一生蜂胶生化高新技术有限责任公司蜂胶厂,北京乐一生蜂胶生化高新技术有限责任公司蜂胶厂,"蜂产品制品,蜂花粉,蜂蜜,蜂王浆(含蜂王浆冻干品),口服液,软胶囊剂,软胶囊剂",完全合格,110111-2022-1-001009,22/5/2025 10:53:03
北京石花洞水业有限公司,北京石花洞水业有限公司,瓶(桶)装饮用水,完全合格,110111-2022-1-001053,26/10/2023 10:00:00
北京南河北星农业发展有限公司,北京南河北星农业发展有限公司,其他食品,完全合格,110111-2022-1-001083,26/10/2023 10:00:00
北京市紫禁城酒业有限公司,北京市紫禁城酒业有限公司,白酒,完全合格,110111-2022-1-001085,26/10/2023 10:00:00
北京航天农业生物科技有限公司,北京航天农业生物科技有限公司,"茶(类)饮料,炒货食品及坚果制品,调味料,固体饮料,果蔬汁类及其饮料,其他食品,其他饮料",完全合格,110111-2022-1-001135,26/10/2023 10:00:00
北京天泉源工贸有限公司,北京天泉源工贸有限公司,包装饮用水,完全合格,110111-2022-1-001262,26/10/2023 10:00:00
北京京味美食品科技有限公司,北京京味美食品科技有限公司,调味料,完全合格,110111-2023-1-000008,26/10/2023 10:00:00
北京澄明饮品厂,北京澄明饮品厂,瓶(桶)装饮用水,完全合格,110111-2023-1-000099,26/10/2023 10:00:00
北京仁和酒业有限责任公司,北京仁和酒业有限责任公司,"白酒,其他酒",完全合格,110111-2023-1-000481,26/10/2023 10:00:00
北京恒乐食品有限公司,北京恒乐食品有限公司,预制调理肉制品,完全合格,110111-2023-1-000790,26/10/2023 10:00:00
北京燕都酿酒有限公司,北京燕都酿酒有限公司,白酒,完全合格,110111-2023-1-000791,26/10/2023 10:00:00
北京长峰饮料有限责任公司,北京长峰饮料有限责任公司,瓶(桶)装饮用水,完全合格,110111-2022-1-001036,26/10/2023 10:00:00
北京屏山百花茶叶有限公司房山分公司,北京屏山百花茶叶有限公司房山分公司,代用茶,完全合格,110111-2022-1-001137,26/10/2023 10:00:00
北京港龙华佳食品有限公司,北京港龙华佳食品有限公司,"调味料,其他罐头,速冻调制食品,速冻面米食品",完全合格,110111-2022-1-001141,26/10/2023 10:00:00
北京瑞庚食品有限公司,北京瑞庚食品有限公司,"炒货食品及坚果制品,代用茶,蜜饯,食用菌制品,水果制品",完全合格,110111-2023-1-000009,26/10/2023 10:00:00
北粮传奇食品（北京）有限公司,北粮传奇食品（北京）有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,蔬菜干制品,水果制品",完全合格,110111-2023-1-000019,26/10/2023 10:00:00
北京春香禾福食品有限公司,北京春香禾福食品有限公司,热加工糕点,完全合格,110111-2023-1-000382,26/10/2023 10:00:00
北京市香香唯一食品厂,北京市香香唯一食品厂,"淀粉及淀粉制品,豆制品",完全合格,110111-2023-1-000752,26/10/2023 10:00:00
北京诚领农业有限公司,北京诚领农业有限公司,"即食水产品,热加工熟肉制品,速冻调制食品",完全合格,110111-2023-1-000800,26/10/2023 10:00:00
每日故事（北京）食品有限公司,每日故事（北京）食品有限公司,调味料,完全合格,110111-2023-1-000803,26/10/2023 10:00:00
北京腾飞工贸有限公司,北京腾飞工贸有限公司,热加工熟肉制品,完全合格,110111-2023-1-000987,26/10/2023 10:00:00
北京科汇大地农业技术发展有限公司,北京科汇大地农业技术发展有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,水果制品",完全合格,110111-2023-1-000990,26/10/2023 10:00:00
北京德康园食品有限公司,北京德康园食品有限公司,热加工熟肉制品,完全合格,110111-2023-1-000999,26/10/2023 10:00:00
北京宇辰食品有限公司,北京宇辰食品有限公司,"豆制品,冷加工糕点,蜜饯,其他方便食品,其他粮食加工品,热加工糕点","本次检查发现不符合项（2）项，其中：重点项（0）项，项目序号分别是（）；一般项（2）项，项目序号分别是（2.5,3.3）。",110111-2023-1-001192,26/10/2023 10:00:00
北京华采农业发展有限公司,北京华采农业发展有限公司,"蛋制品,热加工熟肉制品",完全合格,110111-2023-1-001329,26/10/2023 10:00:00
北京波龙堡葡萄酒业有限公司,北京波龙堡葡萄酒业有限公司,葡萄酒及果酒,完全合格,110111-2023-1-001331,26/10/2023 10:00:00
北京德润通农业科技发展有限公司,北京德润通农业科技发展有限公司,"淀粉及淀粉制品,其他方便食品",完全合格,110111-2023-1-001357,26/10/2023 10:00:00
北京泰润食品有限公司,北京泰润食品有限公司,热加工糕点,完全合格,110111-2023-1-001372,26/10/2023 10:00:00
北京聚源祥德商贸有限公司,北京聚源祥德商贸有限公司,"热加工糕点,热加工熟肉制品,速冻调制食品,速冻面米食品,预制调理肉制品",完全合格,110111-2023-1-001448,26/10/2023 10:00:00
北京恒乐食品有限公司,北京恒乐食品有限公司,预制调理肉制品,完全合格,110111-2023-1-001451,26/10/2023 10:00:00
北京天意通工贸有限公司,北京天意通工贸有限公司,"蜜饯,水果制品",完全合格,110111-2023-1-001572,26/10/2023 10:00:00
北京南河北星农业发展有限公司,北京南河北星农业发展有限公司,其他食品,完全合格,110111-2023-1-001721,26/10/2023 10:00:00
北京乾元君健葡萄酒科技服务有限公司,北京乾元君健葡萄酒科技服务有限公司,葡萄酒及果酒,完全合格,110111-2023-1-001994,31/10/2023 22:00:13
北京波龙堡葡萄酒业有限公司,北京波龙堡葡萄酒业有限公司,葡萄酒及果酒,完全合格,110111-2023-1-002017,31/10/2023 22:00:31
北京大石窝洪源水业有限责任公司,北京大石窝洪源水业有限责任公司,瓶(桶)装饮用水,完全合格,110111-2023-1-002216,8/11/2023 22:00:26
北京臻味坊食品有限公司,北京臻味坊食品有限公司,"炒货食品及坚果制品,大米,蜜饯,其他方便食品,其他粮食加工品,热加工糕点,食用菌制品,食用植物油,蔬菜干制品,水果制品",完全合格,110111-2023-1-002339,14/11/2023 22:00:42
北京波龙堡葡萄酒业有限公司,北京波龙堡葡萄酒业有限公司,葡萄酒及果酒,完全合格,110111-2023-1-002364,14/11/2023 22:01:35
北京臻味坊食品有限公司,北京臻味坊食品有限公司,"炒货食品及坚果制品,大米,蜜饯,其他方便食品,其他粮食加工品,热加工糕点,食用菌制品,食用植物油,蔬菜干制品,水果制品",完全合格,110111-2023-1-002382,14/11/2023 22:01:49
北京八贡品酒厂,北京八贡品酒厂,"白酒,包装饮用水",完全合格,110111-2023-1-002397,14/11/2023 22:01:55
北京臻味坊食品有限公司,北京臻味坊食品有限公司,"炒货食品及坚果制品,大米,蜜饯,其他方便食品,其他粮食加工品,热加工糕点,食用菌制品,食用植物油,蔬菜干制品,水果制品",完全合格,110111-2023-1-002404,14/11/2023 22:01:58
北京香盛斋食品有限公司,北京香盛斋食品有限公司,热加工熟肉制品,完全合格,110111-2023-1-002422,14/11/2023 22:02:04
北京醇荣居清真食品有限公司,北京醇荣居清真食品有限公司,"冷加工糕点,其他粮食加工品,热加工糕点",完全合格,110111-2023-1-002452,15/11/2023 22:01:00
北京香豆豆食品有限公司,北京香豆豆食品有限公司,豆制品,完全合格,110111-2023-1-002601,21/11/2023 22:01:24
北京香豆豆食品有限公司,北京香豆豆食品有限公司,豆制品,完全合格,110111-2023-1-002609,21/11/2023 22:01:34
北京凯达恒业农业技术开发有限公司,北京凯达恒业农业技术开发有限公司,"蔬菜干制品,薯类食品,水果制品",完全合格,110111-2023-1-002614,21/11/2023 22:01:37
北京香麦源食品科技有限公司,北京香麦源食品科技有限公司,"饼干,冷加工糕点,其他粮食加工品,热加工糕点",完全合格,110111-2023-1-002629,21/11/2023 22:01:48
北京兴福源食品有限公司,北京兴福源食品有限公司,热加工糕点,完全合格,110111-2023-1-003365,29/12/2023 22:00:03
