标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北京木林圣达食品厂,北京木林圣达食品厂,果蔬罐头,本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110113-2023-1-001530,26/10/2023 10:00:00
北京燕京啤酒股份有限公司矿泉水厂,北京燕京啤酒股份有限公司矿泉水厂,瓶(桶)装饮用水,完全合格,110113-2023-1-001539,26/10/2023 10:00:00
北京好仁缘食品有限公司食品厂,北京好仁缘食品有限公司食品厂,"豆制品,冷加工糕点,其他方便食品,其他粮食加工品,热加工糕点,速冻调制食品,速冻面米食品",完全合格,110113-2023-1-001558,26/10/2023 10:00:00
北京中鹏饮料水有限公司,北京中鹏饮料水有限公司,包装饮用水,完全合格,110113-2023-1-001589,26/10/2023 10:00:00
北京金马欧兰食品有限公司,北京金马欧兰食品有限公司,"冷加工糕点,其他食品,热加工糕点",完全合格,110113-2023-1-001595,26/10/2023 10:00:00
北京市朝阳燕桥香油厂,北京市朝阳燕桥香油厂,"调味料,食用植物油",完全合格,110113-2023-1-001650,26/10/2023 10:00:00
北京市北郎中面粉厂,北京市北郎中面粉厂,小麦粉,完全合格,110113-2023-1-002446,15/11/2023 22:00:35
凤城食品（北京）有限公司顺义分公司,凤城食品（北京）有限公司顺义分公司,热加工糕点,完全合格,110113-2023-1-002461,15/11/2023 22:01:23
北京金众源食品有限公司,北京金众源食品有限公司,"淀粉及淀粉制品,调味料,干制水产品,食用菌制品,糖",完全合格,110113-2023-1-002604,21/11/2023 22:01:28
北京顺鑫华顺源农业科技发展有限公司,北京顺鑫华顺源农业科技发展有限公司,其它食品,完全合格,110113-2023-1-002631,21/11/2023 22:01:49
北京欧菲堡酒庄有限公司,北京欧菲堡酒庄有限公司,葡萄酒及果酒,完全合格,110113-2023-1-002637,21/11/2023 22:01:52
北京黄记煌商贸有限责任公司,北京黄记煌商贸有限责任公司,调味料,完全合格,110113-2023-1-002793,27/11/2023 22:00:54
北京稻香村食品有限责任公司燕丹分厂,北京稻香村食品有限责任公司燕丹分厂,"调味料,酱腌菜,其他粮食加工品,热加工糕点,食品馅料",完全合格,110114-2023-1-000842,26/10/2023 10:00:00
北京新淳味美食品厂,北京新淳味美食品厂,"淀粉及淀粉制品,调味料,干制水产品,食用菌制品,蔬菜干制品,水果制品,糖",完全合格,110114-2023-1-001781,26/10/2023 10:00:00
北京中道国方科技发展有限公司,北京中道国方科技发展有限公司,"固体饮料,蜜饯",完全合格,110114-2023-1-001801,26/10/2023 10:00:00
北京得利斯食品有限公司,北京得利斯食品有限公司,"热加工熟肉制品,热加工熟肉制品",完全合格,110114-2023-1-001810,26/10/2023 10:00:00
